ARCHIVO,CONTENIDO
m3s1p136,"Asociaciones interinstitucionales de la institución encargada de la función de seguridad pública a efecto de desarrollar de mejor manera alguna de sus funciones o atribuciones, durante el año 2022."
m3s1p137,"Asociaciones de la institución encargada de la función de seguridad pública con alguna institución a efecto de desarrollar de mejor manera alguna de sus funciones o atribuciones, según tipo de instrumento regulatorio establecido, año de entrada en vigor, año de vencimiento, funciones, atribuciones o servicios objeto de la asociación y tipo de instituciones con las que se celebraron, durante el año 2022."
