ubicageo_f,rnspni1,divter1,divter2,divter3,divter4,divter5
12066,0,NA,NA,NA,NA,NA
12067,0,NA,NA,NA,NA,NA
12068,0,NA,NA,NA,NA,NA
12069,0,NA,NA,NA,NA,NA
12070,0,NA,NA,NA,NA,NA
12071,0,NA,NA,NA,NA,NA
12072,0,NA,NA,NA,NA,NA
12073,0,NA,NA,NA,NA,NA
12074,0,NA,NA,NA,NA,NA
12075,0,NA,NA,NA,NA,NA
12076,0,NA,NA,NA,NA,NA
12077,0,NA,NA,NA,NA,NA
12078,0,NA,NA,NA,NA,NA
12079,0,NA,NA,NA,NA,NA
12080,0,NA,NA,NA,NA,NA
12081,0,NA,NA,NA,NA,NA
12082,0,NA,NA,NA,NA,NA
12083,0,NA,NA,NA,NA,NA
12084,0,NA,NA,NA,NA,NA
12085,0,NA,NA,NA,NA,NA
13001,0,NA,NA,NA,NA,NA
13002,0,NA,NA,NA,NA,NA
13003,1,0,8,0,0,0
13004,0,NA,NA,NA,NA,NA
13005,0,NA,NA,NA,NA,NA
13006,2,NA,NA,NA,NA,NA
13007,1,0,13,30,0,0
13008,0,NA,NA,NA,NA,NA
13009,0,NA,NA,NA,NA,NA
13010,0,NA,NA,NA,NA,NA
13011,0,NA,NA,NA,NA,NA
13012,0,NA,NA,NA,NA,NA
13013,3,NA,NA,NA,NA,NA
13014,0,NA,NA,NA,NA,NA
13015,0,NA,NA,NA,NA,NA
13016,3,NA,NA,NA,NA,NA
13017,3,NA,NA,NA,NA,NA
13018,0,NA,NA,NA,NA,NA
13019,0,NA,NA,NA,NA,NA
13020,0,NA,NA,NA,NA,NA
13021,0,NA,NA,NA,NA,NA
13022,0,NA,NA,NA,NA,NA
13023,9,NSS,NSS,NSS,NSS,NSS
13024,0,NA,NA,NA,NA,NA
13025,0,NA,NA,NA,NA,NA
13026,0,NA,NA,NA,NA,NA
13027,0,NA,NA,NA,NA,NA
13028,0,NA,NA,NA,NA,NA
13029,0,NA,NA,NA,NA,NA
13030,2,NA,NA,NA,NA,NA
13031,0,NA,NA,NA,NA,NA
13032,0,NA,NA,NA,NA,NA
13033,0,NA,NA,NA,NA,NA
13034,0,NA,NA,NA,NA,NA
13035,0,NA,NA,NA,NA,NA
13036,0,NA,NA,NA,NA,NA
13037,0,NA,NA,NA,NA,NA
13038,0,NA,NA,NA,NA,NA
13039,0,NA,NA,NA,NA,NA
13040,0,NA,NA,NA,NA,NA
13041,0,NA,NA,NA,NA,NA
13042,0,NA,NA,NA,NA,NA
13043,0,NA,NA,NA,NA,NA
13044,0,NA,NA,NA,NA,NA
13045,0,NA,NA,NA,NA,NA
13046,0,NA,NA,NA,NA,NA
13047,0,NA,NA,NA,NA,NA
13048,0,NA,NA,NA,NA,NA
13049,0,NA,NA,NA,NA,NA
13050,0,NA,NA,NA,NA,NA
13051,1,0,4,0,0,0
13052,1,0,1,0,0,0
13053,0,NA,NA,NA,NA,NA
13054,0,NA,NA,NA,NA,NA
13055,0,NA,NA,NA,NA,NA
13056,1,0,6,0,0,0
13057,0,NA,NA,NA,NA,NA
13058,0,NA,NA,NA,NA,NA
13059,0,NA,NA,NA,NA,NA
13060,0,NA,NA,NA,NA,NA
13061,0,NA,NA,NA,NA,NA
13062,0,NA,NA,NA,NA,NA
13063,2,NA,NA,NA,NA,NA
13064,0,NA,NA,NA,NA,NA
13065,0,NA,NA,NA,NA,NA
13066,0,NA,NA,NA,NA,NA
13067,3,NA,NA,NA,NA,NA
13068,0,NA,NA,NA,NA,NA
13069,3,NA,NA,NA,NA,NA
13070,1,0,6,0,0,0
13071,0,NA,NA,NA,NA,NA
13072,0,NA,NA,NA,NA,NA
13073,0,NA,NA,NA,NA,NA
13074,1,0,0,0,0,1
