ubicageo_f,rnspni1,dirurl1
15063,0,NO APLICA
15064,0,NO APLICA
15065,0,NO APLICA
15066,0,NO APLICA
15067,0,NO APLICA
15068,0,NO APLICA
15069,0,NO APLICA
15070,0,NO APLICA
15071,0,NO APLICA
15072,0,NO APLICA
15073,0,NO APLICA
15074,0,NO APLICA
15075,0,NO APLICA
15076,0,NO APLICA
15077,0,NO APLICA
15078,0,NO APLICA
15079,0,NO APLICA
15080,0,NO APLICA
15081,1,https://www.google.com/maps/d/edit?mid1cqScyxR3Y7WyXU3IHJJJitEsg1AB1go&usp=sharing
15082,0,NO APLICA
15083,0,NO APLICA
15084,0,NO APLICA
15085,0,NO APLICA
15086,0,NO APLICA
15087,3,NO APLICA
15088,0,NO APLICA
15089,0,NO APLICA
15090,0,NO APLICA
15091,3,NO APLICA
15092,0,NO APLICA
15093,0,NO APLICA
15094,0,NO APLICA
15095,0,NO APLICA
15096,1,NO APLICA
15097,0,NO APLICA
15098,0,NO APLICA
15099,0,NO APLICA
15100,0,NO APLICA
15101,0,NO APLICA
15102,0,NO APLICA
15103,0,NO APLICA
15104,0,NO APLICA
15105,0,NO APLICA
15106,1,NO APLICA
15107,0,NO APLICA
15108,0,NO APLICA
15109,0,NO APLICA
15110,0,NO APLICA
15111,0,NO APLICA
15112,0,NO APLICA
15113,0,NO APLICA
15114,0,NO APLICA
15115,0,NO APLICA
15116,0,NO APLICA
15117,0,NO APLICA
15118,0,NO APLICA
15119,0,NO APLICA
15120,0,NO APLICA
15121,1,https://www.facebook.com/ComisariaCuautitlanIzcalli/
15122,2,NO APLICA
15123,0,NO APLICA
15124,0,NO APLICA
15125,0,NO APLICA
16001,0,NO APLICA
16002,0,NO APLICA
16003,0,NO APLICA
16004,0,NO APLICA
16005,0,NO APLICA
16006,0,NO APLICA
16007,0,NO APLICA
16008,0,NO APLICA
16009,0,NO APLICA
16010,0,NO APLICA
16011,0,NO APLICA
16012,0,NO APLICA
16013,0,NO APLICA
16014,0,NO APLICA
16015,0,NO APLICA
16016,0,NO APLICA
16017,0,NO APLICA
16018,0,NO APLICA
16019,0,NO APLICA
16020,0,NO APLICA
16021,0,NO APLICA
16022,1,https://charo.gob.mx/
16023,0,NO APLICA
16024,0,NO APLICA
16025,0,NO APLICA
16026,0,NO APLICA
16027,0,NO APLICA
16028,0,NO APLICA
16029,0,NO APLICA
16030,0,NO APLICA
16031,0,NO APLICA
16032,0,NO APLICA
16033,0,NO APLICA
16034,0,NO APLICA
16035,0,NO APLICA
16036,0,NO APLICA
16037,0,NO APLICA
16038,0,NO APLICA
16039,0,NO APLICA
16040,0,NO APLICA
16041,0,NO APLICA
16042,0,NO APLICA
16043,0,NO APLICA
16044,0,NO APLICA
16045,0,NO APLICA
16046,0,NO APLICA
16047,0,NO APLICA
16048,3,NO APLICA
16049,0,NO APLICA
16050,0,NO APLICA
16051,98,NO DISPONIBLE
16052,0,NO APLICA
16053,3,NO APLICA
16054,0,NO APLICA
16055,0,NO APLICA
16056,0,NO APLICA
16057,0,NO APLICA
16058,0,NO APLICA
16059,0,NO APLICA
16060,0,NO APLICA
16061,0,NO APLICA
16062,2,NO APLICA
16063,0,NO APLICA
16064,0,NO APLICA
16065,0,NO APLICA
16066,2,NO APLICA
16067,0,NO APLICA
16068,0,NO APLICA
16069,0,NO APLICA
16070,0,NO APLICA
16071,0,NO APLICA
16072,97,NO IDENTIFICADO
16073,97,NO IDENTIFICADO
16074,0,NO APLICA
16075,0,NO APLICA
16076,0,NO APLICA
16077,0,NO APLICA
16078,2,NO APLICA
16079,0,NO APLICA
16080,0,NO APLICA
16081,0,NO APLICA
16082,0,NO APLICA
16083,0,NO APLICA
16084,0,NO APLICA
16085,0,NO APLICA
16086,0,NO APLICA
16087,0,NO APLICA
16088,3,NO APLICA
16089,0,NO APLICA
16090,0,NO APLICA
16091,0,NO APLICA
16092,0,NO APLICA
16093,0,NO APLICA
16094,0,NO APLICA
16095,0,NO APLICA
16096,0,NO APLICA
16097,0,NO APLICA
16098,0,NO APLICA
16099,0,NO APLICA
16100,0,NO APLICA
16101,0,NO APLICA
16102,3,NO APLICA
16103,0,NO APLICA
16104,0,NO APLICA
16105,0,NO APLICA
16106,0,NO APLICA
16107,0,NO APLICA
16108,0,NO APLICA
16109,0,NO APLICA
16110,0,NO APLICA
16111,0,NO APLICA
16112,0,NO APLICA
16113,0,NO APLICA
17001,2,NO APLICA
17002,0,NO APLICA
17003,0,NO APLICA
17004,0,NO APLICA
17005,0,NO APLICA
17006,0,NO APLICA
17007,0,NO APLICA
17008,0,NO APLICA
17009,0,NO APLICA
17010,0,NO APLICA
17011,0,NO APLICA
17012,0,NO APLICA
17013,0,NO APLICA
17014,0,NO APLICA
17015,0,NO APLICA
17016,0,NO APLICA
17017,0,NO APLICA
17018,0,NO APLICA
17019,0,NO APLICA
17020,0,NO APLICA
17021,0,NO APLICA
17022,3,NO APLICA
17023,0,NO APLICA
17024,0,NO APLICA
17025,0,NO APLICA
17026,0,NO APLICA
17027,0,NO APLICA
17028,2,NO APLICA
17029,0,NO APLICA
17030,0,NO APLICA
17031,0,NO APLICA
17032,0,NO APLICA
17033,0,NO APLICA
17034,0,NO APLICA
17035,0,NO APLICA
17036,0,NO APLICA
18001,0,NO APLICA
18002,0,NO APLICA
18003,0,NO APLICA
18004,0,NO APLICA
18005,0,NO APLICA
18006,0,NO APLICA
18007,0,NO APLICA
18008,0,NO APLICA
18009,0,NO APLICA
18010,0,NO APLICA
18011,0,NO APLICA
18012,0,NO APLICA
18013,0,NO APLICA
18014,0,NO APLICA
18015,0,NO APLICA
18016,0,NO APLICA
18017,3,NO APLICA
18018,0,NO APLICA
18019,0,NO APLICA
18020,1,NO APLICA
19001,0,NO APLICA
19002,0,NO APLICA
19003,0,NO APLICA
19004,1,NO APLICA
19005,0,NO APLICA
19006,1,https://www.google.com/maps/d/edit?mid=1m3_3j2mwsx-bSYm8cTge3ye5EvwGr9Q&usp=drive_link
19007,0,NO APLICA
19008,0,NO APLICA
19009,3,NO APLICA
19010,0,NO APLICA
19011,0,NO APLICA
19012,0,NO APLICA
19013,0,NO APLICA
19014,0,
19015,0,NO APLICA
19016,0,NO APLICA
19017,0,NO APLICA
19018,1,NO APLICA
19019,0,NO APLICA
19020,0,NO APLICA
19021,0,NO APLICA
19022,0,NO APLICA
19023,0,NO APLICA
19024,0,NO APLICA
19025,0,NO APLICA
19026,2,NO APLICA
19027,0,NO APLICA
19028,0,NO APLICA
19029,0,NO APLICA
19030,0,NO APLICA
19031,3,NO APLICA
19032,0,NO APLICA
19033,0,NO APLICA
19034,0,NO APLICA
19035,0,NO APLICA
19036,0,NO APLICA
19037,0,NO APLICA
19038,0,NO APLICA
19039,3,NO APLICA
19040,0,NO APLICA
19041,3,NO APLICA
19042,97,NO IDENTIFICADO
19043,0,NO APLICA
19044,0,
19045,0,NO APLICA
19046,1,NO APLICA
19047,97,NO IDENTIFICADO
19048,1,NO APLICA
19049,3,NO APLICA
19050,0,NO APLICA
19051,97,NO IDENTIFICADO
20001,0,NO APLICA
20002,0,NO APLICA
20003,0,NO APLICA
20004,0,NO APLICA
20005,0,NO APLICA
20006,0,NO APLICA
20007,0,NO APLICA
20008,0,NO APLICA
20009,0,NO APLICA
20010,0,NO APLICA
20011,0,NO APLICA
20012,0,NO APLICA
20013,0,NO APLICA
20014,0,NO APLICA
20015,0,NO APLICA
20016,0,NO APLICA
20017,0,NO APLICA
20018,0,NO APLICA
20019,0,NO APLICA
20020,0,NO APLICA
20021,0,NO APLICA
20022,0,NO APLICA
20023,0,NO APLICA
20024,0,NO APLICA
20025,0,NO APLICA
20026,0,NO APLICA
20027,0,NO APLICA
20028,0,NO APLICA
20029,0,NO APLICA
20030,0,NO APLICA
20031,0,NO APLICA
20032,0,NO APLICA
20033,0,NO APLICA
20034,0,NO APLICA
20035,0,NO APLICA
20036,0,NO APLICA
20037,0,NO APLICA
20038,0,NO APLICA
20039,0,NO APLICA
20040,0,NO APLICA
20041,0,NO APLICA
20042,0,NO APLICA
20043,0,NO APLICA
20044,0,NO APLICA
20045,0,NO APLICA
20046,0,NO APLICA
20047,0,NO APLICA
20048,0,NO APLICA
20049,0,NO APLICA
20050,0,NO APLICA
20051,0,NO APLICA
20052,0,NO APLICA
20053,0,NO APLICA
20054,0,NO APLICA
20055,0,NO APLICA
20056,0,NO APLICA
20057,0,NO APLICA
20058,0,NO APLICA
20059,3,NO APLICA
20060,0,NO APLICA
20061,0,NO APLICA
20062,0,NO APLICA
20063,0,NO APLICA
20064,0,NO APLICA
20065,0,NO APLICA
20066,0,NO APLICA
20067,1,NO APLICA
20068,0,NO APLICA
20069,0,NO APLICA
20070,0,NO APLICA
20071,0,NO APLICA
20072,0,NO APLICA
20073,0,NO APLICA
20074,0,NO APLICA
20075,0,NO APLICA
20076,0,NO APLICA
20077,0,NO APLICA
20078,0,NO APLICA
20079,0,NO APLICA
20080,0,NO APLICA
20081,0,NO APLICA
20082,0,NO APLICA
20083,0,NO APLICA
20084,0,NO APLICA
20085,0,NO APLICA
20086,0,NO APLICA
20087,0,NO APLICA
20088,0,NO APLICA
20089,0,NO APLICA
20090,0,NO APLICA
20091,0,NO APLICA
20092,0,NO APLICA
20093,0,NO APLICA
20094,0,NO APLICA
20095,0,NO APLICA
20096,0,NO APLICA
20097,0,NO APLICA
20098,0,NO APLICA
20099,0,NO APLICA
20100,0,NO APLICA
20101,0,NO APLICA
20102,0,NO APLICA
20103,0,NO APLICA
