ubicageo_f,aniorefe_b,elinsp1,elinsp2,elinsp3,elinsp4,elinsp5,elinsp6,elinsp7,elinsp8,elinsp9
7012,1,,,,,,,,1,
7012,2,,,,,,,,1,
7013,1,,,,,,,,1,
7013,2,,,,,,,,1,
7014,1,,,,,,,,,1
7014,2,,,,,,,,,1
7015,1,,,,,,,,1,
7015,2,,,,,,,,1,
7016,1,,,,,,,,1,
7016,2,,,,,,,,1,
7017,1,,,,,,,,1,
7017,2,,,,,,,,1,
7018,1,,,,,,,,1,
7018,2,,,,,,,,1,
7019,1,,,,,,,,1,
7019,2,,,,,,,,1,
7020,1,,,,,,,,1,
7020,2,,,,,,,,1,
7021,1,,,,,,,,1,
7021,2,,,,,,,,1,
7022,1,,,,,,,,1,
7022,2,,,,,,,,1,
7023,1,,,,,,,,1,
7023,2,,,,,,,,1,
7024,1,,,,,,,,,1
7024,2,,,,,,,,,1
7025,1,,,,,,,,1,
7025,2,,,,,,,,1,
7026,1,,,,,,,,1,
7026,2,,,,,,,,1,
7027,1,,,,,,,,1,
7027,2,,,,,,,,1,
7028,1,,,,,,,,1,
7028,2,,,,,,,,1,
7029,1,,,,,,,,1,
7029,2,,,,,,,,1,
7030,1,,,,,,,,1,
7030,2,,,,,,,,1,
7031,1,,,,,,,,,1
7031,2,,,,,,,,,1
7032,1,,,,,,,,,1
7032,2,,,,,,,,,1
7033,1,,,,,,,,1,
7033,2,,,,,,,,1,
7034,1,,,,,,,,1,
7034,2,,,,,,,,1,
7035,1,,,,,,,,1,
7035,2,,,,,,,,1,
7036,1,,,,,,,,1,
7036,2,,,,,,,,1,
7037,1,,,,,,,,1,
7037,2,,,,,,,,1,
7038,1,,,,,,,,1,
7038,2,,,,,,,,1,
7039,1,,,,,,,,1,
7039,2,,,,,,,,1,
7040,1,,,,,,,,,1
7040,2,,,,,,,,1,
7041,1,,,,,,,,1,
7041,2,,,,,,,,1,
7042,1,,,,,,,,1,
7042,2,,,,,,,,1,
7043,1,,,,,,,,,1
7043,2,,,,,,,,,1
7044,1,,,,,,,,1,
7044,2,,,,,,,,1,
7045,1,,,,,,,,,1
7045,2,,,,,,,,,1
7046,1,,,,,,,,1,
7046,2,,,,,,,,1,
7047,1,,,,,,,,1,
7047,2,,,,,,,,1,
7048,1,,,,,,,,1,
7048,2,,,,,,,,1,
7049,1,,,,,,,,1,
7049,2,,,,,,,,1,
7050,1,,,,,,,,1,
7050,2,,,,,,,,1,
7051,1,1,1,,,,,,,
7051,2,1,1,,,,,,,
7052,1,,,,,,,,1,
7052,2,,,,,,,,1,
7053,1,,,,,,,,,1
7053,2,,,,,,,,,1
7054,1,,,,,,,,1,
7054,2,,,,,,,,1,
7055,1,,,,,,,,1,
7055,2,,,,,,,,1,
7056,1,,,,,,,,1,
7056,2,,,,,,,,1,
7057,1,,,,,,,,1,
7057,2,,,,,,,,1,
7058,1,,,,,,,,1,
7058,2,,,,,,,,1,
7059,1,,,,,,,,1,
7059,2,,,,,,,,1,
7060,1,,,,,,,,1,
7060,2,,,,,,,,1,
7061,1,,,,,,,,,1
7061,2,,,,,,,,,1
7062,1,,,,,,,,1,
7062,2,,,,,,,,1,
7063,1,,,,,,,,1,
7063,2,,,,,,,,1,
7064,1,,,,,,,,,1
7064,2,,,,,,,,,1
7065,1,,,,,,,,1,
7065,2,,,,,,,,1,
7066,1,,,,,,,,,1
7066,2,,,,,,,,,1
7067,1,,,,,,,,1,
7067,2,,,,,,,,1,
7068,1,,,,,,,,1,
7068,2,,,,,,,,1,
7069,1,,,,,,,,,1
7069,2,,,,,,,,,1
7070,1,,,,,,,,,1
7070,2,,,,,,,,,1
7071,1,,,,,,,,1,
7071,2,,,,,,,,1,
7072,1,,,,,,,,1,
7072,2,,,,,,,,1,
7073,1,,,,,,,,1,
7073,2,,,,,,,,1,
7074,1,,,,,,,,,1
7074,2,,,,,,,,,1
7075,1,1,,,,,,,,
7075,2,1,,,,,,,,
7076,1,,,,,,,,1,
7076,2,,,,,,,,1,
7077,1,,,,,,,,1,
7077,2,,,,,,,,1,
7078,1,,,,,,,,1,
7078,2,,,,,,,,1,
7079,1,,,,,,,,1,
7079,2,,1,,,,,,,
7080,1,,,,,,,,,1
7080,2,,,,,,,,,1
7081,1,,,,,,,,1,
7081,2,,,,,,,,1,
7082,1,,,,,,,,1,
7082,2,,,,,,,,1,
7083,1,,,,,,,,1,
7083,2,,,,,,,1,,
7084,1,,,,,,,,1,
7084,2,,,,,,,,1,
7085,1,,,,,,,,,1
7085,2,,,,,,,,,1
7086,1,,,,,,,,1,
7086,2,,,,,,,,1,
7087,1,,,,,,,,1,
7087,2,,,,,,,,1,
7088,1,,,,,,,,,1
7088,2,,,,,,,,,1
7089,1,1,,,,1,,,,
7089,2,1,,,,1,,,,
7090,1,,,,,,,,1,
7090,2,,,,,,,,1,
7091,1,,,,,,,,1,
7091,2,,,,,,,,1,
7092,1,,,,,,,,1,
7092,2,,,,,,,,1,
7093,1,,,,,,,,1,
7093,2,,,,,,,,1,
7094,1,,,,,,,,1,
7094,2,,,,,,,,1,
7096,1,,,,,,,,1,
7096,2,,,,,,,,1,
7097,1,,,,,,,,1,
