ubicageo_f,numeral,nombre1
8004,1,NO APLICA
8005,1,NO APLICA
8006,1,NO APLICA
8007,1,NO APLICA
8008,1,NO APLICA
8009,1,NO APLICA
8010,1,NO APLICA
8011,1,NO APLICA
8012,1,NO APLICA
8013,1,NO APLICA
8014,1,NO APLICA
8015,1,NO APLICA
8016,1,NO APLICA
8017,1,NO APLICA
8018,1,NO APLICA
8019,1,NO APLICA
8020,1,NO APLICA
8021,1,NO IDENTIFICADO
8022,1,NO APLICA
8023,1,NO APLICA
8024,1,NO APLICA
8025,1,NO APLICA
8026,1,NO APLICA
8027,1,NO APLICA
8028,1,NO APLICA
8029,1,NO APLICA
8030,1,NO APLICA
8031,1,NO APLICA
8032,1,NO APLICA
8033,1,NO APLICA
8034,1,NO APLICA
8035,1,NO APLICA
8036,1,NO APLICA
8037,1,NO APLICA
8038,1,NO APLICA
8039,1,NO APLICA
8040,1,NO APLICA
8041,1,NO APLICA
8042,1,NO APLICA
8043,1,NO APLICA
8044,1,NO APLICA
8045,1,NO APLICA
8046,1,NO APLICA
8047,1,NO APLICA
8048,1,NO APLICA
8049,1,NO APLICA
8050,1,NO APLICA
8051,1,NO APLICA
8052,1,NO APLICA
8053,1,NO APLICA
8054,1,NO APLICA
8055,1,NO APLICA
8056,1,NO APLICA
8057,1,NO APLICA
8058,1,NO APLICA
8059,1,NO APLICA
8060,1,NO APLICA
8061,1,NO APLICA
8062,1,NO APLICA
8063,1,NO APLICA
8064,1,NO APLICA
8065,1,NO APLICA
8066,1,NO APLICA
8067,1,NO APLICA
9002,1,NO APLICA
9003,1,NO APLICA
9004,1,NO APLICA
9005,1,NO APLICA
9006,1,NO APLICA
9007,1,NO APLICA
9008,1,NO APLICA
9009,1,NO APLICA
9010,1,NO APLICA
9011,1,NO APLICA
9012,1,NO APLICA
9013,1,NO APLICA
9014,1,NO APLICA
9015,1,NO APLICA
9016,1,NO APLICA
9017,1,NO APLICA
10001,1,NO APLICA
10002,1,NO APLICA
10003,1,NO APLICA
10004,1,NO APLICA
10005,1,NO APLICA
10006,1,NO APLICA
10007,1,ABUSO DE AUTORIDAD
10007,2,ROBO
10008,1,NO APLICA
10009,1,NO APLICA
10010,1,NO APLICA
10011,1,NO APLICA
10012,1,NO APLICA
10013,1,NO APLICA
10014,1,NO APLICA
10015,1,NO APLICA
10016,1,NO APLICA
10017,1,NO APLICA
10018,1,NO APLICA
10019,1,NO APLICA
10020,1,NO APLICA
10021,1,NO APLICA
10022,1,NO APLICA
10023,1,NO APLICA
10024,1,NO APLICA
10025,1,NO APLICA
10026,1,NO APLICA
10027,1,NO APLICA
10028,1,NO APLICA
