ubicageo_f,rnsnni1,acfoic1,acfoic2,acfoic3,acfoic4,acfoic6,acfoic7,acfoic8,acfoic9,sexostt,sexos1,sexos2
30118,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30119,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
30120,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30121,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30122,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30123,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30124,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
30125,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
30126,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30127,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30128,1,1,1,0,0,1,1,0,0,75,65,10
30129,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30130,1,2,2,0,0,2,2,0,0,37,34,3
30131,1,2,2,0,0,2,2,0,0,114,85,29
30132,1,4,4,0,0,4,4,0,0,16,14,2
30133,1,3,0,0,3,3,0,0,3,14,10,4
