ubicageo_f,rnsnni1,acfoic1,acfoic2,acfoic3,acfoic4,acfoic6,acfoic7,acfoic8,acfoic9,sexostt,sexos1,sexos2
26005,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26006,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26007,1,1,0,0,1,1,0,0,1,3,2,1
26008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26009,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26010,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26012,1,1,1,0,0,1,1,0,0,79,62,17
26013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26014,1,3,1,2,0,3,1,2,0,5,5,0
26015,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26016,1,17,0,17,0,17,0,17,0,17,13,4
26017,1,9,9,0,0,9,9,0,0,87,62,25
26018,1,38,33,5,0,38,33,5,0,1099,891,208
26019,1,32,15,9,8,32,15,9,8,176,164,12
26020,1,4,0,4,0,4,0,4,0,5,4,1
26021,1,5,0,5,0,5,0,5,0,5,5,0
26022,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26023,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26024,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26025,1,1,1,0,0,1,1,0,0,75,63,12
26026,1,9,4,5,0,9,4,5,0,89,72,17
26027,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26028,1,7,2,5,0,7,2,5,0,1,1,0
26029,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26030,1,1,1,0,0,1,1,0,0,27,20,7
26031,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26032,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26033,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26034,1,4,3,1,0,4,3,1,0,3,3,0
26035,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26036,1,38,0,38,0,38,0,38,0,38,33,5
26037,1,2,1,1,0,2,1,1,0,3,3,0
26038,1,1,1,0,0,1,1,0,0,9,6,3
26039,1,3,0,3,0,3,0,3,0,3,1,2
26040,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26041,1,2,0,2,0,2,0,2,0,47,37,10
26042,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26043,1,58,40,18,0,58,40,18,0,539,464,75
26044,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26045,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
26046,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26047,1,6,1,0,5,6,1,0,5,11,8,3
26048,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26049,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26050,1,2,1,1,0,2,1,1,0,3,3,0
26051,1,1,0,1,0,1,0,1,0,4,3,1
26052,1,4,0,4,0,4,0,4,0,12,9,3
26053,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26054,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26055,1,5,3,2,0,5,3,2,0,232,178,54
26056,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26057,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
