ubicageo_f,orgapoli_k,sexostt,sexos1,sexos2
7026,3,0,0,0
7026,4,0,0,0
7026,5,0,0,0
7026,9,,,
7027,1,0,0,0
7027,2,0,0,0
7027,3,0,0,0
7027,4,0,0,0
7027,5,0,0,0
7027,9,,,
7028,1,17,13,4
7028,2,0,0,0
7028,3,0,0,0
7028,4,0,0,0
7028,5,0,0,0
7028,9,,,
7029,1,0,0,0
7029,2,0,0,0
7029,3,0,0,0
7029,4,0,0,0
7029,5,0,0,0
7029,9,,,
7030,1,0,0,0
7030,2,0,0,0
7030,3,0,0,0
7030,4,0,0,0
7030,5,0,0,0
7030,9,,,
7031,1,64,56,8
7031,2,0,0,0
7031,3,0,0,0
7031,4,0,0,0
7031,5,0,0,0
7031,9,,,
7032,1,0,0,0
7032,2,0,0,0
7032,3,0,0,0
7032,4,43,37,6
7032,5,0,0,0
7032,9,,,
7033,1,0,0,0
7033,2,0,0,0
7033,3,0,0,0
7033,4,0,0,0
7033,5,0,0,0
7033,9,,,
7034,1,0,0,0
7034,2,0,0,0
7034,3,0,0,0
7034,4,0,0,0
7034,5,0,0,0
7034,9,,,
7035,1,0,0,0
7035,2,0,0,0
7035,3,0,0,0
7035,4,0,0,0
7035,5,0,0,0
7035,9,,,
7036,1,0,0,0
7036,2,0,0,0
7036,3,0,0,0
7036,4,0,0,0
7036,5,0,0,0
7036,9,,,
7037,1,57,44,13
7037,2,0,0,0
7037,3,0,0,0
7037,4,0,0,0
7037,5,0,0,0
7037,9,,,
7038,1,0,0,0
7038,2,0,0,0
7038,3,0,0,0
7038,4,0,0,0
7038,5,0,0,0
7038,9,,,
7039,1,0,0,0
7039,2,0,0,0
7039,3,0,0,0
7039,4,0,0,0
7039,5,0,0,0
7039,9,,,
7040,1,0,0,0
7040,2,0,0,0
7040,3,0,0,0
7040,4,0,0,0
7040,5,0,0,0
7040,9,,,
7041,1,0,0,0
7041,2,0,0,0
7041,3,0,0,0
7041,4,0,0,0
7041,5,0,0,0
7041,9,,,
7042,1,0,0,0
7042,2,0,0,0
7042,3,0,0,0
7042,4,0,0,0
7042,5,0,0,0
7042,9,,,
7043,1,0,0,0
7043,2,0,0,0
7043,3,0,0,0
7043,4,0,0,0
7043,5,0,0,0
7043,9,,,
7044,1,34,34,0
7044,2,0,0,0
7044,3,0,0,0
7044,4,0,0,0
7044,5,0,0,0
7044,9,,,
7045,1,0,0,0
7045,2,0,0,0
7045,3,0,0,0
7045,4,0,0,0
7045,5,0,0,0
7045,9,,,
7046,1,1,1,0
7046,2,0,0,0
7046,3,0,0,0
7046,4,0,0,0
7046,5,0,0,0
7046,9,,,
7047,1,0,0,0
7047,2,0,0,0
7047,3,0,0,0
7047,4,0,0,0
7047,5,0,0,0
7047,9,,,
7048,1,3,3,0
7048,2,0,0,0
7048,3,0,0,0
7048,4,0,0,0
7048,5,0,0,0
7048,9,,,
7049,1,0,0,0
7049,2,0,0,0
7049,3,0,0,0
7049,4,0,0,0
7049,5,0,0,0
7049,9,,,
7050,1,2,2,0
7050,2,0,0,0
7050,3,0,0,0
7050,4,0,0,0
7050,5,0,0,0
7050,9,,,
7051,1,0,0,0
7051,2,0,0,0
7051,3,0,0,0
7051,4,0,0,0
7051,5,0,0,0
7051,9,,,
7052,1,172,135,37
7052,2,0,0,0
7052,3,0,0,0
7052,4,0,0,0
7052,5,0,0,0
7052,9,,,
7053,1,0,0,0
7053,2,0,0,0
7053,3,0,0,0
7053,4,0,0,0
7053,5,0,0,0
7053,9,,,
7054,1,0,0,0
7054,2,0,0,0
7054,3,0,0,0
7054,4,0,0,0
7054,5,0,0,0
7054,9,,,
7055,1,0,0,0
7055,2,0,0,0
7055,3,0,0,0
7055,4,0,0,0
7055,5,0,0,0
7055,9,,,
7056,1,0,0,0
7056,2,0,0,0
7056,3,0,0,0
7056,4,0,0,0
7056,5,0,0,0
7056,9,,,
7057,1,0,0,0
7057,2,0,0,0
7057,3,0,0,0
7057,4,0,0,0
7057,5,0,0,0
7057,9,,,
7058,1,0,0,0
7058,2,0,0,0
7058,3,0,0,0
7058,4,0,0,0
7058,5,0,0,0
7058,9,,,
7059,1,147,114,33
7059,2,0,0,0
7059,3,0,0,0
7059,4,0,0,0
7059,5,0,0,0
7059,9,,,
7060,1,0,0,0
7060,2,0,0,0
7060,3,0,0,0
7060,4,0,0,0
7060,5,0,0,0
7060,9,,,
7061,1,0,0,0
7061,2,0,0,0
7061,3,0,0,0
7061,4,0,0,0
7061,5,0,0,0
7061,9,,,
7062,1,14,12,2
7062,2,0,0,0
7062,3,0,0,0
7062,4,0,0,0
7062,5,0,0,0
7062,9,,,
7063,1,0,0,0
7063,2,0,0,0
7063,3,0,0,0
7063,4,0,0,0
7063,5,0,0,0
7063,9,,,
7064,1,0,0,0
7064,2,0,0,0
7064,3,0,0,0
7064,4,0,0,0
7064,5,0,0,0
7064,9,,,
7065,1,62,62,0
7065,2,0,0,0
7065,3,0,0,0
7065,4,0,0,0
7065,5,0,0,0
7065,9,,,
7066,1,0,0,0
7066,2,0,0,0
7066,3,0,0,0
7066,4,0,0,0
7066,5,0,0,0
7066,9,,,
7067,1,0,0,0
7067,2,0,0,0
7067,3,0,0,0
7067,4,0,0,0
7067,5,0,0,0
7067,9,,,
7068,1,50,36,14
7068,2,0,0,0
7068,3,0,0,0
7068,4,0,0,0
7068,5,0,0,0
7068,9,,,
7069,1,0,0,0
7069,2,0,0,0
7069,3,0,0,0
7069,4,17,11,6
7069,5,0,0,0
7069,9,,,
7070,1,0,0,0
7070,2,0,0,0
7070,3,0,0,0
7070,4,0,0,0
7070,5,0,0,0
7070,9,,,
7071,1,0,0,0
7071,2,0,0,0
7071,3,0,0,0
7071,4,0,0,0
7071,5,0,0,0
7071,9,,,
7072,1,0,0,0
7072,2,0,0,0
7072,3,0,0,0
7072,4,0,0,0
7072,5,0,0,0
7072,9,,,
7073,1,0,0,0
7073,2,0,0,0
7073,3,0,0,0
7073,4,0,0,0
7073,5,0,0,0
7073,9,,,
7074,1,0,0,0
7074,2,0,0,0
7074,3,0,0,0
7074,4,0,0,0
7074,5,0,0,0
7074,9,,,
7075,1,6,6,0
7075,2,0,0,0
7075,3,0,0,0
7075,4,0,0,0
7075,5,0,0,0
7075,9,,,
7076,1,5,5,0
7076,2,0,0,0
7076,3,0,0,0
7076,4,0,0,0
7076,5,0,0,0
7076,9,,,
7077,1,17,13,4
7077,2,0,0,0
7077,3,0,0,0
7077,4,0,0,0
7077,5,0,0,0
7077,9,,,
7078,1,205,152,53
7078,2,47,43,4
7078,3,0,0,0
7078,4,0,0,0
7078,5,0,0,0
7078,9,,,
7079,1,3,3,0
7079,2,0,0,0
7079,3,0,0,0
7079,4,0,0,0
7079,5,0,0,0
7079,9,,,
7080,1,0,0,0
7080,2,0,0,0
7080,3,0,0,0
7080,4,0,0,0
7080,5,0,0,0
7080,9,,,
7081,1,0,0,0
7081,2,0,0,0
7081,3,0,0,0
7081,4,0,0,0
7081,5,0,0,0
7081,9,,,
7082,1,0,0,0
7082,2,0,0,0
7082,3,0,0,0
7082,4,0,0,0
7082,5,0,0,0
7082,9,,,
7083,1,0,0,0
7083,2,0,0,0
7083,3,0,0,0
7083,4,0,0,0
7083,5,0,0,0
7083,9,,,
7084,1,0,0,0
7084,2,0,0,0
7084,3,0,0,0
7084,4,0,0,0
7084,5,0,0,0
7084,9,,,
7085,1,0,0,0
7085,2,0,0,0
7085,3,0,0,0
7085,4,0,0,0
7085,5,0,0,0
7085,9,,,
7086,1,0,0,0
7086,2,0,0,0
7086,3,0,0,0
7086,4,0,0,0
7086,5,0,0,0
7086,9,,,
7087,1,15,9,6
7087,2,0,0,0
7087,3,0,0,0
7087,4,0,0,0
7087,5,0,0,0
7087,9,,,
7088,1,2,2,0
7088,2,0,0,0
7088,3,0,0,0
7088,4,0,0,0
7088,5,0,0,0
7088,9,,,
7089,1,369,293,76
7089,2,0,0,0
7089,3,0,0,0
7089,4,0,0,0
7089,5,0,0,0
7089,9,,,
7090,1,6,4,2
7090,2,0,0,0
7090,3,0,0,0
7090,4,0,0,0
7090,5,0,0,0
7090,9,,,
7091,1,0,0,0
7091,2,0,0,0
7091,3,0,0,0
7091,4,0,0,0
7091,5,0,0,0
7091,9,,,
7092,1,0,0,0
7092,2,0,0,0
7092,3,0,0,0
7092,4,0,0,0
7092,5,0,0,0
7092,9,,,
7093,1,0,0,0
7093,2,0,0,0
7093,3,0,0,0
7093,4,0,0,0
7093,5,0,0,0
7093,9,,,
7094,1,0,0,0
7094,2,0,0,0
7094,3,0,0,0
7094,4,0,0,0
7094,5,0,0,0
7094,9,,,
7096,1,0,0,0
7096,2,0,0,0
7096,3,0,0,0
7096,4,0,0,0
7096,5,0,0,0
7096,9,,,
7097,1,5,2,3
7097,2,0,0,0
7097,3,0,0,0
7097,4,0,0,0
7097,5,0,0,0
7097,9,,,
7098,1,0,0,0
7098,2,0,0,0
7098,3,0,0,0
7098,4,0,0,0
7098,5,0,0,0
7098,9,,,
7099,1,20,16,4
7099,2,0,0,0
7099,3,0,0,0
7099,4,0,0,0
7099,5,0,0,0
7099,9,,,
7100,1,23,20,3
7100,2,0,0,0
7100,3,0,0,0
7100,4,0,0,0
7100,5,0,0,0
7100,9,,,
7101,1,722,563,159
7101,2,230,170,60
7101,3,0,0,0
7101,4,0,0,0
7101,5,0,0,0
7101,9,,,
7102,1,15,9,6
7102,2,1,1,0
7102,3,0,0,0
7102,4,0,0,0
7102,5,0,0,0
7102,9,,,
7103,1,0,0,0
7103,2,0,0,0
7103,3,0,0,0
7103,4,0,0,0
7103,5,0,0,0
7103,9,,,
7104,1,0,0,0
7104,2,0,0,0
7104,3,0,0,0
7104,4,0,0,0
7104,5,0,0,0
7104,9,,,
7105,1,0,0,0
7105,2,0,0,0
7105,3,0,0,0
7105,4,0,0,0
7105,5,0,0,0
7105,9,,,
7106,1,0,0,0
7106,2,0,0,0
7106,3,0,0,0
7106,4,0,0,0
7106,5,0,0,0
7106,9,,,
7107,1,0,0,0
7107,2,0,0,0
7107,3,0,0,0
7107,4,6,6,0
7107,5,0,0,0
7107,9,,,
7108,1,107,77,30
7108,2,0,0,0
7108,3,0,0,0
7108,4,0,0,0
7108,5,0,0,0
7108,9,,,
7109,1,0,0,0
7109,2,0,0,0
7109,3,0,0,0
7109,4,0,0,0
7109,5,0,0,0
7109,9,,,
7110,1,0,0,0
7110,2,0,0,0
7110,3,0,0,0
7110,4,0,0,0
7110,5,0,0,0
7110,9,,,
7111,1,3,3,0
7111,2,0,0,0
7111,3,0,0,0
7111,4,0,0,0
7111,5,0,0,0
7111,9,,,
7112,1,0,0,0
7112,2,0,0,0
7112,3,0,0,0
7112,4,0,0,0
7112,5,0,0,0
7112,9,,,
7113,1,0,0,0
7113,2,0,0,0
7113,3,0,0,0
7113,4,0,0,0
7113,5,0,0,0
7113,9,,,
7114,1,3,2,1
7114,2,0,0,0
7114,3,0,0,0
7114,4,0,0,0
7114,5,0,0,0
7114,9,,,
7115,1,0,0,0
7115,2,0,0,0
7115,3,0,0,0
7115,4,0,0,0
7115,5,0,0,0
7115,9,,,
7116,1,0,0,0
7116,2,0,0,0
7116,3,0,0,0
7116,4,0,0,0
7116,5,0,0,0
7116,9,,,
7117,1,0,0,0
7117,2,0,0,0
7117,3,0,0,0
7117,4,0,0,0
7117,5,0,0,0
7117,9,,,
7118,1,0,0,0
7118,2,0,0,0
7118,3,0,0,0
7118,4,0,0,0
7118,5,0,0,0
7118,9,,,
7119,1,0,0,0
7119,2,0,0,0
7119,3,0,0,0
7119,4,0,0,0
7119,5,0,0,0
7119,9,,,
7120,1,0,0,0
7120,2,0,0,0
7120,3,0,0,0
7120,4,0,0,0
7120,5,0,0,0
7120,9,,,
7121,1,0,0,0
7121,2,0,0,0
7121,3,0,0,0
7121,4,0,0,0
7121,5,0,0,0
7121,9,,,
7122,1,0,0,0
7122,2,0,0,0
7122,3,0,0,0
7122,4,10,8,2
7122,5,0,0,0
7122,9,,,
7123,1,5,5,0
7123,2,0,0,0
7123,3,0,0,0
7123,4,0,0,0
7123,5,0,0,0
7123,9,,,
7124,1,0,0,0
7124,2,0,0,0
7124,3,0,0,0
7124,4,0,0,0
7124,5,0,0,0
7124,9,,,
7125,1,0,0,0
7125,2,0,0,0
7125,3,0,0,0
7125,4,0,0,0
7125,5,0,0,0
7125,9,,,
8001,1,0,0,0
8001,2,0,0,0
8001,3,0,0,0
8001,4,23,21,2
8001,5,0,0,0
8001,9,,,
8002,1,26,20,6
8002,2,0,0,0
8002,3,0,0,0
8002,4,0,0,0
8002,5,0,0,0
8002,9,,,
8003,1,8,7,1
8003,2,1,1,0
8003,3,0,0,0
8003,4,0,0,0
8003,5,0,0,0
8003,9,,,
8004,1,25,14,11
8004,2,0,0,0
8004,3,0,0,0
8004,4,0,0,0
8004,5,0,0,0
8004,9,,,
8005,1,10,8,2
8005,2,0,0,0
8005,3,0,0,0
8005,4,0,0,0
8005,5,0,0,0
8005,9,,,
8006,1,0,0,0
8006,2,0,0,0
8006,3,0,0,0
8006,4,0,0,0
8006,5,0,0,0
8006,9,,,
8007,1,10,9,1
8007,2,0,0,0
8007,3,0,0,0
8007,4,0,0,0
8007,5,0,0,0
8007,9,,,
8008,1,6,6,0
8008,2,0,0,0
8008,3,0,0,0
8008,4,0,0,0
8008,5,0,0,0
8008,9,,,
8009,1,0,0,0
8009,2,0,0,0
8009,3,0,0,0
8009,4,0,0,0
8009,5,0,0,0
8009,9,,,
8010,1,30,29,1
8010,2,0,0,0
8010,3,0,0,0
8010,4,0,0,0
8010,5,0,0,0
8010,9,,,
8011,1,64,56,8
8011,2,0,0,0
8011,3,0,0,0
8011,4,0,0,0
