ubicageo_f,listtema_o,norealiz,accfor1,accfor2,sexostt,sexos1,sexosne
1006,108,NA,NA,NA,NA,NA,1
1006,201,2,2,6,0,6,
1006,202,NA,NA,NA,NA,NA,1
1006,203,NA,NA,NA,NA,NA,1
1006,204,NA,NA,NA,NA,NA,1
1006,205,2,2,7,4,3,
1006,206,NA,NA,NA,NA,NA,1
1006,207,NA,NA,NA,NA,NA,1
1006,301,NA,NA,NA,NA,NA,1
1006,302,NA,NA,NA,NA,NA,1
1006,303,NA,NA,NA,NA,NA,1
1006,304,NA,NA,NA,NA,NA,1
1006,305,NA,NA,NA,NA,NA,1
1006,306,NA,NA,NA,NA,NA,1
1006,307,NA,NA,NA,NA,NA,1
1006,308,NA,NA,NA,NA,NA,1
1006,309,NA,NA,NA,NA,NA,1
1006,310,NA,NA,NA,NA,NA,1
1006,400,NA,NA,NA,NA,NA,1
1006,500,NA,NA,NA,NA,NA,1
1006,600,13,13,41,16,25,
1007,101,NA,NA,NA,NA,NA,1
1007,102,NA,NA,NA,NA,NA,1
1007,103,NA,NA,NA,NA,NA,1
1007,104,NA,NA,NA,NA,NA,1
1007,105,NA,NA,NA,NA,NA,1
1007,106,NA,NA,NA,NA,NA,1
1007,107,NA,NA,NA,NA,NA,1
1007,108,NA,NA,NA,NA,NA,1
1007,201,28,28,28,20,8,
1007,202,NA,NA,NA,NA,NA,1
1007,203,NA,NA,NA,NA,NA,1
1007,204,NA,NA,NA,NA,NA,1
1007,205,NA,NA,NA,NA,NA,1
1007,206,NA,NA,NA,NA,NA,1
1007,207,NA,NA,NA,NA,NA,1
1007,301,NA,NA,NA,NA,NA,1
1007,302,NA,NA,NA,NA,NA,1
1007,303,NA,NA,NA,NA,NA,1
1007,304,NA,NA,NA,NA,NA,1
1007,305,NA,NA,NA,NA,NA,1
1007,306,NA,NA,NA,NA,NA,1
1007,307,NA,NA,NA,NA,NA,1
1007,308,NA,NA,NA,NA,NA,1
1007,309,NA,NA,NA,NA,NA,1
1007,310,NA,NA,NA,NA,NA,1
1007,400,NA,NA,NA,NA,NA,1
1007,500,NA,NA,NA,NA,NA,1
1007,600,16,16,16,11,5,
1008,101,NA,NA,NA,NA,NA,1
1008,102,NA,NA,NA,NA,NA,1
1008,103,NA,NA,NA,NA,NA,1
1008,104,NA,NA,NA,NA,NA,1
1008,105,NA,NA,NA,NA,NA,1
1008,106,NA,NA,NA,NA,NA,1
1008,107,NA,NA,NA,NA,NA,1
1008,108,NA,NA,NA,NA,NA,1
1008,201,NA,NA,NA,NA,NA,1
1008,202,NA,NA,NA,NA,NA,1
1008,203,NA,NA,NA,NA,NA,1
1008,204,NA,NA,NA,NA,NA,1
1008,205,2,2,4,3,1,
1008,206,NA,NA,NA,NA,NA,1
1008,207,NA,NA,NA,NA,NA,1
1008,301,NA,NA,NA,NA,NA,1
1008,302,NA,NA,NA,NA,NA,1
1008,303,NA,NA,NA,NA,NA,1
1008,304,NA,NA,NA,NA,NA,1
1008,305,NA,NA,NA,NA,NA,1
1008,306,NA,NA,NA,NA,NA,1
1008,307,NA,NA,NA,NA,NA,1
1008,308,NA,NA,NA,NA,NA,1
1008,309,NA,NA,NA,NA,NA,1
1008,310,NA,NA,NA,NA,NA,1
1008,400,NA,NA,NA,NA,NA,1
1008,500,NA,NA,NA,NA,NA,1
1008,600,7,7,19,13,6,
1009,101,NA,NA,NA,NA,NA,1
1009,102,NA,NA,NA,NA,NA,1
1009,103,NA,NA,NA,NA,NA,1
1009,104,NA,NA,NA,NA,NA,1
1009,105,NA,NA,NA,NA,NA,1
1009,106,NA,NA,NA,NA,NA,1
1009,107,NA,NA,NA,NA,NA,1
1009,108,NA,NA,NA,NA,NA,1
1009,201,NA,NA,NA,NA,NA,1
1009,202,NA,NA,NA,NA,NA,1
1009,203,NA,NA,NA,NA,NA,1
1009,204,NA,NA,NA,NA,NA,1
1009,205,3,3,3,2,1,
1009,206,NA,NA,NA,NA,NA,1
1009,207,NA,NA,NA,NA,NA,1
1009,301,NA,NA,NA,NA,NA,1
1009,302,NA,NA,NA,NA,NA,1
1009,303,NA,NA,NA,NA,NA,1
1009,304,NA,NA,NA,NA,NA,1
1009,305,NA,NA,NA,NA,NA,1
