ARCHIVO,CONTENIDO
m3s2p57a,"Vehículos reportados como robados y vehículos recuperados por la institución encargada de la función de seguridad pública, según tipo, durante el año 2021."
m3s2p57b,"Vehículos reportados como robados y vehículos recuperados por la institución encargada de la función de seguridad pública, según tipo, durante el año 2022."
m3s2p58,"Bienes reportados como robados y bienes recuperados por la institución encargada de la función de seguridad pública, según tipo de bien y unidad de medida, durante el año 2022."
m3s2p59,"Animales reportados como robados y animales recuperados por la institución encargada de la función de seguridad pública, según tipo, durante el año 2022."
