ubicageo_f,funcsepu_a,sexostt,sexos1,sexos2
7033,4,0,0,0
7034,1,0,0,0
7034,2,45,40,5
7034,3,0,0,0
7034,4,0,0,0
7035,1,0,0,0
7035,2,27,13,14
7035,3,0,0,0
7035,4,0,0,0
7036,1,0,0,0
7036,2,22,20,2
7036,3,0,0,0
7036,4,0,0,0
7037,1,0,0,0
7037,2,57,44,13
7037,3,0,0,0
7037,4,0,0,0
7038,1,0,0,0
7038,2,22,19,3
7038,3,0,0,0
7038,4,0,0,0
7039,1,0,0,0
7039,2,1,0,1
7039,3,0,0,0
7039,4,0,0,0
7040,1,0,0,0
7040,2,121,104,17
7040,3,0,0,0
7040,4,0,0,0
7041,1,0,0,0
7041,2,38,34,4
7041,3,0,0,0
7041,4,0,0,0
7042,1,0,0,0
7042,2,27,14,13
7042,3,0,0,0
7042,4,0,0,0
7043,1,0,0,0
7043,2,23,14,9
7043,3,0,0,0
7043,4,0,0,0
7044,1,0,0,0
7044,2,68,58,10
7044,3,0,0,0
7044,4,0,0,0
7045,1,0,0,0
7045,2,19,18,1
7045,3,0,0,0
7045,4,0,0,0
7046,1,0,0,0
7046,2,60,42,18
7046,3,0,0,0
7046,4,0,0,0
7047,1,0,0,0
7047,2,33,29,4
7047,3,0,0,0
7047,4,0,0,0
7048,1,0,0,0
7048,2,58,48,10
7048,3,0,0,0
7048,4,0,0,0
7049,1,0,0,0
7049,2,1,0,1
7049,3,0,0,0
7049,4,0,0,0
7050,1,0,0,0
7050,2,18,12,6
7050,3,0,0,0
7050,4,0,0,0
7051,1,0,0,0
7051,2,57,39,18
7051,3,0,0,0
7051,4,0,0,0
7052,1,0,0,0
7052,2,0,0,0
7052,3,172,135,37
7052,4,0,0,0
7053,1,0,0,0
7053,2,10,8,2
7053,3,0,0,0
7053,4,0,0,0
7054,1,0,0,0
7054,2,46,36,10
7054,3,0,0,0
7054,4,0,0,0
7055,1,0,0,0
7055,2,20,13,7
7055,3,0,0,0
7055,4,0,0,0
7056,1,0,0,0
7056,2,26,26,0
7056,3,0,0,0
7056,4,0,0,0
7057,1,0,0,0
7057,2,107,76,31
7057,3,0,0,0
7057,4,0,0,0
7058,1,0,0,0
7058,2,17,17,0
7058,3,0,0,0
7058,4,0,0,0
7059,1,0,0,0
7059,2,147,114,33
7059,3,0,0,0
7059,4,0,0,0
7060,1,0,0,0
7060,2,29,21,8
7060,3,0,0,0
7060,4,0,0,0
7061,1,0,0,0
7061,2,1,1,0
7061,3,0,0,0
7061,4,0,0,0
7062,1,0,0,0
7062,2,38,31,7
7062,3,0,0,0
7062,4,0,0,0
7063,1,0,0,0
7063,2,14,11,3
7063,3,0,0,0
7063,4,0,0,0
7064,1,0,0,0
7064,2,36,29,7
7064,3,0,0,0
7064,4,0,0,0
7065,1,0,0,0
7065,2,156,116,40
7065,3,0,0,0
7065,4,8,7,1
7066,1,0,0,0
7066,2,17,17,0
7066,3,0,0,0
7066,4,0,0,0
7067,1,0,0,0
7067,2,27,17,10
7067,3,0,0,0
7067,4,0,0,0
7068,1,0,0,0
7068,2,50,36,14
7068,3,0,0,0
7068,4,0,0,0
7069,1,0,0,0
7069,2,109,71,38
7069,3,0,0,0
7069,4,0,0,0
7070,1,0,0,0
7070,2,22,21,1
7070,3,0,0,0
7070,4,0,0,0
7071,1,0,0,0
7071,2,62,52,10
7071,3,0,0,0
7071,4,0,0,0
7072,1,0,0,0
7072,2,22,16,6
7072,3,0,0,0
7072,4,0,0,0
7073,1,0,0,0
7073,2,14,10,4
7073,3,0,0,0
7073,4,0,0,0
7074,1,0,0,0
7074,2,70,57,13
7074,3,0,0,0
7074,4,0,0,0
7075,1,0,0,0
7075,2,42,37,5
7075,3,0,0,0
7075,4,0,0,0
7076,1,0,0,0
7076,2,39,37,2
7076,3,0,0,0
7076,4,0,0,0
7077,1,0,0,0
7077,2,79,65,14
7077,3,0,0,0
7077,4,0,0,0
7078,1,0,0,0
7078,2,437,325,112
7078,3,0,0,0
7078,4,0,0,0
7079,1,0,0,0
7079,2,37,29,8
7079,3,0,0,0
7079,4,0,0,0
7080,1,0,0,0
7080,2,24,20,4
7080,3,0,0,0
7080,4,0,0,0
7081,1,0,0,0
7081,2,1,1,0
7081,3,0,0,0
7081,4,0,0,0
7082,1,0,0,0
7082,2,21,13,8
7082,3,0,0,0
7082,4,0,0,0
7083,1,0,0,0
7083,2,30,25,5
7083,3,0,0,0
7083,4,0,0,0
7084,1,0,0,0
7084,2,19,12,7
7084,3,0,0,0
7084,4,0,0,0
7085,1,0,0,0
7085,2,0,0,0
7085,3,0,0,0
7085,4,0,0,0
7086,1,0,0,0
7086,2,58,47,11
7086,3,0,0,0
7086,4,0,0,0
7087,1,0,0,0
7087,2,121,98,23
7087,3,0,0,0
7087,4,0,0,0
7088,1,0,0,0
7088,2,0,0,0
7088,3,0,0,0
7088,4,0,0,0
7089,1,0,0,0
7089,2,697,501,196
7089,3,0,0,0
7089,4,0,0,0
7090,1,0,0,0
7090,2,17,11,6
7090,3,0,0,0
7090,4,0,0,0
7091,1,0,0,0
7091,2,49,30,19
7091,3,0,0,0
7091,4,0,0,0
7092,1,0,0,0
7092,2,66,41,25
7092,3,0,0,0
7092,4,0,0,0
7093,1,0,0,0
7093,2,45,43,2
7093,3,0,0,0
7093,4,0,0,0
7094,1,0,0,0
7094,2,44,40,4
7094,3,0,0,0
7094,4,0,0,0
7096,1,0,0,0
7096,2,0,0,0
7096,3,0,0,0
7096,4,0,0,0
7097,1,0,0,0
7097,2,148,111,37
7097,3,0,0,0
7097,4,0,0,0
7098,1,0,0,0
7098,2,19,17,2
7098,3,0,0,0
7098,4,0,0,0
7099,1,0,0,0
7099,2,83,72,11
7099,3,0,0,0
7099,4,0,0,0
7100,1,0,0,0
7100,2,49,42,7
7100,3,0,0,0
7100,4,0,0,0
7101,1,0,0,0
7101,2,0,0,0
7101,3,9,5,4
7101,4,0,0,0
7102,1,0,0,0
7102,2,60,45,15
7102,3,0,0,0
7102,4,0,0,0
7103,1,0,0,0
7103,2,65,42,23
7103,3,0,0,0
7103,4,0,0,0
7104,1,0,0,0
7104,2,42,37,5
7104,3,0,0,0
7104,4,0,0,0
7105,1,0,0,0
7105,2,37,21,16
7105,3,0,0,0
7105,4,0,0,0
7106,1,0,0,0
7106,2,114,94,20
7106,3,0,0,0
7106,4,0,0,0
7107,1,0,0,0
7107,2,72,64,8
7107,3,0,0,0
7107,4,0,0,0
7108,1,0,0,0
7108,2,141,98,43
7108,3,0,0,0
7108,4,0,0,0
7109,1,0,0,0
7109,2,53,48,5
7109,3,0,0,0
7109,4,0,0,0
7110,1,0,0,0
7110,2,0,0,0
7110,3,0,0,0
7110,4,0,0,0
7111,1,0,0,0
7111,2,14,14,0
7111,3,0,0,0
7111,4,0,0,0
7112,1,0,0,0
7112,2,36,32,4
7112,3,0,0,0
7112,4,0,0,0
7113,1,0,0,0
7113,2,10,9,1
7113,3,0,0,0
7113,4,0,0,0
7114,1,2,0,2
7114,2,2,0,2
7114,3,2,2,0
7114,4,4,4,0
7115,1,0,0,0
7115,2,22,16,6
7115,3,0,0,0
7115,4,0,0,0
7116,1,0,0,0
7116,2,21,12,9
7116,3,0,0,0
7116,4,0,0,0
7117,1,0,0,0
7117,2,18,13,5
7117,3,0,0,0
7117,4,0,0,0
7118,1,0,0,0
7118,2,16,16,0
7118,3,0,0,0
7118,4,0,0,0
7119,1,0,0,0
7119,2,0,0,0
7119,3,0,0,0
7119,4,0,0,0
7120,1,0,0,0
7120,2,7,5,2
7120,3,0,0,0
7120,4,0,0,0
7121,1,0,0,0
7121,2,40,40,0
7121,3,0,0,0
7121,4,0,0,0
7122,1,0,0,0
7122,2,0,0,0
7122,3,0,0,0
7122,4,0,0,0
7123,1,0,0,0
7123,2,23,22,1
7123,3,0,0,0
7123,4,0,0,0
7124,1,0,0,0
7124,2,0,0,0
7124,3,0,0,0
7124,4,0,0,0
7125,1,0,0,0
7125,2,26,16,10
7125,3,0,0,0
7125,4,0,0,0
8001,1,0,0,0
8001,2,25,23,2
8001,3,0,0,0
8001,4,0,0,0
8002,1,0,0,0
8002,2,34,25,9
8002,3,0,0,0
8002,4,0,0,0
8003,1,0,0,0
8003,2,16,14,2
8003,3,0,0,0
8003,4,0,0,0
8004,1,0,0,0
8004,2,25,14,11
8004,3,0,0,0
8004,4,0,0,0
8005,1,0,0,0
8005,2,23,17,6
8005,3,0,0,0
8005,4,0,0,0
8006,1,0,0,0
8006,2,0,0,0
8006,3,0,0,0
8006,4,0,0,0
8007,1,0,0,0
8007,2,17,14,3
8007,3,0,0,0
8007,4,0,0,0
8008,1,0,0,0
8008,2,8,8,0
8008,3,0,0,0
8008,4,0,0,0
8009,1,0,0,0
8009,2,0,0,0
8009,3,0,0,0
8009,4,0,0,0
8010,1,0,0,0
8010,2,42,40,2
8010,3,0,0,0
8010,4,0,0,0
8011,1,0,0,0
8011,2,77,68,9
8011,3,0,0,0
8011,4,0,0,0
8012,1,0,0,0
8012,2,12,10,2
8012,3,0,0,0
8012,4,0,0,0
8013,1,0,0,0
8013,2,25,23,2
8013,3,0,0,0
8013,4,0,0,0
8014,1,0,0,0
8014,2,0,0,0
8014,3,0,0,0
8014,4,0,0,0
8015,1,0,0,0
8015,2,0,0,0
8015,3,0,0,0
8015,4,0,0,0
8016,1,0,0,0
8016,2,14,14,0
8016,3,0,0,0
8016,4,0,0,0
8017,1,2,2,0
8017,2,90,60,30
8017,3,5,3,2
8017,4,82,55,27
8018,1,0,0,0
8018,2,15,12,3
8018,3,0,0,0
8018,4,0,0,0
8019,1,NSS,NSS,NSS
8019,2,NSS,NSS,NSS
8019,3,NSS,NSS,NSS
8019,4,NSS,NSS,NSS
8020,1,0,0,0
8020,2,15,15,0
8020,3,0,0,0
8020,4,0,0,0
8021,1,5,4,1
8021,2,8,4,4
8021,3,158,115,43
8021,4,17,17,0
8022,1,0,0,0
8022,2,8,8,0
8022,3,0,0,0
8022,4,0,0,0
8023,1,0,0,0
8023,2,0,0,0
8023,3,0,0,0
8023,4,0,0,0
8024,1,0,0,0
8024,2,10,9,1
8024,3,0,0,0
8024,4,0,0,0
8025,1,0,0,0
8025,2,0,0,0
8025,3,0,0,0
8025,4,0,0,0
8026,1,0,0,0
8026,2,11,10,1
8026,3,0,0,0
8026,4,0,0,0
8027,1,0,0,0
8027,2,50,40,10
8027,3,0,0,0
8027,4,0,0,0
8028,1,0,0,0
8028,2,0,0,0
8028,3,0,0,0
8028,4,0,0,0
8029,1,0,0,0
8029,2,40,35,5
8029,3,0,0,0
8029,4,0,0,0
8030,1,0,0,0
8030,2,15,13,2
8030,3,15,13,2
8030,4,15,13,2
8031,1,0,0,0
8031,2,29,21,8
8031,3,0,0,0
8031,4,0,0,0
8032,1,NSS,NSS,NSS
8032,2,NSS,NSS,NSS
8032,3,NSS,NSS,NSS
8032,4,NSS,NSS,NSS
8033,1,0,0,0
8033,2,13,11,2
8033,3,0,0,0
8033,4,0,0,0
8034,1,0,0,0
8034,2,0,0,0
8034,3,0,0,0
8034,4,0,0,0
8035,1,0,0,0
8035,2,15,13,2
8035,3,0,0,0
8035,4,0,0,0
8036,1,0,0,0
8036,2,46,43,3
8036,3,0,0,0
8036,4,0,0,0
8037,1,46,13,33
8037,2,2153,1513,640
8037,3,121,61,60
8037,4,49,36,13
8038,1,0,0,0
8038,2,10,8,2
8038,3,0,0,0
8038,4,0,0,0
8039,1,0,0,0
8039,2,13,12,1
8039,3,0,0,0
8039,4,0,0,0
8040,1,0,0,0
8040,2,33,28,5
8040,3,0,0,0
8040,4,0,0,0
8041,1,0,0,0
8041,2,12,12,0
8041,3,0,0,0
8041,4,0,0,0
8042,1,0,0,0
8042,2,7,7,0
8042,3,0,0,0
8042,4,0,0,0
8043,1,0,0,0
8043,2,5,4,1
8043,3,0,0,0
8043,4,0,0,0
8044,1,0,0,0
8044,2,6,6,0
8044,3,0,0,0
8044,4,0,0,0
8045,1,0,0,0
8045,2,96,79,17
8045,3,0,0,0
8045,4,0,0,0
8046,1,0,0,0
8046,2,6,6,0
8046,3,0,0,0
8046,4,0,0,0
8047,1,0,0,0
8047,2,2,2,0
8047,3,0,0,0
8047,4,0,0,0
8048,1,0,0,0
8048,2,34,33,1
8048,3,0,0,0
8048,4,0,0,0
8049,1,0,0,0
8049,2,2,2,0
8049,3,2,2,0
8049,4,0,0,0
8050,1,0,0,0
8050,2,111,76,35
8050,3,0,0,0
8050,4,0,0,0
8051,1,0,0,0
8051,2,9,8,1
8051,3,0,0,0
8051,4,0,0,0
8052,1,0,0,0
8052,2,16,14,2
8052,3,0,0,0
8052,4,0,0,0
8053,1,0,0,0
8053,2,0,0,0
8053,3,0,0,0
8053,4,0,0,0
8054,1,0,0,0
8054,2,0,0,0
8054,3,0,0,0
8054,4,9,8,1
8055,1,0,0,0
8055,2,46,34,12
8055,3,0,0,0
8055,4,0,0,0
8056,1,0,0,0
8056,2,4,4,0
8056,3,0,0,0
8056,4,0,0,0
8057,1,0,0,0
8057,2,6,5,1
8057,3,0,0,0
8057,4,0,0,0
8058,1,0,0,0
8058,2,12,12,0
8058,3,0,0,0
8058,4,0,0,0
8059,1,0,0,0
8059,2,23,16,7
8059,3,0,0,0
8059,4,0,0,0
8060,1,0,0,0
8060,2,30,24,6
8060,3,0,0,0
8060,4,0,0,0
8061,1,0,0,0
8061,2,2,0,2
8061,3,0,0,0
8061,4,0,0,0
8062,1,0,0,0
8062,2,0,0,0
8062,3,50,46,4
8062,4,0,0,0
8063,1,0,0,0
8063,2,7,4,3
8063,3,0,0,0
8063,4,0,0,0
8064,1,0,0,0
8064,2,6,6,0
8064,3,0,0,0
8064,4,0,0,0
8065,1,0,0,0
8065,2,56,54,2
8065,3,0,0,0
8065,4,0,0,0
8066,1,0,0,0
8066,2,12,10,2
8066,3,0,0,0
8066,4,0,0,0
8067,1,0,0,0
8067,2,0,0,0
8067,3,4,4,0
8067,4,5,5,0
9002,1,NA,NA,NA
9002,2,NA,NA,NA
9002,3,NA,NA,NA
9002,4,NA,NA,NA
9003,1,NA,NA,NA
9003,2,NA,NA,NA
9003,3,NA,NA,NA
9003,4,NA,NA,NA
9004,1,NA,NA,NA
9004,2,NA,NA,NA
9004,3,NA,NA,NA
9004,4,NA,NA,NA
9005,1,NA,NA,NA
9005,2,NA,NA,NA
9005,3,NA,NA,NA
9005,4,NA,NA,NA
9006,1,NA,NA,NA
9006,2,NA,NA,NA
9006,3,NA,NA,NA
9006,4,NA,NA,NA
9007,1,NA,NA,NA
9007,2,NA,NA,NA
9007,3,NA,NA,NA
9007,4,NA,NA,NA
9008,1,NA,NA,NA
9008,2,NA,NA,NA
9008,3,NA,NA,NA
9008,4,NA,NA,NA
9009,1,NA,NA,NA
9009,2,NA,NA,NA
9009,3,NA,NA,NA
9009,4,NA,NA,NA
9010,1,NA,NA,NA
9010,2,NA,NA,NA
9010,3,NA,NA,NA
9010,4,NA,NA,NA
9011,1,NA,NA,NA
9011,2,NA,NA,NA
9011,3,NA,NA,NA
9011,4,NA,NA,NA
9012,1,NA,NA,NA
9012,2,NA,NA,NA
9012,3,NA,NA,NA
9012,4,NA,NA,NA
9013,1,NA,NA,NA
9013,2,NA,NA,NA
9013,3,NA,NA,NA
9013,4,NA,NA,NA
9014,1,NA,NA,NA
9014,2,NA,NA,NA
9014,3,NA,NA,NA
9014,4,NA,NA,NA
9015,1,NA,NA,NA
9015,2,NA,NA,NA
9015,3,NA,NA,NA
9015,4,NA,NA,NA
9016,1,NA,NA,NA
9016,2,NA,NA,NA
9016,3,NA,NA,NA
9016,4,NA,NA,NA
9017,1,NA,NA,NA
9017,2,NA,NA,NA
9017,3,NA,NA,NA
9017,4,NA,NA,NA
10001,1,0,0,0
10001,2,0,0,0
10001,3,0,0,0
10001,4,37,32,5
10002,1,0,0,0
10002,2,0,0,0
10002,3,4,4,0
10002,4,0,0,0
10003,1,0,0,0
10003,2,6,6,0
10003,3,0,0,0
10003,4,0,0,0
10004,1,0,0,0
10004,2,17,13,4
10004,3,0,0,0
10004,4,0,0,0
10005,1,0,0,0
10005,2,697,498,199
10005,3,0,0,0
10005,4,0,0,0
10006,1,0,0,0
10006,2,22,17,5
10006,3,0,0,0
10006,4,0,0,0
10007,1,0,0,0
10007,2,340,226,114
10007,3,0,0,0
10007,4,0,0,0
10008,1,0,0,0
10008,2,18,16,2
10008,3,0,0,0
10008,4,0,0,0
10009,1,0,0,0
10009,2,10,6,4
10009,3,0,0,0
10009,4,0,0,0
10010,1,0,0,0
10010,2,0,0,0
10010,3,5,3,2
10010,4,0,0,0
10011,1,0,0,0
10011,2,0,0,0
10011,3,4,4,0
10011,4,0,0,0
10012,1,0,0,0
10012,2,111,69,42
10012,3,0,0,0
10012,4,5,5,0
10013,1,0,0,0
10013,2,34,26,8
10013,3,0,0,0
10013,4,0,0,0
10014,1,0,0,0
10014,2,13,12,1
10014,3,11,9,2
10014,4,0,0,0
10015,1,0,0,0
10015,2,15,11,4
10015,3,0,0,0
10015,4,0,0,0
10016,1,0,0,0
10016,2,33,26,7
10016,3,0,0,0
10016,4,0,0,0
10017,1,0,0,0
