ubicageo_f,vehicttt,vehict1,vehict2,vehict3,vehict4,vehict5,vehict6,vehict7,vehict8,vehict9,vehictne
17036,1,0,1,0,0,0,0,0,0,0,
18001,9,0,4,5,0,0,0,0,0,0,
18002,2,0,2,0,0,0,0,0,0,0,
18003,4,0,4,0,0,0,0,0,0,0,
18004,11,0,7,4,0,0,0,0,0,0,
18005,3,0,3,0,0,0,0,0,0,0,
18006,4,1,3,0,0,0,0,0,0,0,
18007,7,0,4,1,2,0,0,0,0,0,
18008,11,0,7,4,0,0,0,0,0,0,
18009,6,0,6,0,0,0,0,0,0,0,
18010,12,1,0,11,0,0,0,0,0,0,
18011,1,0,1,0,0,0,0,0,0,0,
18012,7,1,4,2,0,0,0,0,0,0,
18013,3,0,3,0,0,0,0,0,0,0,
18014,6,0,5,0,0,0,0,0,0,1,
18015,8,0,6,2,0,0,0,0,0,0,
18016,5,0,0,5,0,0,0,0,0,0,
18017,130,13,40,49,22,0,0,0,0,6,
18018,5,1,2,2,0,0,0,0,0,0,
18019,4,0,4,0,0,0,0,0,0,0,
18020,45,8,30,7,0,0,0,0,0,0,
19001,5,2,3,0,0,0,0,0,0,0,
19002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19003,1,0,1,0,0,0,0,0,0,0,
19004,19,2,15,2,0,0,0,0,0,0,
19005,22,2,17,0,0,0,0,0,0,3,
19006,282,77,167,38,0,0,0,0,0,0,
19007,10,6,3,1,0,0,0,0,0,0,
19008,2,2,0,0,0,0,0,0,0,0,
19009,31,18,13,0,0,0,0,0,0,0,
19010,41,14,15,12,0,0,0,0,0,0,
19011,3,0,3,0,0,0,0,0,0,0,
19012,39,20,8,11,0,0,0,0,0,0,
19013,5,0,5,0,0,0,0,0,0,0,
19014,9,0,6,3,0,0,0,0,0,0,
19015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19016,11,3,4,2,2,0,0,0,0,0,
19017,11,2,7,2,0,0,0,0,0,0,
19018,170,70,61,27,10,0,0,0,2,0,
19019,340,117,43,37,24,0,0,0,0,119,
19020,15,5,8,1,0,0,0,0,0,0,1
19021,157,28,108,20,0,0,0,0,1,0,
19022,11,3,8,0,0,0,0,0,0,0,
19023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19024,5,0,2,0,3,0,0,0,0,0,
19025,6,0,6,0,0,0,0,0,0,0,
19026,188,43,101,17,25,0,0,0,0,2,
19027,3,1,2,0,0,0,0,0,0,0,
19028,2,0,2,0,0,0,0,0,0,0,
19029,17,3,9,3,2,0,0,0,0,0,
19030,3,0,3,0,0,0,0,0,0,0,
19031,77,17,60,0,0,0,0,0,0,0,
19032,6,2,2,0,2,0,0,0,0,0,
19033,12,0,12,0,0,0,0,0,0,0,
19034,5,0,5,0,0,0,0,0,0,0,
19035,4,1,3,0,0,0,0,0,0,0,
19036,4,0,4,0,0,0,0,0,0,0,
19037,1,0,1,0,0,0,0,0,0,0,
19038,39,8,19,6,6,0,0,0,0,0,
19039,1040,314,378,235,59,0,0,0,2,27,25
19040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19041,22,3,13,6,0,0,0,0,0,0,
19042,4,0,4,0,0,0,0,0,0,0,
19043,4,0,2,2,0,0,0,0,0,0,
19044,15,6,6,3,0,0,0,0,0,0,
19045,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
19046,210,113,62,13,20,0,0,0,0,2,
19047,5,2,3,0,0,0,0,0,0,0,
19048,81,13,35,23,10,0,0,0,0,0,
19049,45,16,22,6,0,0,0,1,0,0,
19050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19051,8,5,3,0,0,0,0,0,0,0,
20001,1,0,1,0,0,0,0,0,0,0,
20002,5,0,5,0,0,0,0,0,0,0,
20003,2,0,2,0,0,0,0,0,0,0,
20004,2,0,1,1,0,0,0,0,0,0,
20005,3,0,3,0,0,0,0,0,0,0,
20006,10,1,3,6,0,0,0,0,0,0,
20007,3,0,1,2,0,0,0,0,0,0,
20008,0,0,0,0,0,0,0,0,0,0,
20009,1,0,1,0,0,0,0,0,0,0,
20010,2,0,2,0,0,0,0,0,0,0,
20011,1,0,1,0,0,0,0,0,0,0,
20012,3,0,2,1,0,0,0,0,0,0,
20013,5,1,1,3,0,0,0,0,0,0,
20014,3,1,2,0,0,0,0,0,0,0,
20015,1,0,1,0,0,0,0,0,0,0,
20016,2,0,2,0,0,0,0,0,0,0,
20017,1,0,1,0,0,0,0,0,0,0,
20018,1,0,1,0,0,0,0,0,0,0,
20019,1,0,1,0,0,0,0,0,0,0,
20020,3,0,2,1,0,0,0,0,0,0,
20021,8,0,3,5,0,0,0,0,0,0,
20022,1,0,1,0,0,0,0,0,0,0,
20023,7,1,2,4,0,0,0,0,0,0,
20024,0,0,0,0,0,0,0,0,0,0,
20025,6,0,2,4,0,0,0,0,0,0,
20026,1,0,1,0,0,0,0,0,0,0,
20027,1,0,1,0,0,0,0,0,0,0,
20028,7,0,5,2,0,0,0,0,0,0,
20029,1,0,1,0,0,0,0,0,0,0,
20030,8,0,3,5,0,0,0,0,0,0,
20031,4,0,4,0,0,0,0,0,0,0,
20032,1,0,1,0,0,0,0,0,0,0,
20033,4,0,3,1,0,0,0,0,0,0,
20034,3,0,3,0,0,0,0,0,0,0,
20035,3,0,3,0,0,0,0,0,0,0,
20036,0,0,0,0,0,0,0,0,0,0,
20037,4,0,2,2,0,0,0,0,0,0,
20038,1,0,1,0,0,0,0,0,0,0,
20039,39,20,0,19,0,0,0,0,0,0,
20040,2,0,2,0,0,0,0,0,0,0,
20041,5,1,2,2,0,0,0,0,0,0,
20042,2,0,0,2,0,0,0,0,0,0,
20043,32,5,12,15,0,0,0,0,0,0,
20044,3,0,2,1,0,0,0,0,0,0,
20045,2,0,2,0,0,0,0,0,0,0,
20046,1,0,1,0,0,0,0,0,0,0,
20047,0,0,0,0,0,0,0,0,0,0,
20048,1,0,1,0,0,0,0,0,0,0,
20049,2,0,1,1,0,0,0,0,0,0,
20050,0,0,0,0,0,0,0,0,0,0,
20051,2,0,2,0,0,0,0,0,0,0,
20052,3,0,1,2,0,0,0,0,0,0,
20053,3,0,1,2,0,0,0,0,0,0,
20054,1,0,1,0,0,0,0,0,0,0,
20055,3,0,3,0,0,0,0,0,0,0,
20056,1,1,0,0,0,0,0,0,0,0,
20057,9,0,5,4,0,0,0,0,0,0,
20058,1,0,1,0,0,0,0,0,0,0,
20059,10,2,3,5,0,0,0,0,0,0,
20060,1,0,1,0,0,0,0,0,0,0,
20061,0,0,0,0,0,0,0,0,0,0,
20062,1,0,1,0,0,0,0,0,0,0,
20063,9,0,3,5,0,0,0,0,0,1,
20064,3,0,1,2,0,0,0,0,0,0,
20065,1,0,1,0,0,0,0,0,0,0,
20066,2,0,2,0,0,0,0,0,0,0,
20067,238,17,49,172,0,0,0,0,0,0,
20068,10,0,3,7,0,0,0,0,0,0,
20069,0,0,0,0,0,0,0,0,0,0,
20070,2,0,2,0,0,0,0,0,0,0,
20071,1,0,1,0,0,0,0,0,0,0,
20072,1,0,1,0,0,0,0,0,0,0,
20073,8,0,4,4,0,0,0,0,0,0,
20074,0,0,0,0,0,0,0,0,0,0,
20075,10,0,4,6,0,0,0,0,0,0,
20076,1,0,1,0,0,0,0,0,0,0,
20077,2,0,2,0,0,0,0,0,0,0,
20078,2,0,2,0,0,0,0,0,0,0,
20079,19,0,10,7,0,0,0,0,2,0,
20080,1,0,1,0,0,0,0,0,0,0,
20081,2,0,2,0,0,0,0,0,0,0,
20082,3,0,2,1,0,0,0,0,0,0,
20083,7,2,2,2,0,0,0,0,0,0,1
20084,3,0,3,0,0,0,0,0,0,0,
20085,2,0,2,0,0,0,0,0,0,0,
20086,1,0,1,0,0,0,0,0,0,0,
20087,6,0,4,2,0,0,0,0,0,0,
20088,1,0,1,0,0,0,0,0,0,0,
20089,3,0,1,2,0,0,0,0,0,0,
20090,5,0,2,3,0,0,0,0,0,0,
20091,6,0,3,3,0,0,0,0,0,0,
20092,5,0,2,3,0,0,0,0,0,0,
20093,1,0,1,0,0,0,0,0,0,0,
20094,2,0,2,0,0,0,0,0,0,0,
