ubicageo_f,aniorefe_b,rnsnni1,totalca1,pudisptt,pudisp1,pudisp2,pudispne
7002,2,1,0,360,360,0,
7003,1,2,NA,NA,NA,NA,
7003,2,2,NA,NA,NA,NA,
7004,1,9,NSS,NSS,NSS,NSS,
7004,2,1,3,3,0,3,
7005,1,2,NA,NA,NA,NA,
7005,2,1,0,315,311,4,
7006,1,1,0,5,5,0,
7006,2,1,0,6,6,0,
7007,1,2,NA,NA,NA,NA,
7007,2,2,NA,NA,NA,NA,
7008,1,2,NA,NA,NA,NA,
7008,2,2,NA,NA,NA,NA,
7009,1,1,0,10,10,0,
7009,2,1,0,47,47,0,
7010,1,1,0,6,6,0,
7010,2,1,0,8,8,0,
7011,1,2,NA,NA,NA,NA,
7011,2,1,0,150,150,0,
7012,1,1,30,216,186,30,
7012,2,1,50,958,908,50,
7013,1,1,0,130,130,0,
7013,2,1,0,720,714,6,
7014,1,1,0,70,70,0,
7014,2,1,5,502,500,2,
7015,1,1,2,510,500,10,
7015,2,1,0,968,956,12,
7016,1,2,NA,NA,NA,NA,
7016,2,2,NA,NA,NA,NA,
7017,1,1,12,391,367,24,
7017,2,1,1,1130,1063,67,
7018,1,1,0,21,20,1,
7018,2,1,0,15,14,1,
7019,1,1,742,740,705,35,
7019,2,1,2862,2855,2800,55,
7020,1,1,0,37,36,1,
7020,2,1,0,96,93,3,
7021,1,1,0,119,115,4,
7021,2,1,0,429,407,22,
7022,1,1,0,48,48,0,
7022,2,1,0,112,112,0,
7023,1,1,0,14,13,1,
7023,2,1,0,16,15,1,
7024,1,1,5,15,0,15,
7024,2,1,4,10,0,10,
7025,1,9,NSS,NSS,NSS,NSS,
7025,2,1,30,30,30,0,
7026,1,1,0,56,56,0,
7026,2,1,0,226,226,0,
7027,1,1,NSS,1085,1074,11,
7027,2,1,0,927,912,15,
7028,1,2,NA,NA,NA,NA,
7028,2,1,0,60,60,0,
7029,1,2,NA,NA,NA,NA,
7029,2,1,0,27,27,0,
7030,1,1,30,30,30,0,
7030,2,1,101,101,100,1,
7031,1,1,0,3,0,3,
7031,2,1,0,7,0,7,
7032,1,1,23,120,106,14,
7032,2,1,19,101,95,6,
7033,1,1,0,12,12,0,
7033,2,1,0,35,35,0,
7034,1,1,90,90,90,0,
7034,2,1,996,996,996,0,
7035,1,1,3,0,0,0,
7035,2,1,22,3,0,3,
7036,1,2,NA,NA,NA,NA,
7036,2,1,0,50,50,0,
7037,1,9,NSS,NSS,NSS,NSS,
7037,2,1,20,66,55,11,
7038,1,2,NA,NA,NA,NA,
7038,2,1,0,8,8,0,
7039,1,1,0,40,40,0,
7039,2,1,1,66,64,2,
7040,1,2,NA,NA,NA,NA,
7040,2,1,20,2407,2272,135,
7041,1,2,NA,NA,NA,NA,
7041,2,1,0,1,0,1,
7042,1,1,2,158,134,24,
7042,2,1,1,54,53,1,
7043,1,9,NSS,NSS,NSS,NSS,
7043,2,1,0,79,70,9,
7044,1,1,15,15,0,15,
7044,2,1,32,32,0,32,
7045,1,2,NA,NA,NA,NA,
7045,2,2,NA,NA,NA,NA,
7046,1,1,0,318,303,15,
7046,2,1,0,244,236,8,
7047,1,2,NA,NA,NA,NA,
7047,2,2,NA,NA,NA,NA,
7048,1,1,3,3,0,3,
7048,2,1,7,2,0,2,
7049,1,1,0,3,3,0,
7049,2,1,0,5,5,0,
7050,1,9,NSS,NSS,NSS,NSS,
7050,2,9,NSS,NSS,NSS,NSS,
7051,1,1,1,275,274,1,
7051,2,1,0,578,577,1,
7052,1,1,0,390,360,30,
7052,2,1,0,2030,2016,14,
7053,1,1,0,38,38,0,
7053,2,1,0,40,40,0,
7054,1,1,2,2,0,2,
7054,2,1,22,22,3,19,
7055,1,1,0,1,0,1,
7055,2,1,3,4,0,4,
7056,1,2,NA,NA,NA,NA,
7056,2,2,NA,NA,NA,NA,
7057,1,1,1,830,785,45,
7057,2,1,1,917,852,65,
7058,1,2,NA,NA,NA,NA,
7058,2,1,0,46,46,0,
7059,1,9,NSS,NSS,NSS,NSS,
7059,2,1,0,1999,1963,36,
7060,1,1,0,75,75,0,
7060,2,1,0,450,450,0,
7061,1,9,NSS,NSS,NSS,NSS,
7061,2,1,0,1649,1605,44,
7062,1,2,NA,NA,NA,NA,
7062,2,2,NA,NA,NA,NA,
7063,1,2,NA,NA,NA,NA,
7063,2,1,27,27,27,0,
7064,1,2,NA,NA,NA,NA,
7064,2,9,NSS,NSS,NSS,NSS,
7065,1,1,0,2125,2000,125,
7065,2,1,0,1622,1500,122,
7066,1,9,NSS,NSS,NSS,NSS,
7066,2,2,NA,NA,NA,NA,
7067,1,2,NA,NA,NA,NA,
7067,2,1,0,50,50,0,
7068,1,2,NA,NA,NA,NA,
7068,2,2,NA,NA,NA,NA,
7069,1,2,NA,NA,NA,NA,
7069,2,1,125,95,64,31,
7070,1,1,0,140,140,0,
7070,2,1,0,164,164,0,
7071,1,2,NA,NA,NA,NA,
7071,2,1,5,6,0,6,
7072,1,1,50,50,40,10,
7072,2,1,180,180,160,20,
7073,1,1,1,51,50,1,
7073,2,1,0,293,288,5,
7074,1,2,NA,NA,NA,NA,
7074,2,1,20,20,0,20,
7075,1,1,0,80,80,0,
7075,2,1,0,100,100,0,
7076,1,1,0,4,0,4,
7076,2,1,0,5,0,5,
7077,1,9,NSS,NSS,NSS,NSS,
7077,2,9,NSS,NSS,NSS,NSS,
7078,1,1,82,2658,2364,294,
7078,2,1,64,3042,2844,198,
7079,1,2,NA,NA,NA,NA,
7079,2,1,2,569,569,0,
7080,1,9,NSS,NSS,NSS,NSS,
7080,2,1,0,499,499,0,
7081,1,1,0,859,859,0,
7081,2,1,0,576,576,0,
7082,1,2,NA,NA,NA,NA,
7082,2,1,0,1,0,1,
7083,1,2,NA,NA,NA,NA,
7083,2,1,50,50,50,0,
7084,1,2,NA,NA,NA,NA,
7084,2,1,0,4,4,0,
7085,1,2,NA,NA,NA,NA,
7085,2,1,0,25,25,0,
7086,1,1,0,154,154,0,
7086,2,1,0,680,680,0,
7087,1,1,50,2808,2772,36,
7087,2,1,32,1085,1027,58,
7088,1,2,NA,NA,NA,NA,
7088,2,2,NA,NA,NA,NA,
7089,1,1,190,12103,11652,451,
7089,2,1,281,11228,10875,353,
7090,1,1,0,4,4,0,
7090,2,1,0,12,12,0,
7091,1,2,NA,NA,NA,NA,
7091,2,2,NA,NA,NA,NA,
7092,1,2,NA,NA,NA,NA,
7092,2,1,1,342,331,11,
7093,1,2,NA,NA,NA,NA,
7093,2,2,NA,NA,NA,NA,
7094,1,9,NSS,NSS,NSS,NSS,
7094,2,1,107,107,107,0,
7096,1,1,0,4,0,4,
7096,2,1,0,5,0,5,
7097,1,1,0,456,435,21,
7097,2,1,0,927,915,12,
7098,1,1,5,5,5,0,
7098,2,1,8,8,8,0,
7099,1,1,27,27,27,0,
7099,2,1,70,70,70,0,
7100,1,1,0,6,0,6,
7100,2,1,1,3,0,3,
7101,1,1,13,6825,6471,354,
7101,2,1,7,6366,6031,335,
7102,1,1,15,43,0,43,
7102,2,1,8,55,0,55,
7103,1,1,0,54,52,2,
7103,2,1,0,70,67,3,
