ubicageo_f,aniorefe_b,rnsnni1,totalca1,pudisptt,pudisp1,pudisp2,pudispne
11045,1,9,NSS,NSS,NSS,NSS,
11045,2,9,NSS,NSS,NSS,NSS,
11046,1,1,45,16,NSS,16,
11046,2,1,77,18,NSS,18,
12001,1,1,29,1228,1048,180,
12001,2,1,72,961,773,188,
12002,1,2,NA,NA,NA,NA,
12002,2,2,NA,NA,NA,NA,
12003,1,2,NA,NA,NA,NA,
12003,2,2,NA,NA,NA,NA,
12004,1,2,NA,NA,NA,NA,
12004,2,2,NA,NA,NA,NA,
12005,1,2,NA,NA,NA,NA,
12005,2,2,NA,NA,NA,NA,
12006,1,2,NA,NA,NA,NA,
12006,2,2,NA,NA,NA,NA,
12007,1,2,NA,NA,NA,NA,
12007,2,2,NA,NA,NA,NA,
12008,1,1,5,135,126,9,
12008,2,1,3,186,178,8,
12009,1,1,0,1,0,1,
12009,2,1,0,2,2,0,
12010,1,1,0,30,30,0,
12010,2,1,0,20,20,0,
12011,1,1,1,212,211,1,
12011,2,1,1,294,292,2,
12012,1,2,NA,NA,NA,NA,
12012,2,1,0,49,49,0,
12013,1,1,1,1,0,1,
12013,2,1,1,1,0,1,
12014,1,2,NA,NA,NA,NA,
12014,2,1,1,1,0,1,
12015,1,1,0,1,0,1,
12015,2,1,1,10,8,2,
12016,1,2,NA,NA,NA,NA,
12016,2,2,NA,NA,NA,NA,
12017,1,2,NA,NA,NA,NA,
12017,2,2,NA,NA,NA,NA,
12018,1,1,0,1,0,1,
12018,2,1,0,10,10,0,
12019,1,1,0,49,49,0,
12019,2,1,1,158,157,1,
12020,1,2,NA,NA,NA,NA,
12020,2,2,NA,NA,NA,NA,
12021,1,9,NSS,NSS,NSS,NSS,
12021,2,1,0,202,195,7,
12022,1,2,NA,NA,NA,NA,
12022,2,1,1,1,0,1,
12023,1,1,0,37,37,0,
12023,2,1,0,118,118,0,
12024,1,1,0,7,6,1,
12024,2,1,0,5,4,1,
12025,1,1,0,5,5,0,
12025,2,1,1,39,39,0,
12026,1,2,NA,NA,NA,NA,
12026,2,2,NA,NA,NA,NA,
12027,1,2,NA,NA,NA,NA,
12027,2,2,NA,NA,NA,NA,
12028,1,1,0,350,350,0,
12028,2,1,0,339,339,0,
12029,1,1,34,1569,1494,75,
12029,2,1,14,696,636,60,
12030,1,1,2,12,10,2,
12030,2,1,1,16,15,1,
12031,1,2,NA,NA,NA,NA,
12031,2,2,NA,NA,NA,NA,
12032,1,2,NA,NA,NA,NA,
12032,2,1,1,14,13,1,
12033,1,2,NA,NA,NA,NA,
12033,2,1,0,92,86,6,
12034,1,1,0,25,25,0,
12034,2,1,1,183,182,1,
12035,1,2,NA,NA,NA,NA,
12035,2,2,NA,NA,NA,NA,
12036,1,2,NA,NA,NA,NA,
12036,2,1,0,89,89,0,
12037,1,2,NA,NA,NA,NA,
12037,2,2,NA,NA,NA,NA,
12038,1,1,0,1284,1234,50,
12038,2,1,0,1088,1012,76,
12039,1,1,0,6,6,0,
12039,2,1,0,15,8,7,
12040,1,1,0,1,0,1,
12040,2,2,NA,NA,NA,NA,
12041,1,2,NA,NA,NA,NA,
12041,2,1,0,15,15,0,
12042,1,2,NA,NA,NA,NA,
12042,2,1,0,5,3,2,
12043,1,2,NA,NA,NA,NA,
12043,2,2,NA,NA,NA,NA,
12044,1,2,NA,NA,NA,NA,
12044,2,1,0,10,10,0,
12045,1,1,1,0,0,0,
12045,2,1,2,2,0,2,
12046,1,1,0,5,5,0,
12046,2,1,0,229,229,0,
12047,1,2,NA,NA,NA,NA,
12047,2,2,NA,NA,NA,NA,
12048,1,1,2,2,2,0,
12048,2,1,79,79,74,5,
12049,1,2,NA,NA,NA,NA,
12049,2,1,1,7,2,5,
12050,1,1,0,9,9,0,
12050,2,1,0,41,40,1,
12051,1,1,1,4,1,3,
12051,2,1,1,2,0,2,
12052,1,1,0,60,60,0,
12052,2,1,0,90,90,0,
12053,1,1,0,185,185,0,
12053,2,1,0,311,311,0,
12054,1,2,NA,NA,NA,NA,
12054,2,2,NA,NA,NA,NA,
12055,1,1,NSS,0,0,0,
12055,2,1,NSS,285,285,0,
12056,1,1,0,25,20,5,
12056,2,1,0,67,63,4,
12057,1,1,2,56,54,2,
12057,2,1,0,302,302,0,
12058,1,2,NA,NA,NA,NA,
12058,2,2,NA,NA,NA,NA,
12059,1,1,0,24,24,0,
12059,2,1,1,104,103,1,
12060,1,2,NA,NA,NA,NA,
12060,2,2,NA,NA,NA,NA,
12061,1,1,0,1453,1449,4,
12061,2,1,0,1670,1662,8,
12062,1,1,0,69,69,0,
12062,2,1,0,135,135,0,
12063,1,2,NA,NA,NA,NA,
12063,2,1,0,41,41,0,
12064,1,2,NA,NA,NA,NA,
12064,2,2,NA,NA,NA,NA,
12065,1,2,NA,NA,NA,NA,
12065,2,2,NA,NA,NA,NA,
12066,1,1,NSS,NSS,NSS,NSS,
12066,2,1,0,387,NSS,2,385
12067,1,1,12,12,12,0,
12067,2,1,20,20,19,1,
12068,1,1,1,1,0,1,
12068,2,2,NA,NA,NA,NA,
12069,1,2,NA,NA,NA,NA,
12069,2,1,2,2,2,0,
12070,1,2,NA,NA,NA,NA,
12070,2,1,2,4,2,2,
12071,1,2,NA,NA,NA,NA,
12071,2,1,0,200,199,1,
12072,1,2,NA,NA,NA,NA,
12072,2,1,0,26,26,0,
12073,1,2,NA,NA,NA,NA,
12073,2,2,NA,NA,NA,NA,
12074,1,2,NA,NA,NA,NA,
12074,2,1,0,13,13,0,
12075,1,1,0,46,46,0,
12075,2,1,0,142,142,0,
12076,1,2,NA,NA,NA,NA,
12076,2,2,NA,NA,NA,NA,
12077,1,1,0,62,62,0,
12077,2,1,1,55,54,1,
12078,1,2,NA,NA,NA,NA,
12078,2,2,NA,NA,NA,NA,
12079,1,1,0,10,10,0,
12079,2,1,1,8,8,0,
12080,1,1,0,3,1,2,
12080,2,1,2,2,1,1,
12081,1,2,NA,NA,NA,NA,
12081,2,1,1,81,80,1,
12082,1,0,NA,NA,NA,NA,
12082,2,0,NA,NA,NA,NA,
12083,1,0,NA,NA,NA,NA,
12083,2,0,NA,NA,NA,NA,
12084,1,0,NA,NA,NA,NA,
12084,2,0,NA,NA,NA,NA,
12085,1,0,NA,NA,NA,NA,
12085,2,0,NA,NA,NA,NA,
13001,1,2,NA,NA,NA,NA,
13001,2,2,NA,NA,NA,NA,
13002,1,1,17,110,109,1,
13002,2,1,20,149,142,7,
13003,1,1,115,1464,1366,98,
13003,2,1,250,1313,1246,67,
13004,1,1,1,66,65,1,
13004,2,1,1,77,76,1,
13005,1,1,23,79,70,9,
13005,2,1,42,68,63,5,
13006,1,1,1,61,58,3,
13006,2,1,1,68,65,3,
13007,1,1,7,98,88,10,
13007,2,1,15,135,118,17,
13008,1,1,79,521,479,42,
13008,2,1,112,445,385,60,
13009,1,1,50,142,132,10,
13009,2,1,160,175,167,8,
13010,1,2,NA,NA,NA,NA,
13010,2,1,180,491,449,42,
13011,1,1,0,118,112,6,
13011,2,1,0,181,164,17,
13012,1,1,2,322,319,3,
13012,2,1,9,267,263,4,
13013,1,1,68,368,334,34,
13013,2,1,128,619,552,67,
13014,1,1,0,61,59,2,
13014,2,1,0,59,57,2,
13015,1,1,13,59,54,5,
13015,2,1,13,46,45,1,
13016,1,9,NSS,NSS,NSS,NSS,
13016,2,1,39,267,265,2,
13017,1,2,NA,NA,NA,NA,
13017,2,1,14,37,32,5,
13018,1,1,0,175,115,60,
13018,2,1,0,167,112,55,
13019,1,1,9,85,72,13,
13019,2,1,7,79,71,8,
13020,1,1,0,17,17,0,
13020,2,1,0,7,7,0,
13021,1,1,13,350,300,50,
13021,2,1,97,214,198,16,
13022,1,1,13,227,207,20,
13022,2,1,16,145,127,18,
13023,1,1,66,259,223,36,
13023,2,1,62,312,288,24,
13024,1,1,NSS,135,115,20,
13024,2,1,NSS,104,89,15,
13025,1,1,0,88,86,2,
13025,2,1,3,82,79,3,
13026,1,1,0,37,30,7,
13026,2,1,0,46,38,8,
13027,1,1,0,1,1,0,
13027,2,1,0,1,1,0,
13028,1,1,0,721,693,28,
13028,2,1,0,1091,1073,18,
13029,1,9,NSS,NSS,NSS,NSS,
13029,2,1,42,605,574,31,
13030,1,1,63,596,520,76,
13030,2,1,75,470,427,43,
13031,1,1,0,72,71,1,
13031,2,1,0,45,45,0,
13032,1,1,0,59,59,0,
13032,2,1,0,56,56,0,
13033,1,1,0,9,9,0,
13033,2,1,1,16,15,1,
13034,1,1,0,72,70,2,
13034,2,1,0,68,65,3,
13035,1,1,12,40,32,8,
13035,2,1,2,27,25,2,
13036,1,1,9,70,67,3,
13036,2,1,12,23,17,6,
13037,1,1,26,98,95,3,
13037,2,1,37,64,60,4,
13038,1,2,NA,NA,NA,NA,
13038,2,1,6,20,14,6,
13039,1,1,0,95,95,0,
13039,2,1,0,120,120,0,
13040,1,1,2,21,20,1,
13040,2,1,1,18,18,0,
13041,1,1,NSS,NSS,NSS,NSS,
13041,2,1,NSS,NSS,NSS,NSS,
13042,1,1,48,132,125,7,
13042,2,1,44,110,105,5,
13043,1,9,NSS,NSS,NSS,NSS,
13043,2,1,0,5,4,1,
13044,1,9,NSS,NSS,NSS,NSS,
13044,2,2,NA,NA,NA,NA,
13045,1,2,NA,NA,NA,NA,
13045,2,2,NA,NA,NA,NA,
13046,1,1,0,150,150,0,
13046,2,1,0,154,154,0,
13047,1,1,0,4,4,0,
13047,2,1,0,32,30,2,
13048,1,1,299,3081,2782,299,
13048,2,1,341,4528,4187,341,
13049,1,1,4,49,45,4,
13049,2,1,10,28,25,3,
13050,1,1,23,287,275,12,
13050,2,1,37,338,323,15,
13051,1,1,0,1453,1316,137,
13051,2,1,0,1435,1262,173,
13052,1,1,180,506,500,6,
13052,2,1,150,377,339,38,
13053,1,9,NSS,NSS,NSS,NSS,
13053,2,1,8,269,261,8,
13054,1,1,0,132,125,7,
13054,2,1,1,135,129,6,
13055,1,1,6,17,17,0,
13055,2,1,1,17,14,3,
13056,1,1,43,566,556,10,
13056,2,1,35,424,413,11,
13057,1,1,12,67,66,1,
13057,2,1,19,81,79,2,
13058,1,1,4,133,115,18,
13058,2,1,3,60,52,8,
13059,1,1,0,79,79,0,
13059,2,1,0,64,64,0,
13060,1,1,38,46,45,1,
13060,2,1,9,52,45,7,
13061,1,1,2,258,213,45,
13061,2,1,60,388,288,100,
13062,1,1,3,90,88,2,
13062,2,1,8,155,149,6,
13063,1,1,581,1441,1328,113,
13063,2,1,426,975,875,100,
13064,1,1,1,41,33,8,
13064,2,1,0,22,16,6,
13065,1,9,NSS,NSS,NSS,NSS,
13065,2,1,0,193,193,0,
13066,1,1,NSS,NSS,NSS,NSS,
13066,2,1,NSS,NSS,NSS,NSS,
13067,1,1,119,350,313,37,
13067,2,1,115,385,323,62,
13068,1,2,NA,NA,NA,NA,
13068,2,2,NA,NA,NA,NA,
13069,1,1,NSS,1195,932,263,
13069,2,1,NSS,1463,1170,293,
13070,1,1,47,371,358,13,
13070,2,1,45,376,361,15,
13071,1,1,8,8,8,0,
13071,2,1,7,17,17,0,
13072,1,2,NA,NA,NA,NA,
13072,2,1,6,42,34,8,
13073,1,1,2,104,104,0,
13073,2,1,3,189,189,0,
13074,1,1,102,473,454,19,
13074,2,1,153,618,605,13,
13075,1,1,20,208,199,9,
13075,2,1,3,124,120,4,
13076,1,1,49,1535,1459,76,
13076,2,1,355,1277,1178,99,
13077,1,1,257,3370,3211,159,
13077,2,1,193,2682,2571,111,
13078,1,1,0,58,57,1,
13078,2,1,1,174,170,4,
13079,1,1,0,20,20,0,
13079,2,2,NA,NA,NA,NA,
13080,1,1,0,107,103,4,
13080,2,1,1,68,66,2,
13081,1,9,NSS,NSS,NSS,NSS,
13081,2,1,14,736,705,31,
13082,1,1,10,242,226,16,
13082,2,1,15,198,178,20,
13083,1,1,36,280,230,50,
13083,2,1,23,219,188,31,
13084,1,1,39,238,230,8,
13084,2,1,29,265,255,10,
14001,1,1,NSS,0,0,0,
14001,2,1,NSS,167,167,0,
14002,1,1,22,143,132,11,
14002,2,1,12,122,114,8,
14003,1,9,NSS,NSS,NSS,NSS,
14003,2,1,2,2,0,2,
14004,1,1,0,27,27,0,
14004,2,1,0,23,23,0,
14005,1,2,NA,NA,NA,NA,
14005,2,1,28,150,149,1,
14006,1,1,0,306,298,8,
14006,2,1,0,350,333,17,
14007,1,1,6,333,333,0,
14007,2,1,17,151,150,1,
14008,1,1,0,5,0,5,
14008,2,1,0,11,0,11,
14009,1,2,NA,NA,NA,NA,
14009,2,2,NA,NA,NA,NA,
14010,1,1,0,180,180,0,
14010,2,1,0,243,243,0,
14011,1,1,0,7,7,0,
14011,2,1,0,51,51,0,
14012,1,1,0,5,0,5,
14012,2,1,0,1,0,1,
14013,1,1,2,1086,1086,0,
14013,2,1,3,672,672,0,
14014,1,9,NSS,NSS,NSS,NSS,
14014,2,1,108,108,108,0,
14015,1,1,0,728,721,7,
14015,2,1,0,653,644,9,
14016,1,1,10,24,0,24,
14016,2,1,8,21,0,21,
14017,1,1,0,49,49,0,
14017,2,1,0,45,45,0,
14018,1,1,49,634,537,97,
14018,2,1,66,601,401,200,
14019,1,1,0,33,33,0,
14019,2,1,0,45,45,0,
14020,1,1,0,33,33,0,
14020,2,1,0,10,10,0,
14021,1,1,0,120,120,0,
14021,2,1,0,163,163,0,
14022,1,1,0,609,600,9,
14022,2,1,0,553,548,5,
14023,1,1,0,2063,2047,16,
14023,2,1,2,1906,1893,13,
14024,1,1,8,0,0,0,
14024,2,1,19,424,424,0,
14025,1,1,0,612,612,0,
14025,2,1,0,436,436,0,
14026,1,2,NA,NA,NA,NA,
14026,2,1,1,1,0,1,
14027,1,2,NA,NA,NA,NA,
14027,2,2,NA,NA,NA,NA,
14028,1,1,0,18,18,0,
14028,2,1,0,11,11,0,
14029,1,2,NA,NA,NA,NA,
14029,2,1,1,30,29,1,
14030,1,9,NSS,NSS,NSS,NSS,
14030,2,1,0,529,529,0,
14031,1,2,NA,NA,NA,NA,
14031,2,2,NA,NA,NA,NA,
14032,1,1,2,2,0,2,
14032,2,2,NA,NA,NA,NA,
14033,1,1,2,79,79,0,
14033,2,1,2,167,166,1,
14034,1,2,NA,NA,NA,NA,
14034,2,2,NA,NA,NA,NA,
14035,1,1,36,477,477,0,
14035,2,1,38,536,536,0,
14036,1,1,0,90,90,0,
14036,2,1,0,78,78,0,
14037,1,1,0,302,302,0,
14037,2,1,0,227,226,1,
14038,1,1,0,17,16,1,
14038,2,1,1,22,20,2,
14039,1,1,1427,12216,9958,2258,
14039,2,1,2989,6508,4017,2491,
14040,1,1,6,53,53,0,
14040,2,1,28,97,97,0,
14041,1,1,0,208,208,0,
14041,2,1,0,117,117,0,
14042,1,2,NA,NA,NA,NA,
14042,2,1,94,94,94,0,
14043,1,1,0,371,371,0,
14043,2,1,0,368,368,0,
14044,1,1,1,475,399,76,
14044,2,1,41,1251,1132,119,
14045,1,1,25,78,25,53,
14045,2,1,31,87,31,56,
14046,1,1,56,737,737,0,
14046,2,1,19,470,470,0,
14047,1,1,5,343,338,5,
14047,2,1,3,516,513,3,
14048,1,2,NA,NA,NA,NA,
14048,2,1,2,2,2,0,
14049,1,1,0,6,6,0,
14049,2,1,2,13,10,3,
14050,1,2,NA,NA,NA,NA,
14050,2,1,25,613,610,3,
14051,1,1,1,384,102,282,
14051,2,1,10,728,431,297,
14052,1,1,0,12,5,7,
14052,2,1,0,8,3,5,
14053,1,1,0,1044,749,295,
14053,2,1,30,1015,780,235,
14054,1,1,0,56,56,0,
14054,2,1,0,116,116,0,
14055,1,1,0,94,94,0,
14055,2,1,0,128,128,0,
14056,1,2,NA,NA,NA,NA,
14056,2,2,NA,NA,NA,NA,
14057,1,1,0,18,0,18,
14057,2,1,0,21,0,21,
14058,1,1,0,97,97,0,
14058,2,1,0,40,40,0,
14059,1,1,1,33,30,3,
14059,2,1,3,28,23,5,
14060,1,1,3,3,3,0,
14060,2,1,3,3,3,0,
14061,1,2,NA,NA,NA,NA,
14061,2,2,NA,NA,NA,NA,
14062,1,1,2,4,4,0,
14062,2,1,4,34,31,3,
14063,1,1,0,2396,2309,87,
14063,2,1,0,1728,1718,10,
14064,1,1,0,260,250,10,
14064,2,1,91,409,400,9,
14065,1,1,2,63,63,0,
14065,2,1,10,66,66,0,
14066,1,1,0,684,678,6,
14066,2,1,1,765,756,9,
14067,1,1,8,3542,3472,70,
14067,2,1,1,2615,2580,35,
14068,1,1,0,102,102,0,
14068,2,1,0,75,75,0,
14069,1,1,0,22,22,0,
14069,2,1,0,28,23,5,
14070,1,1,1589,2759,2303,456,
14070,2,1,1329,2712,2178,534,
14071,1,2,NA,NA,NA,NA,
14071,2,1,0,45,45,0,
14072,1,2,NA,NA,NA,NA,
14072,2,2,NA,NA,NA,NA,
14073,1,1,0,3393,3387,6,
14073,2,1,0,2018,2016,2,
14074,1,9,NSS,NSS,NSS,NSS,
14074,2,1,0,102,102,0,
14075,1,2,NA,NA,NA,NA,
14075,2,2,NA,NA,NA,NA,
14076,1,2,NA,NA,NA,NA,
14076,2,2,NA,NA,NA,NA,
14077,1,1,0,148,60,88,
14077,2,1,0,176,81,95,
14078,1,2,NA,NA,NA,NA,
14078,2,1,2,369,369,0,
14079,1,1,0,76,76,0,
14079,2,1,0,303,301,2,
14080,1,2,NA,NA,NA,NA,
14080,2,2,NA,NA,NA,NA,
14081,1,98,ND,ND,ND,ND,
14081,2,98,ND,ND,ND,ND,
14082,1,1,1,1353,1171,182,
14082,2,1,0,1700,1700,0,
14083,1,1,10,1296,1292,4,
14083,2,1,53,1469,1449,20,
14084,1,1,0,186,186,0,
14084,2,1,0,221,221,0,
14085,1,1,0,4,4,0,
14085,2,1,4,85,65,20,
14086,1,2,NA,NA,NA,NA,
14086,2,1,0,227,227,0,
14087,1,1,0,11,11,0,
14087,2,1,0,58,53,5,
14088,1,1,0,69,69,0,
14088,2,1,0,115,110,5,
14089,1,1,0,20,20,0,
14089,2,1,0,30,30,0,
14090,1,1,0,56,56,0,
14090,2,1,0,50,50,0,
14091,1,1,9,247,247,0,
14091,2,1,2,348,348,0,
14092,1,2,NA,NA,NA,NA,
14092,2,1,0,2,0,2,
14093,1,1,2,1284,1264,20,
14093,2,1,4,1070,1057,13,
14094,1,1,1,1154,1145,9,
14094,2,1,0,1823,1812,11,
14095,1,9,NSS,NSS,NSS,NSS,
14095,2,1,43,43,41,2,
14096,1,1,0,97,89,8,
14096,2,1,0,191,189,2,
14097,1,1,2674,3841,1056,2785,
14097,2,1,2754,4150,510,3640,
14098,1,1,214,1882,1298,584,
14098,2,1,341,1822,1198,624,
14099,1,1,0,32,32,0,
14099,2,1,0,39,39,0,
14100,1,1,180,180,180,0,
14100,2,1,202,202,202,0,
14101,1,1,1,807,634,173,
14101,2,1,1,4642,3775,867,
14102,1,1,41,41,41,0,
14102,2,1,32,32,32,0,
14103,1,2,NA,NA,NA,NA,
14103,2,2,NA,NA,NA,NA,
14104,1,98,ND,ND,ND,ND,
14104,2,98,ND,ND,ND,ND,
14105,1,1,13,324,270,54,
14105,2,1,10,152,94,58,
14106,1,1,2,2,2,0,
14106,2,1,2,41,41,0,
14107,1,1,0,31,0,31,
14107,2,1,0,41,0,41,
14108,1,1,0,179,177,2,
14108,2,1,0,162,161,1,
14109,1,1,0,180,180,0,
14109,2,1,0,207,207,0,
14110,1,1,0,146,144,2,
14110,2,1,0,204,202,2,
14111,1,2,NA,NA,NA,NA,
14111,2,1,3,18,18,0,
14112,1,1,2,81,80,1,
14112,2,1,0,63,63,0,
14113,1,1,0,97,97,0,
14113,2,1,0,362,362,0,
14114,1,1,2,258,253,5,
14114,2,1,0,162,162,0,
14115,1,2,NA,NA,NA,NA,
14115,2,2,NA,NA,NA,NA,
14116,1,1,10,10,7,3,
14116,2,1,13,13,9,4,
14117,1,1,5,11,11,0,
14117,2,1,4,11,11,0,
14118,1,1,0,86,86,0,
14118,2,1,0,99,99,0,
14119,1,1,NSS,NSS,NSS,NSS,
14119,2,1,NSS,NSS,NSS,NSS,
14120,1,1,123,2471,1552,919,
14120,2,1,112,4837,3931,906,
14121,1,2,NA,NA,NA,NA,
14121,2,1,1,719,718,1,
14122,1,2,NA,NA,NA,NA,
14122,2,1,0,22,22,0,
14123,1,1,0,269,268,1,
14123,2,1,0,201,201,0,
14124,1,1,418,88,70,18,
14124,2,1,750,388,349,39,
14125,1,1,NSS,NSS,NSS,NSS,
14125,2,1,0,337,337,0,
15001,1,1,49,157,131,26,
15001,2,1,60,108,91,17,
15002,1,2,NA,NA,NA,NA,
15002,2,1,132,723,528,195,
15003,1,9,NSS,NSS,NSS,NSS,
15003,2,1,17,131,111,20,
15004,1,2,NA,NA,NA,NA,
15004,2,2,NA,NA,NA,NA,
15005,1,9,NSS,NSS,NSS,NSS,
15005,2,1,0,341,332,9,
15006,1,2,NA,NA,NA,NA,
15006,2,1,45,199,189,10,
15007,1,2,NA,NA,NA,NA,
15007,2,2,NA,NA,NA,NA,
15008,1,9,NSS,NSS,NSS,NSS,
15008,2,2,NA,NA,NA,NA,
15009,1,1,1,375,332,43,
15009,2,1,1,768,727,41,
15010,1,1,35,337,279,58,
15010,2,1,48,511,373,138,
15011,1,1,0,530,452,78,
15011,2,1,0,400,301,99,
15012,1,9,NSS,NSS,NSS,NSS,
15012,2,1,0,57,57,0,
15013,1,1,529,3600,3224,376,
15013,2,1,726,3349,2791,558,
15014,1,1,0,615,591,24,
15014,2,1,0,244,156,88,
15015,1,1,0,224,208,16,
15015,2,1,0,202,188,14,
15016,1,2,NA,NA,NA,NA,
15016,2,1,2,20,20,0,
15017,1,1,0,76,76,0,
15017,2,1,0,66,66,0,
15018,1,1,28,374,346,28,
15018,2,1,37,361,324,37,
15019,1,9,NSS,NSS,NSS,NSS,
15019,2,1,0,379,317,62,
15020,1,1,110,446,277,169,
15020,2,1,266,851,495,356,
15021,1,9,NSS,NSS,NSS,NSS,
15021,2,1,0,75,59,16,
15022,1,1,6,85,40,45,
15022,2,1,10,152,63,89,
15023,1,1,1,180,137,43,
15023,2,1,4,379,335,44,
15024,1,2,NA,NA,NA,NA,
15024,2,1,17,1729,1538,191,
15025,1,1,0,1600,1442,158,
15025,2,1,0,1414,1207,207,
15026,1,1,2,95,67,28,
15026,2,1,2,72,48,24,
15027,1,9,NSS,NSS,NSS,NSS,
15027,2,1,5,5,0,5,
15028,1,1,403,403,364,39,
15028,2,1,215,215,200,15,
15029,1,1,0,3106,2804,302,
15029,2,1,0,3180,2765,415,
15030,1,1,NSS,352,227,125,
15030,2,1,120,572,416,156,
15031,1,2,NA,NA,NA,NA,
15031,2,1,485,4474,3538,936,
15032,1,1,1,37,36,1,
15032,2,1,10,21,5,16,
15033,1,1,35,853,648,205,
15033,2,1,48,1008,752,256,
15034,1,1,0,49,42,7,
15034,2,1,0,36,27,9,
15035,1,1,867,1448,1162,286,
15035,2,1,331,1330,1124,206,
15036,1,1,39,214,175,39,
15036,2,1,68,230,189,41,
15037,1,1,45,803,564,239,
15037,2,1,17,884,718,166,
15038,1,9,NSS,NSS,NSS,NSS,
15038,2,1,6,51,30,21,
15039,1,1,256,5488,5102,386,
15039,2,1,378,3583,2959,624,
15040,1,1,18,383,323,60,
15040,2,1,15,349,326,23,
15041,1,2,NA,NA,NA,NA,
15041,2,2,NA,NA,NA,NA,
15042,1,1,24,1166,1142,24,
15042,2,1,38,1419,1371,48,
15043,1,1,667,828,807,21,
15043,2,1,1707,1707,1674,33,
15044,1,2,NA,NA,NA,NA,
15044,2,1,6,95,54,41,
15045,1,1,261,261,181,80,
15045,2,1,595,595,456,139,
15046,1,2,NA,NA,NA,NA,
15046,2,1,0,70,40,30,
15047,1,1,24,177,161,16,
15047,2,1,1,129,88,41,
15048,1,1,39,275,217,58,
15048,2,1,35,464,397,67,
15049,1,2,NA,NA,NA,NA,
15049,2,2,NA,NA,NA,NA,
15050,1,1,0,127,100,27,
15050,2,1,41,449,400,49,
15051,1,2,NA,NA,NA,NA,
15051,2,1,NSS,1254,1118,136,
15052,1,1,0,136,136,0,
15052,2,1,0,36,36,0,
15053,1,9,NSS,NSS,NSS,NSS,
15053,2,1,0,2336,2127,209,
15054,1,1,134,310,188,122,
15054,2,1,226,509,217,292,
15055,1,2,NA,NA,NA,NA,
15055,2,1,8,33,26,7,
15056,1,1,8,62,33,29,
15056,2,1,16,71,46,25,
15057,1,1,1094,8312,7680,632,
15057,2,1,978,9065,8240,825,
15058,1,1,481,10719,9652,1067,
15058,2,1,605,12929,11129,1800,
15059,1,1,0,725,375,350,
15059,2,1,0,755,405,350,
15060,1,1,331,3550,3046,504,
15060,2,1,462,3308,2529,779,
15061,1,2,NA,NA,NA,NA,
15061,2,1,7,40,40,0,
15062,1,2,NA,NA,NA,NA,
15062,2,1,1081,1081,938,143,
15063,1,0,NA,NA,NA,NA,
15063,2,0,NA,NA,NA,NA,
15064,1,2,NA,NA,NA,NA,
15064,2,1,0,325,317,8,
15065,1,2,NA,NA,NA,NA,
15065,2,1,140,247,164,83,
15066,1,2,NA,NA,NA,NA,
15066,2,2,NA,NA,NA,NA,
15067,1,1,5,48,30,18,
15067,2,1,4,63,40,23,
15068,1,1,0,352,331,21,
15068,2,1,0,419,380,39,
15069,1,1,0,430,414,16,
15069,2,1,0,259,249,10,
15070,1,1,5288,5288,4898,390,
15070,2,1,4712,4712,4258,454,
15071,1,2,NA,NA,NA,NA,
15071,2,1,0,101,101,0,
15072,1,1,0,120,95,25,
15072,2,1,0,145,130,15,
15073,1,1,9,127,121,6,
15073,2,1,22,72,43,29,
15074,1,9,NSS,NSS,NSS,NSS,
15074,2,1,2,60,28,32,
15075,1,2,NA,NA,NA,NA,
15075,2,1,144,144,75,69,
15076,1,1,134,310,188,122,
15076,2,1,226,509,217,292,
15077,1,9,NSS,NSS,NSS,NSS,
15077,2,9,NSS,NSS,NSS,NSS,
15078,1,2,NA,NA,NA,NA,
15078,2,1,0,10,10,0,
15079,1,1,0,59,39,20,
15079,2,1,0,62,44,18,
15080,1,9,NSS,NSS,NSS,NSS,
15080,2,1,2,5,5,0,
15081,1,1,1693,3171,2484,687,
15081,2,1,2047,4516,3718,798,
15082,1,1,0,345,345,0,
15082,2,1,0,370,370,0,
15083,1,1,0,194,194,0,
15083,2,1,4,134,123,11,
15084,1,2,NA,NA,NA,NA,
15084,2,1,0,456,401,55,
15085,1,1,5,117,108,9,
15085,2,1,6,160,149,11,
15086,1,2,NA,NA,NA,NA,
15086,2,2,NA,NA,NA,NA,
15087,1,1,0,1017,939,78,
15087,2,1,0,754,677,77,
15088,1,1,NSS,2308,1787,521,
15088,2,1,33,2237,2024,213,
15089,1,1,10,180,180,0,
15089,2,1,10,187,172,15,
15090,1,9,NSS,NSS,NSS,NSS,
15090,2,1,81,546,424,122,
15091,1,2,NA,NA,NA,NA,
15091,2,1,2406,1549,1349,200,
15092,1,1,12,12,12,0,
15092,2,1,13,1589,1589,0,
15093,1,1,12,80,80,0,
15093,2,1,25,201,201,0,
15094,1,1,15,264,256,8,
15094,2,1,39,300,248,52,
15095,1,1,0,1286,1093,193,
15095,2,1,0,1239,1032,207,
15096,1,2,NA,NA,NA,NA,
15096,2,1,12,750,642,108,
15097,1,2,NA,NA,NA,NA,
15097,2,2,NA,NA,NA,NA,
15098,1,1,16,179,163,16,
15098,2,1,4,206,197,9,
15099,1,2,NA,NA,NA,NA,
15099,2,1,25,2134,1901,233,
15100,1,2,NA,NA,NA,NA,
15100,2,1,5,456,360,96,
15101,1,2,NA,NA,NA,NA,
15101,2,1,1081,1081,938,143,
15102,1,2,NA,NA,NA,NA,
15102,2,1,5,31,14,17,
15103,1,1,3,799,719,80,
