ubicageo_f,aniorefe_b,ppiflf1,ppiflf2,ppiflf3
7046,1,0,0,0
7046,2,0,0,0
7047,1,NA,NA,NA
7047,2,NA,NA,NA
7048,1,NA,NA,NA
7048,2,NA,NA,NA
7049,1,0,0,0
7049,2,0,0,0
7050,1,NSS,NSS,NSS
7050,2,NSS,NSS,NSS
7051,1,0,0,0
7051,2,0,0,0
7052,1,360,0,0
7052,2,2016,0,0
7053,1,0,0,0
7053,2,0,0,0
7054,1,NA,NA,NA
7054,2,2,1,0
7055,1,NA,NA,NA
7055,2,NA,NA,NA
7056,1,NA,NA,NA
7056,2,NA,NA,NA
7057,1,0,0,0
7057,2,0,0,0
7058,1,NA,NA,NA
7058,2,5,0,0
7059,1,NA,NA,NA
7059,2,0,0,0
7060,1,75,0,0
7060,2,450,0,0
7061,1,NA,NA,NA
7061,2,1605,0,0
7062,1,NA,NA,NA
7062,2,NA,NA,NA
7063,1,NA,NA,NA
7063,2,0,0,0
7064,1,NA,NA,NA
7064,2,NSS,NSS,NSS
7065,1,NA,NA,NA
7065,2,NA,NA,NA
7066,1,NSS,NSS,NSS
7066,2,NA,NA,NA
7067,1,NA,NA,NA
7067,2,50,0,0
7068,1,NA,NA,NA
7068,2,NA,NA,NA
7069,1,NA,NA,NA
7069,2,0,0,0
7070,1,13,0,0
7070,2,17,0,0
7071,1,NA,NA,NA
7071,2,NA,NA,NA
7072,1,0,0,0
7072,2,0,0,0
7073,1,0,0,0
7073,2,0,0,0
7074,1,NA,NA,NA
7074,2,NA,NA,NA
7075,1,0,0,0
7075,2,0,0,0
7076,1,NA,NA,NA
7076,2,NA,NA,NA
7077,1,NSS,NSS,NSS
7077,2,NSS,NSS,NSS
7078,1,2364,0,0
7078,2,2844,0,0
7079,1,NA,NA,NA
7079,2,500,0,0
7080,1,NA,NA,NA
7080,2,499,0,0
7081,1,0,0,0
7081,2,0,0,0
7082,1,NA,NA,NA
7082,2,NA,NA,NA
7083,1,NA,NA,NA
7083,2,0,0,0
7084,1,NA,NA,NA
7084,2,0,0,0
7085,1,NA,NA,NA
7085,2,0,0,0
7086,1,154,0,0
7086,2,680,0,0
7087,1,0,0,0
7087,2,0,0,0
7088,1,NA,NA,NA
7088,2,NA,NA,NA
7089,1,0,0,0
7089,2,0,0,0
7090,1,4,0,0
7090,2,12,0,0
7091,1,NA,NA,NA
7091,2,NA,NA,NA
7092,1,NA,NA,NA
7092,2,0,0,0
7093,1,NA,NA,NA
7093,2,NA,NA,NA
7094,1,NA,NA,NA
7094,2,0,0,0
7096,1,NA,NA,NA
7096,2,NA,NA,NA
7097,1,0,0,0
7097,2,0,0,0
7098,1,0,0,0
7098,2,0,0,0
7099,1,0,0,0
7099,2,0,0,0
7100,1,NA,NA,NA
7100,2,NA,NA,NA
7101,1,323,0,0
7101,2,301,0,0
7102,1,NA,NA,NA
7102,2,NA,NA,NA
7103,1,0,0,0
7103,2,0,0,0
7104,1,NA,NA,NA
7104,2,85,0,0
7105,1,NA,NA,NA
7105,2,NA,NA,NA
7106,1,NA,NA,NA
7106,2,30,0,0
7107,1,NA,NA,NA
7107,2,0,0,0
7108,1,0,0,0
7108,2,0,0,0
7109,1,NA,NA,NA
7109,2,NA,NA,NA
7110,1,NA,NA,NA
7110,2,NA,NA,NA
7111,1,0,0,0
7111,2,0,0,0
7112,1,NA,NA,NA
7112,2,NA,NA,NA
7113,1,0,0,0
7113,2,0,0,0
7114,1,53,0,0
7114,2,103,0,0
7115,1,NA,NA,NA
7115,2,NA,NA,NA
7116,1,NA,NA,NA
7116,2,NA,NA,NA
7117,1,NA,NA,NA
7117,2,0,0,0
7118,1,0,0,0
7118,2,0,0,0
7119,1,0,0,0
7119,2,0,0,0
7120,1,0,0,0
7120,2,0,0,0
7121,1,0,0,0
7121,2,0,0,0
7122,1,NA,NA,NA
7122,2,0,0,0
7123,1,NA,NA,NA
7123,2,NA,NA,NA
7124,1,NA,NA,NA
7124,2,NA,NA,NA
7125,1,0,0,0
7125,2,0,0,0
8001,1,NA,NA,NA
8001,2,NA,NA,NA
8002,1,0,0,0
8002,2,0,0,0
8003,1,0,0,0
8003,2,0,0,0
8004,1,187,0,0
8004,2,361,0,0
8005,1,NSS,NSS,NSS
8005,2,3191,0,0
8006,1,NA,NA,NA
8006,2,NA,NA,NA
8007,1,0,0,0
8007,2,0,0,0
8008,1,NA,NA,NA
8008,2,0,0,0
8009,1,NA,NA,NA
8009,2,NA,NA,NA
8010,1,NA,NA,NA
8010,2,NA,NA,NA
8011,1,0,0,0
8011,2,0,0,0
8012,1,NA,NA,NA
8012,2,NA,NA,NA
8013,1,NSS,NSS,NSS
8013,2,NSS,NSS,NSS
8014,1,NA,NA,NA
8014,2,NA,NA,NA
8015,1,0,0,0
8015,2,0,0,0
8016,1,NA,NA,NA
8016,2,NA,NA,NA
8017,1,NA,NA,NA
8017,2,0,0,0
8018,1,NA,NA,NA
8018,2,NA,NA,NA
8019,1,0,0,0
8019,2,0,0,0
8020,1,NA,NA,NA
8020,2,NA,NA,NA
8021,1,0,0,0
8021,2,0,0,0
8022,1,NA,NA,NA
8022,2,NA,NA,NA
8023,1,NA,NA,NA
8023,2,NA,NA,NA
8024,1,NA,NA,NA
8024,2,NA,NA,NA
8025,1,NA,NA,NA
8025,2,NA,NA,NA
8026,1,NA,NA,NA
8026,2,NA,NA,NA
8027,1,NA,NA,NA
8027,2,0,0,0
8028,1,NA,NA,NA
8028,2,NA,NA,NA
8029,1,0,0,0
8029,2,0,0,0
8030,1,NA,NA,NA
8030,2,NA,NA,NA
8031,1,NA,NA,NA
8031,2,NA,NA,NA
8032,1,0,0,0
8032,2,0,0,0
8033,1,0,0,0
8033,2,0,0,0
8034,1,NA,NA,NA
8034,2,NA,NA,NA
8035,1,NA,NA,NA
8035,2,NA,NA,NA
8036,1,NA,NA,NA
8036,2,0,0,0
8037,1,24,0,0
8037,2,44,0,0
8038,1,NSS,NSS,NSS
8038,2,0,0,0
8039,1,NSS,NSS,NSS
8039,2,0,0,0
8040,1,1105,0,0
8040,2,870,0,0
8041,1,NA,NA,NA
8041,2,NA,NA,NA
8042,1,NA,NA,NA
8042,2,NA,NA,NA
8043,1,NA,NA,NA
8043,2,NA,NA,NA
8044,1,0,0,0
8044,2,1,1,0
8045,1,0,0,0
8045,2,0,0,0
8046,1,0,0,0
8046,2,0,0,0
8047,1,NA,NA,NA
8047,2,NA,NA,NA
8048,1,NA,NA,NA
8048,2,NA,NA,NA
8049,1,NA,NA,NA
8049,2,NA,NA,NA
8050,1,NSS,NSS,NSS
8050,2,NSS,NSS,NSS
8051,1,NA,NA,NA
8051,2,NA,NA,NA
8052,1,NSS,NSS,NSS
8052,2,NSS,NSS,NSS
8053,1,NA,NA,NA
8053,2,NA,NA,NA
8054,1,NA,NA,NA
8054,2,NA,NA,NA
8055,1,NSS,NSS,NSS
8055,2,NA,NA,NA
8056,1,NA,NA,NA
8056,2,NA,NA,NA
8057,1,NA,NA,NA
8057,2,NA,NA,NA
8058,1,NA,NA,NA
8058,2,NA,NA,NA
8059,1,0,0,0
8059,2,0,0,0
8060,1,0,0,0
8060,2,0,0,0
8061,1,NA,NA,NA
8061,2,NA,NA,NA
8062,1,523,0,0
8062,2,652,0,0
8063,1,NA,NA,NA
8063,2,NA,NA,NA
8064,1,0,0,0
8064,2,0,0,0
8065,1,NA,NA,NA
8065,2,0,0,0
8066,1,NA,NA,NA
8066,2,NA,NA,NA
8067,1,NA,NA,NA
8067,2,NA,NA,NA
9002,1,NA,NA,NA
9002,2,NA,NA,NA
9003,1,NA,NA,NA
9003,2,NA,NA,NA
9004,1,NA,NA,NA
9004,2,NA,NA,NA
9005,1,NA,NA,NA
9005,2,NA,NA,NA
9006,1,NA,NA,NA
9006,2,NA,NA,NA
9007,1,NA,NA,NA
9007,2,NA,NA,NA
9008,1,NA,NA,NA
9008,2,NA,NA,NA
9009,1,NA,NA,NA
9009,2,NA,NA,NA
9010,1,NA,NA,NA
9010,2,NA,NA,NA
9011,1,NA,NA,NA
9011,2,NA,NA,NA
9012,1,NA,NA,NA
9012,2,NA,NA,NA
9013,1,NA,NA,NA
9013,2,NA,NA,NA
9014,1,NA,NA,NA
9014,2,NA,NA,NA
9015,1,NA,NA,NA
9015,2,NA,NA,NA
9016,1,NA,NA,NA
9016,2,NA,NA,NA
9017,1,NA,NA,NA
9017,2,NA,NA,NA
10001,1,NA,NA,NA
10001,2,NA,NA,NA
10002,1,NA,NA,NA
10002,2,NA,NA,NA
10003,1,NA,NA,NA
10003,2,0,0,0
10004,1,NA,NA,NA
10004,2,NA,NA,NA
10005,1,0,0,0
10005,2,0,0,0
10006,1,NSS,NSS,NSS
10006,2,0,0,0
10007,1,0,0,0
10007,2,0,0,0
10008,1,0,0,0
10008,2,0,0,0
10009,1,NA,NA,NA
10009,2,NA,NA,NA
10010,1,NA,NA,NA
10010,2,NA,NA,NA
10011,1,NA,NA,NA
10011,2,NA,NA,NA
10012,1,0,0,0
10012,2,0,0,0
10013,1,NA,NA,NA
10013,2,NA,NA,NA
10014,1,0,0,0
10014,2,0,0,0
10015,1,NA,NA,NA
10015,2,NA,NA,NA
10016,1,NSS,NSS,NSS
10016,2,225,0,0
10017,1,NA,NA,NA
10017,2,0,0,0
10018,1,NA,NA,NA
10018,2,0,0,0
10019,1,NA,NA,NA
10019,2,NA,NA,NA
10020,1,NA,NA,NA
10020,2,NA,NA,NA
10021,1,NA,NA,NA
10021,2,NA,NA,NA
10022,1,NA,NA,NA
10022,2,NA,NA,NA
10023,1,300,0,0
10023,2,430,0,0
10024,1,NA,NA,NA
10024,2,8,0,0
10025,1,NA,NA,NA
10025,2,NA,NA,NA
10026,1,NA,NA,NA
10026,2,NA,NA,NA
10027,1,NA,NA,NA
10027,2,NA,NA,NA
10028,1,NA,NA,NA
10028,2,NA,NA,NA
10029,1,NA,NA,NA
10029,2,NA,NA,NA
10030,1,NA,NA,NA
10030,2,NA,NA,NA
10031,1,NSS,NSS,NSS
10031,2,NA,NA,NA
10032,1,0,0,0
10032,2,0,0,0
10033,1,NA,NA,NA
10033,2,0,0,0
10034,1,11,0,0
10034,2,13,0,0
10035,1,NA,NA,NA
10035,2,NA,NA,NA
10036,1,42,3,0
10036,2,20,0,0
10037,1,NA,NA,NA
10037,2,NA,NA,NA
10038,1,NSS,NSS,NSS
10038,2,17,0,0
10039,1,0,0,0
10039,2,0,0,0
11001,1,NA,NA,NA
11001,2,NA,NA,NA
11002,1,NSS,NSS,NSS
11002,2,NA,NA,NA
11003,1,4108,0,0
11003,2,4885,0,0
11004,1,NA,NA,NA
11004,2,NA,NA,NA
11005,1,0,0,0
11005,2,0,0,0
11006,1,NA,NA,NA
11006,2,NA,NA,NA
11007,1,4139,0,0
11007,2,2783,0,0
11008,1,NSS,NSS,NSS
11008,2,NSS,NSS,NSS
11009,1,1691,0,0
11009,2,1489,0,0
11010,1,NA,NA,NA
11010,2,NA,NA,NA
11011,1,NA,NA,NA
11011,2,NA,NA,NA
11012,1,1000,0,0
11012,2,925,0,0
11013,1,0,0,0
11013,2,0,0,0
11014,1,1556,0,0
11014,2,956,0,0
11015,1,6477,389,0
11015,2,6770,469,0
11016,1,NSS,NSS,NSS
11016,2,NSS,NSS,NSS
11017,1,5962,0,0
11017,2,2559,0,0
11018,1,0,0,0
11018,2,0,0,0
11019,1,NA,NA,NA
11019,2,18,0,0
11020,1,109,109,0
11020,2,127,127,0
11021,1,418,0,0
11021,2,709,0,0
11022,1,446,0,0
11022,2,400,0,0
11023,1,0,0,0
11023,2,0,0,0
11024,1,NA,NA,NA
11024,2,NA,NA,NA
11025,1,3643,0,0
11025,2,3000,0,0
11026,1,16,0,0
11026,2,8,0,0
11027,1,NSS,NSS,NSS
11027,2,NSS,NSS,NSS
11028,1,NSS,NSS,NSS
11028,2,805,0,0
11029,1,463,0,0
11029,2,1466,0,0
11030,1,1131,0,0
11030,2,1036,0,0
11031,1,NA,NA,NA
11031,2,NA,NA,NA
11032,1,NSS,NSS,NSS
11032,2,200,100,100
11033,1,0,0,0
11033,2,0,0,0
11034,1,NSS,NSS,NSS
11034,2,NA,NA,NA
11035,1,NSS,NSS,NSS
11035,2,NSS,NSS,NSS
11036,1,NA,NA,NA
11036,2,NA,NA,NA
11037,1,NSS,NSS,NSS
11037,2,NSS,NSS,NSS
11038,1,19,0,0
11038,2,27,0,0
11039,1,235,0,0
11039,2,210,0,0
11040,1,NA,NA,NA
11040,2,NA,NA,NA
11041,1,657,0,0
11041,2,615,0,0
11042,1,550,400,150
11042,2,750,600,150
11043,1,0,0,0
11043,2,0,0,0
11044,1,0,0,0
11044,2,0,0,0
11045,1,NSS,NSS,NSS
11045,2,NSS,NSS,NSS
11046,1,NA,NA,NA
11046,2,NA,NA,NA
12001,1,1042,0,0
12001,2,769,0,0
12002,1,NA,NA,NA
12002,2,NA,NA,NA
12003,1,NA,NA,NA
12003,2,NA,NA,NA
12004,1,NA,NA,NA
12004,2,NA,NA,NA
12005,1,NA,NA,NA
12005,2,NA,NA,NA
12006,1,NA,NA,NA
12006,2,NA,NA,NA
12007,1,NA,NA,NA
12007,2,NA,NA,NA
12008,1,126,0,0
12008,2,178,0,0
12009,1,NA,NA,NA
12009,2,0,0,0
12010,1,0,0,0
12010,2,0,0,0
12011,1,0,0,0
12011,2,0,0,0
12012,1,NA,NA,NA
12012,2,0,0,0
12013,1,NA,NA,NA
12013,2,NA,NA,NA
12014,1,NA,NA,NA
12014,2,NA,NA,NA
12015,1,NA,NA,NA
12015,2,8,0,0
12016,1,NA,NA,NA
12016,2,NA,NA,NA
12017,1,NA,NA,NA
12017,2,NA,NA,NA
12018,1,NA,NA,NA
12018,2,5,0,0
12019,1,12,0,0
12019,2,61,0,0
12020,1,NA,NA,NA
12020,2,NA,NA,NA
12021,1,NSS,NSS,NSS
12021,2,0,0,0
12022,1,NA,NA,NA
12022,2,NA,NA,NA
12023,1,37,0,0
12023,2,118,0,0
12024,1,0,0,0
12024,2,0,0,0
12025,1,0,0,0
12025,2,10,0,0
12026,1,NA,NA,NA
12026,2,NA,NA,NA
12027,1,NA,NA,NA
12027,2,NA,NA,NA
12028,1,350,0,0
12028,2,339,0,0
12029,1,1494,0,0
12029,2,636,0,0
12030,1,10,0,0
12030,2,15,0,0
12031,1,NA,NA,NA
12031,2,NA,NA,NA
12032,1,NA,NA,NA
12032,2,0,0,0
12033,1,NA,NA,NA
12033,2,0,0,0
12034,1,0,0,0
12034,2,0,0,0
12035,1,NA,NA,NA
12035,2,NA,NA,NA
12036,1,NA,NA,NA
12036,2,89,0,0
12037,1,NA,NA,NA
12037,2,NA,NA,NA
12038,1,431,0,0
12038,2,512,0,0
12039,1,6,0,0
12039,2,8,0,0
12040,1,NA,NA,NA
12040,2,NA,NA,NA
12041,1,NA,NA,NA
12041,2,0,0,0
12042,1,NA,NA,NA
12042,2,3,0,0
12043,1,NA,NA,NA
12043,2,NA,NA,NA
12044,1,NA,NA,NA
12044,2,5,0,0
12045,1,NA,NA,NA
12045,2,NA,NA,NA
12046,1,0,0,0
12046,2,0,0,0
12047,1,NA,NA,NA
12047,2,NA,NA,NA
12048,1,0,0,0
12048,2,0,0,0
12049,1,NA,NA,NA
12049,2,2,0,0
12050,1,9,0,0
12050,2,38,0,0
12051,1,0,0,0
12051,2,NA,NA,NA
12052,1,5,0,0
12052,2,18,0,0
12053,1,45,0,0
12053,2,135,0,0
12054,1,NA,NA,NA
12054,2,NA,NA,NA
12055,1,NA,NA,NA
12055,2,0,0,0
12056,1,0,0,0
12056,2,0,0,0
12057,1,0,0,0
12057,2,0,0,0
12058,1,NA,NA,NA
12058,2,NA,NA,NA
12059,1,0,0,0
12059,2,0,0,0
12060,1,NA,NA,NA
12060,2,NA,NA,NA
12061,1,10,5,0
12061,2,15,5,0
12062,1,69,0,0
12062,2,135,0,0
12063,1,NA,NA,NA
12063,2,0,0,0
12064,1,NA,NA,NA
12064,2,NA,NA,NA
12065,1,NA,NA,NA
12065,2,NA,NA,NA
12066,1,NA,NA,NA
12066,2,NA,NA,NA
12067,1,10,0,0
12067,2,15,0,0
12068,1,NA,NA,NA
12068,2,NA,NA,NA
12069,1,NA,NA,NA
12069,2,0,0,0
12070,1,NA,NA,NA
12070,2,0,0,0
12071,1,NA,NA,NA
12071,2,199,0,0
12072,1,NA,NA,NA
12072,2,0,0,0
12073,1,NA,NA,NA
12073,2,NA,NA,NA
12074,1,NA,NA,NA
12074,2,0,0,0
12075,1,46,0,0
12075,2,142,0,0
12076,1,NA,NA,NA
12076,2,NA,NA,NA
12077,1,0,0,0
12077,2,0,0,0
12078,1,NA,NA,NA
12078,2,NA,NA,NA
12079,1,0,0,0
12079,2,0,0,0
12080,1,0,0,0
12080,2,0,0,0
12081,1,NA,NA,NA
12081,2,50,0,0
12082,1,NA,NA,NA
12082,2,NA,NA,NA
12083,1,NA,NA,NA
12083,2,NA,NA,NA
12084,1,NA,NA,NA
12084,2,NA,NA,NA
12085,1,NA,NA,NA
12085,2,NA,NA,NA
13001,1,NA,NA,NA
13001,2,NA,NA,NA
13002,1,NSS,NSS,NSS
13002,2,NSS,NSS,NSS
13003,1,0,0,0
13003,2,0,0,0
13004,1,65,0,0
13004,2,76,0,0
13005,1,70,0,0
13005,2,63,0,0
13006,1,5,0,0
13006,2,7,0,0
13007,1,88,0,0
13007,2,118,0,0
13008,1,277,0,0
13008,2,225,0,0
13009,1,0,0,0
13009,2,1,0,0
13010,1,NA,NA,NA
13010,2,0,0,0
13011,1,0,0,0
13011,2,0,0,0
13012,1,8,0,0
13012,2,5,0,0
13013,1,334,0,0
13013,2,552,0,0
13014,1,0,0,0
13014,2,0,0,0
13015,1,0,0,0
13015,2,0,0,0
13016,1,NSS,NSS,NSS
13016,2,0,0,0
13017,1,NA,NA,NA
13017,2,0,0,0
13018,1,115,0,0
13018,2,112,0,0
13019,1,0,0,0
13019,2,0,0,0
13020,1,17,0,0
13020,2,7,0,0
13021,1,NSS,NSS,NSS
13021,2,NSS,NSS,NSS
13022,1,0,0,0
13022,2,0,0,0
13023,1,0,0,0
13023,2,0,0,0
13024,1,135,0,0
13024,2,104,0,0
13025,1,12,0,0
13025,2,10,0,0
13026,1,0,0,0
13026,2,0,0,0
13027,1,1,0,0
13027,2,1,0,0
13028,1,0,0,0
13028,2,0,0,0
13029,1,NSS,NSS,NSS
13029,2,574,0,0
13030,1,685,0,0
13030,2,531,0,0
13031,1,71,0,0
13031,2,45,0,0
13032,1,0,0,0
13032,2,0,0,0
13033,1,9,0,0
13033,2,16,0,0
13034,1,18,0,0
13034,2,15,0,0
13035,1,32,0,0
13035,2,25,0,0
13036,1,0,0,0
13036,2,0,0,0
13037,1,0,0,0
13037,2,0,0,0
