ubicageo_f,sitpaptt,sitpap1,sitpap2,sitpap3,sitpap4,sitpap5,sitpap6,sitpap7,sitpap8
7049,5,0,0,0,5,0,0,0,0
7050,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
7051,577,0,0,0,577,0,0,0,0
7052,2016,100,0,0,1600,0,316,0,0
7053,40,12,0,0,18,0,10,0,0
7054,3,0,0,0,1,1,1,0,0
7055,NA,NA,NA,NA,NA,NA,NA,NA,NA
7056,NA,NA,NA,NA,NA,NA,NA,NA,NA
7057,1911,350,0,0,1511,0,50,0,0
7058,46,1,0,0,45,0,0,0,0
7059,1963,726,67,0,806,0,219,0,145
7060,450,27,0,0,357,0,66,0,0
7061,1605,530,25,0,1007,43,0,0,0
7062,NA,NA,NA,NA,NA,NA,NA,NA,NA
7063,27,0,0,0,0,0,0,0,27
7064,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
7065,1500,0,0,0,800,0,700,0,0
7066,NA,NA,NA,NA,NA,NA,NA,NA,NA
7067,50,20,0,0,30,0,0,0,0
7068,NA,NA,NA,NA,NA,NA,NA,NA,NA
7069,453,0,0,6,237,0,210,0,0
7070,164,31,0,0,133,0,0,0,0
7071,NA,NA,NA,NA,NA,NA,NA,NA,NA
7072,160,40,0,0,120,0,0,0,0
7073,288,68,0,0,120,0,100,0,0
7074,NA,NA,NA,NA,NA,NA,NA,NA,NA
7075,100,20,0,0,70,0,10,0,0
7076,NA,NA,NA,NA,NA,NA,NA,NA,NA
7077,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
7078,3503,0,0,0,3503,0,0,0,0
7079,569,350,0,0,211,0,8,0,0
7080,499,50,0,0,249,0,200,0,0
7081,576,0,0,0,576,0,0,0,0
7082,NA,NA,NA,NA,NA,NA,NA,NA,NA
7083,50,15,0,0,35,0,0,0,0
7084,4,0,0,0,4,0,0,0,0
7085,25,10,0,0,15,0,0,0,0
7086,680,226,0,0,354,0,100,0,0
7087,1027,0,0,0,0,0,0,0,1027
7088,NA,NA,NA,NA,NA,NA,NA,NA,NA
7089,10875,0,0,0,10875,0,0,0,0
7090,12,2,0,0,10,0,0,0,0
7091,NA,NA,NA,NA,NA,NA,NA,NA,NA
7092,331,0,0,0,331,0,0,0,0
7093,NA,NA,NA,NA,NA,NA,NA,NA,NA
7094,107,0,0,0,107,0,0,0,0
7096,NA,NA,NA,NA,NA,NA,NA,NA,NA
7097,915,235,0,0,622,0,58,0,0
7098,8,2,0,0,6,0,0,0,0
7099,70,35,0,0,35,0,0,0,0
7100,NA,NA,NA,NA,NA,NA,NA,NA,NA
7101,6031,0,0,0,6031,0,0,0,0
7102,NA,NA,NA,NA,NA,NA,NA,NA,NA
7103,67,40,0,0,27,0,0,0,0
7104,85,20,0,0,65,0,0,0,0
7105,NA,NA,NA,NA,NA,NA,NA,NA,NA
7106,130,25,0,0,105,0,0,0,0
7107,364,100,0,20,207,0,37,0,0
7108,84,0,0,0,84,0,0,0,0
7109,NA,NA,NA,NA,NA,NA,NA,NA,NA
7110,NA,NA,NA,NA,NA,NA,NA,NA,NA
7111,25,0,0,0,25,0,0,0,0
7112,NA,NA,NA,NA,NA,NA,NA,NA,NA
7113,349,0,0,0,349,0,0,0,0
7114,103,3,0,0,7,0,93,0,0
7115,NA,NA,NA,NA,NA,NA,NA,NA,NA
7116,NA,NA,NA,NA,NA,NA,NA,NA,NA
7117,25,8,0,5,8,0,4,0,0
7118,80,10,0,0,70,0,0,0,0
7119,15,0,0,0,15,0,0,0,0
7120,35,0,0,0,35,0,0,0,0
7121,80,10,0,0,70,0,0,0,0
7122,26,17,0,4,2,0,2,0,1
7123,NA,NA,NA,NA,NA,NA,NA,NA,NA
7124,NA,NA,NA,NA,NA,NA,NA,NA,NA
7125,20,0,0,0,20,0,0,0,0
8001,NA,NA,NA,NA,NA,NA,NA,NA,NA
8002,1524,0,0,0,1524,0,0,0,0
8003,60,0,0,0,55,0,5,0,0
8004,361,90,0,0,208,9,54,0,0
8005,3191,354,234,469,1215,207,712,0,0
8006,NA,NA,NA,NA,NA,NA,NA,NA,NA
8007,85,1,0,0,84,0,0,0,0
8008,10,0,0,0,10,0,0,0,0
8009,NA,NA,NA,NA,NA,NA,NA,NA,NA
8010,NA,NA,NA,NA,NA,NA,NA,NA,NA
8011,2258,58,0,0,2200,0,0,0,0
8012,NA,NA,NA,NA,NA,NA,NA,NA,NA
8013,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
8014,NA,NA,NA,NA,NA,NA,NA,NA,NA
8015,35,0,0,0,35,0,0,0,0
8016,NA,NA,NA,NA,NA,NA,NA,NA,NA
8017,6612,50,22,0,5350,40,919,0,231
8018,NA,NA,NA,NA,NA,NA,NA,NA,NA
8019,15532,5636,1407,20,7733,46,600,0,90
8020,NA,NA,NA,NA,NA,NA,NA,NA,NA
8021,3062,174,0,84,2791,0,13,0,0
8022,NA,NA,NA,NA,NA,NA,NA,NA,NA
8023,NA,NA,NA,NA,NA,NA,NA,NA,NA
