ubicageo_f,cantdeli_b,mymenitt,mymeni1,mymeni2,mymeni3,mymenint,mymenis1,mymeni4,mymeni5,mymeni6,mymenis2,mymeni8,mymeni9,mymeni10,mymenis3,mymeni12,mymeni13,mymeni14,mymenins
1001,1,4549,NSS,NSS,4549,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,4549,NSS,NSS,4549,
1005,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1005,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1005,9,,,,,,,,,,,,,,,,,,
1006,1,123,123,0,0,,108,108,0,0,15,15,0,0,0,0,0,0,
1006,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1006,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1006,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1006,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1006,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1006,9,,,,,,,,,,,,,,,,,,
1007,1,78,71,7,0,,65,61,4,0,13,10,3,0,0,0,0,0,
1007,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1007,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1007,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1007,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1007,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1007,9,,,,,,,,,,,,,,,,,,
1008,1,17,16,1,0,,17,16,1,0,0,0,0,0,0,0,0,0,
1008,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1008,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1008,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1008,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1008,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1008,9,,,,,,,,,,,,,,,,,,
1009,1,29,29,0,0,,29,29,0,0,0,0,0,0,0,0,0,0,
1009,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1009,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1009,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1009,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1009,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1009,9,,,,,,,,,,,,,,,,,,
1010,1,36,36,0,0,,36,36,0,0,0,0,0,0,0,0,0,0,
1010,2,3,3,0,0,,3,3,0,0,0,0,0,0,0,0,0,0,
1010,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1010,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1010,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1010,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1010,9,,,,,,,,,,,,,,,,,,
1011,1,280,275,5,0,,256,251,5,0,24,24,0,0,0,0,0,0,
1011,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1011,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1011,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1011,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1011,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
1011,9,,,,,,,,,,,,,,,,,,
2001,1,1846,1846,0,0,,1730,1730,0,0,116,116,0,0,0,0,0,0,
2001,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2001,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2001,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2001,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2001,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2001,9,,,,,,,,,,,,,,,,,,
2002,1,6155,5969,186,0,,5767,5605,162,0,388,364,24,0,0,0,0,0,
2002,2,770,763,7,0,,734,728,6,0,36,35,1,0,0,0,0,0,
2002,3,169,168,1,0,,169,168,1,0,0,0,0,0,0,0,0,0,
2002,4,58,58,0,0,,54,54,0,0,4,4,0,0,0,0,0,0,
2002,5,19,19,0,0,,18,18,0,0,1,1,0,0,0,0,0,0,
2002,6,25,25,0,0,,25,25,0,0,0,0,0,0,0,0,0,0,
2002,9,,,,,,,,,,,,,,,,,,
2003,1,454,NSS,NSS,NSS,454,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,454
2003,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2003,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2003,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2003,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2003,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2003,9,,,,,,,,,,,,,,,,,,
2004,1,11002,10822,180,0,,10251,10077,174,0,751,745,6,0,0,0,0,0,
2004,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2004,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2004,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2004,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2004,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2004,9,,,,,,,,,,,,,,,,,,
2005,1,1129,1113,16,0,,1059,1046,13,0,70,67,3,0,0,0,0,0,
2005,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2005,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2005,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2005,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2005,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2005,9,,,,,,,,,,,,,,,,,,
2006,1,241,241,0,0,,240,240,0,0,1,1,0,0,0,0,0,0,
2006,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2006,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2006,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2006,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2006,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2006,9,,,,,,,,,,,,,,,,,,
2007,1,208,NSS,NSS,208,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,208,NSS,NSS,208,
2007,2,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
2007,3,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
2007,4,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
2007,5,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
2007,6,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
2007,9,,,,,,,,,,,,,,,,,,
3001,1,985,985,0,0,,960,960,0,0,25,25,0,0,0,0,0,0,
3001,2,58,58,0,0,,55,55,0,0,3,3,0,0,0,0,0,0,
3001,3,19,19,0,0,,19,19,0,0,0,0,0,0,0,0,0,0,
3001,4,5,5,0,0,,4,4,0,0,1,1,0,0,0,0,0,0,
3001,5,5,5,0,0,,5,5,0,0,0,0,0,0,0,0,0,0,
3001,6,10,10,0,0,,10,10,0,0,0,0,0,0,0,0,0,0,
3001,9,,,,,,,,,,,,,,,,,,
3002,1,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
3002,2,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
3002,3,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
3002,4,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
3002,5,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
3002,6,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
3002,9,,,,,,,,,,,,,,,,,,
3003,1,201,193,7,1,,187,179,7,1,14,14,0,0,0,0,0,0,
3003,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
3003,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
3003,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
3003,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
3003,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
3003,9,,,,,,,,,,,,,,,,,,
3008,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3008,2,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3008,3,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
