ubicageo_f,aniorefe_b,pprfue1,pprfue2,pprfue3
1001,1,NSS,NSS,NSS
1001,2,NSS,NSS,NSS
1002,1,202,0,0
1002,2,241,0,0
1003,1,120,0,0
1003,2,110,0,0
1004,1,0,0,0
1004,2,0,0,0
1005,1,500,0,0
1005,2,449,0,0
1006,1,0,0,0
1006,2,0,0,0
1007,1,175,0,0
1007,2,78,0,0
1008,1,0,0,0
1008,2,0,0,0
1009,1,0,0,0
1009,2,0,0,0
1010,1,0,0,0
1010,2,0,0,0
1011,1,0,0,0
1011,2,0,0,0
2001,1,0,0,0
2001,2,0,0,0
2002,1,0,0,0
2002,2,0,0,0
2003,1,NSS,NSS,NSS
2003,2,NSS,NSS,NSS
2004,1,29,10,2
2004,2,222,33,15
2005,1,23,0,0
2005,2,51,0,0
2006,1,NA,NA,NA
2006,2,0,0,0
2007,1,NA,NA,NA
2007,2,208,0,0
3001,1,NA,NA,NA
3001,2,0,0,0
3002,1,NSS,NSS,NSS
3002,2,NSS,NSS,NSS
3003,1,72,0,0
3003,2,201,0,0
3008,1,NA,NA,NA
3008,2,NA,NA,NA
3009,1,9,0,0
3009,2,9,0,0
4001,1,50,0,0
4001,2,54,0,0
4002,1,NA,NA,NA
4002,2,1177,0,0
4003,1,196,0,0
4003,2,499,0,0
4004,1,103,0,0
4004,2,101,0,0
4005,1,9,0,0
4005,2,11,0,0
4006,1,NA,NA,NA
4006,2,70,0,0
4007,1,5,0,0
4007,2,30,0,0
4008,1,NA,NA,NA
4008,2,NA,NA,NA
4009,1,137,0,0
4009,2,152,0,0
4010,1,9,0,0
4010,2,20,0,0
4011,1,16,0,0
4011,2,21,0,0
4012,1,NA,NA,NA
4012,2,NA,NA,NA
4013,1,NA,NA,NA
4013,2,NA,NA,NA
5001,1,NA,NA,NA
5001,2,NA,NA,NA
5002,1,0,0,0
5002,2,0,0,0
5003,1,NSS,NSS,NSS
5003,2,0,0,0
5004,1,NA,NA,NA
5004,2,NA,NA,NA
5005,1,NA,NA,NA
5005,2,NA,NA,NA
5006,1,NSS,NSS,NSS
5006,2,0,0,0
5007,1,10,0,0
5007,2,7,0,0
5008,1,NA,NA,NA
5008,2,NA,NA,NA
5009,1,0,0,0
5009,2,0,0,0
5010,1,NSS,NSS,NSS
5010,2,NA,NA,NA
5011,1,0,0,0
5011,2,0,0,0
5012,1,NA,NA,NA
5012,2,NA,NA,NA
5013,1,NA,NA,NA
5013,2,NA,NA,NA
5014,1,65,10,0
5014,2,80,16,0
5015,1,NA,NA,NA
5015,2,NA,NA,NA
5016,1,0,0,0
5016,2,0,0,0
5017,1,NSS,NSS,NSS
5017,2,0,0,0
5018,1,NSS,NSS,NSS
5018,2,0,0,0
5019,1,NSS,NSS,NSS
5019,2,0,0,0
5020,1,NA,NA,NA
5020,2,611,0,0
5021,1,NSS,NSS,NSS
5021,2,0,0,0
5022,1,12,0,0
5022,2,9,0,0
5023,1,0,0,0
5023,2,0,0,0
5024,1,61,0,0
5024,2,135,0,0
5025,1,0,0,0
5025,2,0,0,0
5026,1,NA,NA,NA
5026,2,NA,NA,NA
5027,1,NA,NA,NA
5027,2,NA,NA,NA
5028,1,441,0,0
5028,2,474,0,0
5029,1,NSS,NSS,NSS
5029,2,NA,NA,NA
5030,1,NSS,NSS,NSS
5030,2,NSS,NSS,NSS
5031,1,0,0,0
5031,2,0,0,0
5032,1,NSS,NSS,NSS
5032,2,0,0,0
5033,1,NA,NA,NA
5033,2,NA,NA,NA
5034,1,0,0,0
5034,2,0,0,0
5035,1,1987,0,0
5035,2,4608,0,0
5036,1,0,0,0
5036,2,0,0,0
5037,1,NSS,NSS,NSS
5037,2,NA,NA,NA
5038,1,NA,NA,NA
5038,2,0,0,0
6001,1,4,0,0
6001,2,16,0,0
6002,1,387,0,0
6002,2,202,0,0
6003,1,0,0,0
6003,2,0,0,0
6004,1,0,0,0
6004,2,0,0,0
6005,1,0,0,0
6005,2,0,0,0
6006,1,4,0,0
6006,2,2,0,0
6007,1,0,0,0
6007,2,0,0,0
6008,1,0,0,0
6008,2,0,0,0
6009,1,0,0,0
6009,2,0,0,0
6010,1,0,0,0
6010,2,0,0,0
7001,1,NA,NA,NA
7001,2,NA,NA,NA
7002,1,NA,NA,NA
7002,2,NA,NA,NA
7003,1,NA,NA,NA
7003,2,NA,NA,NA
7004,1,NSS,NSS,NSS
7004,2,3,3,0
7005,1,NA,NA,NA
7005,2,4,0,0
7006,1,NA,NA,NA
7006,2,NA,NA,NA
7007,1,NA,NA,NA
7007,2,NA,NA,NA
7008,1,NA,NA,NA
7008,2,NA,NA,NA
7009,1,NA,NA,NA
7009,2,NA,NA,NA
7010,1,NA,NA,NA
7010,2,NA,NA,NA
7011,1,NA,NA,NA
7011,2,NA,NA,NA
7012,1,60,0,0
7012,2,50,0,0
7013,1,NA,NA,NA
7013,2,0,0,0
7014,1,NA,NA,NA
7014,2,0,0,0
7015,1,5,5,0
7015,2,8,8,0
7016,1,NA,NA,NA
7016,2,NA,NA,NA
7017,1,0,0,0
7017,2,0,0,0
7018,1,0,0,0
7018,2,0,0,0
7019,1,38,0,0
7019,2,55,0,0
7020,1,0,0,0
7020,2,0,0,0
7021,1,4,4,0
7021,2,22,22,0
7022,1,NA,NA,NA
7022,2,NA,NA,NA
7023,1,0,0,0
7023,2,0,0,0
7024,1,10,0,0
7024,2,5,0,0
7025,1,NSS,NSS,NSS
7025,2,NA,NA,NA
7026,1,NA,NA,NA
7026,2,NA,NA,NA
7027,1,0,0,0
7027,2,0,0,0
7028,1,NA,NA,NA
7028,2,NA,NA,NA
7029,1,NA,NA,NA
7029,2,NA,NA,NA
7030,1,NA,NA,NA
7030,2,0,0,0
7031,1,0,0,0
7031,2,0,0,0
7032,1,14,0,0
7032,2,6,0,0
7033,1,NA,NA,NA
7033,2,NA,NA,NA
7034,1,NA,NA,NA
7034,2,NA,NA,NA
7035,1,NA,NA,NA
7035,2,0,0,0
7036,1,NA,NA,NA
7036,2,NA,NA,NA
7037,1,NSS,NSS,NSS
7037,2,11,0,0
7038,1,NA,NA,NA
7038,2,NA,NA,NA
7039,1,NA,NA,NA
7039,2,2,0,0
7040,1,NA,NA,NA
7040,2,0,0,0
7041,1,NA,NA,NA
7041,2,0,0,0
7042,1,0,0,0
7042,2,0,0,0
