ubicageo_f,aniorefe_b,totalca1
1001,1,57621
1001,2,47906
1002,1,981
1002,2,936
1003,1,2983
1003,2,2860
1004,1,402
1004,2,542
1005,1,6457
1005,2,5935
1006,1,4303
1006,2,3019
1007,1,1894
1007,2,1234
1008,1,655
1008,2,362
1009,1,701
1009,2,519
1010,1,1910
1010,2,1394
1011,1,6193
1011,2,5625
2001,1,NA
2001,2,NA
2002,1,12107
2002,2,17634
2003,1,9209
2003,2,19331
2004,1,49311
2004,2,61340
2005,1,NA
2005,2,16592
2006,1,NA
2006,2,6988
2007,1,NA
2007,2,4488
3001,1,NA
3001,2,953
3002,1,NSS
3002,2,NSS
3003,1,4067
3003,2,2203
3008,1,NSS
3008,2,9346
3009,1,NA
3009,2,NA
4001,1,368
4001,2,416
4002,1,NA
4002,2,5134
4003,1,1594
4003,2,2912
4004,1,915
4004,2,688
4005,1,222
4005,2,100
4006,1,NSS
4006,2,316
4007,1,31
4007,2,76
4008,1,121
4008,2,148
4009,1,708
4009,2,670
4010,1,55
4010,2,134
4011,1,162
4011,2,377
4012,1,NA
4012,2,NA
4013,1,NA
4013,2,NA
5001,1,NA
5001,2,10
5002,1,5031
5002,2,7076
5003,1,NSS
5003,2,397
5004,1,1647
5004,2,2326
5005,1,NA
5005,2,NA
5006,1,NSS
5006,2,528
5007,1,739
5007,2,543
5008,1,NA
5008,2,NA
5009,1,1052
5009,2,1322
5010,1,NSS
5010,2,3405
5011,1,110
5011,2,116
5012,1,NA
5012,2,NA
5013,1,NA
5013,2,NA
5014,1,261
5014,2,269
5015,1,NA
5015,2,NA
5016,1,100
5016,2,77
5017,1,NSS
5017,2,3058
5018,1,NSS
5018,2,10901
5019,1,NSS
5019,2,280
5020,1,NA
5020,2,3265
5021,1,NSS
5021,2,112
5022,1,1002
5022,2,1518
5023,1,121
5023,2,108
5024,1,1453
5024,2,1420
5025,1,12331
5025,2,25250
5026,1,NA
5026,2,NA
5027,1,5108
5027,2,5954
5028,1,2256
5028,2,1263
5029,1,NSS
5029,2,50
5030,1,13952
5030,2,12775
5031,1,389
5031,2,579
5032,1,NSS
5032,2,NA
5033,1,2251
5033,2,2290
5034,1,38
5034,2,45
5035,1,6038
5035,2,7160
