ubicageo_f,aniorefe_b,rnsnni1,percontt,percon1,percon2,percon3,percon4,percon5,percon6,percon7,percon8,percon9,percon10,percon11,percon12,percon13,percon14,perconne
14090,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14091,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14091,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14092,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14092,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
14093,1,1,20,5,0,0,11,2,0,0,0,2,0,0,0,0,0,
14093,2,1,18,5,0,0,8,0,0,0,0,0,0,0,0,0,5,
14094,1,1,9,8,0,0,1,0,0,0,0,0,0,0,0,0,0,
14094,2,1,11,10,0,0,1,0,0,0,0,0,0,0,0,0,0,
14095,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
14095,2,1,42,21,0,0,11,2,0,8,0,0,0,0,0,0,0,
14096,1,1,8,4,0,0,3,1,0,0,0,0,0,0,0,0,0,
14096,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
14097,1,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
14097,2,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
14098,1,1,584,0,0,0,0,0,0,270,0,0,0,0,0,314,0,
14098,2,1,624,0,0,0,0,0,0,352,0,0,0,0,0,272,0,
14099,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14099,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14100,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14100,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14101,1,1,173,0,0,0,0,0,0,0,0,173,0,0,0,0,0,
14101,2,1,867,0,0,0,0,0,0,0,0,867,0,0,0,0,0,
14102,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14102,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14103,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14103,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14104,1,98,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,
14104,2,98,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,
14105,1,1,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,
14105,2,1,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,
14106,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14106,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14107,1,1,31,26,0,0,5,0,0,0,0,0,0,0,0,0,0,
14107,2,1,41,38,0,0,3,0,0,0,0,0,0,0,0,0,0,
14108,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
14108,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
14109,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14109,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14110,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
14110,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
14111,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14111,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14112,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
14112,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14113,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14113,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14114,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14114,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14115,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14115,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14116,1,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
14116,2,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
14117,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14117,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14118,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14118,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14119,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14119,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14120,1,1,919,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,919,NSS,NSS,NSS,NSS,NSS,
14120,2,1,906,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,906,NSS,NSS,NSS,NSS,NSS,
14121,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14121,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
14122,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14122,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14123,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
14123,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14124,1,1,20,6,2,0,3,6,0,0,0,3,0,0,0,0,0,
14124,2,1,39,16,1,0,11,0,0,0,0,11,0,0,0,0,0,
14125,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14125,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15001,1,1,26,4,0,0,4,0,1,0,0,6,0,0,0,0,11,
15001,2,1,17,1,0,0,1,1,0,0,0,8,0,0,0,0,6,
15002,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15002,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15003,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
15003,2,1,21,5,1,0,5,2,0,0,0,8,0,0,0,0,0,
15004,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15004,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15005,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
15005,2,1,9,8,0,0,1,0,0,0,0,0,0,0,0,0,0,
15006,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15006,2,1,10,8,0,0,2,0,0,0,0,0,0,0,0,0,0,
15007,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15007,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15008,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
15008,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15009,1,1,43,30,1,0,6,2,0,0,0,0,1,1,0,2,0,
15009,2,1,41,16,3,0,12,3,0,0,0,0,1,1,0,5,0,
15010,1,1,58,30,0,0,28,0,0,0,0,0,0,0,0,0,0,
15010,2,1,138,50,0,0,65,3,0,0,0,0,20,0,0,0,0,
15011,1,1,78,52,0,0,26,0,0,0,0,0,0,0,0,0,0,
15011,2,1,99,75,0,0,24,0,0,0,0,0,0,0,0,0,0,
15012,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
15012,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15013,1,1,529,111,0,0,106,0,0,0,0,0,0,0,0,0,312,
15013,2,1,896,352,21,0,162,13,0,0,0,0,176,28,0,41,103,
15014,1,1,24,16,0,0,8,0,0,0,0,0,0,0,0,0,0,
15014,2,1,88,70,0,0,18,0,0,0,0,0,0,0,0,0,0,
15015,1,1,16,14,0,0,2,0,0,0,0,0,0,0,0,0,0,
15015,2,1,14,11,0,0,3,0,0,0,0,0,0,0,0,0,0,
15016,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15016,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15017,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15017,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15018,1,1,28,11,2,0,13,2,0,0,0,0,0,0,0,0,0,
15018,2,1,37,14,3,0,15,5,0,0,0,0,0,0,0,0,0,
15019,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
15019,2,1,62,0,0,0,0,0,0,0,0,14,0,0,0,0,48,
15020,1,1,169,169,0,0,0,0,0,0,0,0,0,0,0,0,0,
15020,2,1,356,355,0,0,1,0,0,0,0,0,0,0,0,0,0,
15021,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
15021,2,1,16,15,0,0,1,0,0,0,0,0,0,0,0,0,0,
15022,1,1,45,35,0,0,10,0,0,0,0,0,0,0,0,0,0,
15022,2,1,89,60,0,0,29,0,0,0,0,0,0,0,0,0,0,
15023,1,1,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,
15023,2,1,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,
15024,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15024,2,1,202,69,43,11,31,27,0,0,0,0,6,15,0,0,0,
15025,1,1,158,93,0,0,65,0,0,0,0,0,0,0,0,0,0,
15025,2,1,207,136,0,0,71,0,0,0,0,0,0,0,0,0,0,
15026,1,1,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,
15026,2,1,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,
15027,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
15027,2,1,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,
15028,1,1,39,33,0,0,0,0,0,0,0,0,0,0,0,6,0,
15028,2,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,
15029,1,1,3106,827,627,120,320,202,0,480,330,0,0,0,0,200,0,
15029,2,1,3178,680,728,110,348,305,0,587,265,0,0,0,0,155,0,
15030,1,1,125,115,0,0,10,0,0,0,0,0,0,0,0,0,0,
15030,2,1,156,109,0,0,47,0,0,0,0,0,0,0,0,0,0,
15031,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15031,2,1,936,583,20,163,119,19,29,1,1,1,0,0,0,0,0,
15032,1,1,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,
15032,2,1,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,
15033,1,1,1301,801,100,0,350,50,0,0,0,0,0,0,0,0,0,
15033,2,1,1115,870,29,0,208,8,0,0,0,0,0,0,0,0,0,
15034,1,1,7,4,0,0,3,0,0,0,0,0,0,0,0,0,0,
15034,2,1,9,5,0,0,4,0,0,0,0,0,0,0,0,0,0,
15035,1,1,286,165,4,44,26,0,6,0,0,0,0,0,0,41,0,
15035,2,1,206,132,2,4,20,0,0,0,0,0,0,0,0,48,0,
15036,1,1,39,25,0,0,14,0,0,0,0,0,0,0,0,0,0,
15036,2,1,41,30,0,0,11,0,0,0,0,0,0,0,0,0,0,
15037,1,1,239,130,2,0,84,1,0,0,0,0,0,7,0,15,0,
15037,2,1,166,74,6,0,64,2,0,0,0,0,1,5,0,14,0,
15038,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
15038,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15039,1,1,404,161,6,53,75,6,18,0,0,0,34,27,0,24,0,
15039,2,1,791,166,15,111,105,12,39,0,0,0,226,54,0,63,0,
15040,1,1,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,
15040,2,1,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,
15041,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15041,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15042,1,1,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,
15042,2,1,48,45,0,0,3,0,0,0,0,0,0,0,0,0,0,
15043,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15043,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15044,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15044,2,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
15045,1,1,80,73,0,0,7,0,0,0,0,0,0,0,0,0,0,
15045,2,1,139,100,0,0,39,0,0,0,0,0,0,0,0,0,0,
15046,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15046,2,1,30,27,0,0,3,0,0,0,0,0,0,0,0,0,0,
15047,1,1,16,9,0,0,0,0,0,0,0,0,2,0,0,5,0,
15047,2,1,41,21,0,0,20,0,0,0,0,0,0,0,0,0,0,
15048,1,1,58,17,7,0,23,5,0,2,0,0,0,4,0,0,0,
15048,2,1,67,29,7,0,17,3,0,1,3,0,0,7,0,0,0,
15049,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15049,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15050,1,1,27,23,0,0,4,0,0,0,0,0,0,0,0,0,0,
15050,2,1,49,32,0,0,17,0,0,0,0,0,0,0,0,0,0,
15051,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15051,2,1,136,0,0,0,0,0,0,0,0,136,0,0,0,0,0,
15052,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15052,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15053,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
15053,2,1,209,100,0,0,109,0,0,0,0,0,0,0,0,0,0,
15054,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15054,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15055,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15055,2,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,
15056,1,1,29,27,2,0,0,0,0,0,0,0,0,0,0,0,0,
15056,2,1,25,20,1,0,2,2,0,0,0,0,0,0,0,0,0,
15057,1,1,11619,6790,0,0,1823,0,3,0,1,0,0,0,0,3002,0,
15057,2,1,13251,2099,119,607,2866,180,500,8,11,4039,16,993,0,1655,158,
15058,1,1,1154,376,24,58,251,14,21,0,0,295,103,12,0,0,0,
15058,2,1,1924,498,50,68,406,48,25,0,0,728,76,25,0,0,0,
15059,1,1,350,275,0,0,50,0,0,0,0,0,0,25,0,0,0,
15059,2,1,405,275,0,0,70,0,0,0,0,0,0,15,0,45,0,
15060,1,1,504,441,13,0,46,4,0,0,0,0,0,0,0,0,0,
15060,2,1,779,579,13,0,75,1,0,0,0,111,0,0,0,0,0,
15061,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15061,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15062,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15062,2,1,1081,1040,0,0,41,0,0,0,0,0,0,0,0,0,0,
15063,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15063,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15064,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15064,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15065,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15065,2,1,83,43,0,0,16,0,0,0,0,0,0,7,0,17,0,
15066,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15066,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15067,1,1,45,35,5,0,5,0,0,0,0,0,0,0,0,0,0,
15067,2,1,48,42,2,0,4,0,0,0,0,0,0,0,0,0,0,
15068,1,1,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,
15068,2,1,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,
15069,1,1,16,11,0,3,2,0,0,0,0,0,0,0,0,0,0,
15069,2,1,10,8,0,1,1,0,0,0,0,0,0,0,0,0,0,
15070,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15070,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15071,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15071,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15072,1,1,25,19,1,0,4,1,0,0,0,0,0,0,0,0,0,
15072,2,1,15,12,0,0,3,0,0,0,0,0,0,0,0,0,0,
15073,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15073,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15074,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
15074,2,1,34,0,0,34,0,0,0,0,0,0,0,0,0,0,0,
15075,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15075,2,1,69,65,0,0,4,0,0,0,0,0,0,0,0,0,0,
15076,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15076,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15077,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
15077,2,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
15078,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15078,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15079,1,1,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,
15079,2,1,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,
15080,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
15080,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15081,1,1,687,252,5,67,55,12,35,0,1,0,0,0,0,60,200,
15081,2,1,798,166,7,64,75,4,47,0,0,278,14,73,0,70,0,
15082,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15082,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15083,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15083,2,1,11,7,0,0,4,0,0,0,0,0,0,0,0,0,0,
15084,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15084,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15085,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15085,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15086,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15086,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15087,1,1,78,0,0,0,0,0,0,0,0,78,0,0,0,0,0,
15087,2,1,77,0,0,0,7,0,0,0,0,70,0,0,0,0,0,
15088,1,1,624,500,0,0,124,0,0,0,0,0,0,0,0,0,0,
15088,2,1,218,180,0,0,38,0,0,0,0,0,0,0,0,0,0,
15089,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15089,2,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,
15090,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
15090,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15091,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15091,2,1,200,132,0,0,23,0,0,0,0,0,0,6,0,39,0,
15092,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15092,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15093,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15093,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15094,1,1,8,6,0,0,2,0,0,0,0,0,0,0,0,0,0,
15094,2,1,52,37,0,0,11,0,0,0,0,0,0,0,0,4,0,
15095,1,1,193,142,2,6,42,1,0,0,0,0,0,0,0,0,0,
15095,2,1,207,107,5,36,56,3,0,0,0,0,0,0,0,0,0,
15096,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15096,2,1,108,57,1,0,28,1,0,0,0,0,0,0,0,21,0,
15097,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15097,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15098,1,1,16,11,0,0,5,0,0,0,0,0,0,0,0,0,0,
15098,2,1,9,7,0,0,2,0,0,0,0,0,0,0,0,0,0,
15099,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15099,2,1,475,262,0,9,198,0,0,0,0,6,0,0,0,0,0,
15100,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15100,2,1,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0,
15101,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15101,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15102,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15102,2,1,17,16,0,0,1,0,0,0,0,0,0,0,0,0,0,
15103,1,1,80,60,0,0,20,0,0,0,0,0,0,0,0,0,0,
15103,2,1,54,40,0,0,14,0,0,0,0,0,0,0,0,0,0,
15104,1,1,1311,444,101,30,427,82,20,50,15,0,0,33,0,109,0,
15104,2,1,927,472,22,18,203,27,0,0,0,0,0,39,0,146,0,
15105,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
15105,2,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
15106,1,1,734,0,0,0,0,0,0,0,0,0,0,0,0,0,734,
15106,2,1,1727,0,0,0,0,0,0,0,0,17,0,0,0,0,1710,
15107,1,1,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,
15107,2,1,5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,
15108,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15108,2,1,178,70,0,0,108,0,0,0,0,0,0,0,0,0,0,
15109,1,1,498,0,0,0,0,0,0,0,0,498,0,0,0,0,0,
15109,2,1,439,0,0,0,0,0,0,0,0,439,0,0,0,0,0,
15110,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15110,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15111,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
15111,2,1,1644,931,20,0,668,25,0,0,0,0,0,0,0,0,0,
15112,1,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
15112,2,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
15113,1,1,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,
15113,2,1,5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,
