ubicageo_f,aniorefe_b,rnsnni1,percontt,percon1,percon2,percon3,percon4,percon5,percon6,percon7,percon8,percon9,percon10,percon11,percon12,percon13,percon14,perconne
4008,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4008,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4009,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4009,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4010,1,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,
4010,2,1,20,19,0,0,1,0,0,0,0,0,0,0,0,0,0,
4011,1,1,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,
4011,2,1,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,
4012,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4012,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4013,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4013,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5001,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5001,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5002,1,1,1154,0,0,0,0,0,0,0,0,1154,0,0,0,0,0,
5002,2,1,1371,0,0,0,0,0,0,0,0,1371,0,0,0,0,0,
5003,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
5003,2,1,20,0,0,0,0,0,0,15,0,0,0,0,0,0,5,
5004,1,1,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,
5004,2,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,
5005,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5005,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5006,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
5006,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5007,1,1,45,42,2,0,1,0,0,0,0,0,0,0,0,0,0,
5007,2,1,54,51,2,0,1,0,0,0,0,0,0,0,0,0,0,
5008,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5008,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5009,1,1,29,20,0,0,5,4,0,0,0,0,0,0,0,0,0,
5009,2,1,54,43,0,0,7,4,0,0,0,0,0,0,0,0,0,
5010,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
5010,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
