ubicageo_f,objetos_a,rnsnni1,unidmedi_h,totalca1,rnsnni2,unidmedi_m,totalca2
1001,11,0,0,NA,0,0,NA
1001,12,0,0,NA,0,0,NA
1001,13,0,0,NA,0,0,NA
1001,14,0,0,NA,0,0,NA
1001,20,0,0,NA,0,0,NA
1001,30,0,0,NA,0,0,NA
1001,40,0,0,NA,0,0,NA
1001,50,0,0,NA,0,0,NA
1001,60,0,0,NA,0,0,NA
1001,70,0,0,NA,0,0,NA
1001,80,0,0,NA,0,0,NA
1002,11,1,1,8,1,1,4
1002,12,1,1,4,1,1,6
1002,13,2,0,NA,2,0,NA
1002,14,0,8,0,0,8,0
1002,20,2,0,NA,1,1,2
1002,30,1,1,104,1,1,106
1002,40,1,1,28,1,1,7
1002,50,1,5,4,1,1,2
1002,60,2,0,NA,2,0,NA
1002,70,1,2,NSS,1,2,NSS
1002,80,1,1,28,1,1,29
1003,11,1,1,2,2,0,NA
1003,12,1,1,4,1,1,5
1003,13,1,1,1,2,0,NA
1003,14,0,0,NA,0,0,NA
1003,20,2,0,NA,2,0,NA
1003,30,1,1,30,1,1,35
1003,40,1,1,4,1,1,5
1003,50,1,5,50900,1,5,100000
1003,60,2,0,NA,2,0,NA
1003,70,1,1,221,1,1,45
1003,80,1,8,4,1,1,1
1004,11,2,0,NA,2,0,NA
1004,12,1,1,4,1,1,1
1004,13,2,0,NA,2,0,NA
1004,14,0,0,NA,0,0,NA
1004,20,1,1,2,1,1,1
1004,30,1,1,10,1,1,1
1004,40,2,0,NA,2,0,NA
1004,50,2,0,NA,2,0,NA
1004,60,2,0,NA,2,0,NA
1004,70,1,2,37,1,2,19
1004,80,1,1,3,1,1,3
1005,11,1,1,3,2,0,NA
1005,12,1,1,5,1,1,10
1005,13,1,1,1,1,1,1
1005,14,0,0,NA,0,1,0
1005,20,2,0,NA,2,0,NA
1005,30,1,1,157,1,1,182
1005,40,1,1,27,1,1,4
1005,50,2,0,NA,2,0,NA
1005,60,2,0,NA,2,0,NA
1005,70,1,1,115,1,1,740
1005,80,2,0,NA,2,0,NA
1006,11,1,1,1,2,0,NA
1006,12,1,1,4,1,1,3
1006,13,2,0,NA,2,0,NA
1006,14,0,0,NA,0,0,NA
1006,20,2,0,NA,2,0,NA
1006,30,1,1,12,1,1,24
1006,40,1,1,4,1,1,1
1006,50,1,5,800,2,0,NA
1006,60,2,0,NA,2,0,NA
1006,70,2,0,NA,2,0,NA
1006,80,1,1,9,1,1,8
1007,11,2,0,NA,2,0,NA
1007,12,1,1,5,1,1,1
1007,13,2,0,NA,2,0,NA
1007,14,0,0,NA,0,0,NA
1007,20,2,0,NA,2,0,NA
1007,30,1,1,5,1,1,6
1007,40,2,0,NA,2,0,NA
1007,50,2,0,NA,2,0,NA
1007,60,2,0,NA,2,0,NA
1007,70,1,2,NSS,1,2,NSS
1007,80,2,0,NA,2,0,NA
1008,11,2,0,NA,1,1,1
1008,12,2,0,NA,1,1,1
1008,13,2,0,NA,2,0,NA
1008,14,0,8,0,0,8,0
1008,20,2,0,NA,2,0,NA
1008,30,2,0,NA,2,0,NA
1008,40,2,0,NA,2,0,NA
1008,50,2,0,NA,2,0,NA
1008,60,2,0,NA,2,0,NA
1008,70,1,2,68,1,2,48
1008,80,1,1,12,1,1,2
1009,11,2,0,NA,2,0,NA
1009,12,1,1,2,1,1,3
1009,13,2,0,NA,2,0,NA
1009,14,0,0,NA,0,0,NA
1009,20,2,0,NA,2,0,NA
1009,30,1,1,42,1,1,19
1009,40,2,0,NA,2,0,NA
1009,50,2,0,NA,2,0,NA
1009,60,2,0,NA,2,0,NA
1009,70,1,2,119,1,1,40
1009,80,2,0,NA,2,0,NA
1010,11,1,1,1,2,0,NA
1010,12,1,1,2,1,1,1
1010,13,2,0,NA,2,0,NA
1010,14,0,8,0,0,8,0
1010,20,2,0,NA,1,1,5
1010,30,1,1,5,1,1,10
1010,40,2,0,NA,2,0,NA
1010,50,1,5,25,1,5,10
1010,60,2,0,NA,2,0,NA
1010,70,2,0,NA,2,0,NA
1010,80,1,1,33,1,1,30
1011,11,2,0,NA,2,0,NA
1011,12,1,1,3,1,1,5
1011,13,2,0,NA,2,0,NA
1011,14,0,8,0,0,8,0
1011,20,9,97,NSS,2,0,NA
1011,30,1,1,186,1,1,167
1011,40,9,97,NSS,9,97,NSS
1011,50,9,97,NSS,9,97,NSS
1011,60,9,97,NSS,9,97,NSS
1011,70,1,1,630,1,1,304
1011,80,1,1,26,1,1,17
2001,11,1,1,18,1,1,9
2001,12,1,1,35,1,1,56
2001,13,9,97,NSS,9,97,NSS
2001,14,0,1,0,0,1,0
2001,20,1,1,118,1,1,295
2001,30,1,1,729,1,1,717
2001,40,9,97,NSS,9,97,NSS
2001,50,1,1,0,1,1,4183
2001,60,9,97,NSS,9,97,NSS
2001,70,1,8,13177,1,8,46343
2001,80,9,97,NSS,9,97,NSS
2002,11,0,0,NA,0,0,NA
2002,12,0,0,NA,0,0,NA
2002,13,0,0,NA,0,0,NA
2002,14,0,0,NA,0,0,NA
2002,20,0,0,NA,0,0,NA
2002,30,0,0,NA,0,0,NA
2002,40,0,0,NA,0,0,NA
2002,50,0,0,NA,0,0,NA
2002,60,0,0,NA,0,0,NA
2002,70,0,0,NA,0,0,NA
2002,80,0,0,NA,0,0,NA
2003,11,1,1,11,1,1,15
2003,12,1,1,28,1,1,11
2003,13,2,0,NA,2,0,NA
2003,14,0,8,0,0,8,0
2003,20,1,1,18,1,1,22
2003,30,1,1,338,1,1,280
2003,40,2,0,NA,2,0,NA
2003,50,1,5,32925,1,5,256800
2003,60,2,0,NA,2,0,NA
2003,70,1,8,2921,1,8,7761
2003,80,1,1,990,1,1,1569
2004,11,1,1,200,1,1,190
2004,12,1,1,703,1,1,751
2004,13,1,1,15,1,1,12
2004,14,0,8,0,0,8,0
2004,20,1,1,141,1,1,166
2004,30,1,1,2609,1,1,3021
2004,40,1,1,153,1,1,181
2004,50,1,5,636234,1,5,1196667
2004,60,2,0,NA,1,1,1
2004,70,1,1,4938,1,1,6338
2004,80,1,1,8532,1,1,11963
2005,11,1,1,9,1,1,17
2005,12,1,1,35,1,1,59
2005,13,2,0,NA,2,0,NA
2005,14,0,8,0,0,8,0
2005,20,1,1,149,1,1,232
2005,30,1,1,87,1,1,251
2005,40,1,1,3,2,0,NA
2005,50,1,5,100,2,0,NA
2005,60,2,0,NA,2,0,NA
2005,70,1,2,23963,1,2,24021
2005,80,2,0,NA,2,0,NA
2006,11,0,0,NA,1,1,2
2006,12,0,0,NA,1,1,2
2006,13,0,0,NA,2,0,NA
2006,14,0,0,NA,0,8,0
2006,20,0,0,NA,1,1,25
2006,30,0,0,NA,1,1,11
2006,40,0,0,NA,2,0,NA
2006,50,0,0,NA,2,0,NA
2006,60,0,0,NA,2,0,NA
2006,70,0,0,NA,1,1,15
2006,80,0,0,NA,2,0,NA
2007,11,0,0,NA,1,1,1
2007,12,0,0,NA,1,1,2
2007,13,0,0,NA,2,0,NA
2007,14,0,0,NA,0,8,0
2007,20,0,0,NA,1,1,49
2007,30,0,0,NA,1,1,8
2007,40,0,0,NA,2,0,NA
2007,50,0,0,NA,2,0,NA
2007,60,0,0,NA,2,0,NA
2007,70,0,0,NA,1,8,162
2007,80,0,0,NA,2,0,NA
3001,11,0,0,NA,0,0,NA
3001,12,0,0,NA,0,0,NA
3001,13,0,0,NA,0,0,NA
3001,14,0,0,NA,0,0,NA
3001,20,0,0,NA,0,0,NA
3001,30,0,0,NA,0,0,NA
3001,40,0,0,NA,0,0,NA
3001,50,0,0,NA,0,0,NA
3001,60,0,0,NA,0,0,NA
3001,70,0,0,NA,0,0,NA
3001,80,0,0,NA,0,0,NA
3002,11,97,97,NSS,97,97,NSS
3002,12,97,97,NSS,97,97,NSS
3002,13,97,97,NSS,97,97,NSS
3002,14,97,97,NSS,97,97,NSS
3002,20,97,97,NSS,97,97,NSS
3002,30,97,97,NSS,97,97,NSS
3002,40,97,97,NSS,97,97,NSS
3002,50,97,97,NSS,97,97,NSS
3002,60,97,97,NSS,97,97,NSS
3002,70,97,97,NSS,97,97,NSS
3002,80,97,97,NSS,97,97,NSS
3003,11,0,0,NA,0,0,NA
3003,12,0,0,NA,0,0,NA
3003,13,0,0,NA,0,0,NA
3003,14,0,0,NA,0,0,NA
3003,20,0,0,NA,0,0,NA
3003,30,0,0,NA,0,0,NA
3003,40,0,0,NA,0,0,NA
3003,50,0,0,NA,0,0,NA
3003,60,0,0,NA,0,0,NA
3003,70,0,0,NA,0,0,NA
3003,80,0,0,NA,0,0,NA
3008,11,97,97,NSS,0,0,NA
3008,12,97,97,NSS,0,0,NA
3008,13,97,97,NSS,0,0,NA
3008,14,97,97,NSS,0,0,NA
3008,20,97,97,NSS,0,0,NA
3008,30,97,97,NSS,0,0,NA
3008,40,97,97,NSS,0,0,NA
3008,50,97,97,NSS,0,0,NA
3008,60,97,97,NSS,0,0,NA
3008,70,97,97,NSS,0,0,NA
3008,80,97,97,NSS,0,0,NA
3009,11,2,0,NA,2,0,NA
3009,12,2,0,NA,2,0,NA
3009,13,2,0,NA,1,1,1
3009,14,0,0,NA,0,0,NA
3009,20,2,0,NA,2,0,NA
3009,30,2,0,NA,1,1,5
3009,40,1,1,1,2,0,NA
3009,50,2,0,NA,2,0,NA
3009,60,2,0,NA,2,0,NA
3009,70,1,1,6,1,1,30
3009,80,1,1,72,1,1,42
4001,11,0,0,NA,0,0,NA
4001,12,0,0,NA,0,0,NA
4001,13,0,0,NA,0,0,NA
4001,14,0,0,NA,0,0,NA
4001,20,0,0,NA,0,0,NA
4001,30,0,0,NA,0,0,NA
4001,40,0,0,NA,0,0,NA
4001,50,0,0,NA,0,0,NA
4001,60,0,0,NA,0,0,NA
4001,70,0,0,NA,0,0,NA
4001,80,0,0,NA,0,0,NA
4002,11,0,0,NA,0,0,NA
4002,12,0,0,NA,0,0,NA
4002,13,0,0,NA,0,0,NA
4002,14,0,0,NA,0,0,NA
4002,20,0,0,NA,0,0,NA
4002,30,0,0,NA,0,0,NA
4002,40,0,0,NA,0,0,NA
4002,50,0,0,NA,0,0,NA
4002,60,0,0,NA,0,0,NA
4002,70,0,0,NA,0,0,NA
4002,80,0,0,NA,0,0,NA
4003,11,0,0,NA,0,0,NA
4003,12,0,0,NA,0,0,NA
4003,13,0,0,NA,0,0,NA
4003,14,0,0,NA,0,0,NA
4003,20,0,0,NA,0,0,NA
4003,30,0,0,NA,0,0,NA
4003,40,0,0,NA,0,0,NA
4003,50,0,0,NA,0,0,NA
4003,60,0,0,NA,0,0,NA
4003,70,0,0,NA,0,0,NA
4003,80,0,0,NA,0,0,NA
4004,11,2,0,NA,2,0,NA
4004,12,1,1,3,1,1,2
4004,13,2,0,NA,1,1,5
4004,14,0,8,0,0,8,0
4004,20,1,1,1,2,0,NA
4004,30,1,1,14,1,1,70
4004,40,2,0,NA,2,0,NA
4004,50,2,0,NA,2,0,NA
4004,60,2,0,NA,2,0,NA
4004,70,1,1,70,1,1,90
4004,80,2,0,NA,2,0,NA
4005,11,0,0,NA,1,1,1
4005,12,0,0,NA,1,1,2
4005,13,0,0,NA,2,0,NA
4005,14,0,0,NA,0,0,NA
4005,20,0,0,NA,2,0,NA
4005,30,0,0,NA,2,0,NA
4005,40,0,0,NA,2,0,NA
4005,50,0,0,NA,2,0,NA
4005,60,0,0,NA,2,0,NA
4005,70,0,0,NA,2,0,NA
4005,80,0,0,NA,2,0,NA
4006,11,97,97,NSS,0,0,NA
4006,12,97,97,NSS,0,0,NA
4006,13,97,97,NSS,0,0,NA
4006,14,97,97,NSS,0,0,NA
4006,20,97,97,NSS,0,0,NA
4006,30,97,97,NSS,0,0,NA
4006,40,97,97,NSS,0,0,NA
4006,50,97,97,NSS,0,0,NA
4006,60,97,97,NSS,0,0,NA
4006,70,97,97,NSS,0,0,NA
4006,80,97,97,NSS,0,0,NA
4007,11,1,1,1,1,1,2
4007,12,1,1,1,1,1,2
4007,13,2,0,NA,2,0,NA
4007,14,0,8,0,0,8,0
4007,20,2,0,NA,2,0,NA
4007,30,2,0,NA,1,1,3
4007,40,2,0,NA,2,0,NA
4007,50,2,0,NA,2,0,NA
4007,60,2,0,NA,2,0,NA
4007,70,2,0,NA,1,2,1
4007,80,2,0,NA,2,0,NA
4008,11,0,0,NA,0,0,NA
4008,12,0,0,NA,0,0,NA
4008,13,0,0,NA,0,0,NA
4008,14,0,0,NA,0,0,NA
4008,20,0,0,NA,0,0,NA
4008,30,0,0,NA,0,0,NA
4008,40,0,0,NA,0,0,NA
4008,50,0,0,NA,0,0,NA
4008,60,0,0,NA,0,0,NA
4008,70,0,0,NA,0,0,NA
4008,80,0,0,NA,0,0,NA
4009,11,2,0,NA,2,0,NA
4009,12,1,1,1,1,1,2
4009,13,2,0,NA,2,0,NA
4009,14,0,0,NA,0,0,NA
4009,20,2,0,NA,2,0,NA
4009,30,1,1,107,1,1,20
4009,40,2,0,NA,2,0,NA
4009,50,2,0,NA,2,0,NA
4009,60,2,0,NA,2,0,NA
4009,70,1,2,1,1,2,1
4009,80,2,0,NA,2,0,NA
4010,11,0,0,NA,0,0,NA
4010,12,0,0,NA,0,0,NA
4010,13,0,0,NA,0,0,NA
4010,14,0,0,NA,0,0,NA
4010,20,0,0,NA,0,0,NA
4010,30,0,0,NA,0,0,NA
4010,40,0,0,NA,0,0,NA
4010,50,0,0,NA,0,0,NA
4010,60,0,0,NA,0,0,NA
4010,70,0,0,NA,0,0,NA
4010,80,0,0,NA,0,0,NA
4011,11,0,0,NA,0,0,NA
4011,12,0,0,NA,0,0,NA
4011,13,0,0,NA,0,0,NA
4011,14,0,0,NA,0,0,NA
4011,20,0,0,NA,0,0,NA
4011,30,0,0,NA,0,0,NA
4011,40,0,0,NA,0,0,NA
4011,50,0,0,NA,0,0,NA
4011,60,0,0,NA,0,0,NA
4011,70,0,0,NA,0,0,NA
4011,80,0,0,NA,0,0,NA
4012,11,0,0,NA,0,0,NA
4012,12,0,0,NA,0,0,NA
4012,13,0,0,NA,0,0,NA
4012,14,0,0,NA,0,0,NA
4012,20,0,0,NA,0,0,NA
4012,30,0,0,NA,0,0,NA
4012,40,0,0,NA,0,0,NA
4012,50,0,0,NA,0,0,NA
4012,60,0,0,NA,0,0,NA
4012,70,0,0,NA,0,0,NA
4012,80,0,0,NA,0,0,NA
4013,11,0,0,NA,0,0,NA
4013,12,0,0,NA,0,0,NA
4013,13,0,0,NA,0,0,NA
4013,14,0,0,NA,0,0,NA
4013,20,0,0,NA,0,0,NA
4013,30,0,0,NA,0,0,NA
4013,40,0,0,NA,0,0,NA
4013,50,0,0,NA,0,0,NA
4013,60,0,0,NA,0,0,NA
4013,70,0,0,NA,0,0,NA
4013,80,0,0,NA,0,0,NA
5001,11,0,0,NA,0,0,NA
5001,12,0,0,NA,0,0,NA
5001,13,0,0,NA,0,0,NA
5001,14,0,0,NA,0,0,NA
5001,20,0,0,NA,0,0,NA
5001,30,0,0,NA,0,0,NA
5001,40,0,0,NA,0,0,NA
5001,50,0,0,NA,0,0,NA
5001,60,0,0,NA,0,0,NA
5001,70,0,0,NA,0,0,NA
5001,80,0,0,NA,0,0,NA
5002,11,2,0,NA,2,0,NA
5002,12,1,1,9,1,1,4
5002,13,2,0,NA,2,0,NA
5002,14,0,1,0,0,1,0
5002,20,1,1,74,1,1,110
5002,30,1,1,1759,1,1,1574
5002,40,9,97,NSS,9,97,NSS
5002,50,9,97,NSS,9,97,NSS
5002,60,2,0,NA,2,0,NA
5002,70,1,2,6,1,2,4
5002,80,1,1,94,1,1,117
5003,11,97,97,NSS,0,0,NA
5003,12,97,97,NSS,0,0,NA
5003,13,97,97,NSS,0,0,NA
5003,14,97,97,NSS,0,0,NA
5003,20,97,97,NSS,0,0,NA
5003,30,97,97,NSS,0,0,NA
5003,40,97,97,NSS,0,0,NA
5003,50,97,97,NSS,0,0,NA
5003,60,97,97,NSS,0,0,NA
5003,70,97,97,NSS,0,0,NA
5003,80,97,97,NSS,0,0,NA
5004,11,2,0,NA,2,0,NA
5004,12,2,0,NA,2,0,NA
5004,13,2,0,NA,2,0,NA
5004,14,0,0,NA,0,0,NA
5004,20,2,0,NA,2,0,NA
5004,30,2,0,NA,2,0,NA
5004,40,2,0,NA,2,0,NA
5004,50,2,0,NA,2,0,NA
5004,60,2,0,NA,2,0,NA
5004,70,2,0,NA,2,0,NA
5004,80,2,0,NA,2,0,NA
5005,11,0,0,NA,0,0,NA
5005,12,0,0,NA,0,0,NA
5005,13,0,0,NA,0,0,NA
5005,14,0,0,NA,0,0,NA
5005,20,0,0,NA,0,0,NA
5005,30,0,0,NA,0,0,NA
5005,40,0,0,NA,0,0,NA
5005,50,0,0,NA,0,0,NA
5005,60,0,0,NA,0,0,NA
5005,70,0,0,NA,0,0,NA
5005,80,0,0,NA,0,0,NA
5006,11,97,97,NSS,2,0,NA
5006,12,97,97,NSS,2,0,NA
5006,13,97,97,NSS,2,0,NA
5006,14,97,97,NSS,0,0,NA
5006,20,97,97,NSS,1,1,5
5006,30,97,97,NSS,2,0,NA
5006,40,97,97,NSS,2,0,NA
5006,50,97,97,NSS,2,0,NA
5006,60,97,97,NSS,2,0,NA
5006,70,97,97,NSS,2,0,NA
5006,80,97,97,NSS,2,0,NA
5007,11,2,0,NA,2,0,NA
5007,12,2,0,NA,2,0,NA
5007,13,2,0,NA,2,0,NA
5007,14,0,0,NA,0,0,NA
5007,20,1,1,17,1,1,19
5007,30,1,1,7,1,1,8
5007,40,1,1,2,1,1,3
5007,50,2,0,NA,2,0,NA
5007,60,2,0,NA,2,0,NA
5007,70,1,2,19,1,2,24
5007,80,2,0,NA,2,0,NA
5008,11,0,0,NA,0,0,NA
5008,12,0,0,NA,0,0,NA
5008,13,0,0,NA,0,0,NA
5008,14,0,0,NA,0,0,NA
5008,20,0,0,NA,0,0,NA
5008,30,0,0,NA,0,0,NA
5008,40,0,0,NA,0,0,NA
5008,50,0,0,NA,0,0,NA
5008,60,0,0,NA,0,0,NA
5008,70,0,0,NA,0,0,NA
5008,80,0,0,NA,0,0,NA
5009,11,2,0,NA,2,0,NA
5009,12,1,1,1,1,1,1
5009,13,2,0,NA,2,0,NA
5009,14,0,0,NA,0,0,NA
5009,20,1,1,17,1,1,23
5009,30,1,1,13,1,1,16
5009,40,2,0,NA,2,0,NA
5009,50,2,0,NA,2,0,NA
5009,60,2,0,NA,2,0,NA
5009,70,1,1,29,1,1,39
5009,80,2,0,NA,2,0,NA
5010,11,97,97,NSS,0,0,NA
5010,12,97,97,NSS,0,0,NA
5010,13,97,97,NSS,0,0,NA
5010,14,97,97,NSS,0,0,NA
5010,20,97,97,NSS,0,0,NA
5010,30,97,97,NSS,0,0,NA
5010,40,97,97,NSS,0,0,NA
5010,50,97,97,NSS,0,0,NA
5010,60,97,97,NSS,0,0,NA
5010,70,97,97,NSS,0,0,NA
5010,80,97,97,NSS,0,0,NA
5011,11,2,0,NA,2,0,NA
5011,12,1,1,2,2,0,NA
5011,13,2,0,NA,2,0,NA
5011,14,0,0,NA,0,0,NA
5011,20,1,1,1,1,1,2
5011,30,1,1,4,1,1,23
5011,40,2,0,NA,2,0,NA
5011,50,2,0,NA,2,0,NA
5011,60,2,0,NA,2,0,NA
5011,70,2,0,NA,1,1,1
5011,80,2,0,NA,1,2,2
5012,11,0,0,NA,0,0,NA
5012,12,0,0,NA,0,0,NA
5012,13,0,0,NA,0,0,NA
5012,14,0,0,NA,0,0,NA
5012,20,0,0,NA,0,0,NA
5012,30,0,0,NA,0,0,NA
5012,40,0,0,NA,0,0,NA
5012,50,0,0,NA,0,0,NA
5012,60,0,0,NA,0,0,NA
5012,70,0,0,NA,0,0,NA
5012,80,0,0,NA,0,0,NA
5013,11,0,0,NA,0,0,NA
5013,12,0,0,NA,0,0,NA
5013,13,0,0,NA,0,0,NA
5013,14,0,0,NA,0,0,NA
5013,20,0,0,NA,0,0,NA
5013,30,0,0,NA,0,0,NA
5013,40,0,0,NA,0,0,NA
5013,50,0,0,NA,0,0,NA
5013,60,0,0,NA,0,0,NA
5013,70,0,0,NA,0,0,NA
5013,80,0,0,NA,0,0,NA
5014,11,2,0,NA,1,1,1
5014,12,2,0,NA,2,0,NA
5014,13,2,0,NA,2,0,NA
5014,14,0,0,NA,0,0,NA
5014,20,2,0,NA,1,1,7
5014,30,1,1,84,1,1,105
5014,40,1,1,10,1,1,17
5014,50,1,1,87,1,1,81
5014,60,2,0,NA,2,0,NA
5014,70,1,1,32,1,1,20
5014,80,1,1,32,1,1,25
5015,11,0,0,NA,0,0,NA
5015,12,0,0,NA,0,0,NA
5015,13,0,0,NA,0,0,NA
5015,14,0,0,NA,0,0,NA
5015,20,0,0,NA,0,0,NA
5015,30,0,0,NA,0,0,NA
5015,40,0,0,NA,0,0,NA
5015,50,0,0,NA,0,0,NA
5015,60,0,0,NA,0,0,NA
5015,70,0,0,NA,0,0,NA
5015,80,0,0,NA,0,0,NA
5016,11,0,0,NA,0,0,NA
5016,12,0,0,NA,0,0,NA
5016,13,0,0,NA,0,0,NA
5016,14,0,0,NA,0,0,NA
5016,20,0,0,NA,0,0,NA
5016,30,0,0,NA,0,0,NA
5016,40,0,0,NA,0,0,NA
5016,50,0,0,NA,0,0,NA
5016,60,0,0,NA,0,0,NA
5016,70,0,0,NA,0,0,NA
5016,80,0,0,NA,0,0,NA
5017,11,97,97,NSS,2,0,NA
5017,12,97,97,NSS,1,1,8
5017,13,97,97,NSS,2,0,NA
5017,14,97,97,NSS,0,0,NA
5017,20,97,97,NSS,2,0,NA
5017,30,97,97,NSS,2,0,NA
5017,40,97,97,NSS,2,0,NA
5017,50,97,97,NSS,2,0,NA
5017,60,97,97,NSS,2,0,NA
5017,70,97,97,NSS,1,2,15
5017,80,97,97,NSS,2,0,NA
5018,11,97,97,NSS,2,0,NA
5018,12,97,97,NSS,2,0,NA
5018,13,97,97,NSS,2,0,NA
5018,14,97,97,NSS,0,0,NA
5018,20,97,97,NSS,1,1,77
5018,30,97,97,NSS,1,1,9
5018,40,97,97,NSS,2,0,NA
5018,50,97,97,NSS,1,5,3
5018,60,97,97,NSS,2,0,NA
5018,70,97,97,NSS,1,2,29
5018,80,97,97,NSS,9,97,NSS
5019,11,97,97,NSS,2,0,NA
5019,12,97,97,NSS,2,0,NA
5019,13,97,97,NSS,2,0,NA
5019,14,97,97,NSS,0,0,NA
5019,20,97,97,NSS,2,0,NA
5019,30,97,97,NSS,1,1,20
5019,40,97,97,NSS,2,0,NA
5019,50,97,97,NSS,2,0,NA
5019,60,97,97,NSS,2,0,NA
5019,70,97,97,NSS,2,0,NA
5019,80,97,97,NSS,2,0,NA
5020,11,0,0,NA,2,0,NA
5020,12,0,0,NA,1,1,5
5020,13,0,0,NA,2,0,NA
5020,14,0,0,NA,0,0,NA
5020,20,0,0,NA,1,1,28
5020,30,0,0,NA,1,1,23
5020,40,0,0,NA,1,1,15
5020,50,0,0,NA,1,5,54260
5020,60,0,0,NA,1,1,2
5020,70,0,0,NA,1,1,159
5020,80,0,0,NA,2,0,NA
5021,11,97,97,NSS,0,0,NA
5021,12,97,97,NSS,0,0,NA
5021,13,97,97,NSS,0,0,NA
5021,14,97,97,NSS,0,0,NA
5021,20,97,97,NSS,0,0,NA
5021,30,97,97,NSS,0,0,NA
5021,40,97,97,NSS,0,0,NA
5021,50,97,97,NSS,0,0,NA
5021,60,97,97,NSS,0,0,NA
5021,70,97,97,NSS,0,0,NA
5021,80,97,97,NSS,0,0,NA
5022,11,0,0,NA,0,0,NA
5022,12,0,0,NA,0,0,NA
5022,13,0,0,NA,0,0,NA
5022,14,0,0,NA,0,0,NA
5022,20,0,0,NA,0,0,NA
5022,30,0,0,NA,0,0,NA
5022,40,0,0,NA,0,0,NA
5022,50,0,0,NA,0,0,NA
5022,60,0,0,NA,0,0,NA
5022,70,0,0,NA,0,0,NA
5022,80,0,0,NA,0,0,NA
5023,11,0,0,NA,0,0,NA
5023,12,0,0,NA,0,0,NA
5023,13,0,0,NA,0,0,NA
5023,14,0,0,NA,0,0,NA
5023,20,0,0,NA,0,0,NA
5023,30,0,0,NA,0,0,NA
5023,40,0,0,NA,0,0,NA
5023,50,0,0,NA,0,0,NA
5023,60,0,0,NA,0,0,NA
5023,70,0,0,NA,0,0,NA
5023,80,0,0,NA,0,0,NA
5024,11,2,0,NA,2,0,NA
5024,12,2,0,NA,2,0,NA
5024,13,2,0,NA,2,0,NA
5024,14,0,0,NA,0,0,NA
5024,20,1,1,11,1,1,43
5024,30,1,1,195,1,1,232
5024,40,2,0,NA,2,0,NA
5024,50,2,0,NA,1,5,2550
5024,60,2,0,NA,2,0,NA
5024,70,1,8,2056,1,8,727
5024,80,2,0,NA,1,1,1
5025,11,2,0,NA,2,0,NA
5025,12,1,1,2,2,0,NA
5025,13,2,0,NA,2,0,NA
5025,14,0,2,2,0,2,0
5025,20,1,2,51,1,1,25
5025,30,1,2,15,1,1,26
5025,40,1,1,47,1,1,55
5025,50,2,0,NA,2,0,NA
5025,60,2,0,NA,2,0,NA
5025,70,1,8,515,9,97,NSS
5025,80,2,0,NA,2,0,NA
5026,11,0,0,NA,0,0,NA
5026,12,0,0,NA,0,0,NA
5026,13,0,0,NA,0,0,NA
5026,14,0,0,NA,0,0,NA
5026,20,0,0,NA,0,0,NA
5026,30,0,0,NA,0,0,NA
5026,40,0,0,NA,0,0,NA
5026,50,0,0,NA,0,0,NA
5026,60,0,0,NA,0,0,NA
5026,70,0,0,NA,0,0,NA
5026,80,0,0,NA,0,0,NA
5027,11,2,0,NA,2,0,NA
5027,12,2,0,NA,2,0,NA
5027,13,2,0,NA,2,0,NA
5027,14,0,0,NA,0,0,NA
5027,20,2,0,NA,2,0,NA
5027,30,2,0,NA,2,0,NA
5027,40,2,0,NA,2,0,NA
5027,50,2,0,NA,2,0,NA
5027,60,2,0,NA,2,0,NA
5027,70,2,0,NA,2,0,NA
5027,80,2,0,NA,2,0,NA
5028,11,2,0,NA,1,1,1
5028,12,2,0,NA,2,0,NA
5028,13,2,0,NA,2,0,NA
5028,14,0,0,NA,0,0,NA
5028,20,1,1,20,1,1,17
5028,30,2,0,NA,2,0,NA
5028,40,2,0,NA,2,0,NA
5028,50,2,0,NA,2,0,NA
5028,60,2,0,NA,2,0,NA
5028,70,2,0,NA,1,1,20
5028,80,2,0,NA,2,0,NA
5029,11,97,97,NSS,2,0,NA
5029,12,97,97,NSS,2,0,NA
5029,13,97,97,NSS,2,0,NA
5029,14,97,97,NSS,0,0,NA
5029,20,97,97,NSS,2,0,NA
5029,30,97,97,NSS,1,1,10
5029,40,97,97,NSS,2,0,NA
5029,50,97,97,NSS,2,0,NA
5029,60,97,97,NSS,2,0,NA
5029,70,97,97,NSS,2,0,NA
5029,80,97,97,NSS,2,0,NA
5030,11,0,0,NA,0,0,NA
5030,12,0,0,NA,0,0,NA
5030,13,0,0,NA,0,0,NA
5030,14,0,0,NA,0,0,NA
5030,20,0,0,NA,0,0,NA
5030,30,0,0,NA,0,0,NA
5030,40,0,0,NA,0,0,NA
5030,50,0,0,NA,0,0,NA
5030,60,0,0,NA,0,0,NA
5030,70,0,0,NA,0,0,NA
5030,80,0,0,NA,0,0,NA
5031,11,2,0,NA,1,1,1
5031,12,1,1,1,1,1,1
5031,13,2,0,NA,2,0,NA
5031,14,0,0,NA,0,0,NA
5031,20,1,1,11,1,1,40
5031,30,1,1,18,1,1,33
5031,40,2,0,NA,2,0,NA
5031,50,2,0,NA,2,0,NA
5031,60,2,0,NA,2,0,NA
5031,70,1,1,7,1,1,39
5031,80,2,0,NA,2,0,NA
5032,11,97,97,NSS,2,0,NA
5032,12,97,97,NSS,2,0,NA
5032,13,97,97,NSS,2,0,NA
