ubicageo_f,aniorefe_b,totalca1
14083,1,606
14083,2,595
14084,1,NA
14084,2,NA
14085,1,NA
14085,2,20
14086,1,NA
14086,2,NA
14087,1,NA
14087,2,5
14088,1,NA
14088,2,5
14089,1,NA
14089,2,NA
14090,1,NA
14090,2,NA
14091,1,NA
14091,2,NA
14092,1,NA
14092,2,2
14093,1,20
14093,2,13
14094,1,9
14094,2,11
14095,1,NSS
14095,2,42
14096,1,8
14096,2,2
14097,1,2785
14097,2,3640
14098,1,584
14098,2,624
14099,1,NA
14099,2,NA
14100,1,NA
14100,2,NA
14101,1,173
14101,2,867
14102,1,NA
14102,2,NA
14103,1,NA
14103,2,NA
14104,1,ND
14104,2,ND
14105,1,54
14105,2,58
14106,1,NA
14106,2,NA
14107,1,31
14107,2,41
14108,1,2
14108,2,1
14109,1,NA
14109,2,NA
14110,1,2
14110,2,2
14111,1,NA
14111,2,NA
14112,1,1
14112,2,NA
14113,1,NA
14113,2,NA
14114,1,5
14114,2,NA
14115,1,NA
14115,2,NA
14116,1,23
14116,2,28
14117,1,NA
14117,2,NA
14118,1,NA
14118,2,NA
14119,1,NA
14119,2,NA
14120,1,919
14120,2,906
14121,1,NA
14121,2,1
14122,1,NA
14122,2,NA
14123,1,1
14123,2,NA
14124,1,18
14124,2,39
14125,1,NA
14125,2,NA
15001,1,26
15001,2,17
15002,1,NA
15002,2,649
15003,1,NSS
15003,2,20
15004,1,NA
15004,2,NA
15005,1,NSS
15005,2,9
15006,1,NA
15006,2,10
15007,1,NA
15007,2,NA
15008,1,NSS
15008,2,NA
15009,1,43
15009,2,41
15010,1,58
15010,2,138
15011,1,78
15011,2,99
15012,1,NSS
15012,2,NA
15013,1,529
15013,2,726
15014,1,152
15014,2,169
15015,1,16
15015,2,14
15016,1,NA
15016,2,NA
15017,1,NA
15017,2,NA
15018,1,28
15018,2,37
15019,1,NSS
15019,2,62
15020,1,169
15020,2,356
15021,1,NSS
15021,2,16
15022,1,45
15022,2,89
15023,1,43
15023,2,44
15024,1,NA
15024,2,202
15025,1,158
15025,2,207
15026,1,28
15026,2,24
15027,1,NSS
15027,2,5
15028,1,39
15028,2,15
15029,1,302
15029,2,415
15030,1,125
15030,2,156
15031,1,NA
15031,2,936
15032,1,37
15032,2,16
15033,1,205
15033,2,256
15034,1,7
15034,2,9
15035,1,286
15035,2,206
15036,1,39
15036,2,41
15037,1,239
15037,2,166
15038,1,NSS
15038,2,21
15039,1,404
15039,2,644
15040,1,60
15040,2,23
15041,1,NA
15041,2,NA
15042,1,79
15042,2,111
15043,1,NSS
15043,2,33
15044,1,NA
15044,2,41
15045,1,80
15045,2,139
15046,1,NA
15046,2,30
15047,1,17
15047,2,41
15048,1,58
15048,2,67
15049,1,NA
15049,2,NA
15050,1,27
15050,2,49
15051,1,NA
15051,2,136
15052,1,NA
15052,2,NA
15053,1,NSS
15053,2,209
15054,1,261
15054,2,396
15055,1,NA
15055,2,7
15056,1,29
15056,2,25
15057,1,11578
15057,2,12870
15058,1,1067
15058,2,1800
15059,1,350
15059,2,405
15060,1,504
15060,2,779
15061,1,NA
15061,2,NA
15062,1,NA
15062,2,143
15063,1,NA
15063,2,NA
15064,1,NA
15064,2,8
15065,1,NA
15065,2,140
15066,1,NA
15066,2,NA
15067,1,18
15067,2,25
15068,1,21
15068,2,39
15069,1,16
15069,2,10
15070,1,390
15070,2,454
15071,1,NA
15071,2,NA
15072,1,25
15072,2,15
15073,1,6
15073,2,56
15074,1,NSS
15074,2,34
15075,1,NA
15075,2,69
15076,1,261
15076,2,396
15077,1,NSS
15077,2,NSS
15078,1,NA
15078,2,NA
15079,1,20
15079,2,18
15080,1,NSS
15080,2,NA
15081,1,687
15081,2,801
15082,1,NA
15082,2,NA
15083,1,NA
15083,2,11
15084,1,NA
15084,2,102
15085,1,9
15085,2,11
15086,1,NA
15086,2,NA
15087,1,78
15087,2,77
15088,1,624
15088,2,218
15089,1,NA
15089,2,15
15090,1,NSS
15090,2,122
15091,1,NA
15091,2,200
15092,1,NA
15092,2,NA
15093,1,NA
15093,2,NA
15094,1,8
15094,2,52
15095,1,193
15095,2,207
15096,1,NA
15096,2,108
15097,1,NA
15097,2,NA
15098,1,18
15098,2,9
15099,1,NA
15099,2,475
15100,1,NA
15100,2,96
15101,1,NA
15101,2,143
15102,1,NA
15102,2,17
15103,1,80
15103,2,54
15104,1,1311
15104,2,927
15105,1,NSS
15105,2,NSS
15106,1,734
15106,2,1727
15107,1,5
15107,2,5
15108,1,NA
15108,2,250
15109,1,498
15109,2,439
15110,1,NA
15110,2,NA
15111,1,NSS
15111,2,1644
15112,1,80
15112,2,50
15113,1,5
15113,2,5
15114,1,57
15114,2,38
15115,1,NSS
15115,2,95
15116,1,NSS
15116,2,29
15117,1,NA
15117,2,NA
15118,1,224
15118,2,263
15119,1,8
15119,2,14
15120,1,4530
15120,2,5326
15121,1,2864
15121,2,3021
15122,1,280
15122,2,316
15123,1,NA
15123,2,NA
15124,1,59
15124,2,74
15125,1,NA
15125,2,109
16001,1,5
16001,2,8
16002,1,NA
16002,2,NA
16003,1,NA
16003,2,NA
16004,1,NA
16004,2,9
16005,1,NA
16005,2,NA
16006,1,91
16006,2,87
16007,1,NSS
16007,2,NA
16008,1,NA
16008,2,NA
16009,1,NSS
16009,2,53
16010,1,NA
16010,2,NA
16011,1,12
16011,2,15
16012,1,NA
16012,2,30
16013,1,NA
16013,2,NA
16014,1,NA
16014,2,NA
16015,1,1
16015,2,6
16016,1,1
16016,2,4
16017,1,8
16017,2,15
16018,1,NA
16018,2,2
16019,1,NA
16019,2,NA
16020,1,NSS
16020,2,NA
16021,1,NA
16021,2,2
16022,1,NA
16022,2,NA
16023,1,11
16023,2,6
16024,1,NA
16024,2,2
16025,1,9
16025,2,7
16026,1,NA
16026,2,NA
16027,1,NA
16027,2,1
16028,1,NA
16028,2,NA
16029,1,NA
16029,2,NA
16030,1,NA
16030,2,NA
16031,1,NSS
16031,2,6
16032,1,NA
16032,2,NA
16033,1,NA
16033,2,NA
16034,1,161
16034,2,276
16035,1,NA
16035,2,NA
16036,1,NA
16036,2,NA
16037,1,NA
16037,2,NA
16038,1,35
16038,2,30
16039,1,NA
16039,2,1
16040,1,NA
16040,2,NA
16041,1,NA
16041,2,1
16042,1,5
16042,2,6
16043,1,174
16043,2,191
16044,1,NA
16044,2,1
16045,1,306
16045,2,114
16046,1,NA
16046,2,NA
16047,1,NA
16047,2,NA
16048,1,19
16048,2,40
16049,1,5
16049,2,4
16050,1,63
16050,2,62
16051,1,ND
16051,2,ND
16052,1,55
16052,2,45
16053,1,285
16053,2,689
16054,1,3
16054,2,8
16055,1,NA
16055,2,NA
16056,1,15
16056,2,20
16057,1,NA
16057,2,NA
16058,1,NA
16058,2,2
16059,1,NA
16059,2,NA
16060,1,NA
16060,2,1
16061,1,NA
16061,2,NA
16062,1,NA
16062,2,NA
16063,1,NSS
16063,2,9
16064,1,NA
16064,2,NA
16065,1,1
16065,2,3
16066,1,81
16066,2,127
16067,1,NSS
16067,2,1
16068,1,4
16068,2,5
16069,1,22
16069,2,58
16070,1,NA
16070,2,10
16071,1,41
16071,2,24
16072,1,NSS
16072,2,1
16073,1,8
16073,2,6
16074,1,NA
16074,2,1
16075,1,5
16075,2,4
16076,1,26
16076,2,76
16077,1,NA
16077,2,NA
16078,1,2
16078,2,6
16079,1,NA
16079,2,55
16080,1,NA
16080,2,NA
16081,1,NA
16081,2,NA
16082,1,7
16082,2,6
16083,1,3
16083,2,4
16084,1,NA
16084,2,NA
16085,1,20
16085,2,17
16086,1,NA
16086,2,NA
16087,1,NA
16087,2,53
16088,1,95
16088,2,72
16089,1,NA
16089,2,NA
16090,1,2
16090,2,1
16091,1,8
16091,2,10
16092,1,NA
16092,2,3
16093,1,1
16093,2,2
16094,1,8
16094,2,6
16095,1,15
16095,2,8
16096,1,15
16096,2,25
16097,1,NA
16097,2,NA
16098,1,4
16098,2,18
16099,1,NA
16099,2,NA
16100,1,NSS
16100,2,11
16101,1,NA
16101,2,NA
16102,1,350
16102,2,157
16103,1,5
16103,2,7
16104,1,NA
16104,2,NA
16105,1,NA
16105,2,NA
16106,1,20
16106,2,26
16107,1,43
16107,2,14
16108,1,339
16108,2,281
16109,1,NA
16109,2,NA
16110,1,5
16110,2,2
16111,1,20
16111,2,6
16112,1,384
16112,2,247
16113,1,10
16113,2,15
17001,1,2
17001,2,5
17002,1,NSS
17002,2,16
17003,1,NSS
17003,2,49
17004,1,83
17004,2,80
17005,1,4
17005,2,4
17006,1,227
17006,2,236
17007,1,377
17007,2,420
17008,1,35
17008,2,17
17009,1,NSS
17009,2,24
17010,1,14
17010,2,17
17011,1,38
17011,2,68
17012,1,155
17012,2,78
