ubicageo_f,preslab_e,rnsnni1,rnsnni2,sexostt,sexos1,sexos2,sexosne
1004,20,9,97,NSS,NSS,NSS,
1004,21,2,0,NA,NA,NA,
1004,22,2,0,NA,NA,NA,
1004,23,2,0,NA,NA,NA,
1004,24,2,0,NA,NA,NA,
1004,25,9,97,NSS,NSS,NSS,
1004,26,2,0,NA,NA,NA,
1004,27,2,0,NA,NA,NA,
1004,28,1,1,30,18,12,
1004,29,1,1,30,18,12,
1004,30,1,1,30,18,12,
1004,31,2,0,NA,NA,NA,
1004,32,1,1,30,18,12,
1004,33,2,0,NA,NA,NA,
1005,1,1,1,167,120,47,
1005,2,2,0,NA,NA,NA,
1005,3,2,0,NA,NA,NA,
1005,4,2,0,NA,NA,NA,
1005,5,2,0,NA,NA,NA,
1005,6,2,0,NA,NA,NA,
1005,7,2,0,NA,NA,NA,
1005,8,2,0,NA,NA,NA,
1005,9,2,0,NA,NA,NA,
1005,10,2,0,NA,NA,NA,
1005,11,2,0,NA,NA,NA,
1005,12,1,1,167,120,47,
1005,13,2,0,NA,NA,NA,
1005,14,2,0,NA,NA,NA,
1005,15,2,0,NA,NA,NA,
1005,16,1,1,167,120,47,
1005,17,1,1,167,120,47,
1005,18,1,1,167,120,47,
1005,19,1,1,167,120,47,
1005,20,1,1,167,120,47,
1005,21,1,1,167,120,47,
1005,22,1,1,167,120,47,
1005,23,2,0,NA,NA,NA,
1005,24,1,1,167,120,47,
1005,25,2,0,NA,NA,NA,
1005,26,2,0,NA,NA,NA,
1005,27,2,0,NA,NA,NA,
1005,28,1,1,167,120,47,
1005,29,2,0,NA,NA,NA,
1005,30,1,1,167,120,47,
1005,31,2,0,NA,NA,NA,
1005,32,2,0,NA,NA,NA,
1005,33,2,0,NA,NA,NA,
1006,1,1,1,65,27,38,
1006,2,1,1,65,27,38,
1006,3,2,0,NA,NA,NA,
1006,4,2,0,NA,NA,NA,
1006,5,2,0,NA,NA,NA,
1006,6,2,0,NA,NA,NA,
1006,7,2,0,NA,NA,NA,
1006,8,2,0,NA,NA,NA,
1006,9,1,1,38,NA,38,
1006,10,2,0,NA,NA,NA,
1006,11,2,0,NA,NA,NA,
1006,12,2,0,NA,NA,NA,
1006,13,1,1,65,27,38,
1006,14,2,0,NA,NA,NA,
1006,15,2,0,NA,NA,NA,
1006,16,1,1,65,27,38,
1006,17,1,2,NA,NA,NA,
1006,18,1,1,65,27,38,
1006,19,1,1,65,27,38,
1006,20,1,1,65,27,38,
1006,21,1,1,65,27,38,
1006,22,1,1,65,27,38,
1006,23,2,0,NA,NA,NA,
1006,24,1,1,65,27,38,
1006,25,2,0,NA,NA,NA,
1006,26,2,0,NA,NA,NA,
1006,27,2,0,NA,NA,NA,
1006,28,1,1,65,27,38,
1006,29,2,0,NA,NA,NA,
1006,30,1,1,65,27,38,
1006,31,2,0,NA,NA,NA,
1006,32,1,1,65,27,38,
1006,33,2,0,NA,NA,NA,
1007,1,1,1,66,49,17,
1007,2,2,0,NA,NA,NA,
1007,3,2,0,NA,NA,NA,
1007,4,2,0,NA,NA,NA,
1007,5,2,0,NA,NA,NA,
1007,6,1,1,66,49,17,
1007,7,2,0,NA,NA,NA,
1007,8,1,1,66,49,17,
1007,9,1,1,17,NA,17,
1007,10,2,0,NA,NA,NA,
1007,11,2,0,NA,NA,NA,
1007,12,2,0,NA,NA,NA,
1007,13,2,0,NA,NA,NA,
1007,14,2,0,NA,NA,NA,
1007,15,2,0,NA,NA,NA,
1007,16,1,1,66,49,17,
1007,17,1,1,66,49,17,
1007,18,2,0,NA,NA,NA,
1007,19,1,1,66,49,17,
1007,20,1,1,66,49,17,
1007,21,1,1,66,49,17,
1007,22,1,1,66,49,17,
1007,23,2,0,NA,NA,NA,
1007,24,1,1,66,49,17,
1007,25,2,0,NA,NA,NA,
1007,26,2,0,NA,NA,NA,
1007,27,2,0,NA,NA,NA,
1007,28,1,1,66,49,17,
1007,29,2,0,NA,NA,NA,
1007,30,1,1,66,49,17,
1007,31,2,0,NA,NA,NA,
1007,32,2,0,NA,NA,NA,
1007,33,2,0,NA,NA,NA,
1008,1,1,1,26,14,12,
1008,2,2,0,NA,NA,NA,
1008,3,1,1,26,14,12,
1008,4,2,0,NA,NA,NA,
1008,5,2,0,NA,NA,NA,
1008,6,2,0,NA,NA,NA,
1008,7,2,0,NA,NA,NA,
1008,8,2,0,NA,NA,NA,
1008,9,2,0,NA,NA,NA,
1008,10,2,0,NA,NA,NA,
1008,11,2,0,NA,NA,NA,
1008,12,2,0,NA,NA,NA,
1008,13,2,0,NA,NA,NA,
1008,14,2,0,NA,NA,NA,
1008,15,2,0,NA,NA,NA,
1008,16,2,0,NA,NA,NA,
1008,17,2,0,NA,NA,NA,
1008,18,2,0,NA,NA,NA,
1008,19,2,0,NA,NA,NA,
1008,20,1,1,26,14,12,
1008,21,2,0,NA,NA,NA,
1008,22,2,0,NA,NA,NA,
1008,23,2,0,NA,NA,NA,
1008,24,2,0,NA,NA,NA,
1008,25,2,0,NA,NA,NA,
1008,26,2,0,NA,NA,NA,
1008,27,2,0,NA,NA,NA,
1008,28,1,1,26,14,12,
1008,29,2,0,NA,NA,NA,
1008,30,1,1,26,14,12,
1008,31,2,0,NA,NA,NA,
1008,32,2,0,NA,NA,NA,
1008,33,2,0,NA,NA,NA,
1009,1,1,1,36,26,10,
1009,2,2,0,NA,NA,NA,
1009,3,2,0,NA,NA,NA,
1009,4,2,0,NA,NA,NA,
1009,5,2,0,NA,NA,NA,
1009,6,1,1,36,26,10,
1009,7,2,0,NA,NA,NA,
1009,8,2,0,NA,NA,NA,
1009,9,2,0,NA,NA,NA,
1009,10,2,0,NA,NA,NA,
1009,11,2,0,NA,NA,NA,
1009,12,2,0,NA,NA,NA,
1009,13,2,0,NA,NA,NA,
1009,14,2,0,NA,NA,NA,
1009,15,2,0,NA,NA,NA,
1009,16,2,0,NA,NA,NA,
1009,17,2,0,NA,NA,NA,
1009,18,1,1,36,26,10,
1009,19,1,1,36,26,10,
1009,20,1,1,36,26,10,
1009,21,2,0,NA,NA,NA,
1009,22,1,1,36,26,10,
1009,23,2,0,NA,NA,NA,
1009,24,1,1,36,26,10,
1009,25,2,0,NA,NA,NA,
1009,26,2,0,NA,NA,NA,
1009,27,2,0,NA,NA,NA,
1009,28,1,1,36,26,10,
1009,29,1,1,36,26,10,
1009,30,1,1,36,26,10,
1009,31,1,1,36,26,10,
1009,32,2,0,NA,NA,NA,
1009,33,2,0,NA,NA,NA,
1010,1,1,1,46,31,15,
1010,2,2,0,NA,NA,NA,
1010,3,2,0,NA,NA,NA,
1010,4,2,0,NA,NA,NA,
1010,5,2,0,NA,NA,NA,
1010,6,2,0,NA,NA,NA,
1010,7,2,0,NA,NA,NA,
1010,8,2,0,NA,NA,NA,
1010,9,2,0,NA,NA,NA,
1010,10,2,0,NA,NA,NA,
1010,11,2,0,NA,NA,NA,
1010,12,2,0,NA,NA,NA,
1010,13,1,1,46,31,15,
1010,14,2,0,NA,NA,NA,
1010,15,2,0,NA,NA,NA,
1010,16,1,1,46,31,15,
1010,17,1,1,46,31,15,
1010,18,1,1,46,31,15,
1010,19,1,1,46,31,15,
1010,20,1,1,46,31,15,
1010,21,2,0,NA,NA,NA,
1010,22,2,0,NA,NA,NA,
1010,23,2,0,NA,NA,NA,
1010,24,1,1,46,31,15,
1010,25,2,0,NA,NA,NA,
1010,26,2,0,NA,NA,NA,
1010,27,2,0,NA,NA,NA,
1010,28,1,1,46,31,15,
1010,29,2,0,NA,NA,NA,
1010,30,1,1,46,31,15,
1010,31,2,0,NA,NA,NA,
1010,32,1,1,46,31,15,
1010,33,2,0,NA,NA,NA,
1011,1,1,1,81,42,39,
1011,2,2,0,NA,NA,NA,
1011,3,2,0,NA,NA,NA,
1011,4,2,0,NA,NA,NA,
1011,5,2,0,NA,NA,NA,
1011,6,2,0,NA,NA,NA,
1011,7,2,0,NA,NA,NA,
1011,8,2,0,NA,NA,NA,
1011,9,1,1,33,NA,33,
1011,10,2,0,NA,NA,NA,
1011,11,2,0,NA,NA,NA,
1011,12,1,1,81,42,39,
1011,13,2,0,NA,NA,NA,
1011,14,2,0,NA,NA,NA,
1011,15,2,0,NA,NA,NA,
1011,16,2,0,NA,NA,NA,
1011,17,2,0,NA,NA,NA,
1011,18,2,0,NA,NA,NA,
1011,19,1,1,81,42,39,
1011,20,1,1,81,42,39,
1011,21,2,0,NA,NA,NA,
1011,22,1,1,81,42,39,
1011,23,2,0,NA,NA,NA,
1011,24,1,1,81,42,39,
1011,25,2,0,NA,NA,NA,
1011,26,1,1,81,42,39,
1011,27,2,0,NA,NA,NA,
1011,28,1,1,81,42,39,
1011,29,2,0,NA,NA,NA,
1011,30,1,1,81,42,39,
1011,31,2,0,NA,NA,NA,
1011,32,1,1,81,42,39,
1011,33,2,0,NA,NA,NA,
2001,1,1,9,NSS,NSS,NSS,
2001,2,9,97,NSS,NSS,NSS,
2001,3,9,97,NSS,NSS,NSS,
2001,4,9,97,NSS,NSS,NSS,
2001,5,9,97,NSS,NSS,NSS,
2001,6,9,97,NSS,NSS,NSS,
2001,7,9,97,NSS,NSS,NSS,
2001,8,9,97,NSS,NSS,NSS,
2001,9,9,97,NSS,NSS,NSS,
2001,10,9,97,NSS,NSS,NSS,
2001,11,9,97,NSS,NSS,NSS,
2001,12,9,97,NSS,NSS,NSS,
2001,13,9,97,NSS,NSS,NSS,
2001,14,9,97,NSS,NSS,NSS,
2001,15,9,97,NSS,NSS,NSS,
2001,16,9,97,NSS,NSS,NSS,
2001,17,9,97,NSS,NSS,NSS,
2001,18,9,97,NSS,NSS,NSS,
2001,19,9,97,NSS,NSS,NSS,
2001,20,9,97,NSS,NSS,NSS,
2001,21,9,97,NSS,NSS,NSS,
2001,22,9,97,NSS,NSS,NSS,
2001,23,9,97,NSS,NSS,NSS,
2001,24,9,97,NSS,NSS,NSS,
2001,25,9,97,NSS,NSS,NSS,
2001,26,9,97,NSS,NSS,NSS,
2001,27,9,97,NSS,NSS,NSS,
2001,28,9,97,NSS,NSS,NSS,
2001,29,9,97,NSS,NSS,NSS,
2001,30,9,97,NSS,NSS,NSS,
2001,31,9,97,NSS,NSS,NSS,
2001,32,9,97,NSS,NSS,NSS,
2001,33,9,97,NSS,NSS,NSS,
2002,1,1,1,2120,1466,654,
2002,2,2,0,NA,NA,NA,
2002,3,1,1,2120,1466,654,
2002,4,1,1,1832,1310,522,
2002,5,2,0,NA,NA,NA,
2002,6,1,1,2120,1466,654,
2002,7,1,1,288,156,132,
2002,8,2,0,NA,NA,NA,
2002,9,1,1,654,NA,654,
2002,10,2,0,NA,NA,NA,
2002,11,2,0,NA,NA,NA,
2002,12,1,1,2120,1466,654,
2002,13,1,1,288,156,132,
2002,14,1,1,2120,1466,654,
2002,15,2,0,NA,NA,NA,
2002,16,2,0,NA,NA,NA,
2002,17,2,0,NA,NA,NA,
2002,18,1,1,2120,1466,654,
2002,19,1,1,2120,1466,654,
2002,20,1,1,2120,1466,654,
2002,21,1,1,2120,1466,654,
2002,22,1,1,2120,1466,654,
2002,23,2,0,NA,NA,NA,
2002,24,1,1,2120,1466,654,
2002,25,1,1,1832,1310,522,
2002,26,2,0,NA,NA,NA,
2002,27,1,1,2120,1466,654,
2002,28,1,1,2120,1466,654,
2002,29,1,1,288,156,132,
2002,30,1,1,2120,1466,654,
2002,31,2,0,NA,NA,NA,
2002,32,2,0,NA,NA,NA,
2002,33,1,1,2120,1466,654,
2003,1,1,1,223,174,49,
2003,2,2,0,NA,NA,NA,
2003,3,2,0,NA,NA,NA,
2003,4,2,0,NA,NA,NA,
2003,5,2,0,NA,NA,NA,
2003,6,2,0,NA,NA,NA,
2003,7,2,0,NA,NA,NA,
2003,8,2,0,NA,NA,NA,
2003,9,2,0,NA,NA,NA,
2003,10,2,0,NA,NA,NA,
2003,11,2,0,NA,NA,NA,
2003,12,2,0,NA,NA,NA,
2003,13,2,0,NA,NA,NA,
2003,14,2,0,NA,NA,NA,
2003,15,2,0,NA,NA,NA,
2003,16,2,0,NA,NA,NA,
2003,17,2,0,NA,NA,NA,
2003,18,2,0,NA,NA,NA,
2003,19,1,1,223,174,49,
2003,20,2,0,NA,NA,NA,
2003,21,2,0,NA,NA,NA,
2003,22,2,0,NA,NA,NA,
2003,23,2,0,NA,NA,NA,
2003,24,2,0,NA,NA,NA,
2003,25,2,0,NA,NA,NA,
2003,26,2,0,NA,NA,NA,
2003,27,2,0,NA,NA,NA,
2003,28,1,1,223,174,49,
2003,29,2,0,NA,NA,NA,
2003,30,1,1,223,174,49,
2003,31,2,0,NA,NA,NA,
2003,32,2,0,NA,NA,NA,
2003,33,2,0,NA,NA,NA,
2004,1,1,1,2453,2049,404,
2004,2,2,0,NA,NA,NA,
2004,3,1,1,2453,2049,404,
2004,4,1,1,14,13,1,
2004,5,1,1,14,13,1,
2004,6,2,0,NA,NA,NA,
2004,7,1,1,2453,2049,404,
2004,8,1,1,2453,2049,404,
2004,9,1,1,1,NA,1,
2004,10,2,0,NA,NA,NA,
2004,11,1,1,2453,2049,404,
2004,12,1,1,2453,2049,404,
2004,13,2,0,NA,NA,NA,
2004,14,1,1,2453,2049,404,
2004,15,2,0,NA,NA,NA,
2004,16,2,0,NA,NA,NA,
2004,17,1,1,2453,2049,404,
2004,18,2,0,NA,NA,NA,
2004,19,1,1,2453,2049,404,
2004,20,2,0,NA,NA,NA,
2004,21,2,0,NA,NA,NA,
2004,22,1,1,2453,2049,404,
2004,23,2,0,NA,NA,NA,
2004,24,1,1,2453,2049,404,
2004,25,2,0,NA,NA,NA,
2004,26,2,0,NA,NA,NA,
2004,27,1,1,2453,2049,404,
2004,28,1,1,2453,2049,404,
2004,29,2,0,NA,NA,NA,
2004,30,1,1,2453,2049,404,
2004,31,1,1,2453,2049,404,
2004,32,2,0,NA,NA,NA,
2004,33,2,0,NA,NA,NA,
2005,1,1,1,239,214,25,
2005,2,2,0,NA,NA,NA,
2005,3,2,0,NA,NA,NA,
2005,4,2,0,NA,NA,NA,
2005,5,2,0,NA,NA,NA,
2005,6,2,0,NA,NA,NA,
2005,7,2,0,NA,NA,NA,
2005,8,2,0,NA,NA,NA,
2005,9,2,0,NA,NA,NA,
2005,10,2,0,NA,NA,NA,
2005,11,2,0,NA,NA,NA,
2005,12,1,1,239,214,25,
2005,13,2,0,NA,NA,NA,
2005,14,2,0,NA,NA,NA,
2005,15,2,0,NA,NA,NA,
2005,16,2,0,NA,NA,NA,
2005,17,2,0,NA,NA,NA,
2005,18,1,1,239,214,25,
2005,19,1,1,239,214,25,
2005,20,2,0,NA,NA,NA,
2005,21,2,0,NA,NA,NA,
2005,22,1,1,239,214,25,
2005,23,1,1,239,214,25,
2005,24,1,1,239,214,25,
2005,25,2,0,NA,NA,NA,
2005,26,2,0,NA,NA,NA,
2005,27,1,1,239,214,25,
2005,28,1,1,239,214,25,
2005,29,2,0,NA,NA,NA,
2005,30,1,1,239,214,25,
2005,31,1,1,239,214,25,
2005,32,2,0,NA,NA,NA,
2005,33,2,0,NA,NA,NA,
2006,1,1,1,69,62,7,
2006,2,2,0,NA,NA,NA,
2006,3,2,0,NA,NA,NA,
2006,4,2,0,NA,NA,NA,
2006,5,2,0,NA,NA,NA,
2006,6,2,0,NA,NA,NA,
2006,7,2,0,NA,NA,NA,
2006,8,2,0,NA,NA,NA,
2006,9,2,0,NA,NA,NA,
2006,10,2,0,NA,NA,NA,
2006,11,2,0,NA,NA,NA,
2006,12,1,1,69,62,7,
2006,13,2,0,NA,NA,NA,
2006,14,2,0,NA,NA,NA,
2006,15,2,0,NA,NA,NA,
2006,16,2,0,NA,NA,NA,
2006,17,2,0,NA,NA,NA,
2006,18,2,0,NA,NA,NA,
2006,19,1,1,69,62,7,
2006,20,2,0,NA,NA,NA,
2006,21,2,0,NA,NA,NA,
2006,22,1,1,69,62,7,
2006,23,2,0,NA,NA,NA,
2006,24,1,1,69,62,7,
2006,25,2,0,NA,NA,NA,
2006,26,2,0,NA,NA,NA,
2006,27,2,0,NA,NA,NA,
2006,28,1,1,69,62,7,
2006,29,2,0,NA,NA,NA,
2006,30,1,1,69,62,7,
2006,31,2,0,NA,NA,NA,
2006,32,2,0,NA,NA,NA,
2006,33,2,0,NA,NA,NA,
2007,1,1,1,53,35,18,
2007,2,2,0,NA,NA,NA,
2007,3,2,0,NA,NA,NA,
2007,4,2,0,NA,NA,NA,
2007,5,2,0,NA,NA,NA,
2007,6,1,1,53,35,18,
2007,7,2,0,NA,NA,NA,
2007,8,2,0,NA,NA,NA,
2007,9,2,0,NA,NA,NA,
2007,10,2,0,NA,NA,NA,
2007,11,2,0,NA,NA,NA,
2007,12,2,0,NA,NA,NA,
2007,13,2,0,NA,NA,NA,
2007,14,2,0,NA,NA,NA,
2007,15,2,0,NA,NA,NA,
2007,16,2,0,NA,NA,NA,
2007,17,2,0,NA,NA,NA,
2007,18,2,0,NA,NA,NA,
2007,19,1,1,53,35,18,
2007,20,2,0,NA,NA,NA,
2007,21,1,1,53,35,18,
2007,22,1,1,53,35,18,
2007,23,2,0,NA,NA,NA,
2007,24,1,1,53,35,18,
2007,25,2,0,NA,NA,NA,
2007,26,1,1,53,35,18,
2007,27,2,0,NA,NA,NA,
2007,28,1,1,53,35,18,
2007,29,2,0,NA,NA,NA,
2007,30,1,1,53,35,18,
2007,31,2,0,NA,NA,NA,
2007,32,2,0,NA,NA,NA,
2007,33,2,0,NA,NA,NA,
3001,1,1,1,246,196,50,
3001,2,2,0,NA,NA,NA,
3001,3,2,0,NA,NA,NA,
3001,4,2,0,NA,NA,NA,
3001,5,2,0,NA,NA,NA,
3001,6,2,0,NA,NA,NA,
3001,7,2,0,NA,NA,NA,
3001,8,2,0,NA,NA,NA,
3001,9,2,0,NA,NA,NA,
3001,10,2,0,NA,NA,NA,
3001,11,2,0,NA,NA,NA,
3001,12,2,0,NA,NA,NA,
3001,13,2,0,NA,NA,NA,
3001,14,2,0,NA,NA,NA,
3001,15,2,0,NA,NA,NA,
3001,16,2,0,NA,NA,NA,
3001,17,1,1,246,196,50,
3001,18,2,0,NA,NA,NA,
3001,19,2,0,NA,NA,NA,
3001,20,2,0,NA,NA,NA,
3001,21,2,0,NA,NA,NA,
3001,22,2,0,NA,NA,NA,
3001,23,2,0,NA,NA,NA,
3001,24,2,0,NA,NA,NA,
3001,25,2,0,NA,NA,NA,
3001,26,1,1,246,196,50,
3001,27,2,0,NA,NA,NA,
3001,28,1,1,246,196,50,
3001,29,2,0,NA,NA,NA,
3001,30,1,1,246,196,50,
3001,31,2,0,NA,NA,NA,
3001,32,2,0,NA,NA,NA,
3001,33,2,0,NA,NA,NA,
3002,1,1,1,149,110,39,
3002,2,9,97,NSS,NSS,NSS,
3002,3,1,1,2,0,2,
3002,4,9,97,NSS,NSS,NSS,
3002,5,9,97,NSS,NSS,NSS,
3002,6,1,1,1,0,1,
3002,7,9,97,NSS,NSS,NSS,
3002,8,2,0,NA,NA,NA,
3002,9,1,1,2,NA,2,
3002,10,9,97,NSS,NSS,NSS,
3002,11,2,0,NA,NA,NA,
3002,12,1,1,149,110,39,
3002,13,2,0,NA,NA,NA,
3002,14,2,0,NA,NA,NA,
3002,15,1,1,149,110,39,
3002,16,2,0,NA,NA,NA,
3002,17,1,1,149,110,39,
3002,18,2,0,NA,NA,NA,
3002,19,1,1,149,110,39,
3002,20,2,0,NA,NA,NA,
3002,21,2,0,NA,NA,NA,
3002,22,1,1,149,110,39,
3002,23,1,1,149,110,39,
3002,24,1,1,149,110,39,
3002,25,9,97,NSS,NSS,NSS,
3002,26,2,0,NA,NA,NA,
3002,27,1,1,149,110,39,
3002,28,1,1,149,110,39,
3002,29,1,1,149,110,39,
3002,30,1,1,149,110,39,
3002,31,9,97,NSS,NSS,NSS,
3002,32,2,0,NA,NA,NA,
3002,33,2,0,NA,NA,NA,
3003,1,1,1,775,557,218,
3003,2,2,0,NA,NA,NA,
3003,3,1,1,NSS,NSS,NSS,
3003,4,1,1,775,557,218,
3003,5,2,0,NA,NA,NA,
3003,6,1,1,775,557,218,
3003,7,2,0,NA,NA,NA,
3003,8,2,0,NA,NA,NA,
3003,9,2,0,NA,NA,NA,
3003,10,1,1,NSS,NSS,NSS,
3003,11,2,0,NA,NA,NA,
3003,12,1,1,NSS,NSS,NSS,
3003,13,2,0,NA,NA,NA,
3003,14,2,0,NA,NA,NA,
3003,15,1,1,NSS,NSS,NSS,
3003,16,2,0,NA,NA,NA,
3003,17,1,1,NSS,NSS,NSS,
3003,18,1,1,NSS,NSS,NSS,
3003,19,1,1,NSS,NSS,NSS,
3003,20,1,1,NSS,NSS,NSS,
3003,21,1,1,NSS,NSS,NSS,
3003,22,1,1,NSS,NSS,NSS,
3003,23,2,0,NA,NA,NA,
3003,24,2,0,NA,NA,NA,
3003,25,2,0,NA,NA,NA,
3003,26,2,0,NA,NA,NA,
3003,27,1,1,NSS,NSS,NSS,
3003,28,1,1,NSS,NSS,NSS,
3003,29,1,1,NSS,NSS,NSS,
3003,30,1,1,NSS,NSS,NSS,
3003,31,2,0,NA,NA,NA,
3003,32,2,0,NA,NA,NA,
3003,33,2,0,NA,NA,NA,
3008,1,1,1,522,385,137,
3008,2,2,0,NA,NA,NA,
3008,3,2,0,NA,NA,NA,
3008,4,2,0,NA,NA,NA,
3008,5,2,0,NA,NA,NA,
3008,6,1,1,5,3,2,
3008,7,2,0,NA,NA,NA,
3008,8,2,0,NA,NA,NA,
3008,9,2,0,NA,NA,NA,
3008,10,2,0,NA,NA,NA,
3008,11,2,0,NA,NA,NA,
3008,12,2,0,NA,NA,NA,
3008,13,2,0,NA,NA,NA,
3008,14,2,0,NA,NA,NA,
3008,15,1,1,522,385,137,
3008,16,2,0,NA,NA,NA,
3008,17,2,0,NA,NA,NA,
3008,18,2,0,NA,NA,NA,
3008,19,2,0,NA,NA,NA,
3008,20,2,0,NA,NA,NA,
3008,21,2,0,NA,NA,NA,
3008,22,2,0,NA,NA,NA,
3008,23,2,0,NA,NA,NA,
3008,24,2,0,NA,NA,NA,
3008,25,2,0,NA,NA,NA,
3008,26,2,0,NA,NA,NA,
3008,27,2,0,NA,NA,NA,
3008,28,1,1,522,385,137,
3008,29,2,0,NA,NA,NA,
3008,30,1,1,522,385,137,
3008,31,2,0,NA,NA,NA,
3008,32,2,0,NA,NA,NA,
3008,33,2,0,NA,NA,NA,
3009,1,1,1,93,70,23,
3009,2,9,97,NSS,NSS,NSS,
3009,3,9,97,NSS,NSS,NSS,
3009,4,2,0,NA,NA,NA,
3009,5,2,0,NA,NA,NA,
3009,6,2,0,NA,NA,NA,
3009,7,2,0,NA,NA,NA,
3009,8,2,0,NA,NA,NA,
3009,9,2,0,NA,NA,NA,
3009,10,2,0,NA,NA,NA,
3009,11,2,0,NA,NA,NA,
3009,12,2,0,NA,NA,NA,
3009,13,2,0,NA,NA,NA,
3009,14,2,0,NA,NA,NA,
3009,15,2,0,NA,NA,NA,
3009,16,2,0,NA,NA,NA,
3009,17,2,0,NA,NA,NA,
3009,18,2,0,NA,NA,NA,
3009,19,2,0,NA,NA,NA,
3009,20,2,0,NA,NA,NA,
3009,21,2,0,NA,NA,NA,
3009,22,1,1,1,0,1,
3009,23,2,0,NA,NA,NA,
3009,24,2,0,NA,NA,NA,
3009,25,2,0,NA,NA,NA,
