ARCHIVO,CONTENIDO
m3s2p49,"Boletas de infracción levantadas por la institución encargada de la función de seguridad pública e imágenes detectadas por los sistemas de foto-multa o foto-infracción aceptadas, durante los años 2021 y 2022."
m3s2p50,"Infracciones de tránsito registradas en las boletas de infracción levantadas e imágenes detectadas por los sistemas de foto-multa o foto infracción aceptadas, según tipo, durante el año 2022."
m3s2p51,"Monto recuperado y el monto adeudado al que ascendían las infracciones de tránsito registradas en las boletas de infracción levantadas y en las imágenes detectadas por los sistemas de foto-multa o foto-infracción, al cierre del año 2022."
