ubicageo_f,montos1,montos2
11008,NSS,NSS
11009,NA,NA
11010,NSS,NSS
11011,2119828,786995
11012,NA,NA
11013,517486.82,61881.6
11014,NA,NA
11015,NA,NA
11016,160302.52,68701.08
11017,57997260.2,14965256.72
11018,1400000,0
11019,93225,70500
11020,135432425,39755916
11021,NA,NA
11022,45123,23042
11023,506157,0
11024,NA,NA
11025,2327518.01,0
11026,NSS,NSS
11027,NSS,NSS
11028,NSS,NSS
11029,642374.24,9959.04
11030,2624137,0
11031,7719495,0
11032,2979000,2979000
11033,NA,NA
11034,NSS,NSS
11035,148701.64,47927.88
11036,7500,0
11037,9415731,1562203
11038,NA,NA
11039,NA,NA
11040,NSS,NSS
11041,NA,NA
11042,NSS,NSS
11043,NA,NA
11044,NA,NA
11045,NSS,NSS
11046,NA,NA
12001,6404509.25,1313867.1
12002,NA,NA
12003,NA,NA
12004,NA,NA
12005,NA,NA
12006,NA,NA
12007,NA,NA
12008,NA,NA
12009,NA,NA
12010,NA,NA
12011,180000,150
12012,NA,NA
12013,NA,NA
12014,NA,NA
12015,28480,4600
12016,NA,NA
12017,NA,NA
12018,NA,NA
12019,NA,NA
12020,NA,NA
12021,NA,NA
12022,NA,NA
12023,80000,30000
12024,NA,NA
12025,NA,NA
12026,NA,NA
12027,NA,NA
12028,697214.57,270133.8
12029,4444353,0
12030,NA,NA
12031,NA,NA
12032,900,0
12033,NA,NA
12034,NA,NA
12035,NA,NA
12036,NA,NA
12037,NA,NA
12038,NA,NA
12039,NA,NA
12040,NA,NA
12041,NA,NA
12042,20880,5580
12043,NA,NA
12044,NA,NA
12045,NA,NA
12046,NA,NA
12047,NA,NA
12048,NA,NA
12049,NA,NA
12050,NA,NA
12051,NA,NA
12052,NA,NA
12053,NA,NA
12054,NA,NA
12055,NA,NA
12056,NA,NA
12057,NA,NA
12058,NA,NA
12059,NA,NA
12060,NA,NA
12061,NA,NA
12062,NA,NA
12063,NA,NA
12064,NA,NA
12065,NA,NA
12066,NA,NA
12067,NA,NA
12068,NA,NA
12069,NA,NA
12070,NA,NA
12071,NA,NA
12072,NA,NA
12073,NA,NA
12074,NA,NA
12075,NA,NA
12076,NA,NA
12077,NA,NA
12078,NA,NA
12079,NA,NA
12080,NA,NA
12081,NA,NA
12082,NA,NA
12083,NA,NA
12084,NA,NA
12085,NA,NA
13001,NSS,NSS
13002,18348,3567
13003,44800,0
13004,3200,0
13005,5700,0
13006,82258,0
13007,42224.62,0
13008,93809,0
13009,33746.34,0
13010,132355.5,0
13011,NSS,NSS
13012,297750,60000
13013,222400,70755
13014,NSS,NSS
13015,16531.68,34354.68
13016,1396,1196
13017,2250,750
13018,10500,3600
13019,4979,0
13020,NA,NA
13021,82536.4,0
13022,35600,0
13023,NSS,NSS
13024,165531.32,105633
13025,23925,0
13026,NA,NA
13027,NA,NA
13028,197632.14,0
13029,417456.26,57496.79
13030,255927,NSS
13031,2100,0
13032,NA,NA
13033,2500,0
13034,NA,NA
13035,NA,NA
13036,NSS,NSS
13037,NA,NA
13038,27218,0
13039,350000,75000
13040,NA,NA
13041,NA,NA
13042,105817.96,146446.58
13043,300,0
13044,NSS,NSS
13045,NSS,NSS
13046,NSS,NSS
13047,3500,0
13048,14901859.1,0
13049,1000,0
13050,109000,100000
13051,4482329.96,NSS
13052,NSS,NSS
13053,7282,0
13054,23550,8700
13055,15550,4400
13056,127609,NSS
13057,NA,NA
13058,46470,0
13059,41832.7,0
13060,25110,0
13061,NSS,NSS
13062,8000,0
13063,NSS,NSS
13064,4700,0
13065,227755,0
13066,307657.82,0
13067,176064,0
13068,NA,NA
13069,NA,NA
13070,0,NSS
13071,5896,0
13072,NA,NA
13073,0,198
13074,127348.63,NSS
13075,NSS,NSS
13076,NSS,NSS
13077,5145734.56,882313.46
13078,4474,0
13079,NA,NA
13080,NA,NA
13081,NSS,NSS
13082,15100,0
13083,226201.5,53798.5
13084,267258.25,0
14001,NA,NA
14002,NA,NA
14003,3000,0
14004,NA,NA
14005,NA,NA
14006,NA,NA
14007,NA,NA
14008,1356436.53,NSS
14009,NA,NA
14010,NA,NA
14011,NA,NA
14012,NA,NA
14013,NA,NA
14014,NA,NA
14015,NA,NA
14016,NA,NA
14017,NA,NA
14018,NA,NA
14019,NA,NA
14020,NA,NA
14021,NA,NA
14022,NA,NA
14023,NA,NA
14024,659557.5,NSS
14025,NSS,NSS
14026,NA,NA
14027,NA,NA
14028,NA,NA
14029,NA,NA
14030,NA,NA
14031,NA,NA
14032,NA,NA
14033,109200,35308
14034,NA,NA
14035,NSS,NSS
14036,NA,NA
14037,NA,NA
14038,NA,NA
14039,NA,NA
14040,NA,NA
14041,NSS,NSS
14042,NA,NA
14043,43894,0
14044,NA,NA
14045,NA,NA
14046,149423,0
14047,NA,NA
14048,289671.95,0
14049,NA,NA
14050,NA,NA
14051,NA,NA
14052,NA,NA
14053,NA,NA
14054,NA,NA
14055,NA,NA
14056,NA,NA
14057,NA,NA
14058,NA,NA
14059,NA,NA
14060,21700,0
14061,NA,NA
14062,NA,NA
14063,NA,NA
14064,NSS,NSS
14065,NA,NA
14066,NA,NA
14067,NSS,NSS
14068,NA,NA
14069,NA,NA
14070,NA,NA
14071,NA,NA
14072,NA,NA
14073,NSS,NSS
14074,0,NSS
14075,NA,NA
14076,NA,NA
14077,NA,NA
14078,NA,NA
14079,NA,NA
14080,NA,NA
14081,ND,ND
14082,NA,NA
14083,NA,NA
14084,NA,NA
14085,NA,NA
14086,NA,NA
14087,NA,NA
14088,NA,NA
14089,NA,NA
14090,NA,NA
14091,NA,NA
14092,NA,NA
14093,NA,NA
14094,NA,NA
14095,NA,NA
14096,NA,NA
14097,NA,NA
14098,NSS,NSS
14099,NA,NA
14100,NA,NA
14101,NA,NA
14102,NA,NA
14103,NA,NA
14104,ND,ND
14105,52650,64270
14106,NA,NA
14107,NA,NA
14108,NA,NA
14109,126000,0
14110,NA,NA
14111,201900,153000
14112,NA,NA
14113,NA,NA
14114,NA,NA
14115,NA,NA
14116,NA,NA
14117,NA,NA
14118,552404.45,0
14119,NA,NA
