tipdelit_e,descrip
80102,Delitos por hechos de corrupción - Abuso de autoridad
80103,Delitos por hechos de corrupción - Cohecho
80104,Delitos por hechos de corrupción - Peculado
80105,Delitos por hechos de corrupción - Enriquecimiento ilícito
80106,Delitos por hechos de corrupción - Ejercicio abusivo de funciones
80107,Delitos por hechos de corrupción - Tráfico de influencias
80108,Delitos por hechos de corrupción - Otros delitos por hechos de corrupción
80109,Delitos por hechos de corrupción - No identificado
80199,Delitos por hechos de corrupción - No especificado
80200,Delitos contra la administración de justicia
80201,Delitos contra la administración de justicia - En materia de amparo
80202,Delitos contra la administración de justicia - Otros delitos contra la administración de justicia
80203,Delitos contra la administración de justicia - No identificado
80299,Delitos contra la administración de justicia - No especificado
80300,Delitos en materia fiscal
80400,Delitos electorales
80500,Otros delitos contra la administración del Estado
89999,No especificado
90100,Amenazas
90200,Allanamiento de morada
90300,Falsedad
90400,Falsificación
90500,"Delitos contra el medio ambiente, el equilibrio ecológico y la gestión ambiental"
90501,"Delitos contra el medio ambiente, el equilibrio ecológico y la gestión ambiental - Tráfico de flora o fauna silvestres en peligro de extinción, amenazadas o sujetas a protección"
90502,"Delitos contra el medio ambiente, el equilibrio ecológico y la gestión ambiental - Comercialización de flora o fauna silvestres en peligro de extinción, amenazadas o sujetas a protección"
90503,"Delitos contra el medio ambiente, el equilibrio ecológico y la gestión ambiental - Caza, pesca o tala ilegal de flora o fauna silvestres en peligro de extinción, amenazadas o sujetas a protección"
90504,"Delitos contra el medio ambiente, el equilibrio ecológico y la gestión ambiental - Transporte o manejo de residuos peligrosos"
90505,"Delitos contra el medio ambiente, el equilibrio ecológico y la gestión ambiental - Daños a los ecosistemas o sus elementos"
90506,"Delitos contra el medio ambiente, el equilibrio ecológico y la gestión ambiental - Otros delitos contra el medio ambiente, el equilibrio ecológico y la gestión ambiental"
90507,"Delitos contra el medio ambiente, el equilibrio ecológico y la gestión ambiental - No identificado"
90599,"Delitos contra el medio ambiente, el equilibrio ecológico y la gestión ambiental - No especificado"
90600,Delitos en materia de vías de comunicación y correspondencia
90700,Delitos en materia de migración
90701,Delitos en materia de migración - Tráfico de indocumentados
90702,Delitos en materia de migración - Otros delitos en materia de migración
90703,Delitos en materia de migración - No identificado
90799,Delitos en materia de migración - No especificado
90800,Delitos en materia de derechos de autor
90900,"Delitos en materia de instituciones de crédito, inversión, fianzas y seguros"
91000,Delitos en materia de propiedad industrial
91100,Delitos contra la salud no relacionados con narcóticos
91200,Encubrimiento
91300,Operaciones con recursos de procedencia ilícita
91400,Tortura
91500,Suplantación y usurpación de identidad
91600,Delitos contra la seguridad de los datos y/o sistemas o equipos informáticos
91601,Delitos contra la seguridad de los datos y/o sistemas o equipos informáticos - Acceso ilícito a sistemas o equipos informáticos
91602,Delitos contra la seguridad de los datos y/o sistemas o equipos informáticos - Daños a datos informáticos
91603,Delitos contra la seguridad de los datos y/o sistemas o equipos informáticos - Interferir en el buen funcionamiento de sistemas o equipos informáticos
91604,Delitos contra la seguridad de los datos y/o sistemas o equipos informáticos - Otros delitos contra la seguridad de los datos y/o sistemas o equipos informáticos
91605,Delitos contra la seguridad de los datos y/o sistemas o equipos informáticos - No identificado
91699,Delitos contra la seguridad de los datos y/o sistemas o equipos informáticos - No especificado
91700,"Tratos o penas crueles, inhumanos o degradantes"
91800,Otros delitos
99999,No especificado
100100,No identificado
999999,No especificado
