ubicageo_f,totalca1
1001,NSS
1002,0
1003,117
1004,NSS
1005,NSS
1006,120
1007,78
1008,13
1009,29
1010,39
1011,71
2001,NSS
2002,NSS
2003,410
2004,22736
2005,738
2006,78
2007,50
3001,0
3002,70
3003,NSS
3008,130
3009,35
4001,NSS
4002,0
4003,8
4004,0
4005,0
4006,0
4007,12
4008,0
4009,6
4010,0
4011,0
4012,NA
4013,NA
5001,0
5002,1371
5003,NSS
5004,297
5005,0
5006,0
5007,45
5008,NA
5009,46
5010,NSS
5011,NSS
5012,NA
5013,NA
5014,32
5015,NA
5016,1
5017,0
5018,0
5019,35
5020,420
5021,NSS
5022,137
5023,0
5024,279
5025,644
5026,NA
5027,0
5028,237
5029,0
5030,NSS
5031,0
5032,86
5033,0
5034,0
5035,3000
5036,0
5037,0
5038,21
6001,15
6002,67
6003,2
6004,5
6005,50
6006,10
6007,800
6008,4
6009,79
6010,60
7001,8
7002,0
7003,0
7004,0
7005,0
7006,0
7007,0
7008,0
7009,0
7010,0
7011,0
7012,60
7013,0
7014,0
7015,6
7016,0
7017,26
7018,2
7019,30
7020,0
7021,0
7022,0
7023,0
7024,0
7025,0
7026,0
7027,15
7028,0
7029,0
7030,0
7031,0
7032,96
7033,0
7034,0
7035,7
7036,0
7037,80
7038,0
7039,0
7040,65
7041,0
7042,0
7043,0
7044,0
7045,0
7046,4
7047,0
7048,0
7049,0
7050,0
7051,0
7052,13
7053,0
7054,10
7055,0
7056,0
7057,40
7058,0
7059,36
7060,0
7061,12
7062,0
7063,0
7064,0
7065,0
7066,0
7067,0
7068,0
7069,156
7070,0
7071,2
7072,0
7073,0
7074,20
7075,0
7076,0
7077,0
7078,NSS
7079,100
7080,0
7081,0
7082,1
7083,0
7084,0
7085,0
7086,0
7087,30
7088,0
7089,256
7090,0
7091,5
7092,2
7093,0
7094,0
7096,0
7097,0
7098,0
7099,1
7100,3
7101,315
7102,8
7103,5
7104,0
7105,0
7106,0
7107,3
7108,38
7109,6
7110,0
7111,0
7112,0
7113,0
7114,7
7115,0
7116,0
7117,0
7118,0
7119,0
7120,0
7121,0
7122,0
7123,0
7124,6
7125,0
8001,7
