ubicageo_f,trapertt,traper1,traper2,traper3,traper4,traper5,traper6
13009,5,5,0,0,0,0,0
13010,37,15,0,2,20,0,0
13011,17,17,0,0,0,0,0
13012,0,0,0,0,0,0,0
13013,255,0,0,0,0,0,255
13014,0,0,0,0,0,0,0
13015,46,46,0,0,0,0,0
13016,4,4,0,0,0,0,0
13017,1,1,0,0,0,0,0
13018,10,0,0,0,10,0,0
13019,43,13,0,25,0,5,0
13020,0,0,0,0,0,0,0
13021,30,30,NSS,NSS,NSS,NSS,NSS
13022,0,0,0,0,0,0,0
13023,0,0,0,0,0,0,0
13024,0,0,0,0,0,0,0
13025,40,16,0,24,0,0,0
13026,3,3,0,0,0,0,0
13027,0,0,0,0,0,0,0
13028,12,12,0,0,0,0,0
13029,46,31,8,4,3,0,0
13030,43,39,0,4,0,0,0
13031,0,0,0,0,0,0,0
13032,0,0,0,0,0,0,0
13033,16,1,15,0,0,0,0
13034,0,0,0,0,0,0,0
13035,2,2,0,0,0,0,0
13036,0,0,0,0,0,0,0
13037,0,0,0,0,0,0,0
13038,0,0,0,0,0,0,0
13039,0,0,0,0,0,0,0
13040,8,0,0,0,0,8,0
13041,NSS,NSS,NSS,NSS,NSS,NSS,NSS
13042,12,12,0,0,0,0,0
13043,0,0,0,0,0,0,0
13044,0,0,0,0,0,0,0
13045,0,0,0,0,0,0,0
13046,0,0,0,0,0,0,0
13047,0,0,0,0,0,0,0
13048,299,299,0,0,0,0,0
13049,6,4,0,2,0,0,0
13050,38,30,8,0,0,0,0
13051,173,173,0,0,0,0,0
13052,38,38,0,0,0,0,0
13053,30,10,0,15,0,5,0
13054,6,6,0,0,0,0,0
13055,3,3,0,0,0,0,0
13056,11,11,0,0,0,0,0
13057,31,30,0,0,1,0,0
13058,0,0,0,0,0,0,0
13059,0,0,0,0,0,0,0
13060,54,7,45,0,2,0,0
13061,346,58,0,0,0,288,0
13062,7,7,0,0,0,0,0
13063,94,38,38,10,8,0,0
13064,1,1,0,0,0,0,0
13065,2,2,0,0,0,0,0
13066,40,20,0,0,20,0,0
13067,62,50,0,12,0,0,0
13068,0,0,0,0,0,0,0
13069,NSS,NSS,NSS,NSS,NSS,NSS,NSS
13070,38,28,0,10,0,0,0
13071,1,0,0,1,0,0,0
13072,8,8,0,0,0,0,0
13073,70,45,0,19,6,0,0
13074,13,13,0,0,0,0,0
13075,5,3,0,1,1,0,0
13076,0,0,0,0,0,0,0
13077,116,111,0,5,0,0,0
13078,2,2,0,0,0,0,0
13079,0,0,0,0,0,0,0
13080,0,0,0,0,0,0,0
13081,23,15,2,1,5,0,0
13082,0,0,0,0,0,0,0
13083,0,0,0,0,0,0,0
13084,255,0,245,0,0,0,10
14001,0,0,0,0,0,0,0
14002,8,8,0,0,0,0,0
14003,0,0,0,0,0,0,0
14004,0,0,0,0,0,0,0
14005,0,0,0,0,0,0,0
14006,11,11,0,0,0,0,0
14007,1,1,0,0,0,0,0
14008,2,0,1,0,0,1,0
14009,0,0,0,0,0,0,0
14010,0,0,0,0,0,0,0
14011,0,0,0,0,0,0,0
14012,0,0,0,0,0,0,0
14013,2,2,0,0,0,0,0
14014,0,0,0,0,0,0,0
14015,0,0,0,0,0,0,0
14016,0,0,0,0,0,0,0
14017,2,2,0,0,0,0,0
14018,401,0,0,0,0,401,0
14019,0,0,0,0,0,0,0
14020,0,0,0,0,0,0,0
14021,2,2,0,0,0,0,0
14022,0,0,0,0,0,0,0
14023,0,0,0,0,0,0,0
14024,0,0,0,0,0,0,0
14025,0,0,0,0,0,0,0
14026,1,1,0,0,0,0,0
14027,0,0,0,0,0,0,0
14028,0,0,0,0,0,0,0
14029,30,1,0,0,0,29,0
14030,0,0,0,0,0,0,0
14031,0,0,0,0,0,0,0
14032,0,0,0,0,0,0,0
14033,1,1,0,0,0,0,0
14034,0,0,0,0,0,0,0
14035,4,4,0,0,0,0,0
14036,0,0,0,0,0,0,0
14037,0,0,0,0,0,0,0
14038,3,3,0,0,0,0,0
14039,0,0,0,0,0,0,0
14040,9,0,0,0,0,9,0
14041,0,0,0,0,0,0,0
14042,0,0,0,0,0,0,0
14043,0,0,0,0,0,0,0
14044,48,38,0,10,0,0,0
14045,0,0,0,0,0,0,0
14046,2,2,0,0,0,0,0
14047,0,0,0,0,0,0,0
14048,0,0,0,0,0,0,0
14049,0,0,0,0,0,0,0
14050,159,159,0,0,0,0,0
14051,30,25,0,0,5,0,0
14052,12,12,0,0,0,0,0
14053,0,0,0,0,0,0,0
14054,0,0,0,0,0,0,0
14055,0,0,0,0,0,0,0
14056,0,0,0,0,0,0,0
14057,0,0,0,0,0,0,0
14058,1,1,0,0,0,0,0
14059,5,5,0,0,0,0,0
14060,0,0,0,0,0,0,0
14061,0,0,0,0,0,0,0
14062,3,3,0,0,0,0,0
14063,69,0,41,28,0,0,0
14064,30,3,0,15,0,0,12
14065,1,0,0,1,0,0,0
14066,8,0,8,0,0,0,0
14067,0,0,0,0,0,0,0
14068,0,0,0,0,0,0,0
14069,0,0,0,0,0,0,0
14070,534,534,0,0,0,0,0
14071,0,0,0,0,0,0,0
14072,4,2,2,0,0,0,0
14073,47,47,0,0,0,0,0
14074,0,0,0,0,0,0,0
14075,15,0,0,0,0,15,0
14076,0,0,0,0,0,0,0
14077,11,0,0,0,11,0,0
14078,0,0,0,0,0,0,0
14079,0,0,0,0,0,0,0
14080,0,0,0,0,0,0,0
14081,ND,ND,ND,ND,ND,ND,ND
14082,0,0,0,0,0,0,0
14083,60,20,0,26,0,14,0
14084,0,0,0,0,0,0,0
14085,0,0,0,0,0,0,0
14086,0,0,0,0,0,0,0
14087,0,0,0,0,0,0,0
14088,5,5,0,0,0,0,0
14089,0,0,0,0,0,0,0
14090,0,0,0,0,0,0,0
14091,0,0,0,0,0,0,0
14092,12,2,0,0,0,10,0
14093,18,18,0,0,0,0,0
14094,10,0,0,0,0,10,0
14095,2,2,0,0,0,0,0
14096,2,2,0,0,0,0,0
14097,0,0,0,0,0,0,0
14098,605,605,0,0,0,0,0
14099,0,0,0,0,0,0,0
14100,15,0,0,15,0,0,0
14101,4767,984,3775,2,0,6,0
14102,0,0,0,0,0,0,0
14103,0,0,0,0,0,0,0
14104,ND,ND,ND,ND,ND,ND,ND
14105,10,0,0,10,0,0,0
14106,0,0,0,0,0,0,0
14107,0,0,0,0,0,0,0
14108,1,1,0,0,0,0,0
14109,46,10,12,6,0,18,0
14110,0,0,0,0,0,0,0
14111,0,0,0,0,0,0,0
14112,0,0,0,0,0,0,0
14113,2,2,0,0,0,0,0
14114,29,29,0,0,0,0,0
14115,0,0,0,0,0,0,0
14116,5,5,0,0,0,0,0
14117,0,0,0,0,0,0,0
14118,0,0,0,0,0,0,0
14119,0,0,0,0,0,0,0
14120,4837,906,3931,0,0,0,0
14121,0,0,0,0,0,0,0
14122,10,5,0,0,0,5,0
14123,0,0,0,0,0,0,0
14124,262,108,66,88,0,0,0
14125,8,6,0,2,0,0,0
15001,22,22,0,0,0,0,0
15002,0,0,0,0,0,0,0
15003,25,25,0,0,0,0,0
15004,0,0,0,0,0,0,0
15005,5,5,0,0,0,0,0
15006,0,0,0,0,0,0,0
15007,6,6,0,0,0,0,0
15008,15,0,0,15,0,0,0
15009,194,190,0,0,4,0,0
15010,0,0,0,0,0,0,0
15011,61,61,0,0,0,0,0
15012,5,5,0,0,0,0,0
15013,0,0,0,0,0,0,0
15014,54,0,0,0,54,0,0
15015,11,10,1,0,0,0,0
15016,12,0,0,2,0,10,0
15017,0,0,0,0,0,0,0
15018,0,0,0,0,0,0,0
15019,10,0,0,0,0,0,10
15020,15,7,4,0,4,0,0
15021,16,16,0,0,0,0,0
15022,200,200,0,0,0,0,0
15023,0,0,0,0,0,0,0
15024,172,172,0,0,0,0,0
15025,158,158,0,0,0,0,0
15026,80,50,20,5,5,0,0
15027,8,0,8,0,0,0,0
15028,57,57,0,0,0,0,0
15029,0,0,0,0,0,0,0
15030,154,154,0,0,0,0,0
15031,5,0,0,0,5,0,0
15032,10,10,0,0,0,0,0
15033,374,6,85,283,0,0,0
15034,96,96,0,0,0,0,0
15035,206,206,NSS,NSS,0,NSS,0
15036,26,26,0,0,0,0,0
15037,0,0,0,0,0,0,0
15038,15,15,0,0,0,0,0
15039,0,0,0,0,0,0,0
15040,349,23,326,0,0,0,0
15041,40,7,0,25,0,8,0
15042,0,0,0,0,0,0,0
15043,8,8,0,0,0,0,0
15044,41,41,0,0,0,0,0
15045,762,100,600,62,0,0,0
15046,25,24,0,1,0,0,0
15047,0,0,0,0,0,0,0
15048,67,67,0,0,0,0,0
15049,11,11,0,0,0,0,0
15050,131,100,0,30,1,0,0
15051,11,10,0,1,0,0,0
15052,48,0,0,18,0,30,0
15053,209,209,0,0,0,0,0
15054,3,0,0,3,0,0,0
15055,0,0,0,0,0,0,0
15056,7,5,0,0,0,2,0
15057,52,52,0,0,0,0,0
15058,2498,2498,0,0,0,0,0
15059,283,133,0,75,0,0,75
15060,25,22,0,3,0,0,0
15061,40,0,0,0,0,40,0
15062,0,0,0,0,0,0,0
15063,NA,NA,NA,NA,NA,NA,NA
15064,5,5,0,0,0,0,0
15065,0,0,0,0,0,0,0
15066,0,0,0,0,0,0,0
15067,71,38,0,33,0,0,0
15068,39,39,0,0,0,0,0
15069,10,10,0,0,0,0,0
15070,716,390,125,156,45,0,0
15071,28,20,0,0,8,0,0
15072,0,0,0,0,0,0,0
15073,57,57,0,0,0,0,0
15074,NSS,NSS,NSS,NSS,NSS,NSS,NSS
15075,40,40,0,0,0,0,0
15076,3,0,0,3,0,0,0
15077,3,3,0,0,0,0,0
15078,0,0,0,0,0,0,0
15079,18,18,0,0,0,0,0
15080,3,3,0,0,0,0,0
15081,15,0,2,0,0,13,0
15082,0,0,0,0,0,0,0
15083,0,0,0,0,0,0,0
15084,0,0,0,0,0,0,0
15085,35,11,0,0,0,24,0
15086,0,0,0,0,0,0,0
15087,77,77,0,0,0,0,0
15088,0,0,0,0,0,0,0
15089,133,133,0,0,0,0,0
15090,0,0,0,0,0,0,0
15091,131,131,0,0,0,0,0
15092,1589,0,0,0,0,1589,0
15093,10,5,0,5,0,0,0
15094,52,52,0,0,0,0,0
15095,0,0,0,0,0,0,0
15096,75,75,0,0,0,0,0
15097,0,0,0,0,0,0,0
15098,0,0,0,0,0,0,0
15099,2621,324,2297,0,0,0,0
15100,360,200,50,50,60,0,0
15101,0,0,0,0,0,0,0
15102,0,0,0,0,0,0,0
15103,74,74,0,0,0,0,0
15104,3429,689,2740,0,0,0,0
15105,0,0,0,0,0,0,0
15106,0,0,0,0,0,0,0
15107,10,5,0,0,5,0,0
15108,250,250,0,0,0,0,0
15109,439,439,0,0,0,0,0
15110,0,0,0,0,0,0,0
15111,58,58,0,0,0,0,0
15112,2,2,0,0,0,0,0
15113,10,5,0,0,5,0,0
15114,0,0,0,0,0,0,0
15115,415,400,0,15,0,0,0
15116,0,0,0,0,0,0,0
15117,0,0,0,0,0,0,0
