ubicageo_f,lecdertt,lecder1,lecder2,lecder3,lecderne
10033,0,0,0,0,
10034,2,0,2,0,
10035,0,0,0,0,
10036,0,0,0,0,
10037,0,0,0,0,
10038,0,0,0,0,
10039,0,0,0,0,
11001,8,0,8,0,
11002,2919,0,2919,0,
11003,5326,191,5135,0,
11004,100,0,100,0,
11005,0,0,0,0,
11006,0,0,0,0,
11007,880,375,505,0,
11008,NA,NA,NA,NA,
11009,NSS,NSS,NSS,NSS,
11010,452,0,452,0,
11011,2,2,0,0,
11012,139,124,15,0,
11013,8,0,8,0,
11014,209,83,126,0,
11015,0,0,0,0,
11016,0,0,0,0,
11017,3186,0,3186,0,
11018,0,0,0,0,
11019,534,0,534,0,
11020,0,0,0,0,
11021,16,0,16,0,
11022,401,0,401,0,
11023,140,0,0,140,
11024,NSS,NSS,NSS,NSS,
11025,3040,0,3040,0,
11026,NSS,NSS,NSS,NSS,
11027,847,785,62,0,
11028,73,20,53,0,
11029,1542,61,1481,0,
11030,1041,NSS,1041,NSS,
11031,1085,908,177,0,
11032,0,0,0,0,
11033,30,0,30,0,
11034,6,3,3,0,
11035,NSS,NSS,NSS,NSS,
11036,12,12,0,0,
11037,39,8,31,0,
11038,0,0,0,0,
11039,50,0,50,0,
11040,80,27,53,0,
11041,0,0,0,0,
11042,212,212,0,0,
11043,7,0,7,0,
11044,NSS,NSS,NSS,NSS,
11045,5,0,5,0,
11046,NSS,NSS,NSS,NSS,
12001,961,0,961,0,
12002,0,0,0,0,
12003,0,0,0,0,
12004,0,0,0,0,
12005,59,0,59,0,
12006,0,0,0,0,
12007,0,0,0,0,
12008,8,0,8,0,
12009,0,0,0,0,
12010,0,0,0,0,
12011,588,294,294,0,
12012,0,0,0,0,
12013,0,0,0,0,
12014,35,15,20,0,
12015,10,0,10,0,
12016,0,0,0,0,
12017,0,0,0,0,
12018,70,0,70,0,
12019,1,0,1,0,
12020,0,0,0,0,
12021,702,234,234,234,
12022,1,NSS,1,NSS,
12023,0,0,0,0,
12024,22,15,7,0,
12025,0,0,0,0,
12026,0,0,0,0,
12027,0,0,0,0,
12028,67,0,67,0,
12029,674,0,674,0,
12030,0,0,0,0,
12031,0,0,0,0,
12032,1,0,1,0,
12033,6,0,6,0,
12034,0,0,0,0,
12035,0,0,0,0,
12036,0,0,0,0,
12037,0,0,0,0,
12038,80,0,80,0,
12039,7,0,7,0,
12040,0,0,0,0,
12041,0,0,0,0,
12042,5,0,5,0,
12043,0,0,0,0,
12044,0,0,0,0,
12045,0,0,0,0,
12046,0,0,0,0,
12047,0,0,0,0,
12048,5,0,5,0,
12049,0,0,0,0,
12050,1,0,1,0,
12051,2,1,1,0,
12052,93,3,90,0,
12053,385,0,385,0,
12054,18,18,0,0,
12055,0,0,0,0,
12056,0,0,0,0,
12057,3,0,0,3,
12058,8,8,0,0,
12059,0,0,0,0,
12060,0,0,0,0,
12061,1670,0,1670,0,
12062,0,0,0,0,
12063,0,0,0,0,
12064,0,0,0,0,
12065,0,0,0,0,
12066,895,0,895,0,
12067,0,0,0,0,
12068,0,0,0,0,
12069,0,0,0,0,
12070,2,0,2,0,
12071,200,0,200,0,
12072,0,0,0,0,
12073,0,0,0,0,
12074,13,0,13,0,
12075,0,0,0,0,
12076,0,0,0,0,
12077,3,2,1,0,
12078,0,0,0,0,
12079,6,0,6,0,
12080,1,0,1,0,
12081,0,0,0,0,
12082,NA,NA,NA,NA,
12083,NA,NA,NA,NA,
12084,NA,NA,NA,NA,
12085,NA,NA,NA,NA,
13001,44,3,41,0,
13002,0,0,0,0,
13003,1246,0,1246,0,
13004,2,1,1,0,
13005,63,0,63,0,
13006,150,82,68,0,
13007,128,0,128,0,
13008,102,0,102,0,
13009,60,0,60,0,
13010,42,0,0,42,
13011,181,181,0,0,
13012,356,93,263,0,
13013,1380,820,560,0,
13014,57,0,57,0,
13015,92,46,46,0,
13016,395,130,265,0,
13017,0,0,0,0,
13018,130,40,90,0,
13019,282,198,84,0,
13020,7,0,7,0,
13021,NSS,NSS,NSS,NSS,
13022,145,0,145,0,
13023,300,12,288,0,
13024,30,15,15,0,
13025,158,79,79,0,
13026,12,12,0,0,
13027,0,0,0,0,
13028,110,55,55,0,
13029,382,49,333,0,
13030,574,0,574,0,
13031,64,20,44,0,
13032,0,0,0,0,
13033,16,0,16,0,
13034,68,7,61,0,
13035,30,3,27,0,
13036,74,36,17,21,
13037,0,0,0,0,
13038,20,0,20,0,
13039,150,125,25,0,
13040,22,20,2,0,
13041,NSS,NSS,NSS,NSS,
13042,179,50,129,0,
13043,5,0,5,0,
13044,0,0,0,0,
13045,0,0,0,0,
13046,50,25,25,0,
13047,0,0,0,0,
13048,406,170,236,0,
13049,0,0,0,0,
13050,46,25,16,5,
13051,1435,0,1435,0,
13052,377,0,377,0,
13053,261,0,261,0,
13054,7,0,7,0,
13055,11,1,10,0,
13056,11,0,11,0,
13057,79,30,49,0,
13058,60,0,60,0,
13059,64,0,64,0,
13060,0,0,0,0,
13061,411,16,395,0,
13062,320,140,180,0,
13063,2157,0,2157,0,
13064,6,0,6,0,
13065,210,17,193,0,
13066,242,74,168,0,
13067,397,12,385,0,
13068,0,0,0,0,
13069,NSS,NSS,NSS,NSS,
13070,327,300,27,0,
13071,2,1,1,0,
13072,5,5,0,0,
13073,189,87,102,0,
13074,484,28,456,0,
13075,124,0,124,0,
13076,147,0,147,0,
13077,2391,0,2391,0,
13078,80,5,75,0,
13079,30,30,0,0,
13080,1,0,1,0,
13081,0,0,0,0,
13082,100,100,0,0,
13083,368,180,188,0,
13084,265,0,255,10,
14001,42,42,0,0,
14002,337,215,122,0,
14003,120,120,0,0,
14004,0,0,0,0,
14005,77,76,1,0,
14006,37,27,10,0,
14007,1,0,1,0,
14008,0,0,0,0,
14009,164,164,0,0,
14010,0,0,0,0,
14011,16,16,0,0,
14012,32,32,0,0,
14013,130,128,2,0,
14014,32,32,0,0,
14015,0,0,0,0,
14016,2,2,0,0,
14017,29,27,2,0,
14018,200,0,0,200,
14019,0,0,0,0,
14020,26,26,0,0,
14021,41,25,16,0,
14022,10,5,5,0,
14023,712,698,14,0,
14024,60,60,0,0,
14025,0,0,0,0,
14026,18,17,1,0,
14027,30,0,30,0,
14028,6,3,3,0,
14029,29,0,29,0,
14030,0,0,0,0,
14031,0,0,0,0,
14032,0,0,0,0,
14033,167,0,167,0,
14034,10,10,0,0,
14035,152,150,2,0,
14036,74,74,0,0,
14037,260,260,0,0,
14038,27,24,3,0,
14039,0,0,0,0,
14040,0,0,0,0,
14041,2,2,0,0,
14042,0,0,0,0,
14043,390,22,368,0,
14044,708,500,208,0,
14045,99,99,0,0,
14046,0,0,0,0,
14047,72,72,0,0,
14048,57,57,0,0,
14049,1,1,0,0,
14050,613,0,613,0,
14051,140,80,60,0,
14052,35,23,12,0,
14053,2022,1007,1015,0,
14054,0,0,0,0,
14055,0,0,0,0,
14056,0,0,0,0,
14057,7,7,0,0,
14058,20,19,1,0,
14059,50,50,0,0,
14060,8,8,0,0,
14061,0,0,0,0,
14062,18,15,3,0,
14063,304,147,10,147,
14064,70,67,3,0,
14065,13,13,0,0,
14066,54,45,9,0,
14067,0,0,0,0,
14068,25,25,0,0,
14069,9,9,0,0,
14070,707,173,534,0,
14071,45,0,45,0,
14072,5,5,0,0,
14073,175,140,30,5,
14074,40,40,0,0,
14075,0,0,0,0,
14076,0,0,0,0,
14077,0,0,0,0,
14078,369,0,369,0,
14079,515,197,303,15,
14080,0,0,0,0,
14081,ND,ND,ND,ND,
14082,209,209,0,0,
14083,615,595,20,0,
14084,78,78,0,0,
14085,0,0,0,0,
14086,0,0,0,0,
14087,2,2,0,0,
14088,176,171,5,0,
14089,30,20,10,0,
14090,24,24,0,0,
14091,102,0,0,102,
14092,27,27,0,0,
14093,548,530,18,0,
14094,137,137,0,0,
14095,42,42,0,0,
14096,394,203,191,0,
14097,35,0,0,35,
14098,1548,0,1548,0,
14099,2,2,0,0,
14100,2,2,0,0,
14101,4644,0,4644,0,
14102,5,5,0,0,
14103,0,0,0,0,
14104,ND,ND,ND,ND,
14105,94,0,94,0,
14106,10,10,0,0,
14107,48,48,0,0,
14108,56,55,1,0,
14109,43,43,0,0,
14110,0,0,0,0,
14111,35,35,0,0,
14112,4,4,0,0,
14113,13,13,0,0,
14114,67,67,0,0,
14115,8,8,0,0,
14116,28,8,20,0,
14117,1,1,0,0,
14118,45,45,0,0,
14119,300,300,0,0,
14120,NSS,NSS,NSS,NSS,
14121,360,330,30,0,
14122,5,5,0,0,
14123,0,0,0,0,
14124,88,0,88,0,
14125,342,295,41,6,
15001,27,5,22,0,
15002,195,0,195,0,
15003,131,20,111,0,
15004,0,0,0,0,
15005,0,0,0,0,
15006,0,0,0,0,
15007,15,5,10,0,
15008,0,0,0,0,
15009,768,0,768,0,
15010,206,0,206,0,
15011,61,0,61,0,
15012,NSS,NSS,NSS,NSS,
15013,1022,464,558,0,
15014,244,0,244,0,
15015,14,10,4,0,
15016,84,20,64,0,
15017,66,0,66,0,
15018,0,0,0,0,
15019,0,0,0,0,
15020,28,6,22,0,
15021,15,15,0,0,
15022,77,35,42,0,
15023,21,0,21,0,
15024,382,191,191,0,
15025,1414,1414,0,0,
15026,100,80,20,0,
15027,0,0,0,0,
15028,0,0,0,0,
15029,6287,0,6287,0,
15030,154,100,54,0,
15031,1631,936,695,0,
15032,13,10,0,3,
15033,512,256,256,0,
15034,25,0,25,0,
15035,NSS,NSS,NSS,NSS,
15036,24,5,19,0,
15037,496,0,496,0,
15038,52,48,4,0,
15039,1274,630,644,0,
15040,349,0,349,0,
15041,0,0,0,0,
15042,50,2,48,0,
15043,11,11,0,0,
15044,0,0,0,0,
15045,1500,0,1500,0,
15046,25,0,25,0,
15047,0,0,0,0,
15048,134,67,67,0,
15049,9,0,9,0,
15050,41,41,0,0,
15051,0,0,0,0,
15052,65,15,50,0,
15053,209,0,209,0,
15054,558,0,0,558,
15055,39,3,36,0,
15056,66,0,66,0,
15057,3835,0,3835,0,
15058,1800,0,1800,0,
15059,470,400,70,0,
15060,779,358,220,201,
15061,0,0,0,0,
15062,0,0,0,0,
15063,NA,NA,NA,NA,
15064,0,0,0,0,
15065,140,0,140,0,
15066,0,0,0,0,
15067,120,10,110,0,
15068,39,0,39,0,
15069,12,0,12,0,
15070,1456,0,0,1456,
15071,0,0,0,0,
15072,0,0,0,0,
15073,0,0,0,0,
15074,50,0,50,0,
15075,20,12,8,0,
15076,558,0,0,558,
15077,3,0,3,0,
15078,0,0,0,0,
15079,18,0,18,0,
15080,3,0,3,0,
15081,4519,0,4519,0,
15082,0,0,0,0,
15083,0,0,0,0,
15084,503,0,503,0,
15085,160,0,160,0,
15086,0,0,0,0,
15087,754,0,754,0,
15088,169,0,169,0,
15089,172,0,133,39,
15090,121,121,0,0,
15091,0,0,0,0,
15092,0,0,0,0,
15093,10,8,2,0,
15094,300,0,300,0,
15095,185,130,55,0,
15096,90,0,90,0,
15097,4,0,4,0,
15098,0,0,0,0,
15099,324,0,324,0,
15100,200,50,150,0,
15101,0,0,0,0,
15102,14,4,10,0,
15103,17,5,12,0,
15104,100,0,100,0,
15105,0,0,0,0,
15106,0,0,0,0,
15107,7,7,0,0,
15108,250,125,125,0,
15109,815,376,439,0,
15110,0,0,0,0,
15111,58,0,58,0,
15112,2,0,2,0,
15113,7,7,0,0,
15114,0,0,0,0,
15115,350,175,175,0,
15116,35,0,35,0,
15117,0,0,0,0,
15118,0,0,0,0,
15119,8,0,8,0,
15120,1000,800,200,0,
15121,1078,0,1078,0,
15122,255,0,255,0,
15123,65,15,50,0,
15124,384,80,304,0,
15125,243,43,200,0,
16001,0,0,0,0,
16002,0,0,0,0,
16003,0,0,0,0,
16004,1,0,1,0,
16005,0,0,0,0,
16006,0,0,0,0,
16007,0,0,0,0,
16008,NA,NA,NA,NA,
16009,0,0,0,0,
16010,NA,NA,NA,NA,
16011,15,0,15,0,
16012,2,0,2,0,
16013,35,0,35,0,
16014,0,0,0,0,
16015,6,0,6,0,
16016,0,0,0,0,
16017,0,0,0,0,
16018,NSS,0,0,NSS,
16019,50,0,50,0,
16020,0,0,0,0,
16021,0,0,0,0,
16022,12,5,4,3,
16023,0,0,0,0,
16024,0,0,0,0,
16025,2,0,2,0,
16026,0,0,0,0,
16027,48,0,48,0,
16028,6,0,6,0,
16029,30,0,30,0,
16030,10,5,5,0,
16031,2,0,2,0,
16032,204,102,102,0,
16033,280,0,280,0,
16034,0,0,0,0,
16035,0,0,0,0,
16036,2,1,1,0,
16037,0,0,0,0,
16038,0,0,0,0,
16039,2,0,2,0,
16040,0,0,0,0,
16041,0,0,0,0,
16042,0,0,0,0,
16043,153,0,153,0,
16044,0,0,0,0,
16045,100,20,80,0,
16046,0,0,0,0,
16047,0,0,0,0,
16048,216,0,216,0,
16049,304,0,304,0,
16050,1365,0,1365,0,
16051,ND,ND,ND,ND,
16052,715,26,689,0,
16053,689,0,689,0,
16054,3,0,3,0,
16055,0,0,0,0,
16056,0,0,0,0,
16057,70,0,70,0,
16058,1,0,1,0,
16059,0,0,0,0,
16060,0,0,0,0,
16061,0,0,0,0,
16062,0,0,0,0,
16063,29,5,9,15,
16064,0,0,0,0,
16065,4,0,4,0,
16066,127,0,127,0,
16067,0,0,0,0,
16068,2,0,2,0,
16069,0,0,0,0,
16070,0,0,0,0,
16071,0,0,0,0,
16072,0,0,0,0,
16073,0,0,0,0,
16074,0,0,0,0,
16075,8,0,8,0,
16076,76,0,76,0,
16077,0,0,0,0,
16078,3,0,3,0,
16079,27,0,27,0,
16080,0,0,0,0,
16081,0,0,0,0,
16082,7,0,7,0,
16083,0,0,0,0,
16084,32,0,32,0,
16085,0,0,0,0,
16086,0,0,0,0,
16087,5,0,5,0,
16088,461,0,461,0,
16089,0,0,0,0,
16090,0,0,0,0,
16091,0,0,0,0,
16092,3,0,3,0,
16093,3,0,3,0,
16094,0,0,0,0,
16095,55,0,55,0,
16096,5,0,5,0,
16097,0,0,0,0,
16098,3,0,3,0,
16099,0,0,0,0,
16100,5,0,5,0,
16101,20,0,20,0,
16102,0,0,0,0,
16103,0,0,0,0,
16104,0,0,0,0,
16105,0,0,0,0,
16106,0,0,0,0,
16107,15,0,15,0,
16108,0,0,0,0,
16109,0,0,0,0,
16110,2,0,2,0,
16111,10,0,10,0,
16112,30,0,30,0,
16113,200,0,200,0,
17001,5,0,5,0,
17002,180,103,77,0,
17003,205,0,205,0,
17004,163,0,163,0,
17005,87,0,87,0,
17006,2871,0,2871,0,
17007,446,0,446,0,
17008,45,0,45,0,
17009,95,95,0,0,
17010,72,10,62,0,
17011,68,0,68,0,
17012,0,0,0,0,
17013,290,90,200,0,
17014,0,0,0,0,
17015,68,0,68,0,
17016,0,0,0,0,
17017,0,0,0,0,
17018,74,0,74,0,
17019,538,157,381,0,
17020,86,0,86,0,
17021,10,0,10,0,
17022,30,0,30,0,
17023,12,6,6,0,
17024,0,0,0,0,
17025,394,85,309,0,
17026,354,0,354,0,
17027,0,0,0,0,
17028,493,0,493,0,
17029,953,0,953,0,
17030,293,0,293,0,
17031,NA,NA,NA,NA,
17032,36,6,30,0,
17033,211,0,211,0,
17034,0,0,0,0,
17035,NA,NA,NA,NA,
17036,26,0,26,0,
18001,10,10,0,0,
18002,46,30,16,0,
18003,16,0,16,0,
18004,51,NSS,51,0,
18005,1,0,1,0,
18006,100,50,50,0,
18007,32,16,16,0,
18008,207,169,38,0,
18009,0,0,0,0,
18010,80,80,0,0,
18011,178,172,6,0,
18012,132,132,0,0,
18013,76,0,76,0,
18014,49,0,49,0,
18015,811,91,720,0,
18016,80,80,0,0,
18017,1209,0,1209,0,
18018,260,0,260,0,
18019,3,3,0,0,
18020,4152,3548,604,0,
19001,65,0,0,65,
19002,NA,NA,NA,NA,
19003,2,1,1,0,
19004,1071,0,1071,0,
19005,81,65,16,0,
19006,11334,2843,8491,0,
19007,0,0,0,0,
19008,30,15,15,0,
19009,240,120,120,0,
19010,NSS,NSS,NSS,NSS,
19011,0,0,0,0,
19012,6,6,0,0,
19013,NSS,NSS,NSS,NSS,
19014,8,4,4,0,
19015,0,0,0,0,
19016,20,10,10,0,
19017,215,88,127,0,
19018,725,725,0,0,
19019,1083,767,316,0,
19020,15,0,0,15,
19021,1925,1045,880,0,
19022,115,65,50,0,
19023,NA,NA,NA,NA,
19024,1,0,1,0,
19025,0,0,0,0,
19026,1305,NSS,NSS,NSS,1305
19027,0,0,0,0,
19028,1,0,1,0,
19029,160,NSS,160,0,
19030,60,34,26,0,
19031,3000,2349,651,0,
19032,20,10,10,0,
19033,2656,0,2656,0,
19034,0,0,0,0,
19035,0,0,0,0,
19036,55,0,55,0,
19037,0,0,0,0,
19038,0,0,0,0,
19039,0,0,0,0,
19040,NA,NA,NA,NA,
19041,202,0,202,0,
19042,70,21,49,0,
19043,0,0,0,0,
19044,30,10,10,10,
19045,NSS,NSS,NSS,NSS,
19046,5907,1692,4215,0,
19047,446,22,424,0,
19048,1377,935,442,0,
19049,758,490,268,0,
19050,NA,NA,NA,NA,
19051,NSS,NSS,NSS,NSS,
20001,0,0,0,0,
20002,150,0,150,0,
20003,0,0,0,0,
20004,0,0,0,0,
20005,0,0,0,0,
20006,0,0,0,0,
20007,0,0,0,0,
20008,0,0,0,0,
20009,3,0,3,0,
20010,5,0,5,0,
20011,0,0,0,0,
20012,0,0,0,0,
20013,0,0,0,0,
20014,3,0,3,0,
20015,0,0,0,0,
20016,0,0,0,0,
20017,0,0,0,0,
20018,0,0,0,0,
20019,0,0,0,0,
20020,0,0,0,0,
20021,0,0,0,0,
20022,0,0,0,0,
20023,0,0,0,0,
20024,0,0,0,0,
20025,15,5,10,0,
20026,0,0,0,0,
20027,0,0,0,0,
20028,15,0,15,0,
20029,9,1,8,0,
20030,30,0,30,0,
20031,0,0,0,0,
20032,0,0,0,0,
20033,0,0,0,0,
20034,0,0,0,0,
20035,0,0,0,0,
20036,0,0,0,0,
20037,0,0,0,0,
20038,0,0,0,0,
20039,0,0,0,0,
20040,0,0,0,0,
20041,270,200,60,10,
20042,2,2,0,0,
20043,125,0,125,0,
20044,330,0,330,0,
20045,0,0,0,0,
20046,0,0,0,0,
20047,0,0,0,0,
20048,0,0,0,0,
20049,3,0,3,0,
20050,0,0,0,0,
20051,0,0,0,0,
20052,0,0,0,0,
20053,0,0,0,0,
20054,0,0,0,0,
20055,0,0,0,0,
20056,0,0,0,0,
20057,582,0,582,0,
20058,0,0,0,0,
20059,0,0,0,0,
20060,0,0,0,0,
20061,0,0,0,0,
20062,0,0,0,0,
20063,0,0,0,0,
20064,0,0,0,0,
20065,0,0,0,0,
20066,50,25,25,0,
20067,3240,360,2880,0,
20068,0,0,0,0,
20069,0,0,0,0,
20070,0,0,0,0,
20071,0,0,0,0,
20072,0,0,0,0,
20073,0,0,0,0,
20074,0,0,0,0,
20075,0,0,0,0,
20076,0,0,0,0,
20077,0,0,0,0,
20078,0,0,0,0,
20079,NSS,NSS,NSS,NSS,
20080,0,0,0,0,
20081,0,0,0,0,
20082,0,0,0,0,
20083,0,0,0,0,
20084,0,0,0,0,
20085,0,0,0,0,
20086,0,0,0,0,
20087,2,0,2,0,
20088,0,0,0,0,
20089,0,0,0,0,
20090,0,0,0,0,
20091,4,0,4,0,
20092,0,0,0,0,
20093,0,0,0,0,
20094,0,0,0,0,
20095,0,0,0,0,
