ubicageo_f,totalca1
1001,NSS
1002,0
1003,NSS
1004,NSS
1005,NSS
1006,56
1007,NSS
1008,4
1009,0
1010,NSS
1011,5
2001,NSS
2002,NSS
2003,45
2004,16893
2005,673
2006,241
2007,0
3001,0
3002,0
3003,NSS
3008,NSS
3009,35
4001,NSS
4002,0
4003,10
4004,0
4005,0
4006,0
4007,2
4008,0
4009,21
4010,0
4011,0
4012,NA
4013,NA
5001,0
5002,0
5003,NSS
5004,2326
5005,1
5006,0
5007,5
5008,NA
5009,45
5010,NSS
5011,NSS
5012,NA
5013,NA
5014,0
5015,NA
5016,0
5017,0
5018,0
5019,0
5020,0
5021,NSS
5022,60
5023,0
5024,7
5025,310
5026,NA
5027,0
5028,75
5029,0
5030,NSS
5031,0
5032,0
5033,0
5034,0
5035,2000
5036,374
5037,0
5038,1
6001,107
6002,87
6003,4
6004,50
6005,100
6006,3
6007,225
6008,29
6009,81
6010,385
7001,4
7002,0
7003,0
7004,0
7005,0
7006,0
7007,0
7008,0
7009,0
7010,0
7011,0
7012,30
7013,0
7014,0
7015,20
7016,0
7017,26
7018,3
7019,36
7020,0
7021,250
7022,0
7023,0
7024,2
7025,50
7026,0
7027,15
7028,0
7029,0
7030,20
7031,0
7032,158
7033,0
7034,2
7035,7
7036,0
7037,80
7038,0
7039,0
7040,2
7041,3
7042,1
7043,30
7044,6
7045,0
7046,3
7047,0
7048,2
7049,0
7050,0
7051,2
7052,35
7053,0
7054,0
7055,2
7056,0
7057,30
7058,0
7059,0
7060,10
7061,8
7062,0
7063,0
7064,0
7065,0
7066,0
7067,0
7068,0
7069,114
7070,0
7071,6
7072,0
7073,0
7074,0
7075,5
7076,0
7077,0
7078,42
7079,20
7080,0
7081,0
7082,0
7083,0
7084,0
7085,0
7086,0
7087,20
7088,0
7089,919
7090,2
7091,5
7092,4
7093,0
7094,0
7096,0
7097,12
7098,2
7099,27
7100,3
7101,335
7102,0
7103,18
7104,0
7105,NSS
7106,1
7107,10
7108,1
7109,7
7110,0
7111,0
7112,0
7113,0
7114,15
7115,0
7116,0
7117,26
7118,0
7119,0
7120,0
7121,0
7122,0
7123,0
7124,6
7125,0
