ubicageo_f,entrevtt,entrev1,entrev2,entrev3,entrev4
8019,23890,0,0,0,23890
8020,10,4,0,6,0
8021,443,435,8,0,0
8022,NSS,NSS,NSS,NSS,NSS
8023,0,0,0,0,0
8024,0,0,0,0,0
8025,0,0,0,0,0
8026,0,0,0,0,0
8027,30,10,10,5,5
8028,0,0,0,0,0
8029,0,0,0,0,0
8030,8,2,2,4,0
8031,54,50,0,0,4
8032,0,0,0,0,0
8033,0,0,0,0,0
8034,0,0,0,0,0
8035,8,8,0,0,0
8036,12,12,0,0,0
8037,8869,8869,0,0,0
8038,1453,668,785,0,0
8039,0,0,0,0,0
8040,870,0,0,0,870
8041,20,6,6,8,0
8042,0,0,0,0,0
8043,0,0,0,0,0
8044,0,0,0,0,0
8045,325,0,0,0,325
8046,0,0,0,0,0
8047,0,0,0,0,0
8048,200,100,50,50,0
8049,0,0,0,0,0
8050,NSS,NSS,NSS,NSS,NSS
8051,0,0,0,0,0
8052,830,600,120,110,0
8053,0,0,0,0,0
8054,12,8,3,1,0
8055,1284,0,0,0,1284
8056,3,1,1,1,0
8057,0,0,0,0,0
8058,3,0,3,0,0
8059,0,0,0,0,0
8060,0,0,0,0,0
8061,0,0,0,0,0
8062,471,374,87,10,0
8063,29,29,0,0,0
8064,28,25,3,0,0
8065,0,0,0,0,0
8066,0,0,0,0,0
8067,0,0,0,0,0
9002,NA,NA,NA,NA,NA
9003,NA,NA,NA,NA,NA
9004,NA,NA,NA,NA,NA
9005,NA,NA,NA,NA,NA
9006,NA,NA,NA,NA,NA
9007,NA,NA,NA,NA,NA
9008,NA,NA,NA,NA,NA
9009,NA,NA,NA,NA,NA
9010,NA,NA,NA,NA,NA
9011,NA,NA,NA,NA,NA
9012,NA,NA,NA,NA,NA
9013,NA,NA,NA,NA,NA
9014,NA,NA,NA,NA,NA
9015,NA,NA,NA,NA,NA
9016,NA,NA,NA,NA,NA
9017,NA,NA,NA,NA,NA
10001,0,0,0,0,0
10002,0,0,0,0,0
10003,15,0,15,0,0
10004,0,0,0,0,0
10005,0,0,0,0,0
10006,0,0,0,0,0
10007,3182,0,0,0,3182
10008,10,4,4,2,0
10009,0,0,0,0,0
10010,0,0,0,0,0
10011,0,0,0,0,0
10012,0,0,0,0,0
10013,0,0,0,0,0
10014,0,0,0,0,0
10015,0,0,0,0,0
10016,0,0,0,0,0
10017,0,0,0,0,0
10018,0,0,0,0,0
10019,0,0,0,0,0
10020,0,0,0,0,0
10021,0,0,0,0,0
10022,0,0,0,0,0
10023,25,25,0,0,0
10024,0,0,0,0,0
10025,6,3,3,0,0
10026,0,0,0,0,0
10027,0,0,0,0,0
10028,0,0,0,0,0
10029,2,0,0,2,0
10030,0,0,0,0,0
10031,0,0,0,0,0
10032,231,231,0,0,0
10033,0,0,0,0,0
10034,17,7,2,8,0
10035,0,0,0,0,0
10036,0,0,0,0,0
10037,18,13,5,0,0
10038,0,0,0,0,0
10039,0,0,0,0,0
11001,500,200,200,100,0
11002,0,0,0,0,0
11003,360,182,143,35,0
11004,0,0,0,0,0
11005,0,0,0,0,0
11006,0,0,0,0,0
11007,680,375,191,114,0
11008,NA,NA,NA,NA,NA
11009,NSS,NSS,NSS,NSS,NSS
11010,NSS,NSS,NSS,NSS,NSS
11011,4,2,2,0,0
11012,92,92,0,0,0
11013,0,0,0,0,0
11014,91,83,3,5,0
11015,0,0,0,0,0
11016,0,0,0,0,0
11017,4827,3816,506,500,5
11018,0,0,0,0,0
11019,NSS,NSS,NSS,NSS,NSS
11020,0,0,0,0,0
11021,40,21,14,5,0
11022,0,0,0,0,0
11023,140,60,0,80,0
11024,NSS,NSS,NSS,NSS,NSS
11025,0,0,0,0,0
11026,NSS,NSS,NSS,NSS,NSS
11027,785,593,192,0,0
11028,20,20,0,0,0
11029,3311,2802,456,53,0
11030,NSS,NSS,NSS,NSS,NSS
11031,908,908,0,0,0
11032,400,200,200,0,0
11033,NSS,NSS,NSS,NSS,NSS
11034,6,3,3,0,0
11035,NSS,NSS,NSS,NSS,NSS
11036,12,7,3,2,0
11037,32468,9754,22656,58,0
11038,0,0,0,0,0
11039,60,40,20,0,0
11040,245,223,22,0,0
11041,0,0,0,0,0
11042,212,0,212,0,0
11043,0,0,0,0,0
11044,NSS,NSS,NSS,NSS,NSS
11045,8,6,2,0,0
11046,NSS,NSS,NSS,NSS,NSS
12001,16200,5487,9589,742,382
12002,0,0,0,0,0
12003,0,0,0,0,0
12004,0,0,0,0,0
12005,59,0,59,0,0
12006,0,0,0,0,0
12007,0,0,0,0,0
12008,0,0,0,0,0
12009,0,0,0,0,0
12010,0,0,0,0,0
12011,0,0,0,0,0
12012,0,0,0,0,0
12013,0,0,0,0,0
12014,35,35,0,0,0
12015,10,8,2,0,0
12016,0,0,0,0,0
12017,0,0,0,0,0
12018,0,0,0,0,0
12019,1,0,1,0,0
12020,0,0,0,0,0
12021,126,33,31,31,31
12022,3,NSS,3,NSS,NSS
12023,0,0,0,0,0
12024,22,15,7,0,0
12025,0,0,0,0,0
12026,0,0,0,0,0
12027,0,0,0,0,0
12028,6,0,0,6,0
12029,30,30,0,0,0
12030,0,0,0,0,0
12031,0,0,0,0,0
12032,2,0,0,2,0
12033,2,2,0,0,0
12034,2,2,0,0,0
12035,0,0,0,0,0
12036,0,0,0,0,0
12037,0,0,0,0,0
12038,38,23,0,15,0
12039,2,2,0,0,0
12040,0,0,0,0,0
12041,0,0,0,0,0
12042,0,0,0,0,0
12043,0,0,0,0,0
12044,0,0,0,0,0
12045,0,0,0,0,0
12046,0,0,0,0,0
12047,0,0,0,0,0
12048,5,5,0,0,0
12049,0,0,0,0,0
12050,1,1,0,0,0
12051,2,1,1,0,0
12052,3,0,0,3,0
12053,5,0,0,5,0
12054,18,10,8,0,0
12055,0,0,0,0,0
12056,0,0,0,0,0
12057,3,0,3,0,0
12058,8,8,0,0,0
12059,4,4,0,0,0
12060,0,0,0,0,0
12061,312,312,0,0,0
12062,0,0,0,0,0
12063,0,0,0,0,0
12064,0,0,0,0,0
12065,0,0,0,0,0
12066,1790,895,895,0,0
12067,0,0,0,0,0
12068,0,0,0,0,0
12069,0,0,0,0,0
12070,2,1,0,1,0
12071,200,100,100,0,0
12072,0,0,0,0,0
12073,0,0,0,0,0
12074,0,0,0,0,0
12075,0,0,0,0,0
12076,0,0,0,0,0
12077,5,2,2,1,0
12078,0,0,0,0,0
12079,30,5,22,3,0
12080,0,0,0,0,0
12081,0,0,0,0,0
12082,NA,NA,NA,NA,NA
12083,NA,NA,NA,NA,NA
12084,NA,NA,NA,NA,NA
12085,NA,NA,NA,NA,NA
13001,0,0,0,0,0
13002,0,0,0,0,0
13003,280,50,100,130,0
13004,2,1,1,0,0
13005,350,200,100,50,0
13006,82,55,15,12,0
13007,400,125,250,25,0
13008,NSS,NSS,NSS,NSS,NSS
13009,30,20,5,5,0
13010,NSS,NSS,NSS,NSS,NSS
13011,181,181,0,0,0
13012,411,228,183,0,0
13013,2742,820,562,720,640
13014,70,30,40,0,0
13015,422,170,143,109,0
13016,130,97,33,0,0
13017,8,0,0,8,0
13018,130,40,90,0,0
13019,331,198,82,51,0
13020,16,11,0,5,0
13021,150,150,NSS,NSS,NSS
13022,0,0,0,0,0
13023,65,12,38,15,0
13024,15,15,0,0,0
13025,158,95,0,63,0
13026,20,12,8,0,0
13027,0,0,0,0,0
13028,55,40,5,10,0
13029,251,49,19,183,0
13030,NSS,NSS,NSS,NSS,NSS
13031,159,50,9,20,80
13032,0,0,0,0,0
13033,13,6,4,3,0
13034,78,70,0,8,0
13035,15,11,1,3,0
13036,81,36,21,3,21
13037,0,0,0,0,0
13038,122,100,10,0,12
13039,150,125,25,0,0
13040,25,2,20,3,0
13041,NSS,NSS,NSS,NSS,NSS
13042,50,25,25,0,0
13043,0,0,0,0,0
13044,38,30,8,0,0
13045,0,0,0,0,0
13046,50,50,0,0,0
13047,0,0,0,0,0
13048,471,170,140,150,11
13049,0,0,0,0,0
13050,63,25,16,17,5
13051,0,0,0,0,0
13052,730,300,380,50,0
13053,25,25,0,0,0
13054,14,7,0,7,0
13055,14,5,0,9,0
13056,NSS,NSS,NSS,NSS,NSS
13057,90,80,10,0,0
13058,146,79,54,13,0
13059,40,2,14,24,0
13060,2,2,0,0,0
13061,16,0,0,0,16
13062,150,125,5,20,0
13063,2157,1950,207,0,0
13064,1,0,0,1,0
13065,64,55,9,0,0
13066,86,74,0,12,0
13067,12,12,0,0,0
13068,0,0,0,0,0
13069,2478,0,0,0,2478
13070,486,253,233,0,0
13071,1,1,0,0,0
13072,5,5,0,0,0
13073,259,198,26,35,0
13074,466,302,70,94,0
13075,746,543,191,12,0
13076,793,0,0,0,793
13077,0,0,0,0,0
13078,75,10,50,15,0
13079,30,30,0,0,0
13080,29,0,0,29,0
13081,0,0,0,0,0
13082,150,100,40,10,0
13083,243,180,35,28,0
13084,60,40,5,10,5
14001,42,39,3,0,0
14002,215,179,36,0,0
14003,120,120,0,0,0
14004,12,12,0,0,0
14005,77,36,33,4,4
14006,30,12,18,0,0
14007,1,0,0,0,1
14008,0,0,0,0,0
14009,164,164,0,0,0
14010,0,0,0,0,0
14011,16,16,0,0,0
14012,32,16,16,0,0
14013,130,40,90,0,0
14014,32,32,0,0,0
14015,0,0,0,0,0
14016,1,1,0,0,0
14017,29,19,7,2,1
14018,200,0,0,0,200
14019,0,0,0,0,0
14020,63,18,8,37,0
14021,41,20,21,0,0
14022,5,5,0,0,0
14023,712,493,157,62,0
14024,60,60,0,0,0
14025,0,0,0,0,0
14026,18,15,0,3,0
14027,8,8,0,0,0
14028,6,3,3,0,0
14029,20,20,0,0,0
14030,0,0,0,0,0
14031,0,0,0,0,0
14032,0,0,0,0,0
14033,50,50,0,0,0
14034,10,10,0,0,0
14035,160,67,60,25,8
14036,104,74,30,0,0
14037,260,0,260,0,0
14038,27,8,15,4,0
14039,0,0,0,0,0
14040,0,0,0,0,0
14041,2,2,0,0,0
14042,0,0,0,0,0
14043,17,1,12,4,0
14044,615,415,0,200,0
14045,99,99,0,0,0
14046,0,0,0,0,0
14047,72,72,0,0,0
14048,57,50,7,0,0
14049,1,1,0,0,0
14050,78,35,28,10,5
14051,140,100,30,10,0
14052,60,14,34,12,0
14053,900,0,842,58,0
14054,0,0,0,0,0
14055,0,0,0,0,0
14056,0,0,0,0,0
14057,19,7,4,8,0
14058,20,17,0,3,0
14059,50,50,0,0,0
14060,8,4,2,2,0
14061,0,0,0,0,0
14062,19,15,3,1,0
14063,304,147,10,147,0
14064,40,30,2,5,3
14065,13,7,3,3,0
14066,54,0,54,0,0
14067,0,0,0,0,0
14068,25,11,11,3,0
14069,9,7,2,0,0
14070,173,173,0,0,0
14071,0,0,0,0,0
14072,5,5,0,0,0
14073,175,140,5,30,0
14074,40,13,27,0,0
14075,0,0,0,0,0
14076,0,0,0,0,0
14077,0,0,0,0,0
14078,0,0,0,0,0
14079,212,197,0,15,0
14080,0,0,0,0,0
14081,ND,ND,ND,ND,ND
14082,209,209,0,0,0
14083,645,325,250,70,0
14084,32,24,8,0,0
14085,19,19,0,0,0
14086,14,6,5,3,0
14087,4,2,1,1,0
14088,171,21,150,0,0
14089,30,20,10,0,0
14090,24,24,0,0,0
14091,102,0,0,0,102
14092,27,27,0,0,0
14093,634,530,104,0,0
14094,182,113,15,54,0
14095,42,42,0,0,0
14096,203,67,124,12,0
14097,20,0,0,0,20
14098,1548,0,0,0,1548
14099,5,2,3,0,0
14100,5,2,0,3,0
14101,4644,4644,0,0,0
14102,5,4,0,1,0
14103,0,0,0,0,0
14104,ND,ND,ND,ND,ND
14105,360,186,98,69,7
14106,13,1,10,2,0
14107,48,48,0,0,0
14108,56,40,16,0,0
14109,43,30,10,3,0
14110,0,0,0,0,0
14111,35,35,0,0,0
14112,12,4,0,8,0
14113,15,13,0,2,0
14114,67,67,0,0,0
14115,8,2,0,6,0
14116,28,10,5,13,0
14117,2,1,0,1,0
14118,103,45,0,58,0
14119,300,150,150,0,0
14120,NSS,NSS,NSS,NSS,NSS
14121,360,330,0,30,0
14122,5,5,0,0,0
14123,0,0,0,0,0
14124,22,22,0,0,0
14125,342,295,41,6,0
15001,15,5,0,3,7
15002,849,0,0,0,849
15003,15,5,10,0,0
15004,0,0,0,0,0
15005,1,1,0,0,0
15006,0,0,0,0,0
15007,58,38,10,2,8
15008,0,0,0,0,0
15009,36,34,2,0,0
15010,38,38,0,0,0
15011,25,20,5,0,0
15012,0,0,0,0,0
15013,435,435,0,0,0
15014,0,0,0,0,0
15015,14,14,0,0,0
15016,84,44,20,20,0
15017,66,66,0,0,0
15018,0,0,0,0,0
15019,0,0,0,0,0
15020,28,6,17,5,0
15021,41,15,20,6,0
15022,18,10,8,0,0
15023,0,0,0,0,0
15024,163,135,21,7,0
15025,1414,1000,250,164,0
15026,120,80,20,15,5
15027,0,0,0,0,0
15028,0,0,0,0,0
15029,0,0,0,0,0
15030,154,100,0,0,54
15031,936,936,0,0,0
15032,3,0,0,3,0
15033,0,0,0,0,0
15034,0,0,0,0,0
15035,NSS,NSS,NSS,NSS,NSS
15036,41,15,12,14,0
15037,248,176,63,9,0
15038,62,58,0,4,0
15039,629,589,40,0,0
15040,0,0,0,0,0
15041,0,0,0,0,0
15042,7,4,3,0,0
15043,3,3,0,0,0
15044,0,0,0,0,0
15045,2000,1000,1000,0,0
15046,47,0,47,0,0
15047,0,0,0,0,0
15048,67,67,0,0,0
15049,0,0,0,0,0
15050,49,41,0,8,0
15051,0,0,0,0,0
15052,125,55,45,0,25
15053,209,209,0,0,0
15054,443,0,0,0,443
15055,3,1,0,2,0
15056,10,5,5,0,0
15057,0,0,0,0,0
15058,1800,1800,0,0,0
15059,470,400,70,0,0
15060,779,358,310,20,91
15061,0,0,0,0,0
15062,0,0,0,0,0
15063,NA,NA,NA,NA,NA
15064,1,1,0,0,0
15065,100,67,33,0,0
15066,0,0,0,0,0
15067,71,35,28,8,0
15068,39,39,0,0,0
15069,10,10,0,0,0
15070,2862,0,0,0,2862
15071,0,0,0,0,0
15072,0,0,0,0,0
15073,105,0,0,0,105
15074,350,200,100,50,0
15075,20,12,8,0,0
15076,443,0,0,0,443
15077,3,0,0,3,0
15078,0,0,0,0,0
15079,36,18,18,0,0
15080,3,0,0,3,0
15081,2709,2476,0,0,233
15082,0,0,0,0,0
15083,0,0,0,0,0
15084,19,9,7,3,0
15085,8,2,4,2,0
15086,0,0,0,0,0
15087,0,0,0,0,0
15088,34,34,0,0,0
15089,172,130,42,0,0
15090,37,37,0,0,0
15091,20,0,0,20,0
15092,0,0,0,0,0
15093,10,10,0,0,0
15094,25,20,0,5,0
15095,185,130,55,0,0
15096,101,101,0,0,0
15097,3,0,0,0,3
15098,0,0,0,0,0
15099,68,0,0,0,68
15100,300,150,50,75,25
15101,0,0,0,0,0
15102,0,0,0,0,0
15103,5,5,0,0,0
15104,100,100,0,0,0
15105,0,0,0,0,0
15106,0,0,0,0,0
15107,7,7,0,0,0
15108,275,275,0,0,0
15109,1266,376,498,392,0
15110,0,0,0,0,0
15111,58,20,20,18,0
15112,57,0,57,0,0
15113,7,7,0,0,0
15114,0,0,0,0,0
15115,180,135,15,30,0
15116,350,150,150,50,0
15117,0,0,0,0,0
15118,0,0,0,0,0
15119,6,6,0,0,0
15120,1000,800,0,200,0
15121,1078,0,1078,0,0
15122,528,264,0,264,0
15123,125,55,45,0,25
15124,80,80,0,0,0
15125,38,16,19,3,0
16001,0,0,0,0,0
16002,0,0,0,0,0
16003,0,0,0,0,0
16004,5,3,0,0,2
16005,0,0,0,0,0
16006,0,0,0,0,0
16007,0,0,0,0,0
16008,NA,NA,NA,NA,NA
16009,0,0,0,0,0
16010,NA,NA,NA,NA,NA
16011,0,0,0,0,0
16012,0,0,0,0,0
16013,1,0,0,1,0
16014,0,0,0,0,0
16015,0,0,0,0,0
16016,0,0,0,0,0
16017,0,0,0,0,0
16018,NSS,0,0,0,NSS
16019,50,50,0,0,0
16020,6,4,0,2,0
16021,0,0,0,0,0
16022,12,5,4,3,0
16023,0,0,0,0,0
16024,0,0,0,0,0
16025,2,1,1,0,0
16026,0,0,0,0,0
16027,4,4,0,0,0
16028,6,5,1,0,0
16029,0,0,0,0,0
16030,0,0,0,0,0
16031,0,0,0,0,0
16032,408,204,204,0,0
16033,0,0,0,0,0
16034,0,0,0,0,0
16035,0,0,0,0,0
16036,2,1,0,1,0
16037,0,0,0,0,0
16038,0,0,0,0,0
16039,4,2,1,1,0
16040,0,0,0,0,0
16041,0,0,0,0,0
16042,0,0,0,0,0
16043,0,0,0,0,0
16044,0,0,0,0,0
16045,150,0,0,0,150
16046,5,0,0,5,0
16047,0,0,0,0,0
16048,5,0,5,0,0
16049,6,6,0,0,0
16050,1365,0,0,0,1365
16051,ND,ND,ND,ND,ND
16052,42,26,16,0,0
16053,2466,2466,0,0,0
16054,3,0,1,1,1
16055,0,0,0,0,0
16056,0,0,0,0,0
16057,1,0,0,1,0
16058,2,0,2,0,0
16059,0,0,0,0,0
16060,0,0,0,0,0
16061,0,0,0,0,0
16062,0,0,0,0,0
16063,29,5,13,0,11
16064,0,0,0,0,0
16065,0,0,0,0,0
16066,0,0,0,0,0
16067,1,1,0,0,0
16068,0,0,0,0,0
16069,0,0,0,0,0
16070,0,0,0,0,0
16071,0,0,0,0,0
16072,0,0,0,0,0
16073,0,0,0,0,0
16074,0,0,0,0,0
16075,8,0,8,0,0
16076,0,0,0,0,0
16077,0,0,0,0,0
16078,3,3,0,0,0
16079,0,0,0,0,0
16080,0,0,0,0,0
16081,0,0,0,0,0
16082,0,0,0,0,0
16083,0,0,0,0,0
16084,0,0,0,0,0
16085,0,0,0,0,0
16086,0,0,0,0,0
16087,5,3,2,0,0
16088,0,0,0,0,0
16089,0,0,0,0,0
16090,0,0,0,0,0
16091,10,0,0,0,10
16092,0,0,0,0,0
16093,3,0,3,0,0
16094,0,0,0,0,0
16095,55,50,5,0,0
16096,9,5,2,2,0
16097,0,0,0,0,0
16098,0,0,0,0,0
16099,10,4,6,0,0
16100,0,0,0,0,0
16101,15,15,0,0,0
16102,0,0,0,0,0
16103,4,4,0,0,0
16104,0,0,0,0,0
16105,10,2,5,3,0
16106,0,0,0,0,0
16107,15,14,0,1,0
16108,0,0,0,0,0
16109,0,0,0,0,0
16110,0,0,0,0,0
16111,5,2,1,1,1
16112,30,20,10,0,0
16113,15,0,15,0,0
17001,66,66,0,0,0
17002,65,40,10,15,0
17003,25,25,0,0,0
17004,0,0,0,0,0
17005,50,50,0,0,0
17006,130,103,13,14,0
17007,0,0,0,0,0
17008,508,508,0,0,0
17009,95,95,0,0,0
17010,77,57,8,12,0
17011,41,41,0,0,0
17012,0,0,0,0,0
17013,50,8,1,41,0
17014,0,0,0,0,0
17015,15,15,0,0,0
17016,0,0,0,0,0
17017,0,0,0,0,0
17018,1200,1200,0,0,0
17019,207,157,30,20,0
17020,86,86,0,0,0
17021,100,50,50,0,0
17022,30,10,10,10,0
17023,2,2,0,0,0
17024,0,0,0,0,0
17025,1095,855,150,90,0
17026,40,22,8,10,0
17027,450,400,50,0,0
17028,330,330,0,0,0
17029,478,478,0,0,0
17030,325,290,12,23,0
17031,NA,NA,NA,NA,NA
17032,10,6,4,0,0
17033,40,25,5,10,0
17034,4,4,0,0,0
17035,NA,NA,NA,NA,NA
17036,4,4,0,0,0
18001,10,0,10,0,0
18002,37,30,0,7,0
18003,1,1,0,0,0
18004,NSS,NSS,NSS,NSS,NSS
18005,22,4,17,1,0
18006,100,50,30,20,0
18007,32,16,0,16,0
18008,207,207,0,0,0
18009,25,25,0,0,0
18010,80,50,30,0,0
18011,149,149,0,0,0
18012,132,0,132,0,0
18013,14,4,3,7,0
18014,49,36,0,13,0
18015,91,85,6,0,0
18016,80,40,30,10,0
18017,977,977,0,0,0
18018,260,260,0,0,0
18019,6,2,0,4,0
18020,3548,3548,0,0,0
19001,65,0,0,0,65
19002,NA,NA,NA,NA,NA
19003,2,1,1,0,0
19004,868,830,38,0,0
19005,81,65,16,0,0
19006,2843,269,2574,0,0
19007,0,0,0,0,0
19008,15,7,8,0,0
19009,40,30,10,0,0
19010,NSS,NSS,NSS,NSS,NSS
19011,0,0,0,0,0
19012,6,6,0,0,0
19013,NSS,NSS,NSS,NSS,NSS
19014,8,4,4,0,0
19015,0,0,0,0,0
19016,30,10,20,0,0
19017,325,210,80,35,0
19018,725,725,0,0,0
19019,902,456,311,135,0
19020,15,0,15,0,0
19021,1925,1045,677,203,0
19022,100,45,40,15,0
19023,NA,NA,NA,NA,NA
19024,0,0,0,0,0
19025,NSS,NSS,NSS,NSS,NSS
19026,NSS,NSS,NSS,NSS,NSS
19027,0,0,0,0,0
19028,NSS,NSS,NSS,NSS,NSS
19029,NSS,NSS,NSS,NSS,NSS
19030,30,10,10,10,0
19031,2349,2349,0,0,0
19032,20,10,10,0,0
19033,2156,0,0,0,2156
19034,0,0,0,0,0
19035,0,0,0,0,0
19036,4,1,2,1,0
19037,0,0,0,0,0
19038,0,0,0,0,0
19039,0,0,0,0,0
19040,NA,NA,NA,NA,NA
19041,202,80,50,72,0
19042,42,21,20,1,0
19043,0,0,0,0,0
19044,30,10,10,10,0
19045,NSS,NSS,NSS,NSS,NSS
19046,1692,1692,0,0,0
19047,200,100,50,50,0
19048,758,758,0,0,0
19049,529,490,39,0,0
