ubicageo_f,aniorefe_b,rnsnni1,sexostt,sexos1,sexos2
21063,2,2,NA,NA,NA
21064,1,2,NA,NA,NA
21064,2,2,NA,NA,NA
21065,1,2,NA,NA,NA
21065,2,2,NA,NA,NA
21066,1,2,NA,NA,NA
21066,2,2,NA,NA,NA
21067,1,2,NA,NA,NA
21067,2,2,NA,NA,NA
21068,1,2,NA,NA,NA
21068,2,2,NA,NA,NA
21069,1,2,NA,NA,NA
21069,2,2,NA,NA,NA
21070,1,2,NA,NA,NA
21070,2,2,NA,NA,NA
21071,1,2,NA,NA,NA
21071,2,2,NA,NA,NA
21072,1,2,NA,NA,NA
21072,2,2,NA,NA,NA
21073,1,2,NA,NA,NA
21073,2,2,NA,NA,NA
21074,1,1,1,1,0
21074,2,1,1,1,0
21075,1,2,NA,NA,NA
21075,2,2,NA,NA,NA
21076,1,2,NA,NA,NA
21076,2,2,NA,NA,NA
21077,1,2,NA,NA,NA
21077,2,2,NA,NA,NA
21078,1,2,NA,NA,NA
21078,2,2,NA,NA,NA
21079,1,2,NA,NA,NA
21079,2,2,NA,NA,NA
21080,1,2,NA,NA,NA
21080,2,2,NA,NA,NA
21081,1,2,NA,NA,NA
21081,2,2,NA,NA,NA
21082,1,2,NA,NA,NA
21082,2,2,NA,NA,NA
21083,1,2,NA,NA,NA
21083,2,2,NA,NA,NA
21084,1,2,NA,NA,NA
21084,2,2,NA,NA,NA
21085,1,2,NA,NA,NA
21085,2,2,NA,NA,NA
21086,1,2,NA,NA,NA
21086,2,2,NA,NA,NA
21087,1,2,NA,NA,NA
21087,2,2,NA,NA,NA
21088,1,2,NA,NA,NA
21088,2,2,NA,NA,NA
21089,1,2,NA,NA,NA
21089,2,2,NA,NA,NA
21090,1,2,NA,NA,NA
21090,2,2,NA,NA,NA
21091,1,2,NA,NA,NA
21091,2,2,NA,NA,NA
21092,1,2,NA,NA,NA
21092,2,2,NA,NA,NA
21093,1,2,NA,NA,NA
21093,2,2,NA,NA,NA
21094,1,2,NA,NA,NA
21094,2,2,NA,NA,NA
21095,1,2,NA,NA,NA
21095,2,2,NA,NA,NA
21096,1,2,NA,NA,NA
21096,2,2,NA,NA,NA
21097,1,2,NA,NA,NA
21097,2,2,NA,NA,NA
21098,1,2,NA,NA,NA
21098,2,2,NA,NA,NA
21099,1,2,NA,NA,NA
21099,2,2,NA,NA,NA
21100,1,2,NA,NA,NA
21100,2,2,NA,NA,NA
21101,1,2,NA,NA,NA
21101,2,2,NA,NA,NA
21102,1,2,NA,NA,NA
21102,2,2,NA,NA,NA
21103,1,2,NA,NA,NA
21103,2,2,NA,NA,NA
21104,1,2,NA,NA,NA
21104,2,2,NA,NA,NA
21105,1,2,NA,NA,NA
21105,2,2,NA,NA,NA
21106,1,2,NA,NA,NA
21106,2,2,NA,NA,NA
21107,1,2,NA,NA,NA
21107,2,2,NA,NA,NA
21108,1,2,NA,NA,NA
21108,2,2,NA,NA,NA
21109,1,2,NA,NA,NA
21109,2,1,1,1,0
21110,1,2,NA,NA,NA
21110,2,1,1,1,0
21111,1,2,NA,NA,NA
21111,2,2,NA,NA,NA
21112,1,2,NA,NA,NA
21112,2,2,NA,NA,NA
21113,1,2,NA,NA,NA
21113,2,2,NA,NA,NA
21114,1,1,350,298,52
21114,2,1,389,305,84
21115,1,2,NA,NA,NA
21115,2,2,NA,NA,NA
21116,1,2,NA,NA,NA
21116,2,2,NA,NA,NA
21117,1,2,NA,NA,NA
21117,2,2,NA,NA,NA
21118,1,2,NA,NA,NA
21118,2,1,2,1,1
21119,1,2,NA,NA,NA
21119,2,2,NA,NA,NA
21120,1,2,NA,NA,NA
21120,2,2,NA,NA,NA
21121,1,2,NA,NA,NA
21121,2,2,NA,NA,NA
21122,1,2,NA,NA,NA
21122,2,2,NA,NA,NA
21123,1,2,NA,NA,NA
21123,2,2,NA,NA,NA
21124,1,2,NA,NA,NA
21124,2,2,NA,NA,NA
21125,1,2,NA,NA,NA
21125,2,2,NA,NA,NA
21126,1,2,NA,NA,NA
21126,2,2,NA,NA,NA
21127,1,2,NA,NA,NA
21127,2,2,NA,NA,NA
21128,1,2,NA,NA,NA
21128,2,2,NA,NA,NA
21129,1,2,NA,NA,NA
21129,2,2,NA,NA,NA
21130,1,2,NA,NA,NA
21130,2,2,NA,NA,NA
21131,1,2,NA,NA,NA
21131,2,2,NA,NA,NA
21132,1,2,NA,NA,NA
21132,2,2,NA,NA,NA
21133,1,2,NA,NA,NA
21133,2,2,NA,NA,NA
21134,1,2,NA,NA,NA
21134,2,1,4,3,1
21135,1,2,NA,NA,NA
21135,2,2,NA,NA,NA
21136,1,2,NA,NA,NA
21136,2,2,NA,NA,NA
21137,1,2,NA,NA,NA
21137,2,2,NA,NA,NA
21138,1,2,NA,NA,NA
21138,2,2,NA,NA,NA
21139,1,2,NA,NA,NA
21139,2,2,NA,NA,NA
21140,1,2,NA,NA,NA
21140,2,2,NA,NA,NA
21141,1,2,NA,NA,NA
21141,2,2,NA,NA,NA
21142,1,2,NA,NA,NA
21142,2,2,NA,NA,NA
21143,1,2,NA,NA,NA
21143,2,2,NA,NA,NA
21144,1,2,NA,NA,NA
21144,2,2,NA,NA,NA
21145,1,9,NSS,NSS,NSS
21145,2,2,NA,NA,NA
21146,1,2,NA,NA,NA
21146,2,2,NA,NA,NA
21147,1,2,NA,NA,NA
21147,2,2,NA,NA,NA
21148,1,2,NA,NA,NA
21148,2,2,NA,NA,NA
21149,1,2,NA,NA,NA
21149,2,2,NA,NA,NA
21150,1,2,NA,NA,NA
21150,2,2,NA,NA,NA
21151,1,2,NA,NA,NA
21151,2,2,NA,NA,NA
21152,1,2,NA,NA,NA
21152,2,2,NA,NA,NA
21153,1,2,NA,NA,NA
21153,2,1,2,2,0
21154,1,2,NA,NA,NA
21154,2,2,NA,NA,NA
21155,1,2,NA,NA,NA
21155,2,2,NA,NA,NA
21156,1,1,7,6,1
21156,2,1,14,13,1
21157,1,2,NA,NA,NA
21157,2,1,1,1,0
21158,1,2,NA,NA,NA
21158,2,2,NA,NA,NA
21159,1,2,NA,NA,NA
21159,2,2,NA,NA,NA
21160,1,2,NA,NA,NA
21160,2,2,NA,NA,NA
21161,1,2,NA,NA,NA
21161,2,2,NA,NA,NA
21162,1,2,NA,NA,NA
21162,2,2,NA,NA,NA
21163,1,2,NA,NA,NA
21163,2,1,5,5,0
21164,1,2,NA,NA,NA
21164,2,2,NA,NA,NA
21165,1,2,NA,NA,NA
21165,2,2,NA,NA,NA
21166,1,2,NA,NA,NA
21166,2,2,NA,NA,NA
21167,1,2,NA,NA,NA
21167,2,2,NA,NA,NA
21168,1,2,NA,NA,NA
21168,2,2,NA,NA,NA
21169,1,2,NA,NA,NA
21169,2,1,1,1,0
21170,1,2,NA,NA,NA
21170,2,2,NA,NA,NA
21171,1,2,NA,NA,NA
21171,2,1,1,1,0
21172,1,2,NA,NA,NA
21172,2,2,NA,NA,NA
21173,1,9,NSS,NSS,NSS
21173,2,2,NA,NA,NA
21174,1,2,NA,NA,NA
21174,2,2,NA,NA,NA
21175,1,2,NA,NA,NA
21175,2,2,NA,NA,NA
21176,1,2,NA,NA,NA
21176,2,2,NA,NA,NA
21177,1,2,NA,NA,NA
21177,2,2,NA,NA,NA
21178,1,2,NA,NA,NA
21178,2,2,NA,NA,NA
21179,1,2,NA,NA,NA
21179,2,2,NA,NA,NA
21180,1,2,NA,NA,NA
21180,2,2,NA,NA,NA
21181,1,2,NA,NA,NA
21181,2,2,NA,NA,NA
21182,1,2,NA,NA,NA
21182,2,2,NA,NA,NA
21183,1,2,NA,NA,NA
21183,2,2,NA,NA,NA
21184,1,2,NA,NA,NA
21184,2,2,NA,NA,NA
21185,1,2,NA,NA,NA
21185,2,2,NA,NA,NA
21186,1,2,NA,NA,NA
21186,2,2,NA,NA,NA
21187,1,2,NA,NA,NA
21187,2,2,NA,NA,NA
21188,1,2,NA,NA,NA
21188,2,2,NA,NA,NA
21189,1,2,NA,NA,NA
21189,2,2,NA,NA,NA
21190,1,2,NA,NA,NA
21190,2,2,NA,NA,NA
21191,1,2,NA,NA,NA
21191,2,2,NA,NA,NA
21192,1,2,NA,NA,NA
21192,2,2,NA,NA,NA
21193,1,2,NA,NA,NA
21193,2,1,1,1,0
21194,1,2,NA,NA,NA
21194,2,2,NA,NA,NA
21195,1,2,NA,NA,NA
21195,2,2,NA,NA,NA
21196,1,2,NA,NA,NA
21196,2,2,NA,NA,NA
21197,1,2,NA,NA,NA
21197,2,2,NA,NA,NA
21198,1,2,NA,NA,NA
21198,2,2,NA,NA,NA
21199,1,2,NA,NA,NA
21199,2,2,NA,NA,NA
21200,1,2,NA,NA,NA
21200,2,2,NA,NA,NA
21201,1,2,NA,NA,NA
21201,2,2,NA,NA,NA
21202,1,2,NA,NA,NA
21202,2,2,NA,NA,NA
21203,1,2,NA,NA,NA
21203,2,2,NA,NA,NA
21204,1,2,NA,NA,NA
21204,2,2,NA,NA,NA
21205,1,2,NA,NA,NA
21205,2,2,NA,NA,NA
21206,1,2,NA,NA,NA
21206,2,2,NA,NA,NA
21207,1,2,NA,NA,NA
21207,2,2,NA,NA,NA
21208,1,2,NA,NA,NA
21208,2,1,1,1,0
21209,1,2,NA,NA,NA
21209,2,2,NA,NA,NA
21210,1,2,NA,NA,NA
21210,2,2,NA,NA,NA
21211,1,2,NA,NA,NA
21211,2,2,NA,NA,NA
21212,1,2,NA,NA,NA
21212,2,2,NA,NA,NA
21213,1,2,NA,NA,NA
21213,2,2,NA,NA,NA
21214,1,2,NA,NA,NA
21214,2,2,NA,NA,NA
21215,1,2,NA,NA,NA
21215,2,2,NA,NA,NA
21216,1,2,NA,NA,NA
21216,2,2,NA,NA,NA
21217,1,2,NA,NA,NA
21217,2,2,NA,NA,NA
22001,1,2,NA,NA,NA
22001,2,2,NA,NA,NA
22002,1,2,NA,NA,NA
22002,2,2,NA,NA,NA
22003,1,2,NA,NA,NA
22003,2,2,NA,NA,NA
22004,1,2,NA,NA,NA
22004,2,2,NA,NA,NA
22005,1,2,NA,NA,NA
22005,2,2,NA,NA,NA
22006,1,1,6,4,2
22006,2,1,2,2,0
22007,1,1,3,3,0
22007,2,2,NA,NA,NA
22008,1,2,NA,NA,NA
22008,2,2,NA,NA,NA
22009,1,2,NA,NA,NA
22009,2,1,2,2,0
22010,1,2,NA,NA,NA
22010,2,2,NA,NA,NA
22011,1,2,NA,NA,NA
22011,2,2,NA,NA,NA
22012,1,2,NA,NA,NA
22012,2,2,NA,NA,NA
22013,1,2,NA,NA,NA
22013,2,2,NA,NA,NA
22014,1,9,NSS,NSS,NSS
22014,2,9,NSS,NSS,NSS
22015,1,2,NA,NA,NA
22015,2,1,1,1,0
22016,1,2,NA,NA,NA
22016,2,2,NA,NA,NA
22017,1,2,NA,NA,NA
22017,2,2,NA,NA,NA
22018,1,2,NA,NA,NA
22018,2,2,NA,NA,NA
23001,1,2,NA,NA,NA
23001,2,2,NA,NA,NA
23002,1,2,NA,NA,NA
23002,2,2,NA,NA,NA
23003,1,2,NA,NA,NA
23003,2,2,NA,NA,NA
23004,1,1,4,1,3
23004,2,1,5,2,3
23005,1,9,NSS,NSS,NSS
23005,2,9,NSS,NSS,NSS
23006,1,2,NA,NA,NA
23006,2,2,NA,NA,NA
23007,1,2,NA,NA,NA
23007,2,1,1,1,0
23008,1,2,NA,NA,NA
23008,2,1,1,1,0
23009,1,2,NA,NA,NA
23009,2,1,1,1,0
23010,1,2,NA,NA,NA
23010,2,2,NA,NA,NA
23011,1,2,NA,NA,NA
23011,2,2,NA,NA,NA
24001,1,2,NA,NA,NA
24001,2,2,NA,NA,NA
24002,1,2,NA,NA,NA
24002,2,2,NA,NA,NA
24003,1,2,NA,NA,NA
24003,2,2,NA,NA,NA
24004,1,2,NA,NA,NA
24004,2,2,NA,NA,NA
24005,1,2,NA,NA,NA
24005,2,2,NA,NA,NA
24006,1,2,NA,NA,NA
24006,2,2,NA,NA,NA
24007,1,2,NA,NA,NA
24007,2,2,NA,NA,NA
24008,1,2,NA,NA,NA
24008,2,2,NA,NA,NA
24009,1,2,NA,NA,NA
24009,2,2,NA,NA,NA
24010,1,2,NA,NA,NA
24010,2,2,NA,NA,NA
24011,1,2,NA,NA,NA
24011,2,1,2,2,0
24012,1,2,NA,NA,NA
24012,2,2,NA,NA,NA
24013,1,2,NA,NA,NA
24013,2,2,NA,NA,NA
24014,1,2,NA,NA,NA
24014,2,2,NA,NA,NA
24015,1,2,NA,NA,NA
24015,2,2,NA,NA,NA
24016,1,2,NA,NA,NA
24016,2,2,NA,NA,NA
24017,1,2,NA,NA,NA
24017,2,2,NA,NA,NA
24018,1,2,NA,NA,NA
24018,2,1,2,2,0
24019,1,2,NA,NA,NA
24019,2,2,NA,NA,NA
24020,1,2,NA,NA,NA
24020,2,2,NA,NA,NA
24021,1,2,NA,NA,NA
24021,2,2,NA,NA,NA
24022,1,2,NA,NA,NA
24022,2,2,NA,NA,NA
24023,1,2,NA,NA,NA
24023,2,2,NA,NA,NA
24024,1,2,NA,NA,NA
24024,2,2,NA,NA,NA
24025,1,2,NA,NA,NA
24025,2,2,NA,NA,NA
24026,1,2,NA,NA,NA
24026,2,2,NA,NA,NA
24027,1,2,NA,NA,NA
24027,2,2,NA,NA,NA
24028,1,1,20,19,1
24028,2,1,30,22,8
24029,1,2,NA,NA,NA
24029,2,2,NA,NA,NA
24030,1,0,NA,NA,NA
24030,2,0,NA,NA,NA
24031,1,2,NA,NA,NA
24031,2,2,NA,NA,NA
24032,1,2,NA,NA,NA
24032,2,1,1,0,1
24033,1,2,NA,NA,NA
24033,2,2,NA,NA,NA
24034,1,2,NA,NA,NA
24034,2,2,NA,NA,NA
24035,1,2,NA,NA,NA
24035,2,2,NA,NA,NA
24036,1,2,NA,NA,NA
24036,2,2,NA,NA,NA
24037,1,1,1,1,0
24037,2,1,1,1,0
24038,1,2,NA,NA,NA
24038,2,2,NA,NA,NA
24039,1,2,NA,NA,NA
24039,2,2,NA,NA,NA
24040,1,2,NA,NA,NA
24040,2,1,1,1,0
24041,1,2,NA,NA,NA
24041,2,2,NA,NA,NA
24042,1,2,NA,NA,NA
24042,2,2,NA,NA,NA
24043,1,2,NA,NA,NA
24043,2,2,NA,NA,NA
24044,1,2,NA,NA,NA
24044,2,2,NA,NA,NA
24045,1,2,NA,NA,NA
24045,2,2,NA,NA,NA
24046,1,2,NA,NA,NA
24046,2,2,NA,NA,NA
24047,1,2,NA,NA,NA
