ubicageo_f,aniorefe_b,rnsnni1,sexostt,sexos1,sexos2
27009,1,2,NA,NA,NA
27009,2,2,NA,NA,NA
27010,1,2,NA,NA,NA
27010,2,2,NA,NA,NA
27011,1,2,NA,NA,NA
27011,2,2,NA,NA,NA
27012,1,2,NA,NA,NA
27012,2,2,NA,NA,NA
27013,1,2,NA,NA,NA
27013,2,2,NA,NA,NA
27014,1,2,NA,NA,NA
27014,2,2,NA,NA,NA
27015,1,2,NA,NA,NA
27015,2,2,NA,NA,NA
27016,1,1,1,1,0
27016,2,2,NA,NA,NA
27017,1,2,NA,NA,NA
27017,2,2,NA,NA,NA
28001,1,0,NA,NA,NA
28001,2,0,NA,NA,NA
28002,1,0,NA,NA,NA
