ARCHIVO,CONTENIDO
m3s1p1a,"Situación operativa que mejor describe el ejercicio de la función de seguridad pública en el municipio, durante el año 2022."
m3s1p1b,"Asociaciones en materia de Mando Único Policial u homólogo de la institución encargada de la función de seguridad pública con el Gobierno de la entidad federativa, durante el año 2022."
m3s1p1c,"Asociaciones en materia de Mando Único Policial u homólogo de la institución encargada de la función de seguridad pública con el Gobierno de la entidad federativa, tipo de instrumento regulatorio establecido , año de entrada en vigor, año de vencimiento y aspectos comprendidos, durante el año 2022."
m3s1p1d,"Participación de instituciones en el ejercicio de la función de seguridad pública en el municipio, tipo de instrumento regulatorio, año de entrada en operaciones y año de cierre de operaciones, según institución, durante el año 2022."
