ARCHIVO,CONTENIDO
m3s1p99,"Presupuesto de la institución encargada de la función de seguridad pública, según tipo, durante los años 2021 y 2022."
m3s1p100a,"Presupuesto ejercido por la institución encargada de la función de seguridad pública, según capítulo del Clasificador por Objeto del Gasto, durante el año 2021."
m3s1p100b,"Presupuesto ejercido por la institución encargada de la función de seguridad pública, según capítulo del Clasificador por Objeto del Gasto, durante el año 2022."
m3s1p101,"Monto aportado por el Gobierno de la entidad federativa a la institución encargada de la función de seguridad pública del municipio a través de algún fondo especial para el fortalecimiento de la seguridad pública municipal, durante los años 2021 y 2022."
m3s1p102,"Presupuesto aportado por el Gobierno Federal a la institución encargada de la función de seguridad pública del municipio, según tipo de fondo o subsidio, durante los años 2021 y 2022."
m3s1p103,"Monto aportado por el sector privado a la institución encargada de la función de seguridad pública del municipio, durante los años 2021 y 2022."
m3s1p104,"Presupuesto ejercido por la institución encargada de la función de seguridad pública destinado a la adquisición, mantenimiento y desarrollo de plataformas tecnológicas para el combate a la delincuencia, según tipo de plataforma, durante los años 2021 y 2022."
m3s1p105,"Bienes materiales donados a la institución encargada de la función de seguridad pública para el ejercicio de sus funciones, según tipo de institución donante y tipo de bien, durante el año 2022."
