ubicageo_f,aniorefe_b,rnsnni1,forfastt,forfas1,forfas2,forfas3
6003,1,2,NA,NA,NA,NA
6003,2,2,NA,NA,NA,NA
6004,1,2,NA,NA,NA,NA
6004,2,2,NA,NA,NA,NA
6005,1,1,1573605.03,1573605.03,0,0
6005,2,1,3742508.22,3742508.22,0,0
6006,1,2,NA,NA,NA,NA
6006,2,2,NA,NA,NA,NA
6007,1,2,NA,NA,NA,NA
6007,2,2,NA,NA,NA,NA
6008,1,2,NA,NA,NA,NA
6008,2,2,NA,NA,NA,NA
6009,1,2,NA,NA,NA,NA
6009,2,2,NA,NA,NA,NA
6010,1,1,106032683,106032683,0,0
6010,2,1,114043125,114043125,0,0
7001,1,2,NA,NA,NA,NA
7001,2,2,NA,NA,NA,NA
7002,1,2,NA,NA,NA,NA
7002,2,2,NA,NA,NA,NA
7003,1,9,NSS,NSS,NSS,NSS
7003,2,9,NSS,NSS,NSS,NSS
7004,1,2,NA,NA,NA,NA
7004,2,2,NA,NA,NA,NA
7005,1,9,NSS,NSS,NSS,NSS
7005,2,2,NA,NA,NA,NA
7006,1,2,NA,NA,NA,NA
7006,2,2,NA,NA,NA,NA
7007,1,2,NA,NA,NA,NA
7007,2,2,NA,NA,NA,NA
7008,1,2,NA,NA,NA,NA
7008,2,2,NA,NA,NA,NA
7009,1,2,NA,NA,NA,NA
7009,2,2,NA,NA,NA,NA
7010,1,1,3702148.7,3702148.7,0,0
7010,2,1,3816650.15,3816650.15,0,0
7011,1,1,20000000,20000000,0,0
7011,2,1,20000000,20000000,0,0
7012,1,1,23110203.94,23110203.94,0,0
7012,2,1,25491060.97,25491060.97,0,0
7013,1,2,NA,NA,NA,NA
7013,2,2,NA,NA,NA,NA
7014,1,1,4495493,4495493,0,0
7014,2,1,7269195,7269195,0,0
7015,1,2,NA,NA,NA,NA
7015,2,2,NA,NA,NA,NA
7016,1,2,NA,NA,NA,NA
7016,2,2,NA,NA,NA,NA
7017,1,2,NA,NA,NA,NA
7017,2,2,NA,NA,NA,NA
7018,1,1,713839.32,713839.32,0,0
7018,2,1,4744962.78,4744962.78,0,0
7019,1,1,2936948.81,2936948.81,0,0
7019,2,1,61549754.48,61549754.48,0,0
7020,1,1,6313131,6313131,0,0
7020,2,1,4432249,4432249,0,0
7021,1,2,NA,NA,NA,NA
7021,2,2,NA,NA,NA,NA
7022,1,1,6284053.69,6284053.69,0,0
7022,2,1,7376260.24,7376260.24,0,0
7023,1,1,15894037.24,15894037.24,0,0
7023,2,1,21697032,21697032,0,0
7024,1,1,3535687.41,3535687.41,0,0
7024,2,1,4075966,4075966,0,0
7025,1,2,NA,NA,NA,NA
7025,2,2,NA,NA,NA,NA
7026,1,1,5922236,5922236,0,0
7026,2,1,7047068,7047068,0,0
7027,1,1,71496348,71496348,0,0
7027,2,1,84176202,84176202,0,0
7028,1,1,1984420.71,1984420.71,0,0
7028,2,1,2372615.68,2372615.68,0,0
7029,1,2,NA,NA,NA,NA
7029,2,2,NA,NA,NA,NA
7030,1,1,1581227.06,1581227.06,0,0
7030,2,1,8111841.62,8111841.62,0,0
7031,1,2,NA,NA,NA,NA
7031,2,2,NA,NA,NA,NA
7032,1,2,NA,NA,NA,NA
7032,2,2,NA,NA,NA,NA
7033,1,1,512699,512699,0,0
7033,2,1,755125,755125,0,0
