ubicageo_f,aniorefe_b,presup1,presup2,presup3
11030,1,15521177.68,15521177.68,15521177.68
11030,2,14963124.24,14963124.25,14963124.25
11031,1,94986103.42,99105284.9,92182384.9
11031,2,119140982.42,96989009.3,105208598.7
11032,1,NSS,NSS,NSS
11032,2,NSS,NSS,NSS
11033,1,NSS,49598672,49598672
11033,2,49348500,43845378,43845378
11034,1,5343810,5343811,5343811
11034,2,5224822,5929803,4515586
11035,1,NSS,NSS,NSS
11035,2,NSS,NSS,NSS
11036,1,NSS,NSS,NSS
11036,2,NSS,NSS,NSS
11037,1,NSS,NSS,NSS
11037,2,NSS,72770138.5,54033589.31
11038,1,NSS,NSS,NSS
11038,2,NSS,NSS,NSS
11039,1,NSS,NSS,NSS
11039,2,NSS,NSS,NSS
11040,1,NSS,8056142.86,7143835.69
11040,2,NSS,9399978.25,9475909.27
11041,1,NSS,NSS,NSS
11041,2,NSS,NSS,NSS
11042,1,62909657.16,62909657.16,62023382.18
11042,2,65958368.88,65958368.88,67910399.92
11043,1,6766124.12,7242529.8,6560326.39
11043,2,7004758.99,7384470.91,7151149.47
11044,1,27948099.34,27948099.34,29010956.18
11044,2,29924093.7,29924093.7,30511598.7
11045,1,623396.61,623396.61,871032.14
11045,2,544460.05,544460.05,2716980.51
11046,1,NSS,4035525.92,4035525.92
11046,2,NSS,3697773.37,3697773.37
12001,1,0,793798767.06,644696817.53
12001,2,0,1030258303.88,1029559753.4
12002,1,17296839,17296839,17296839
12002,2,18797659.37,18797659.37,18797659.37
12003,1,1598065.38,1598065.38,1598065.38
12003,2,2102299.53,2102299.53,2102299.53
12004,1,11637826.93,11637826.93,10444595.08
12004,2,11839280.25,11839280.25,13041318.08
12005,1,4821040,5361642,5361642
12005,2,5522491.26,5826863.76,5826863.76
12006,1,6376349.92,6376349.92,6376349.92
12006,2,4679117.62,4679117.62,4679117.62
12007,1,13012364.96,12251387.81,12251387.81
12007,2,15412321.68,14251387.81,14251387.81
12008,1,1257413,1257413,1257413
12008,2,1245418.8,1245418.8,1245418.8
12009,1,3987778,3987778,3987778
12009,2,4404629.52,4404629.52,4404629.52
12010,1,19551844,19423634.9,19423634.9
12010,2,21043120,21141443.83,21141443.83
12011,1,13880476,13880476,13880476
12011,2,45254592.02,45254592.02,45254592.02
12012,1,31687223.62,3301469.08,3008191.58
12012,2,28766127.83,26016487.88,24853111.16
12013,1,11052629.28,11052629.28,11052629.28
12013,2,68935861.67,68935861.67,68935861.67
12014,1,10729881,10597016,10597016
12014,2,10861941.4,11405281,11405281
12015,1,9250857,9250867,8908850
12015,2,8908850,9681856,9681856
12016,1,4477522.28,3896785.18,3896785.18
12016,2,4081106.18,2530871.66,2530871.66
12017,1,198453.42,198453.42,198453.42
12017,2,716434.8,716434.8,716434.8
12018,1,0,5706262.49,5706262.49
12018,2,0,7533472.56,7533472.56
12019,1,6875145.9,6875145.9,7170851.76
12019,2,7636790,7636790,7639064
12020,1,12588525.32,12588525.32,14417697.36
12020,2,10497767.57,10497767.57,15569540
12021,1,0,0,0
12021,2,53958310,53958310,53958310
12022,1,8365798.89,7082112.64,7082112.64
12022,2,7548169.56,5734961.71,5734961.71
12023,1,19272681.13,19272681.13,19272681.13
12023,2,20858173.52,20858173.52,20858173.52
12024,1,1809434.44,1809434.44,1809434.44
12024,2,5052652.74,6022330.34,6022330.34
12025,1,0,8789635.75,8684377.18
12025,2,9332368.98,12696343.68,12696343.68
12026,1,0,0,0
12026,2,0,0,0
12027,1,417237,317237,317237
12027,2,1758241,1275241,1275241
12028,1,84903769,84903769,84903769
12028,2,91379625,91379625,91379625
12029,1,197043130.26,194457993.95,143937359.7
12029,2,200284162.29,211348905.86,211322331.75
12030,1,10205254.09,12152187.16,12152187.16
12030,2,13803492.42,15201055,15201055
12031,1,NSS,NSS,NSS
12031,2,NSS,NSS,NSS
12032,1,1200253.68,1200253.68,22421774.3
12032,2,19205657.25,19205657.25,18234531.82
12033,1,1732957.6,1732957.6,1732957.6
12033,2,11305145.2,11305145.2,13042415.25
12034,1,25083000,25083000,5234918.06
12034,2,14229991,14229991,14120328.78
12035,1,61097728.62,61097729.62,49188936.53
12035,2,59171152.33,59171152.33,53032982.91
12036,1,47396821.03,47396821.03,47396821.03
12036,2,80243876.27,80243876.27,80243876.27
12037,1,2890685.03,2890685.03,2890685.03
12037,2,3343514.15,3343514.15,3343514.15
12038,1,84823821.8,84823821.8,75440362.53
12038,2,78507882.5,78507882.5,80088557.11
12039,1,1000000,1000000,1000000
12039,2,19251000,19251000,19251000
12040,1,6029131.64,6204026.22,6204026.22
12040,2,18318347,19575982.14,19575982.14
12041,1,20330048,20330048,5082512
12041,2,21880679,21880679,21880679
12042,1,13236546.12,13236546.12,12741774.18
12042,2,13236546.12,13236546.12,13892923.6
12043,1,11708354.13,11708354.13,11708354.13
12043,2,11873145.17,11873145.17,11873145.17
12044,1,11687588.62,11035666.25,11035666.25
12044,2,12521363.07,12117169.23,12117169.23
12045,1,18385719.39,19525327.84,19525327.84
12045,2,19520964,21215220.95,21215220.95
12046,1,18268315.36,18268315.36,18268315.36
12046,2,7888174.2,7888174.2,7888174.2
12047,1,0,0,0
12047,2,0,0,0
12048,1,8450514.3,8450514.3,8450514.3
12048,2,21412225.64,21412225.64,21412225.64
12049,1,87530117.93,8753017.93,8753017.93
12049,2,9513813.64,9513813.64,9513813.64
12050,1,21487365,19882283.97,19882283.97
12050,2,22145976,20153579.85,20153579.85
12051,1,21143002,21143002,21143002
12051,2,25634348,25634348,25634348
12052,1,31508170.71,31508170.71,31508170.71
12052,2,22705196.54,22705196.54,22705196.54
12053,1,30351160.31,30351160.31,30351160.31
12053,2,29891404.04,32037253.25,32037253.25
12054,1,14235789,12898986.83,12898986.83
12054,2,14485213,12905864.94,12905864.94
12055,1,72500000,72500000,72500000
12055,2,77900000,77900000,77900000
12056,1,31610564,31610564,31610564
12056,2,34021593,34413217.29,34413217.29
12057,1,32989093,32989093,26945839.87
12057,2,30398946.98,30398946.98,27227272.93
12058,1,12172728.11,12172728.11,12172728.11
12058,2,12025333.15,12025333.15,12025333.15
12059,1,22134300,21153521.27,21153521.27
12059,2,21769314,22974833.4,23127279.41
12060,1,9540295.36,9540295.36,9300010
12060,2,9579010.3,10106958.25,10106958.25
12061,1,29877373,29877373,29617731.83
12061,2,30633220.93,30633220.93,32209511.28
12062,1,4523631.31,4523631.31,4523631.31
12062,2,13875439.59,13875439.59,13875439.59
12063,1,6885022.53,6925625.51,6925625.51
12063,2,7271877.9,7526529.51,7526529.51
12064,1,5248765,5089148.58,3852028.21
12064,2,5089148.58,5089148.58,4654925
12065,1,1733957.56,1733957.56,1733957.56
12065,2,4138808.72,4138808.72,4138808.72
12066,1,0,0,0
12066,2,1060985.94,1060985.94,1060985.94
12067,1,15869162.62,15312537.08,15312537.08
12067,2,16503926.12,16699587.09,16699587.09
12068,1,13900630.01,13900630.01,13900630.01
12068,2,15884788.5,15884788.5,15884788.5
12069,1,NSS,NSS,NSS
12069,2,8457972.72,8837948,8961152.39
12070,1,5395268,5395268,5395268
12070,2,5863407.28,5863407.28,5863407.28
12071,1,4675105.15,4675105.15,4675105.15
12071,2,6892303.55,6892303.55,6892303.55
12072,1,7191989.86,7191989.86,7191989.86
12072,2,8410777.73,8410777.73,8410777.73
12073,1,11563478.75,10420471.69,10420471.69
12073,2,10148796,8005484.7,8005484.7
12074,1,8239201.58,8239201.58,6979017.25
12074,2,2466373.9,2466373.9,5495897.81
12075,1,36457522,36457522,12152007.36
12075,2,39949559,37949559,39705953.21
12076,1,17794379.83,15681166.48,15681166.48
12076,2,17914345.8,20846767.48,20846767.48
12077,1,3381512.93,3381512.93,3381512.93
12077,2,11155538.54,11155538.54,11155538.54
12078,1,14576559,14576559,14576559
12078,2,13768412.65,13768412.65,15754096.14
12079,1,10963981.56,10187186.3,10187186.3
12079,2,9247106.51,9687476.35,9687476.35
12080,1,5155276,5155276,5155276
12080,2,5639942,5639942,5639942
12081,1,8018635.53,8018635.53,5723871.92
12081,2,8259194.6,8259194.6,6709744.18
12082,1,NA,NA,NA
12082,2,NA,NA,NA
12083,1,NA,NA,NA
12083,2,NA,NA,NA
12084,1,NA,NA,NA
12084,2,NA,NA,NA
12085,1,NA,NA,NA
12085,2,NA,NA,NA
13001,1,NSS,NSS,NSS
13001,2,NSS,NSS,NSS
13002,1,NSS,NSS,NSS
13002,2,NSS,NSS,NSS
13003,1,14437371,14437372.57,14167106.03
13003,2,18106007.35,18106007.35,17392696.83
13004,1,4663567.21,4663567.21,6456730
13004,2,5087194.06,5087194.06,7641185
13005,1,12975788.81,12975788.81,12975788.81
13005,2,14119140.42,14119140.42,13719140.42
13006,1,14400859,14400859,14400859
13006,2,14197652,14197652,14197652
13007,1,8793256.91,8793256.91,8793256.91
13007,2,9390430.68,9390430.68,9390430.68
13008,1,31959844,31959844,31594139.56
13008,2,31572531,34237963.78,34237963.78
13009,1,13320867.19,13320866,13320866
13009,2,14840360,14840360,14840360
13010,1,12752707,21110206.86,21110206.86
13010,2,17198873,19088927.23,19088927.23
13011,1,10649075.02,10649075.02,10649075.02
13011,2,13574098.2,13574098.2,13574098.2
13012,1,19430393.8,19430393.8,19417629.99
13012,2,22545585.87,22545585.87,21769651.25
13013,1,21240643.54,21240643.54,21240643.54
13013,2,46737107.99,46737107.99,46737107.99
13014,1,12305429,12160117.08,10224475.41
13014,2,12156303,12103852.39,10757061.57
13015,1,2025325.35,2025325.35,2025325.35
13015,2,2429707.76,2429707.76,2429707.76
13016,1,9523651.04,9644738.13,9644738.13
13016,2,10322476.94,11814681.19,11814681.19
13017,1,4740162.77,4740162.77,4740162.77
13017,2,4064622.5,4064622.5,4064622.5
13018,1,16971227,16971227,16971227
13018,2,16969462,16969462,16969462
13019,1,12281037.71,12281037.71,12281037.71
13019,2,13559022.07,13559022.07,13559022.07
13020,1,1947777,1947777,1947777
13020,2,1939959,1958118,1958118
13021,1,10500331.28,10500331.28,10500331.28
13021,2,11353219.36,11243574,10358984.78
13022,1,2321689.72,2321689.72,2321689.72
13022,2,4688663.67,4688663.67,4688663.67
13023,1,3692309.04,3692309.04,3692309.04
13023,2,6372618.52,6372618.52,6372618.52
13024,1,NSS,NSS,NSS
13024,2,3395156,3395156,3395156
13025,1,15046815,15046815,15046815
13025,2,15317193,15317193,15317193
13026,1,9907032.39,9907032.39,9907032.39
13026,2,9550919.17,9550919.17,9550919.17
13027,1,18408504.15,18407630,18407630
13027,2,18407630,17093055.68,17093055.68
13028,1,3945371.72,3945371.72,3945371.72
13028,2,6659367.02,6659367.02,6659367.02
13029,1,32951420,32552089.41,32552089.41
13029,2,32552089,35481148.4,35481148.4
13030,1,34737181.2,30934370.92,30934370.92
13030,2,36146453.75,25571047.31,25571047.31
13031,1,9490316,9490316,9490316
13031,2,9105999,9105999,9105999
13032,1,8370517.04,8370517.04,8370517.04
13032,2,7872812.35,7872812.35,7872812.35
13033,1,2228356,2201351.07,2201351.07
13033,2,2201351,2863132.14,2863132.14
13034,1,6821949,6821949,6821949
13034,2,7904307,7904307,7904307
13035,1,8461013,8461013,8255657.45
13035,2,3064026.68,3064026.68,9684600.49
13036,1,6684329.97,6684329.97,6684329.97
13036,2,7069509.12,7069509.12,7069509.12
13037,1,14244458.59,14244458.59,14244458.59
13037,2,15684243,15684243,15684243
13038,1,6472844,6395960,6395960
13038,2,6394401,6642893.84,6642893.84
13039,1,9024531,9024531,9024531
13039,2,9663660,9663660,9663660
13040,1,7181306,7181306,7181306
13040,2,7275167,7275167,7275167
13041,1,33887179,32739785.05,32373243.61
13041,2,34988077,35329273.74,35223377.2
13042,1,6376701.18,6100357.38,5983387.38
13042,2,5953167,7914732.73,7808502.06
13043,1,NSS,NSS,NSS
13043,2,4787177.19,4687177.19,4687177.19
13044,1,NSS,NSS,NSS
13044,2,NSS,NSS,NSS
13045,1,6923216.36,6923216.36,6923216.36
13045,2,6794689.32,6794689.32,6794689.32
13046,1,27927580.8,27596972.49,27596972.49
13046,2,27589134,28800387.45,28800387.45
13047,1,3639879,3639879,3639879
13047,2,3517924,3517924,3517924
13048,1,167786671,172897300,169793714.42
13048,2,172974789.11,172974789.11,175059783.03
13049,1,12309292,12309292,12309292
13049,2,13872385,13872385,13872385
13050,1,16655001,16610001.28,16610001.28
13050,2,17516266,17687081.32,17687081.32
13051,1,57803687.86,48176058.42,48176058.42
13051,2,55475163.81,66470553.17,66470553.17
13052,1,17385637.22,8906711.34,8663683.87
13052,2,10047132.7,11046492.19,11046492.19
13053,1,10403342,10403342,13457864.07
13053,2,10774815,10774815,13255060.19
13054,1,25491560,25491560,25486384
13054,2,25177422,25177422,24277422
13055,1,12063517,12063517,12063517
13055,2,13580459,13580459,13580459
13056,1,26413380,26413380,26413380
13056,2,29311831,29311831,29311831
13057,1,11499014,11499014,11499014
13057,2,11219124,11219124,11219124
13058,1,11618005.67,11618005.67,11618005.67
13058,2,13048533.7,13048533.7,13048533.7
13059,1,133527168.7,133527168.7,124553561.8
13059,2,19906040.98,19906040.98,19906040.98
13060,1,6539092.79,6539092.79,13291989.67
13060,2,6843171.34,6843171.34,13095032.22
13061,1,38984041,38512602.5,38512602.5
13061,2,38511603,42080301.89,42080301.89
13062,1,22046958,21783619.24,21783619.24
13062,2,21779777,23472124.94,23472124.94
13063,1,50597118.54,38055743.32,38055743.32
13063,2,39278131.4,44888891.73,44888891.73
13064,1,7742976.16,7742976.16,7742976.16
13064,2,8102495.27,8102495.27,8102495.27
13065,1,NSS,NSS,NSS
13065,2,8804263,8804263,8804263
13066,1,9922474.89,9922474.89,9922474.89
13066,2,9874840.54,9874840.54,9874840.54
13067,1,14254041.43,14254041.43,14254041.43
13067,2,13196851.36,13196851.36,13196851.36
13068,1,10710692.07,10710692.07,10710692.07
13068,2,10728511.75,10728511.75,10728511.75
13069,1,81655876.68,81655876.68,81655876.68
13069,2,85067785.09,85067785.09,85067785.09
13070,1,7119803.2,7119803.2,7119803.2
13070,2,8201720.41,8201720.41,8201720.41
13071,1,7439325,7349284.23,7349284.23
13071,2,7439169,6797824.92,6797824.92
13072,1,3767839.53,3767939.53,2710457.1
13072,2,2501132.55,675945.56,3178078.22
13073,1,25354983.7,25354983.7,28066113.58
13073,2,28223729.73,28223729.73,28223729.73
13074,1,5411855.42,5411855.42,5411855.42
13074,2,4419013.03,4419013.03,4419013.03
13075,1,11852113.56,11852113.56,11852113.56
13075,2,15982040.99,15982040.99,15982040.99
13076,1,63628983,63628983,64972962
13076,2,65433246,65433246,62885758
13077,1,89500000,89439639.76,79349833.49
13077,2,75000000,74950631.37,71969733.42
13078,1,6521263.51,6521263.51,6521263.51
13078,2,6470949.83,6470949.83,6470949.83
13079,1,5525004,5458047.41,5458047.41
13079,2,5458047,5248292.18,5248292.18
13080,1,NSS,NSS,NSS
13080,2,NSS,NSS,NSS
13081,1,885293.85,885293.85,885293.85
13081,2,22022559.34,22022559.34,22022559.34
13082,1,11311248,11311248,11311248
13082,2,13518600.48,13518600.48,13518600.48
13083,1,31511094,32143408.73,32143408.73
13083,2,32143310,43322538.42,43322538.42
13084,1,28473782,28473782,28473782
13084,2,29583011,29583011,29583011
14001,1,0,0,0
14001,2,0,0,0
14002,1,12624270,12624270,6896332.43
14002,2,14139182.4,14139182.4,6751883.93
14003,1,NSS,NSS,NSS
14003,2,NSS,NSS,NSS
14004,1,3574799.7,3574799.7,3574799.7
14004,2,3761863.97,3761863.97,3761863.97
14005,1,12400000,10982916.48,9530676.69
14005,2,12532000,12305302.32,9352016.59
14006,1,58856091.46,58856091.46,58856091.46
14006,2,60590426.63,60590426.63,60590426.63
14007,1,0,6748140,6507287.6
14007,2,0,6536491,7409592.66
14008,1,31605767,31605767,28132407.71
14008,2,34100610,34100610,30273133.1
14009,1,13161646.96,13161646.96,13161646.96
14009,2,14956374.49,14956374.49,14956374.49
14010,1,44998818,44998818,44998818
14010,2,45013010,45013010,45013010
14011,1,3347811,3347811,3347811
14011,2,3347811,3347811,3347811
14012,1,2939277,2939277,1884784.07
14012,2,2939511,2939511,2337234.46
14013,1,NSS,NSS,NSS
14013,2,NSS,NSS,NSS
14014,1,6930717,6930717,6930717
14014,2,8040877,8040877,8040877
14015,1,34577751.12,34577751.12,33235914.76
14015,2,34723824.12,34723824.12,34723824.12
14016,1,14463652.17,14463652.17,14463652.17
14016,2,8889913.38,8889913.38,8889913.38
14017,1,8940708,8940708,8569966
14017,2,9612000,9612000,9611585
14018,1,194361087,194361087,194361087
14018,2,204079142,204079087,204079087
14019,1,5876087.89,5876087.89,5876087.89
14019,2,8979272,8979272,8798325
14020,1,4650000,4650000,4650000
14020,2,4650000,4650000,4650000
14021,1,14571112,14571112,14164949.54
14021,2,15335521.8,15335521.8,15335521.8
14022,1,25923288.07,25923288.07,25923288.07
14022,2,26363272.23,26363272.23,26363272.23
14023,1,59863445.03,59863445.03,49161153.33
14023,2,47469629.03,47451176.38,60461208.33
14024,1,20364821,20364821,20364821
14024,2,18908096,18908096,18908096
14025,1,13467603,13467303,13113567.5
14025,2,14140983,16434439.42,16434439.42
14026,1,0,0,0
14026,2,2000000,2047507,2047507
14027,1,NSS,NSS,NSS
14027,2,NSS,NSS,NSS
14028,1,1800000,1522068,2175838.66
14028,2,2000000,1506655,2259313.34
14029,1,10886067,10886067,10886067
14029,2,10886067,10886067,10886067
14030,1,28015783.02,28015783.02,28015783.02
14030,2,25463111.11,25463111.11,25463111.11
14031,1,2369675,3782970,3782970
14031,2,3660349,4610082,4610082
14032,1,965868.68,965868.68,965868.68
14032,2,4338465.67,4338465.67,4338465.67
14033,1,8482229.12,8482229.12,8482229
14033,2,10902158.72,10902158.72,10902158.72
14034,1,1300000,1300000,1300000
14034,2,1300000,1300000,1300000
14035,1,22510000,22510000,23824760.21
14035,2,24063008,24063008,23055719.38
14036,1,4675659,4675659,4956199
14036,2,5303133,5303133,5499156
14037,1,17264411,17264411,17264411
14037,2,19342519,19342519,19342519
14038,1,4917500.22,4917500.22,4917500.22
14038,2,6390471.76,6390471.76,6390471.76
14039,1,166205000,160656040,103456556.5
14039,2,77394000,281961342,127571420.47
14040,1,4187382.86,5815809.84,5815809.84
14040,2,3410085.38,3410085.38,3410085.38
14041,1,1832753,1832753,1832753
14041,2,1893746,1893746,1893746
14042,1,0,0,0
14042,2,0,0,0
14043,1,13588000,19316742,18306130.03
14043,2,1595000,16873445,20606129.59
14044,1,9905778,9905778,9905778
14044,2,11860300,11860300,11860300
14045,1,13630384,13630384,13630384
14045,2,13493064.7,13493064.7,13493064.7
14046,1,28896506.68,22896506.68,21764666.64
14046,2,25383960.46,25383960.46,24385217.16
14047,1,14415174.94,14415174.94,14415174.94
14047,2,3586251.54,3586251.54,3586251.54
14048,1,4550000,4550000,4550000
14048,2,5876725,5876725,5876725
14049,1,1357392,1357392,1357392
14049,2,2911500,2911500,2911500
14050,1,18000000,18547507.88,12958588.2
14050,2,18000000,15304095.74,15304095.74
14051,1,23024855,23024855,23024855
14051,2,5137623.96,5137623.96,5137623.96
14052,1,3513862.52,3513862.52,3513862.52
14052,2,3513862.52,3513862.52,3513862.52
14053,1,80736338,70217943.02,69212563.21
14053,2,88182404,82338245.89,77147265.45
14054,1,1599537.05,1599537.05,1599537.05
14054,2,1826034.9,1826034.9,1826034.9
14055,1,14507556,14507556,14507556
14055,2,16253923,16253923,16253923
14056,1,3246300,3246300,2136923
14056,2,4217000,4217000,2363412
14057,1,1500000,4230091,4230091
14057,2,1575000,4633804.88,4633804.68
14058,1,4764821,4329165,4328463
14058,2,4143698,4143698,3684263
14059,1,5571200,5571200,5571200
14059,2,55021103,5502103,4450434
14060,1,3823335,3823335,3823335
14060,2,3823335,3823335,3823335
14061,1,14708734.41,14708734.41,14708734.41
14061,2,15270796.52,15270796.52,15270796.52
14062,1,2274428.31,2274428.31,2274428.31
14062,2,3058883.78,3058883.78,3058883.78
14063,1,57050000,57050000,23195187
14063,2,74000000,74000000,15059302
14064,1,143706003,143706003,15888547.61
14064,2,175816464,175816464,15383954.8
14065,1,7784301.51,7784301.51,7784301.51
14065,2,7584423.28,7584423.28,7584423.28
14066,1,0,0,0
14066,2,0,0,0
14067,1,35264700,298950984.43,298950984.43
14067,2,100585449,356171022.65,354341539.62
14068,1,4538440.11,4538440.11,4538440.11
14068,2,4769323.18,4769323.18,4769323.18
14069,1,6115754,6115754,5151093
14069,2,5830344,5830344,5771305
14070,1,67734151,67734151,61114370.4
14070,2,67734151,67734151,92193358.34
14071,1,4009008.55,4009008.55,4009008.55
14071,2,3707973.32,3707973.32,3707973.32
14072,1,3729886,3729886,3729886
14072,2,4875637,4875637,4875637
14073,1,49484553,49484553,53906895.65
14073,2,54921740,54921740,53906895.65
14074,1,4795073,4669580,4669580
14074,2,4669000,6826027,6826027
14075,1,2716032,2716032,631230.37
14075,2,3296700,2828983.71,2828983.71
14076,1,3447820,3447820,3447820
14076,2,3792602,3792602,3792602
14077,1,11643213,11643213,11643213
14077,2,11178802,11178802,11178802
14078,1,19212063.23,19212063.23,19212063.23
14078,2,19681311.68,19681311.68,19681311.68
14079,1,NSS,NSS,NSS
14079,2,NSS,NSS,NSS
14080,1,4825651.56,4825651.56,4793563.33
14080,2,3168135.08,3168135.08,3087389.49
14081,1,1500000,1500000,1490500
14081,2,1700000,1700000,1689361
14082,1,11287264.27,11287264.27,11287264.27
14082,2,15397342.65,15397342.65,15397342.65
14083,1,58415149.56,58415149.56,58415149.56
14083,2,65438729.9,65438729.9,65438729.9
14084,1,9680978,119907920.76,11990792.76
14084,2,10756050,12319710.13,12319710.13
14085,1,13767493,13767493,12702369.05
14085,2,17147840,17147840,14439982.55
14086,1,0,0,0
14086,2,0,0,0
14087,1,NA,NA,NA
14087,2,NA,NA,NA
14088,1,10617037,10617037,10617037
14088,2,10842404,10842404,10842404
14089,1,3003246,3003246,3003245
14089,2,3038695,3038695,3038695
14090,1,2262612,2626612,2262612
14090,2,2262612,2626612,2262612
14091,1,23467473,23467473,21778085
14091,2,14726824,14726824,14513576
14092,1,0,0,0
14092,2,1556787,1556787,1556787
14093,1,1,11782794.05,10418596.93
14093,2,1,18357409.58,17559408.46
14094,1,31324428,31324428,29542176.75
14094,2,30787266,31148815.86,31148815.86
14095,1,4807942.48,4807942.48,4807942.48
14095,2,5040191.05,5040191.05,5040191.05
14096,1,8611435,8935759,8935759
14096,2,13473787,13739742,13739742
14097,1,39930000,37384041.74,37357709.55
14097,2,39930000,44241659.3,44089460.93
14098,1,468008665.87,468008665.87,477018480.8
14098,2,484183710.31,484183710.31,489147988.94
14099,1,NSS,NSS,NSS
14099,2,NSS,NSS,NSS
14100,1,4144685,4144685,4144685
14100,2,19587499,19587499,19587499
14101,1,37908066,37908066,37908066
14101,2,65458069,65458069,65458069
14102,1,0,0,0
14102,2,224471,224471,224471
14103,1,3933409.92,3933409.92,3933409.92
14103,2,4162889.52,4162889.52,4162889.52
14104,1,2400800,2400800,2400800
14104,2,3500000,3500000,3500000
14105,1,9244309.22,9244309.22,9244309.22
14105,2,10436396.14,10436396.14,10436396.14
14106,1,NSS,NSS,NSS
14106,2,NSS,NSS,NSS
14107,1,2500000,2525502,2525502
14107,2,2500000,1902665,1902665
14108,1,12000000,11697632.46,11697632.46
14108,2,12000000,11815615.97,11815615.97
14109,1,3387803.23,3387803.23,3387803.23
14109,2,3366670.23,3366670.23,3366670.23
14110,1,6091967.61,6091967.61,6091967.61
14110,2,6430817.6,6430817.6,6430817.6
14111,1,NSS,NSS,NSS
14111,2,NSS,NSS,NSS
14112,1,4096966.29,4096966.29,4096966.29
14112,2,4094421.24,4094421.24,4094421.24
14113,1,NSS,NSS,NSS
14113,2,NSS,NSS,NSS
14114,1,979821.86,979821.86,979821.86
14114,2,987809.9,987809.9,987809.9
14115,1,4266729.38,4266729.38,4266729.38
14115,2,4323557.25,4323557.25,4323557.25
14116,1,25612260,27191694,27191694
14116,2,29964449,30379776,30379776
14117,1,2890268.5,2890268.5,504090.47
14117,2,3034781.93,3034781.93,3419176.38
14118,1,16215756,14915168.52,13435039.89
14118,2,13370941.48,16712740.48,16712740.48
14119,1,5646139.18,5646139.18,5646139.18
14119,2,20817889.11,20817889.11,20817889.11
14120,1,868144045.35,1163412622.45,1153951686.57
14120,2,1245128103,1379196958.49,1303487348.42
14121,1,9276396.34,9276396.34,9276396.34
14121,2,8393324.22,8393324.22,8393324.22
14122,1,6924000,6924000,6924000
14122,2,7487486,7487486,7487486
14123,1,0,0,0
14123,2,0,0,0
14124,1,38529012,45803947,45803947
14124,2,49225277,49225277,47608735
14125,1,0,0,0
14125,2,0,0,0
15001,1,20005455.55,20005455.55,20005455.55
15001,2,21121258.73,21121258.73,21121258.73
15002,1,79479973.26,79479973.26,79479973.26
15002,2,87002249.62,87002249.62,87002249.62
15003,1,23470066.16,23470066.16,21105782.49
15003,2,24400271.54,24400271.54,22375303.63
15004,1,NSS,NSS,NSS
15004,2,NSS,NSS,NSS
15005,1,0,0,0
15005,2,0,0,0
15006,1,6913398.61,6913398.61,6913398.61
15006,2,6598063.25,6598063.25,6598063.25
15007,1,14938176,10317268,10300666.43
15007,2,10374268,11734771.36,11030216.65
15008,1,7228837.23,7228837.23,5969147.48
15008,2,6195150,6195150,6079587.85
15009,1,23529735.7,23529735.7,21585623.12
15009,2,25833127,25833127,28941112.29
15010,1,16949851.72,16949851.72,22518501.12
15010,2,18150566.78,18150566.78,18150566.78
15011,1,27234824.7,24605135.92,24605135.92
15011,2,32274535.4,27315882.25,27315882.25
15012,1,NSS,NSS,NSS
15012,2,NSS,831399,831399
15013,1,467244338.2,426512411.7,403138381.7
15013,2,534772809.4,516790866.6,511637505
15014,1,39091193,39091193,39091193
15014,2,41165164,41165164,37198978
15015,1,11088305,11088305,11092853.08
15015,2,12452273,12452273,12193535.13
15016,1,11468601.01,11468601.01,11468601
15016,2,5000777,18614562.25,18614562.25
15017,1,7565110.43,7565110.43,7159006.93
15017,2,10165338.85,10165338.85,8917295.52
15018,1,22030098,20106247.25,20106247.25
15018,2,20291254,15268152.98,15268152.98
15019,1,1031131,10031131,9255240.95
15019,2,12625510.13,11627839,11625510.13
15020,1,0,3492426.77,3492426.77
15020,2,180692225,209692224.36,209692224.36
15021,1,11908216.3,11908216.3,11756991.13
15021,2,16982001.05,16982001.05,14860698.37
15022,1,10686045.27,10686045.27,10686045.27
15022,2,11280464.71,11280464.71,11280464.71
15023,1,17266354.16,17266354.16,11871400.61
15023,2,10254803.03,10254803.03,9037193.82
15024,1,105246022,105246022,100132730.29
15024,2,105963263.78,105963263.78,98192427.03
15025,1,154360980,164672149,152001465.37
15025,2,182574405,191432045,174707832.63
15026,1,1070101,1241842,1241842
15026,2,1070101,1292963,1292963
15027,1,101710887,99893069,73312424
15027,2,91377955,92110216.43,90313341
15028,1,17348480.02,17348480.02,17348480.02
15028,2,19587234.51,19587234.51,19587234.51
15029,1,108779237.51,108779237.51,98219342.75
15029,2,112464082.35,112464082.35,94670274.87
15030,1,17694318.33,20017892.86,20017892.86
15030,2,16382840.07,16382840.07,15847404.41
15031,1,356161693.32,356161693.32,342031084.01
15031,2,498355197.68,498355197.68,439352220.91
15032,1,9101212.59,9834334,9834334
15032,2,10344809.75,14052612.54,14052612.54
15033,1,0,0,0
15033,2,0,100123906,88609250.43
15034,1,7790269,8677567,8665444
15034,2,8677567,9411938,8951312
15035,1,46130554,46130554,44481374
15035,2,66482583,66482583,65243373
15036,1,14099308.1,14099308.1,14099308.1
15036,2,17179180,17179180,17179180
15037,1,408380961.88,408318986.25,371261292.66
15037,2,452277457.84,455841812.62,427629050.84
15038,1,7929695.66,7929695.66,7235895.04
15038,2,7226777.15,7226777.15,7201636.16
15039,1,240890854,240890854,235288497.12
