ubicageo_f,aniorefe_b,presup1,presup2,presup3
6006,2,13637960,13637960,13280781.1
6007,1,206211423.3,206211423.3,205845580.7
6007,2,225153965.6,225153965.6,321463357.5
6008,1,9693447.94,9693447.94,9572583
6008,2,10342257.72,10342257.72,18817839.73
6009,1,498200000,83938110.76,74473276.24
6009,2,545855585.48,75547906.68,86180235.08
6010,1,96151071,96151071,106414341.47
6010,2,112719258.96,112719258.96,114478646.77
7001,1,5125240,5125240,5125240
7001,2,5345260.8,5345260.8,5345260.8
7002,1,1864945.5,1854925,1854925
7002,2,2628496.71,2568496.71,2568496.71
7003,1,6303217.32,6303217.32,6303217.32
7003,2,7921014.55,7921014.55,7921014.55
7004,1,33901460.3,33901460.3,33901460.3
7004,2,34495731.1,34495731.1,34495731.1
7005,1,1370166.67,1370166.67,1370166.67
7005,2,3997814.66,3997814.66,3997814.66
7006,1,5955661.25,5955661.25,5955661.25
7006,2,7444576.56,7444576.56,7444576.56
7007,1,3180141,3180141,3180141
7007,2,3471423,3471423,3471423
7008,1,0,0,0
7008,2,8472522.8,8472522.8,8472522.8
7009,1,8589932.64,8589932.64,8589932.64
7009,2,9145482.6,9145482.6,9145482.6
7010,1,3702148.7,3702148.7,3702148.7
7010,2,3816650.15,3816650.15,3816650.15
7011,1,20000000,20000000,20000000
7011,2,20000000,20000000,20000000
7012,1,24171489.25,24171489.25,23110203.94
7012,2,25977010.49,25977010.49,25977010.49
7013,1,23405982.24,23405982.24,23405982.24
7013,2,24690997.25,24690997.25,24690997.25
7014,1,4495493,4495493,4495493
7014,2,7269195,7269195,7269195
7015,1,20779108,16855123,16855123
7015,2,20779108,20779108,20779108
7016,1,3722902.66,3722902.66,3722902.66
7016,2,4345026.92,4345026.92,4345026.92
7017,1,5396683,5396683,5396683
7017,2,24472481,24472481,24472481
7018,1,713839.32,713839.32,713839.32
7018,2,7435596,7435596,4744962.78
7019,1,8687325.2,11624274.01,11624274.01
7019,2,12786547.35,74336301.83,74336301.83
7020,1,9310618,9310618,6313131
7020,2,7666803,7666803,4432249
7021,1,4569788.99,4569788.99,4569788.99
7021,2,4348191.69,4348191.69,4348191.69
7022,1,6284053.69,6284053.69,6284053.69
7022,2,7376260.24,7376260.24,7376260.24
7023,1,15894037.24,15894037.24,15894037.24
7023,2,21697032,21697032,21697032
7024,1,3535687.41,3535687.41,3535687.41
7024,2,4075966,4075966,4075966
7025,1,NSS,NSS,NSS
7025,2,1308562.32,1308562.32,1107294.54
7026,1,5922236,5922236,5922236
7026,2,7047068,7047068,7047068
7027,1,71496348,71496348,71496348
7027,2,84176202,84176202,84176202
7028,1,1984420.71,1984420.71,1984420.71
7028,2,2372615.68,2372615.68,2372615.68
7029,1,4588639.1,4588639.1,4588639.1
7029,2,5219318.9,5219318.9,5219318.9
7030,1,1581227.06,1581227.06,1581227.06
7030,2,8111841.62,8111841.62,8111841.62
7031,1,39003826.59,39003826.59,36394222.09
7031,2,44388875.24,44388875.24,43344566.53
7032,1,2824789,2824789,2824789
7032,2,4302936.07,4302936.07,4302936.07
7033,1,1852456,1852456,1300500
7033,2,1965352,1965352,1600520
7034,1,NSS,NSS,NSS
7034,2,NSS,NSS,NSS
7035,1,5125240,5125240,5125240
7035,2,5345260.8,5345260.8,5345260.8
7036,1,0,0,0
7036,2,2618504.09,2618504.09,2618504.09
7037,1,24849010.13,24849010.13,24796010.13
7037,2,27288637,27288637,27288637
7038,1,361736.42,361736.42,361736.42
7038,2,5968020.4,5968020.4,5968020.4
7039,1,6093549.89,6093549.89,6093549.89
7039,2,8136609.08,8136609.08,8136609.08
7040,1,15456015.44,15456015.44,15456015.44
7040,2,21378146.66,21378146.66,21378146.66
7041,1,12410841.03,12410841.03,12410841.03
7041,2,12671214.42,12671214.42,12671214.42
7042,1,3406959.94,3406959.94,3406959.94
7042,2,91000,3553569.54,3462569.54
7043,1,3168841,3168841,3150304
7043,2,3168841,3168841,3149746
7044,1,10668254.43,10668254.43,10668254.43
7044,2,11288566.28,11288566.28,11288566.28
7045,1,969566.06,969566.06,969566.06
7045,2,578779.76,578779.76,578779.76
7046,1,9718425.62,9718425.62,9718425.62
7046,2,11273824.12,11273824.12,11273824.12
7047,1,14622720,14622720,14622720
7047,2,18751221,18751221,18751221
7048,1,35000000,35000000,35000000
7048,2,35000000,35000000,35000000
7049,1,4795209.15,4795209.15,4795209.15
7049,2,6284183.08,6284183.08,6284183.08
7050,1,2411102.91,2411102.91,2411102.91
7050,2,2647656.32,2647656.32,2647656.32
7051,1,154871479,154871479,154871479
7051,2,559288332,559288332,559288332
7052,1,42357572.66,42357572.66,42357572.66
7052,2,45314516.64,45314516.64,45314516.64
7053,1,2133000,2133000,2133000
7053,2,2370061.22,2370061.22,2370061.22
7054,1,9149721.8,9149721.8,9149721.8
7054,2,6975350.7,6975350.7,6975350.66
7055,1,1622444,1622444,1622444
7055,2,1872284,1872284,1840340
7056,1,3515491.25,3515491.25,3515491.25
7056,2,2786226.44,2786226.44,2786226.44
7057,1,15755153.04,15755153.04,15755153.04
7057,2,12777198.4,12777198.4,12777198.4
7058,1,1709179,2047897,1709179
7058,2,2023606,2023606,2023606
7059,1,66192325.35,66192325.35,66192325.35
7059,2,72982290.62,72982290.62,72982290.62
7060,1,2455326.18,2455326.18,2455326.18
7060,2,3750231.88,3750232.88,3685665.33
7061,1,21000499.98,21000499.98,21000499.98
7061,2,35885341.7,35885341.7,35885341.7
7062,1,0,0,0
7062,2,6537986.43,6537986.43,6537986.43
7063,1,2253954.07,2253954.07,2253954.07
7063,2,2381855.83,2381855.83,2381855.83
7064,1,NSS,NSS,NSS
7064,2,7181790.66,7181790.66,7181790.66
7065,1,45104188.13,45104188.13,45104188.13
7065,2,55272341.13,55272341.13,55272341.13
7066,1,NSS,NSS,NSS
7066,2,3828213.39,3828213.39,3828213.39
7067,1,3975498.73,3975498.73,3975498.73
7067,2,4125655.92,4125656.92,4975498.53
7068,1,2332661.48,2332661.48,2332661.48
7068,2,2333752.98,2333752.98,2333752.98
7069,1,NSS,NSS,NSS
7069,2,17858364.56,17858364.56,17858364.56
7070,1,3339720,3339720,3339720
7070,2,3689694.59,3689694.59,3689694.59
7071,1,6729370.1,6729370.1,6729370.1
7071,2,6737140.94,6737140.94,6737140.94
7072,1,20199612,20199612,20199612
7072,2,22258719,22258719,22258719
7073,1,1873927.57,1873927.57,1873927.57
7073,2,1095000,4646813.58,4646813.58
7074,1,32244824.75,32244824.75,32244824.75
7074,2,30443211.65,30443211.65,30443211.65
7075,1,3299999,3000000,3000000
7075,2,5000000,4715722,4715722
7076,1,9625236.08,9625236.08,9625236.08
7076,2,11437818.16,11437818.16,11437818.16
7077,1,10141835.91,10141835.91,10141835.91
7077,2,13161765.61,13161765.61,13161765.61
7078,1,91989002,91989002,91989002
7078,2,91528652,91528652,91528652
7079,1,0,0,0
7079,2,10005439.31,10005439.31,8549242
7080,1,0,0,0
7080,2,3974366.92,3974366.92,3974366.92
7081,1,11657549.25,11657549.25,11657549.25
7081,2,12510297.34,12510297.34,12510297.34
7082,1,NSS,NSS,NSS
7082,2,4592951.54,4592951.54,4592951.54
7083,1,850000,850000,850000
7083,2,985125,985125,985125
7084,1,2641497.24,2641497.24,2641497.24
7084,2,3221004.88,3221004.88,3221004.88
7085,1,7598052,7598052,7598052
7085,2,8179155,8179155,8179155
7086,1,8275337.5,8275337.5,8275337.5
7086,2,8821070.91,8821070.91,8821070.91
7087,1,13499715,13499715,13499715
7087,2,13109360,13109360,13109360
7088,1,1620096,1620096,1620096
7088,2,1733478,1733478,1733478
7089,1,183808218.47,183808218.47,183808218.47
7089,2,207718163.76,207718163.76,207718163.76
7090,1,1715865.63,1715865.63,1715865.63
7090,2,2749271.43,2749271.43,2749271.43
7091,1,4475033.7,4475033.7,4475033.7
7091,2,6459231.77,6459231.77,6459231.77
7092,1,10251132.62,10251132.62,10251132.62
7092,2,11860289.08,11860289.08,11860289.08
7093,1,4389632.07,4389632.07,4389632.07
7093,2,6279733.85,6279733.85,6279733.85
7094,1,NSS,NSS,NSS
7094,2,NSS,NSS,NSS
7096,1,5913083.39,5913083.39,23496386.5
7096,2,6057432.83,6057432.83,23452924.44
7097,1,29167181.76,29167181.76,29167181.76
7097,2,33223742.01,33223742.01,33223742.01
7098,1,5168976,5168976,5168976
7098,2,5415968,5415968,5415968
7099,1,18187307.26,18187307.26,18187307.26
7099,2,19960629.35,19960629.35,19960629.35
7100,1,0,0,0
7100,2,9799625.95,9799625.95,9793474.25
7101,1,349061262.07,349061262.07,349061262.07
7101,2,364855969.32,364855969.32,364855969.32
7102,1,10897003.88,10897003.88,8800592.33
7102,2,13969152.06,13969152.06,12036778.14
7103,1,22534428,7950547.35,7905098.11
7103,2,22798932,8588862.99,8488862.99
7104,1,6000000,5052375,5052375
7104,2,5125563.82,5125563.82,5125563.82
7105,1,6868831,6868831,6377872
7105,2,6620518,6620518,5776466
7106,1,15080346,15080346,15080346
7106,2,15552159,15552159,15552159
7107,1,0,0,0
7107,2,12138358.23,12138358.23,12138358.23
7108,1,24794402.22,24794402.22,24794402.22
7108,2,24741527.29,24741527.29,24741527.29
7109,1,9849181,9849181,9849181
7109,2,11298821,11298821,11298821
7110,1,2281370,2281370,2281370
7110,2,2806477,2806477,2806477
7111,1,7599270.9,7599270.9,7599270.9
7111,2,8027353.37,8027353.37,8027353.37
7112,1,3794000,3794000,3794000
7112,2,3777844,3777844,3777844
7113,1,3000888.5,3000888.5,3000888.5
7113,2,2309083,2309083,2309083
7114,1,5822581.13,5822581.13,5822581.13
7114,2,9499586.78,9499586.78,9499586.78
7115,1,3605149.57,3605149.57,3605149.57
7115,2,3739597.28,3739597.28,3739597.28
7116,1,3255225.43,3255225.43,3255225.43
7116,2,3975455.24,3975455.24,3975455.24
7117,1,584809.27,584809.27,584809.27
7117,2,2320605.45,2320605.45,2320605.45
7118,1,2638492.77,2638492.77,2638492.77
7118,2,3178332.52,3178332.52,3178332.52
7119,1,22286958,22286958,22286958
7119,2,21896497,21896497,21896497
7120,1,NSS,NSS,NSS
7120,2,1297802.45,1297802.45,1202401.86
7121,1,2584326.87,2584326.87,2584326.87
7121,2,3863126.56,3863126.56,3863126.56
7122,1,0,0,0
7122,2,2352699.89,2352699.89,2352699.89
7123,1,0,0,0
7123,2,3203889,3203889,3203889
7124,1,1129420.29,1129420.29,1129420.29
7124,2,5893822.84,5893822.84,4947338.78
7125,1,2710399,2710399,2710399
7125,2,3376800,3376800,3376800
8001,1,0,0,0
8001,2,0,0,0
8002,1,10914699.36,10914699.36,9644301.17
8002,2,11517556.62,11517556.62,11079776.97
8003,1,5853822,5853822,5853822
8003,2,6333599.4,6333599.4,6333599.4
8004,1,16802809.86,4531490.58,7375801.53
8004,2,18259608.88,8433972.6,8563972
8005,1,NSS,NSS,NSS
8005,2,NSS,NSS,NSS
8006,1,0,0,0
8006,2,0,0,0
8007,1,12219195.86,12219195.86,11339322.96
8007,2,12262612,12262612,12262612
8008,1,NSS,NSS,NSS
8008,2,NSS,NSS,NSS
8009,1,0,0,0
8009,2,0,0,0
8010,1,18756425.8,18756425.8,18756425.8
8010,2,18756425.8,18756425.8,18756425.8
8011,1,NSS,NSS,NSS
8011,2,NSS,NSS,100000
8012,1,6689909,6689909,6689909
8012,2,6051495,6051495,6051495
8013,1,7264070.62,7264070.62,7669858.16
8013,2,8789929.03,8789929.03,6362876.74
8014,1,1522315,1522315,1522315
8014,2,1517163,1517163,1517163
8015,1,NSS,NSS,NSS
8015,2,NSS,NSS,NSS
8016,1,3487817,3487817,3582483
8016,2,3487817,3487817,3582483
8017,1,59966704,59960704,77099751
8017,2,62679811,62679811,54141892
8018,1,2110190,2110190,2321119
8018,2,2283140,2283140,2612481
8019,1,868695040.32,857371352,882856510.09
8019,2,1174053186,1090358497.67,1106474315.29
8020,1,4291561.3,4291561.3,4291561.3
8020,2,4643296.34,4643296.34,4643296.34
8021,1,67963607.01,67963607.01,67963607.01
8021,2,79434910.84,79434910.84,79434910.84
8022,1,1694001.05,1694001.05,1694001.05
8022,2,1832840.76,1832840.76,1832840.76
8023,1,4373025.34,4373025.34,4460228.83
8023,2,4964716.86,4964716.86,4853712.45
8024,1,3247365,3247365,3247365
8024,2,3509304,3509304,3509304
8025,1,NA,NA,NA
8025,2,NA,NA,NA
8026,1,2608804.18,2608804.18,2608804.18
8026,2,2445861.57,2445861.57,2445861.57
8027,1,28743118.24,31191373.2,31186196.08
8027,2,32629308.8,31974731.33,30007252.24
8028,1,0,0,0
8028,2,0,0,0
8029,1,13398621,13398621,16901995.86
8029,2,14448211,14448211,17579274.02
8030,1,65290738,65290738,5842896.59
8030,2,72750042,72750042,5389982.82
8031,1,NSS,NSS,NSS
8031,2,NSS,NSS,NSS
8032,1,65588337,65588337,65588337
8032,2,71720691,71720691,71720691
8033,1,691433.34,691433.34,597457.55
8033,2,614622,614622,583858.77
8034,1,0,0,0
8034,2,0,0,0
8035,1,NSS,NSS,NSS
8035,2,NSS,NSS,NSS
8036,1,NSS,NSS,NSS
8036,2,NSS,NSS,NSS
8037,1,1581967252,1542214989,1542214989
8037,2,1882499031,1864304056,1864304056
8038,1,NSS,NSS,NSS
8038,2,NSS,NSS,NSS
8039,1,NSS,NSS,NSS
8039,2,NSS,NSS,NSS
8040,1,168195469.21,28280109.94,28280109.94
8040,2,169706806,24624944.41,24624944.41
8041,1,1156988.77,1156988.77,1156988.77
8041,2,971163,971163,971163
8042,1,1018993,1018993,1018993
8042,2,878671,878671,878671
8043,1,20000,20000,20000
8043,2,20000,20000,20000
8044,1,NSS,NSS,NSS
8044,2,NSS,NSS,NSS
8045,1,32503177.03,32503177.03,32435442.22
8045,2,33472480.03,33472480.03,30834087.9
8046,1,1108800,1108800,1108800
8046,2,1108800,1108800,1108800
8047,1,NSS,NSS,NSS
8047,2,NSS,NSS,NSS
8048,1,16890002.36,16890002.36,16890002.36
8048,2,16940903,16940903,16940903
8049,1,2038245.31,2038245.31,2038245.31
8049,2,1856051.27,1856051.27,1856051.27
8050,1,NSS,NSS,NSS
8050,2,37615180.1,37615180.1,37615180.1
8051,1,5497330.8,5497330.8,5497330.8
8051,2,6061937.19,6061937.19,6061937.19
8052,1,8297542.48,8297542.4,8297542.4
8052,2,8048154.9,8048154.9,8048154.9
8053,1,0,0,0
8053,2,0,0,0
8054,1,17325253,17325253,17325253
8054,2,28136007,28136007,28136007
8055,1,NSS,NSS,NSS
8055,2,NSS,NSS,NSS
8056,1,1465664.36,1463266.74,1185399.82
8056,2,1640957.68,1712757.68,1659722.04
8057,1,1551367.23,1529320.16,1211081.69
8057,2,1638744,1639556.74,1639556.74
8058,1,NSS,NSS,NSS
8058,2,NSS,NSS,NSS
8059,1,4485136.62,4485136.62,4672764.34
8059,2,4270450,4270450,4600269.76
8060,1,1389449,1389449,9340501.72
8060,2,1255033,1255033,9764706.55
8061,1,2354771.82,2354771.82,2354771.82
8061,2,2547768.19,2547768.19,2547768.19
8062,1,22657515,22657515,22657515
8062,2,24053367,24053367,24053367
8063,1,4666448.62,4666448.62,4666448.62
8063,2,3970160.1,3970160.1,3970160.1
8064,1,1232523.5,1232523.5,1232523.5
8064,2,1419466.67,1419466.67,1419466.67
8065,1,11755236,11755236,11755236
8065,2,12718691,12718691,12718691
8066,1,0,0,0
8066,2,0,0,0
8067,1,3776010,3776010,3700455.55
8067,2,4018791.36,3561677,4659495.2
9002,1,NA,NA,NA
9002,2,NA,NA,NA
9003,1,NA,NA,NA
9003,2,NA,NA,NA
9004,1,NA,NA,NA
9004,2,NA,NA,NA
9005,1,NA,NA,NA
9005,2,NA,NA,NA
9006,1,NA,NA,NA
9006,2,NA,NA,NA
9007,1,NA,NA,NA
9007,2,NA,NA,NA
9008,1,NA,NA,NA
9008,2,NA,NA,NA
9009,1,NA,NA,NA
9009,2,NA,NA,NA
9010,1,NA,NA,NA
9010,2,NA,NA,NA
9011,1,NA,NA,NA
9011,2,NA,NA,NA
9012,1,NA,NA,NA
9012,2,NA,NA,NA
9013,1,NA,NA,NA
9013,2,NA,NA,NA
9014,1,NA,NA,NA
9014,2,NA,NA,NA
9015,1,NA,NA,NA
9015,2,NA,NA,NA
9016,1,NA,NA,NA
9016,2,NA,NA,NA
9017,1,NA,NA,NA
9017,2,NA,NA,NA
10001,1,0,0,0
10001,2,0,0,0
10002,1,345000,345000,345000
10002,2,423000,423000,423000
10003,1,0,0,0
10003,2,0,0,0
10004,1,NSS,NSS,NSS
10004,2,NSS,NSS,NSS
10005,1,467384391.37,467384391.37,461780995.37
10005,2,467284604.15,483260273.24,443260273.2
10006,1,NSS,NSS,NSS
10006,2,NSS,NSS,NSS
10007,1,NSS,NSS,NSS
10007,2,NSS,NSS,NSS
10008,1,0,0,0
10008,2,0,0,0
10009,1,0,0,0
10009,2,0,0,0
10010,1,0,0,0
10010,2,0,0,0
10011,1,0,0,0
10011,2,0,0,0
10012,1,37779521.25,37779521.25,37779521.25
10012,2,39801396.66,39801396.66,39801396.66
10013,1,4350000,4350000,4350000
10013,2,4650000,4650000,4650000
10014,1,0,0,0
10014,2,0,0,0
10015,1,NSS,NSS,NSS
10015,2,NSS,NSS,NSS
10016,1,NSS,NSS,NSS
10016,2,NSS,NSS,NSS
10017,1,NSS,NSS,NSS
