ubicageo_f,aniorefe_b,prpltett,prplte1,prplte2,prplte4,prplte5,prpltene
30120,2,0,0,0,0,0,
30121,1,0,0,0,0,0,
30121,2,0,0,0,0,0,
30122,1,0,0,0,0,0,
30122,2,0,0,0,0,0,
30123,1,0,0,0,0,0,
30123,2,0,0,0,0,0,
30124,1,0,0,0,0,0,
30124,2,0,0,0,0,0,
30125,1,NA,NA,NA,NA,NA,
30125,2,NA,NA,NA,NA,NA,
30126,1,0,0,0,0,0,
30126,2,0,0,0,0,0,
30127,1,0,0,0,0,0,
30127,2,0,0,0,0,0,
30128,1,0,0,0,0,0,
30128,2,1967191,0,0,1967191,0,
30129,1,0,0,0,0,0,
30129,2,0,0,0,0,0,
30130,1,0,0,0,0,0,
30130,2,0,0,0,0,0,
30131,1,0,0,0,0,0,
30131,2,0,0,0,0,0,
30132,1,0,0,0,0,0,
30132,2,0,0,0,0,0,
30133,1,0,0,0,0,0,
30133,2,0,0,0,0,0,
30134,1,0,0,0,0,0,
30134,2,0,0,0,0,0,
30135,1,NSS,NSS,NSS,NSS,NSS,
30135,2,NSS,NSS,NSS,NSS,NSS,
30136,1,0,0,0,0,0,
30136,2,0,0,0,0,0,
30137,1,0,0,0,0,0,
30137,2,0,0,0,0,0,
30138,1,NA,NA,NA,NA,NA,
30138,2,NA,NA,NA,NA,NA,
30139,1,0,0,0,0,0,
30139,2,0,0,0,0,0,
30140,1,0,0,0,0,0,
30140,2,0,0,0,0,0,
30141,1,NSS,NSS,NSS,NSS,NSS,
30141,2,NSS,NSS,NSS,NSS,NSS,
30142,1,0,0,0,0,0,
30142,2,0,0,0,0,0,
30143,1,0,0,0,0,0,
30143,2,0,0,0,0,0,
30144,1,NA,NA,NA,NA,NA,
30144,2,NA,NA,NA,NA,NA,
30145,1,0,0,0,0,0,
30145,2,0,0,0,0,0,
30146,1,0,0,0,0,0,
30146,2,0,0,0,0,0,
30147,1,NA,NA,NA,NA,NA,
30147,2,NA,NA,NA,NA,NA,
30148,1,0,0,0,0,0,
30148,2,0,0,0,0,0,
30149,1,0,0,0,0,0,
30149,2,0,0,0,0,0,
30150,1,0,0,0,0,0,
30150,2,0,0,0,0,0,
30151,1,0,0,0,0,0,
30151,2,0,0,0,0,0,
30152,1,0,0,0,0,0,
30152,2,0,0,0,0,0,
30153,1,0,0,0,0,0,
30153,2,0,0,0,0,0,
30154,1,0,0,0,0,0,
30154,2,0,0,0,0,0,
30155,1,0,0,0,0,0,
30155,2,0,0,0,0,0,
30156,1,NSS,NSS,NSS,NSS,NSS,
30156,2,0,0,0,0,0,
30157,1,0,0,0,0,0,
30157,2,0,0,0,0,0,
30158,1,0,0,0,0,0,
30158,2,0,0,0,0,0,
30159,1,0,0,0,0,0,
30159,2,0,0,0,0,0,
30160,1,0,0,0,0,0,
30160,2,0,0,0,0,0,
30161,1,0,0,0,0,0,
30161,2,0,0,0,0,0,
30162,1,0,0,0,0,0,
30162,2,0,0,0,0,0,
30163,1,0,0,0,0,0,
30163,2,0,0,0,0,0,
30164,1,0,0,0,0,0,
30164,2,0,0,0,0,0,
30165,1,0,0,0,0,0,
30165,2,0,0,0,0,0,
30166,1,NSS,NSS,NSS,NSS,NSS,
30166,2,0,0,0,0,0,
30167,1,0,0,0,0,0,
30167,2,0,0,0,0,0,
30168,1,0,0,0,0,0,
30168,2,0,0,0,0,0,
30169,1,NA,NA,NA,NA,NA,
30169,2,NA,NA,NA,NA,NA,
30170,1,0,0,0,0,0,
30170,2,0,0,0,0,0,
30171,1,0,0,0,0,0,
30171,2,0,0,0,0,0,
30172,1,0,0,0,0,0,
30172,2,0,0,0,0,0,
30173,1,0,0,0,0,0,
30173,2,0,0,0,0,0,
30174,1,0,0,0,0,0,
30174,2,125500,0,0,125500,0,
30175,1,0,0,0,0,0,
30175,2,0,0,0,0,0,
30176,1,0,0,0,0,0,
30176,2,0,0,0,0,0,
30177,1,0,0,0,0,0,
30177,2,0,0,0,0,0,
30178,1,0,0,0,0,0,
30178,2,0,0,0,0,0,
30179,1,0,0,0,0,0,
30179,2,0,0,0,0,0,
30180,1,0,0,0,0,0,
30180,2,0,0,0,0,0,
30181,1,0,0,0,0,0,
30181,2,0,0,0,0,0,
30182,1,NSS,NSS,NSS,NSS,NSS,
30182,2,NSS,NSS,NSS,NSS,NSS,
30183,1,0,0,0,0,0,
30183,2,0,0,0,0,0,
30184,1,0,0,0,0,0,
30184,2,0,0,0,0,0,
30185,1,0,0,0,0,0,
30185,2,0,0,0,0,0,
30186,1,0,0,0,0,0,
30186,2,0,0,0,0,0,
30187,1,0,0,0,0,0,
30187,2,0,0,0,0,0,
30188,1,0,0,0,0,0,
30188,2,0,0,0,0,0,
30189,1,0,0,0,0,0,
30189,2,0,0,0,0,0,
30190,1,0,0,0,0,0,
30190,2,0,0,0,0,0,
30191,1,NA,NA,NA,NA,NA,
30191,2,NA,NA,NA,NA,NA,
30192,1,0,0,0,0,0,
30192,2,0,0,0,0,0,
30193,1,0,0,0,0,0,
30193,2,0,0,0,0,0,
30194,1,0,0,0,0,0,
30194,2,0,0,0,0,0,
30195,1,0,0,0,0,0,
30195,2,0,0,0,0,0,
30196,1,0,0,0,0,0,
30196,2,0,0,0,0,0,
30197,1,0,0,0,0,0,
30197,2,0,0,0,0,0,
30198,1,0,0,0,0,0,
30198,2,0,0,0,0,0,
30199,1,0,0,0,0,0,
30199,2,0,0,0,0,0,
30200,1,0,0,0,0,0,
30200,2,0,0,0,0,0,
30201,1,0,0,0,0,0,
30201,2,453054,0,0,453054,0,
30202,1,0,0,0,0,0,
