ubicageo_f,capobg1,capobg2,capobg3,capobg4,capobg5,capobg6,capobg7,capobg8,capobg9,capobgne
7005,0,552456.96,0,0,0,3445357.7,0,0,0,
7006,4721350.46,2723226.1,0,0,0,0,0,0,0,
7007,2588359,551467,301096,30501,0,0,0,0,0,
7008,6614100,865362.01,993060.79,0,0,0,0,0,0,
7009,9145482.6,0,0,0,0,0,0,0,0,
7010,2715300.45,948389.7,152960,0,0,0,0,0,0,
7011,5822785.28,4548575.5,4983505.99,0,4645133.23,0,0,0,0,
7012,19554636.46,2570521.03,2733923.68,80000,354979.8,197000,0,0,0,485949.52
7013,24690997.25,0,0,0,0,0,0,0,0,
7014,3409195,3860000,0,0,0,0,0,0,0,
7015,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,20779108
7016,869124,537812,2291200,646890.92,0,0,0,0,0,
7017,0,0,0,0,2090890,22381591,0,0,0,
7018,2368261,2376701.78,0,0,0,0,0,0,0,
7019,56140958.45,11420153.5,476052.7,0,6299137.18,0,0,0,0,
7020,3485236,784103,162910,0,0,0,0,0,0,
7021,4348191.69,0,0,0,0,0,0,0,0,
7022,5559905.06,1816355.18,0,0,0,0,0,0,0,
7023,21271600,0,425432,0,0,0,0,0,0,
7024,3233566,800000,42400,0,0,0,0,0,0,
7025,0,0,1000294,107000.54,0,0,0,0,0,
7026,4681599,1186095,1179374,0,0,0,0,0,0,
7027,48819528,8533676,16558769,7112344,1870149,0,0,0,1281736,
7028,1611288.56,278952.64,214790.32,0,267584.16,0,0,0,0,
7029,5219318.9,0,0,0,0,0,0,0,0,
7030,4488538.36,2169598.29,242300,300411.7,166924.41,0,0,744068.86,0,
7031,26048206,9317411.53,1936434,4259163,1783352,0,0,0,0,
7032,1179421.07,1220769,887114,1015632,0,0,0,0,0,
7033,0,0,600520,1000000,0,0,0,0,0,
7034,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
7035,801789.12,3474419.52,1069052.16,0,0,0,0,0,0,
7036,2048942.03,0,140570,0,428992.06,0,0,0,0,
7037,9527377.52,4040005.66,2565107.6,0,1927045.84,9229100.38,0,0,0,
7038,2101000,1826247.37,202073.03,0,1838700,0,0,0,0,
7039,4474400,1812801.03,857134.95,0,992273.1,0,0,0,0,
7040,5359767.23,13571426.48,140302,0,0,2306650.95,0,0,0,
7041,6196211.1,4840938.16,1467315.16,0,166750,0,0,0,0,
7042,2596363.47,711500.04,154706.03,0,0,0,0,0,0,
7043,0,0,1049446,2100300,0,0,0,0,0,
7044,11288566.28,0,0,0,0,0,0,0,0,
7045,512130.27,66649.49,0,0,0,0,0,0,0,
7046,7576561.05,900000,597263.07,0,2200000,0,0,0,0,
7047,7451131.92,5724117.16,2101295.91,1023680.76,621101.86,943785.25,0,886108.14,0,
7048,30000000,5000000,0,0,0,0,0,0,0,
7049,1304068.32,1972042.68,0,3008072.08,0,0,0,0,0,
7050,0,0,0,0,0,0,0,2647656.32,0,
7051,468510349,0,57978031,14800000,0,0,17999952,0,0,
7052,28179577.62,8488868.86,8064901.79,0,581168.37,0,0,0,0,
7053,1561691.28,808369.94,0,0,0,0,0,0,0,
7054,5344548.94,1110021.89,452757.43,0,68022.4,0,0,0,0,
7055,368068,736136,552102,0,184034,0,0,0,0,
7056,2454240.66,280343.38,51642.4,0,0,0,0,0,0,
7057,1282781.25,4951710.03,1024976.62,372529.08,543201.43,4601999.99,0,0,0,
7058,1102415,745475,175716,0,0,0,0,0,0,
7059,41905130.6,11360300,9170875.4,8710984.61,1835000.01,0,0,0,0,
7060,395665.11,1155321.19,901484,1032556,50988,149651.03,0,0,0,
7061,35885341.7,0,0,0,0,0,0,0,0,
7062,3137407.08,1593307.38,1764321.97,42950,0,0,0,0,0,
7063,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,2381855.83
7064,0,0,7181790.66,0,0,0,0,0,0,
7065,55272341.13,0,0,0,0,0,0,0,0,
7066,3215165.72,511863.67,101184,0,0,0,0,0,0,
7067,0,796079.77,2388239.29,1791179.47,0,0,0,0,0,
7068,0,0,2333752.98,0,0,0,0,0,0,
7069,1579463,1874124,2246135,2914361,1197873,2845742,3842701.56,1357965,0,
7070,3524146.58,0,0,0,165548.01,0,0,0,0,
7071,6737140.94,0,0,0,0,0,0,0,0,
7072,0,22258719,0,0,0,0,0,0,0,
7073,2323400,2020006.72,303406.86,0,0,0,0,0,0,
7074,12075944,4779277.81,2614606.87,0,10973382.97,0,0,0,0,
7075,3710855,107226,148821,0,0,748820,0,0,0,
7076,11437818.16,0,0,0,0,0,0,0,0,
7077,13161765.61,0,0,0,0,0,0,0,0,
7078,68514762,12159821,5094069,0,5760000,0,0,0,0,
7079,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,8549242
7080,1439286.58,976103.12,484357.32,0,428219.8,0,0,646400.1,0,
7081,0,2931378.74,413268,0,0,9165650.6,0,0,0,
7082,3194349.04,996185.5,151648.2,0,0,250768.8,0,0,0,
7083,492562.5,492562.5,0,0,0,0,0,0,0,
7084,2178400,558131.79,484473.09,0,0,0,0,0,0,
7085,0,2927217.68,5251937.32,0,0,0,0,0,0,
7086,4677583.7,4143487.21,0,0,0,0,0,0,0,
7087,13109360,0,0,0,0,0,0,0,0,
7088,1372332.84,86673.35,61884.41,118894.2,93693.2,0,0,0,0,
7089,122125807.5,48103958.13,8435235.49,20000,22314998.88,6718163.76,0,0,0,
7090,478898.87,368873.33,398456,654974.23,499732,348337,0,0,0,
7091,4564500,761152.54,774159.13,0,359420.1,0,0,0,0,
7092,8741632.32,1155714.12,234832.64,0,1728110,0,0,0,0,
7093,5903510.46,40000,336223.39,0,0,0,0,0,0,
7094,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
7096,364534,471246,365831,0,0,17395491.61,0,4855821.83,0,
7097,24674776.66,4373566.27,2821140.3,0,1354258.78,0,0,0,0,
7098,2306541.48,1355069.35,490487.17,1263870,0,0,0,0,0,
7099,11941690.54,5641241.36,0,0,0,2377697.45,0,0,0,
7100,489673.71,1860760.1,7443040.44,0,0,0,0,0,0,
7101,276228939.95,53153192.01,19436887.92,12629204.21,3407745.23,0,0,0,0,
7102,7314672.44,1774627.94,958678.64,0,1988799.12,0,0,0,0,
7103,5147513.08,253960,2731505.06,244914.75,110970.1,0,0,0,0,
7104,3202259.41,1638676.03,284628.38,0,0,0,0,0,0,
7105,4192211,904775,679480,0,0,0,0,0,0,
7106,10288661,5086298,177200,0,0,0,0,0,0,
7107,6796101.5,1505457.73,654876,0,0,3181923,0,0,0,
7108,14203386.55,4139968.6,4370012.11,1805680.06,222479.97,0,0,0,0,
7109,0,0,11298821,0,0,0,0,0,0,
7110,2294639,306523,205315,0,0,0,0,0,0,
7111,5549642,2007996.83,469714.54,0,0,0,0,0,0,
7112,2826498.79,883505.21,67840,0,0,0,0,0,0,
7113,1853083,289913.41,166086.59,0,0,0,0,0,0,
7114,3135548,813454,225128,0,0,5325456.78,0,0,0,
7115,2053935.5,1376184.8,309476.98,0,0,0,0,0,0,
7116,1604527.56,1626194.95,225797.05,0,334698.15,184237.53,0,0,0,
7117,1638000,313298.88,369306.57,0,0,0,0,0,0,
7118,0,3178332.52,0,0,0,0,0,0,0,
7119,2055291.84,365245.27,0,0,0,19475959.89,0,0,0,
7120,300000,650000,252401.86,0,0,0,0,0,0,
7121,3117400,678187.52,67539.04,0,0,0,0,0,0,
7122,1913241.58,241000,198458.31,0,0,0,0,0,0,
7123,1768569,327000,123320,0,985000,0,0,0,0,
7124,3348566.06,1094683.49,475502.25,0,28586.98,0,0,0,0,
7125,2606800,700000,70000,0,0,0,0,0,0,
8001,0,0,0,0,0,0,0,0,0,
8002,8282343.79,2337907.63,383312.57,0,76212.98,0,0,0,0,
8003,3333599.4,2000000,1000000,0,0,0,0,0,0,
8004,7293972,1100000,170000,0,0,0,0,0,0,
8005,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
8006,0,0,0,0,0,0,0,0,0,
8007,3806963.36,3915775.87,1870495.83,17784.68,2386879.58,0,0,0,264712.68,
8008,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
8009,0,0,0,0,0,0,0,0,0,
8010,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,18756425.8
8011,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,100000
8012,0,0,6051495,0,0,0,0,0,0,
8013,4766457.88,1287823.21,304995.64,0,3600.01,0,0,0,0,
8014,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,1517163
8015,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
8016,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,3582483
8017,38364499,10588820,4779213,185600,223760,0,0,0,0,
8018,1255540,888580,364814,0,103547,0,0,0,0,
8019,743197665.83,126655219.78,118222231.98,36812527.06,79346137.57,2240533.07,0,0,0,
8020,1589396.98,542123.67,453976.6,0,53476,2004323.09,0,0,0,
8021,55174574.27,9391336.57,1274000,3000000,10595000,0,0,0,0,
8022,1110987.39,490905.85,230947.52,0,0,0,0,0,0,
8023,377520.17,1558329.65,2911193.62,0,6669.01,0,0,0,0,
8024,0,0,3509304,0,0,0,0,0,0,
8025,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8026,1825965.58,619895.99,0,0,0,0,0,0,0,
8027,18762305.82,5601094.87,3214683.55,299500,2129668,0,0,0,0,
8028,0,0,0,0,0,0,0,0,0,
8029,9412902.2,5850082.75,2316289.07,0,0,0,0,0,0,
8030,0,0,0,0,0,5389982.82,0,0,0,
8031,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
8032,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,71720691
8033,502030.11,36797,45031.66,0,0,0,0,0,0,
8034,0,0,0,0,0,0,0,0,0,
8035,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
8036,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
8037,995545166,122706167,99502211,0,646550512,0,0,0,0,
8038,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
8039,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
8040,10473467.81,11396345.73,552865.85,0,2202265.02,0,0,0,0,
8041,971163,0,0,0,0,0,0,0,0,
8042,0,0,0,0,0,0,0,878671,0,
8043,0,0,20000,0,0,0,0,0,0,
8044,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
8045,22227247.3,6229924.23,988916.08,0,1388000.29,0,0,0,0,
8046,1092000,16800,0,0,0,0,0,0,0,
8047,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
8048,6509472,10431431,0,0,0,0,0,0,0,
8049,916075.31,939975.96,0,0,0,0,0,0,0,
8050,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,37615180.1
8051,2674062.05,1763912.88,573404.65,0,0,1050557.61,0,0,0,
8052,6423795.77,1155300,151600,0,317459.13,0,0,0,0,
8053,0,0,0,0,0,0,0,0,0,
8054,0,0,28136007,0,0,0,0,0,0,
8055,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
8056,1018132.45,621855.19,19734.4,0,0,0,0,0,0,
8057,780000,859556.74,0,0,0,0,0,0,0,
8058,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
8059,4103782.51,391504.83,75949.42,0,29033,0,0,0,0,
8060,8051702.38,1392356.84,249677.91,42497,28472.42,0,0,0,0,
8061,598076,1915149.19,0,0,34543,0,0,0,0,
8062,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,24053367
8063,2722776.67,920000,225000,0,102383.43,0,0,0,0,
8064,1419466.67,0,0,0,0,0,0,0,0,
8065,10456765,1503430,758496,0,0,0,0,0,0,
8066,0,0,0,0,0,0,0,0,0,
8067,2171338.88,2468469.52,19686.8,0,0,0,0,0,0,
9002,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9003,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9004,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9005,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9006,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9007,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9008,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9009,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9010,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9011,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9012,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9013,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9014,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9016,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10001,0,0,0,0,0,0,0,0,0,
10002,408000,13000,2000,0,0,0,0,0,0,
10003,0,0,0,0,0,0,0,0,0,
10004,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
10005,324236398.2,79428200,39595675,0,0,0,0,0,0,
10006,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
10007,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
10008,0,0,0,0,0,0,0,0,0,
10009,0,0,0,0,0,0,0,0,0,
10010,0,0,0,0,0,0,0,0,0,
10011,0,0,0,0,0,0,0,0,0,
10012,28943207.59,3452570.08,6879959.8,0,525659.19,0,0,0,0,
10013,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,4650000
10014,0,0,0,0,0,0,0,0,0,
10015,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
10016,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
10017,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
10018,0,0,0,0,0,0,0,0,0,
10019,0,0,0,0,0,0,0,0,0,
10020,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
10021,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
10022,0,0,0,0,0,0,0,0,0,
10023,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
10024,0,0,0,0,0,0,0,0,0,
10025,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
10026,0,0,0,0,0,0,0,0,0,
10027,0,0,0,0,0,0,0,0,0,
