ubicageo_f,capobg1,capobg2,capobg3,capobg4,capobg5,capobg6,capobg7,capobg8,capobg9,capobgne
16093,4968564.22,3138585.13,143644.08,2112683.81,764533.5,0,0,0,0,
16094,3495366.74,1029421.19,1000000,0,0,0,0,0,0,
16095,5500566,1350000,1344000,0,0,0,0,0,0,
16096,919431.28,1529547.36,2030935.47,0,0,0,0,0,0,
16097,11372000,2922000,5893000,0,500000,0,0,0,1249286,
16098,4971008.19,4567759.75,4714325.26,0,63336,4394378.16,0,0,1418136.61,
16099,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
16100,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
16101,3767296.76,1006565.95,243330.2,0,0,0,0,0,0,
16102,119229045.41,30405861.4,1737069.23,1239000,758808.2,0,0,0,0,
16103,4223112,2395018,7583469,2952,619800,0,0,0,0,
16104,5382392.37,1457701.88,1375373.9,709997.33,0,0,0,0,0,
16105,7309279.43,2648073.68,1123099.59,0,18999,0,0,0,0,
16106,799764.64,60562.85,276631.78,0,0,0,0,0,0,
16107,20195944.58,10770786,12478750.97,219214.2,662676,0,0,0,0,
16108,90424822.77,14993228.41,10232827.89,979.55,294335.33,0,0,0,0,
16109,714524.03,659931.7,927890.46,0,0,0,0,0,0,
16110,16329657.07,4035510.29,11276261.5,286818,0,0,0,0,716066.12,.01
16111,6637846.63,2905409.31,378411.69,289354.04,140602.4,0,0,0,0,
16112,204555191,53720533.2,56678969.6,15100147.44,1736566.07,97037650.2,0,0,45572623.6,
16113,7839818,4801248,4992693,0,546900,0,0,0,283542,
17001,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
17002,12976408.55,1180204.18,504189.27,0,997172,0,0,0,0,
17003,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
17004,0,0,0,0,0,0,0,0,0,
17005,3816852,1165000,166500,380000,460000,0,0,0,0,
17006,61495743.16,23186175.67,23705243.56,0,2458257.07,0,0,0,27618475.19,
17007,0,0,0,0,0,0,0,0,0,
17008,39391839,20971772,4029025,0,145315,0,0,0,0,
17009,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
17010,9504091.97,1236267.83,1128020.29,358277.04,0,0,0,0,0,
17011,52434003.11,11078895.15,10294143.46,16283.27,0,0,0,0,73079377.26,
17012,8504091.97,1236267.83,1128020.29,358277.04,0,0,0,0,0,
17013,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
17014,3996789,1171092,1909633,2800,68732,0,0,0,0,
17015,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
17016,7650332.47,2602632.91,2762355.97,0,162412,0,0,0,0,
17017,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
17018,0,0,0,0,0,0,0,0,0,
17019,10330415,5309724,2156563,654952,946703,445000,0,0,0,
17020,15151426.81,6818142.07,5302957.37,0,10606040.76,0,0,0,0,
17021,5111191,320594,109395,149727,0,0,0,0,362826,
17022,0,0,0,0,14678597,0,0,0,0,
17023,5563008.72,1168462.57,494518.06,0,62561.98,0,0,0,0,
17024,0,4182464.97,1675184.63,56544.42,2206225.72,120936.53,477.84,17479503.79,0,
17025,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
17026,6405000,1352034,1431347,30544,2158113,0,0,0,0,
17027,0,0,0,0,0,0,0,0,0,
17028,99638961.57,49937652.19,55395616.29,40146470.31,1279828.33,62365812.49,0,557558.62,0,
17029,49949349,10703432,6708497,0,4994936,0,0,0,0,
17030,20951753.41,9064679.6,5277474.11,1475352.68,569750.2,0,0,0,0,
17031,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17032,3295413,1025797,1046880,98281,56179,1122462,0,0,0,
17033,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
17034,35036429,877895,993989,16909609,6960,0,0,0,0,
17035,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17036,0,0,0,0,0,0,0,0,0,
18001,7864539.81,2587644.37,964158.52,583263.13,3840831.5,0,0,0,0,
18002,6743307.16,1311447.58,2460706.17,0,454769,0,0,0,0,
18003,4677020.39,1551325.19,3434451,0,1393977.69,800340,0,0,0,
18004,5853207.67,2278414.98,307486.63,0,7171338.01,0,0,0,0,
18005,5554660.91,790458.56,140514.87,0,0,0,0,0,0,
18006,8405623.41,1075766.46,163204.19,0,0,0,0,0,0,
18007,3420491.07,1862085.38,1668623.33,0,0,0,0,0,0,
18008,6779105.25,1750167.66,176868.88,0,0,0,0,0,0,
18009,6940418.72,6029295.43,6889645.77,0,1237921.15,10220098.33,0,0,0,
18010,1091317,318269,280610,0,0,0,0,0,0,
18011,7145277.99,666962.51,3691897.79,0,550400,1150826.33,0,0,6375035.81,
18012,11805192.63,5523744.8,7473680.78,0,0,8177334.16,0,0,0,
18013,3544351.49,693185.82,175840.06,0,77450,0,0,0,0,
18014,8829436.78,971309.77,66347.42,0,685545,0,0,0,0,
18015,28627873.57,5854688.12,6480299.74,0,12737.64,0,0,0,0,
18016,11185003.17,2735476.49,1107605.5,0,246434,0,0,0,0,
18017,109371165.32,13643179.54,48826642.8,0,1981640.76,43724196.81,0,14842251.92,74682767.65,
18018,68475167.7,9194606.14,1520178.43,20655587.43,395845.2,19356133.7,0,0,14512647.5,
18019,4081246,950822,2307748,0,1289842,0,0,0,416666,
18020,77187172.15,25826993.36,41010566.59,0,439474.59,0,0,0,9411111.22,
19001,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
19002,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19003,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
19004,48439.55,0,191400,0,0,0,0,0,0,
19005,8059243.18,6123731.21,3700539.85,642832.88,975201.79,0,0,0,0,
19006,369383222.59,62641535.79,48758016.42,4602464.5,2237831,0,0,0,0,
19007,9377791,0,0,0,0,0,0,0,0,
19008,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,6988860
19009,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,139633937
19010,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
19011,4708569,0,0,0,0,0,0,0,0,
19012,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
19013,4140000,1923435,830000,0,0,0,0,0,0,
19014,1000000,0,0,0,0,0,0,25934674.27,0,
19015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19016,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,4612305
19017,0,0,0,0,0,0,0,14059922.22,0,
19018,168324159.5,30646293.01,51244183.01,1249679.19,15535421.94,0,0,0,0,
19019,349474215.51,72593681.07,166482813.73,214540,5331628.47,0,0,0,0,
19020,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
19021,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
19022,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
19023,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19024,2808463.96,85608,1006443,0,29000,0,0,0,0,
19025,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
19026,327687434,64086630,94399542,516780,20953056,0,0,0,0,
19027,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
19028,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
19029,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
19030,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,2062964.04
19031,140604829.58,19004528.39,113335813.93,0,0,3644347.23,0,0,18357402.87,
