ARCHIVO,CONTENIDO
m3s2p32,"Realización de operativos policiales, individualmente o en conjunto con otras instituciones, por parte de la institución encargada de la función de seguridad pública para mantener el orden y garantizar la seguridad pública, durante el año 2022."
m3s2p33,"Operativos policiales realizados por la institución encargada de la función de seguridad pública, según tipo y unidad de medida, durante el año 2022."
m3s2p34,"Operativos policiales realizados por la institución encargada de la función de seguridad pública en conjunto con otras autoridades, según tipo y autoridad, durante el año 2022."
m3s2p35,"Patrullajes realizados y kilómetros recorridos por la institución encargada de la función de seguridad pública, según tipo, durante el año 2022."
m3s2p36,"Remisiones a depósito vehicular realizadas por la institución encargada de la función de seguridad pública, según tipo de vehículo remitido, durante los años 2021 y 2022."
