ubicageo_f,regiadmi_g,rnspni1,anios_a,periactu_b,siregadm_b,ticapa1,ticapa2,ticapa3,ticapa4,ticapa5,raauto1,raauto2,raauto3,raauto4,raauto5,raauto6,raauto7,raauto8,raauto9,raauto10,raauto11,raauto12,raauto13
5022,3,1,2022,5,4,1,1,1,,,1,,,,1,,,,,,,,
5023,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5024,3,1,2022,5,4,1,1,1,,,,,,,1,,,,,,,,
5025,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5026,3,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5027,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5028,3,1,2015,5,4,,,1,,,,,,,,,,,,,1,,
5029,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5030,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5031,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5032,3,1,2022,1,5,1,1,1,,,1,,,,,,,,,,,,
5033,3,1,2022,5,4,1,1,1,,,,,,,,,,,,,1,,
5034,3,1,NSS,5,4,1,1,1,1,,,,,,1,,,,,,,,
5035,3,1,2008,7,4,1,1,1,,,,,,,,,,,,,,,1
5036,3,1,2019,5,3,1,1,1,1,,1,,,,,,,,,,,,
5037,3,1,2022,1,4,1,1,1,,,,,,,,,,,,,,1,
5038,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6001,3,1,2021,1,5,1,1,1,1,,,,,,1,,,,,,,,
6002,3,1,2019,9,4,1,1,1,,,,,,,,,,,,,,1,
6003,3,1,2011,1,1,1,1,1,,,,,,,,,,,,,,1,
6004,3,1,2015,10,4,,,,1,,,,,,,1,,,,,,,
6005,3,1,2021,5,2,1,1,1,1,,,,,,,,,,,,,1,
6006,3,1,2022,1,1,1,1,,,,,,,,,,,,,,,1,
6007,3,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
6008,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6009,3,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
6010,3,1,2001,1,5,1,1,1,,,,,,,,,,,,,,1,
7001,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7002,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7003,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7004,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7005,3,1,2022,10,5,,,,,1,,,,,,,,,,,,1,
7006,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7007,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7008,3,1,2021,10,4,1,,,,,,,,,,,,,,,,,1
7009,3,1,2021,5,1,1,1,1,,,,,,,,,,,,,,1,
7010,3,1,2021,10,1,1,1,1,,,,,1,,,,,,,,,,
7011,3,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
7012,3,1,2021,7,2,1,1,1,,,,,,,,,,,,,,1,
7013,3,1,2021,2,2,1,1,1,,,,,,,,,,,,,,1,
7014,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7015,3,1,2020,1,1,1,1,1,,,,,,,,,,,,,,1,
7016,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7017,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7018,3,1,2021,9,1,1,1,1,,,,,,,,,,,,,,1,
7019,3,1,2021,1,4,1,1,1,,,1,,,,,,,,,,,,
7020,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7021,3,1,2021,10,2,1,1,1,,,,,,,,,,1,,,,,
7022,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7023,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7024,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7025,3,1,2021,3,2,,1,,,,,,1,,,,,,,1,,,
7026,3,1,2021,1,5,1,1,1,,,,,,,,,,,,,,1,
7027,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7028,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7029,3,1,2022,5,3,1,1,1,,,,,,,1,,,,,,,,
7030,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7031,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7032,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7033,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7034,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7035,3,1,2021,1,4,1,1,1,1,,,,,,,,,,,,,1,
7036,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7037,3,1,2022,10,1,1,1,1,1,,,,,,,,,,1,,,,
7038,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7039,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7040,3,1,2021,5,1,1,1,1,,,,,,,,,,,,,,1,
7041,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7042,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7043,3,1,2021,5,1,1,1,,,,,,,,,,,,,,,1,
7044,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7045,3,1,2021,10,3,1,1,1,,,,,,,,,,,,,,1,
7046,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7047,3,1,2022,5,4,1,1,1,,,,,,,,,,,,,,1,
7048,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7049,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7050,3,1,2021,1,1,1,1,1,,,,,,,,,,,,,,1,
7051,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7052,3,1,2021,2,3,1,1,1,,,,,,,,,,,,,,1,
7053,3,1,2022,10,1,1,,,,,,,,,1,,,,,,,,
7054,3,1,2022,5,5,1,1,,,,,,,,,,,,,,,1,
7055,3,1,2021,5,1,1,1,1,,,,,,,,,,,,,,1,
7056,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7057,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7058,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7059,3,1,2010,5,5,1,1,1,1,,,,,,1,,1,,,,,,
7060,3,1,2021,9,1,1,1,1,,,,,,,,,,,,,,1,
7061,3,1,2022,4,3,1,1,,,,,,,,,,,,,,,1,
7062,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7063,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
