ubicageo_f,regiadmi_g,rnspni1,anios_a,periactu_b,siregadm_b,tipers1,tipers2,tipers3,tipers4,tipers5,tipers6,tipers7,tipers8,raauto1,raauto2,raauto3,raauto4,raauto5,raauto6,raauto7,raauto8,raauto9,raauto10,raauto11,raauto12,raauto13
5014,1,1,2021,3,4,1,1,1,,1,,,,,,,,1,,,,,,,,
5015,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5016,1,1,2019,5,4,1,1,1,,,,,,,,,1,,,,,,,,,
5017,1,1,2022,4,4,1,1,1,1,,1,,,,,1,,,,,,,,,,
5018,1,1,2010,5,4,1,1,1,1,1,1,,,,,,,,,,,,,,1,
5019,1,1,2020,99,1,1,1,1,1,1,1,,,1,,,,,,,,,,1,,
5020,1,1,2022,5,3,,1,1,1,1,1,1,,,,,,1,,,,,,,,
5021,1,1,NSS,5,4,1,1,1,1,1,1,1,,,,1,,,,1,,,,,,
5022,1,1,2015,5,4,1,1,1,,,1,,,1,,,,1,,,,,,,,
5023,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5024,1,1,2022,5,4,1,1,1,1,1,1,,,,,,,1,,,,,,,,
5025,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5026,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5027,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5028,1,1,2015,5,4,,1,,,,1,1,,,,,,,,,,,,1,,
5029,1,1,2022,2,1,1,,,1,,,,,1,,,,,,,,,,,,
5030,1,1,2003,1,5,,,,,1,,,,,,,,1,,,,,,1,,
5031,1,1,2019,5,2,,,1,,,1,1,,,,,,1,,,,,,,,
5032,1,1,2022,1,5,1,1,1,,,1,1,,1,,,,,,,,,,,,
5033,1,1,2022,3,1,,,,,,,,1,,,,,,,,,,,,1,
5034,1,1,NSS,5,4,1,1,1,1,,1,1,,,,,,1,,,,,,,,
5035,1,1,2011,4,5,1,1,1,1,1,1,1,,,,,,,,,,,,,,1
5036,1,1,2019,5,3,1,1,1,1,1,1,1,,1,,,,,,,,,,,,
5037,1,1,2022,1,4,1,,,,,,,,,,,,,,,,,,,1,
5038,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6001,1,1,2021,1,5,1,1,1,,,,1,,,,,,1,,,,,,,,
6002,1,1,2020,2,5,,,,,,,,1,,,,,,,,,,,,1,
6003,1,1,2011,1,1,1,1,1,1,1,1,,,,,,,1,,,,,,,,
6004,1,1,2015,10,4,1,,,1,,,,,1,,,,,,,,,,,,
6005,1,1,2021,5,2,1,1,1,1,1,1,,,,,,,,,,,,,,1,
6006,1,1,2022,1,1,,,,,,1,,,,,,,,,,,,,,1,
6007,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6008,1,1,2021,1,1,1,1,1,1,1,,,,1,,,,,,,,,,,,
6009,1,1,2021,5,3,1,1,1,1,1,1,1,,,,,,1,,,,,,,,
6010,1,1,2001,1,5,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7001,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7002,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7003,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7004,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7005,1,1,2022,10,9,,,,,,,,1,,,,,,,,,,,,,1
7006,1,1,2021,10,1,1,1,1,,,1,,,,,,,,,,,,,,1,
7007,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7008,1,1,2021,5,4,,,,1,,,,,,,,,,,,,,,,,1
7009,1,1,2021,5,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7010,1,1,2021,7,1,1,1,1,1,1,1,1,,,,1,,,,,,,,,,
7011,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7012,1,1,2021,1,2,1,1,1,,,,,,,,,,,,,,,,,1,
7013,1,1,2021,2,2,,,,,,,1,,,,,,,,,,,,,1,
7014,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7015,1,1,2020,5,1,1,1,1,,,,,,,,,,,,,,,,,1,
7016,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7017,1,1,2022,4,3,,,,,,,1,,,,,,,,,,,,1,,
