ubicageo_f,regiadmi_g,rnspni1,anios_a,periactu_b,siregadm_b,tifalt1,tifalt2,tifalt3,tifalt4,tifalt5,tifalt6,raauto1,raauto2,raauto3,raauto4,raauto5,raauto6,raauto7,raauto8,raauto9,raauto10,raauto11,raauto12,raauto13
7030,4,1,2021,1,1,1,1,,,,,1,,,,,,,,,,,,
7031,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7032,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7033,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7034,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7035,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7036,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7037,4,1,2022,10,1,1,1,1,1,,,,,,,,,,,1,,,,
7038,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7039,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7040,4,1,2021,5,1,1,1,1,1,,,1,,,,,,,1,,,,,
7041,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7042,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7043,4,1,2021,2,1,1,1,1,,,,,,,,,,,,,,,1,
7044,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7045,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7046,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7047,4,1,2022,10,3,1,,,1,,,,,,,,,,,,,,1,
7048,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7049,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7050,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7051,4,1,2021,5,1,1,1,1,1,,,1,,,,,,,,,,,,
7052,4,1,2021,2,3,1,1,,1,,,,,,,,,,,,,,1,
7053,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7054,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7055,4,1,2021,1,1,1,1,1,,,,,,,,,,,,,,,1,
7056,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7057,4,1,2016,9,1,1,1,1,1,,,,,,,,,,,,,,1,
7058,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7059,4,1,2011,5,5,1,1,1,,,,1,,,,,,,,,,,,
7060,4,1,2021,2,1,1,1,,1,,,,,,,,,,,,,,1,
7061,4,1,2022,1,4,1,,,,,,,,,,,,,,,,,1,
7062,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7063,4,1,2021,1,1,1,1,,,1,,,,,,,,,,,,,1,
7064,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7065,4,1,2022,4,4,1,,,,,,,,,,,,,,,,,1,
7066,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7067,4,1,2021,2,1,1,1,,1,,,1,,,,,,,,,,,,
7068,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7069,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7070,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7071,4,1,2021,5,1,1,1,1,1,,,1,,,,,,,,,,,,
7072,4,1,2021,3,1,1,,,1,,,,,,,,,,,,,,1,
7073,4,1,2021,1,1,1,,,,,,,,,,,,,,,,,,1
7074,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7075,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7076,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7077,4,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
7078,4,1,2018,2,3,,1,,,,,1,,,,,,,,,,,,
7079,4,1,2022,1,3,1,1,1,1,,,1,,,,1,,,,,,,,
7080,4,1,2022,1,1,1,,,,,,,,,,,,,,,,,1,
7081,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7082,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7083,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7084,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7085,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7086,4,1,2021,7,1,1,1,1,1,,,,,,,,,,,,,,1,
7087,4,1,2020,1,3,1,1,1,1,,,,,,,,,,,,,,1,
7088,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7089,4,1,2021,2,5,1,1,1,1,,,1,,,,,,,,,,,,
7090,4,1,2021,2,1,1,1,1,1,,,,,,,,,,,,,,1,
7091,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7092,4,1,2021,5,3,1,1,,,,,,,,,,,,1,,,,,
7093,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7094,4,1,2022,7,3,1,,1,1,,,1,,,,,,,,,,,,
7096,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7097,4,1,2017,1,1,1,,,,,,,,,,,,,,,,,1,
7098,4,1,2018,10,1,1,,,,,,1,,,,,,,,,,,,
7099,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7100,4,1,2000,10,1,1,1,,1,,,,,,,,,,,,,1,,
