ARCHIVO,CONTENIDO
m3s2p52,"Enfrentamientos ocurridos en el municipio en los que participaron elementos adscritos a la institución encargada de la función de seguridad pública, durante los años 2021 y 2022."
m3s2p53,"Enfrentamientos ocurridos en el municipio en los que participaron elementos adscritos a la institución encargada de la función de seguridad pública, según motivo de ocurrencia, durante el año 2022."
m3s2p54,"Enfrentamientos ocurridos en el municipio en los que participaron elementos adscritos a la institución encargada de la función de seguridad pública, según forma de ocurrencia, durante el año 2022."
m3s2p55,"Enfrentamientos ocurridos en el municipio en los que participaron elementos adscritos a la institución encargada de la función de seguridad pública con otras autoridades, según autoridades, durante el año 2022."
m3s2p56,"Personal adscrito a la institución encargada de la función de seguridad pública y personas civiles armadas fallecidas, lesionadas o detenidas como resultado de los enfrentamiento ocurridos en el municipio, según sexo, durante los años 2021 y 2022."
