ubicageo_f,aniorefe_b,rnsnni1,totalca1
21196,1,2,NA
21196,2,2,NA
21197,1,2,NA
21197,2,2,NA
21198,1,2,NA
21198,2,2,NA
21199,1,2,NA
21199,2,2,NA
21200,1,2,NA
21200,2,2,NA
21201,1,2,NA
21201,2,2,NA
21202,1,2,NA
21202,2,2,NA
21203,1,2,NA
21203,2,2,NA
21204,1,2,NA
21204,2,2,NA
21205,1,2,NA
21205,2,2,NA
21206,1,2,NA
21206,2,2,NA
21207,1,2,NA
21207,2,2,NA
21208,1,1,1
21208,2,1,1
21209,1,2,NA
21209,2,2,NA
21210,1,2,NA
21210,2,2,NA
21211,1,2,NA
21211,2,2,NA
21212,1,2,NA
21212,2,1,1
21213,1,2,NA
21213,2,2,NA
21214,1,2,NA
21214,2,2,NA
21215,1,2,NA
21215,2,2,NA
21216,1,2,NA
21216,2,2,NA
21217,1,2,NA
21217,2,2,NA
22001,1,2,NA
22001,2,2,NA
22002,1,2,NA
22002,2,2,NA
22003,1,2,NA
22003,2,2,NA
22004,1,2,NA
22004,2,2,NA
22005,1,2,NA
22005,2,1,1
22006,1,2,NA
22006,2,2,NA
22007,1,2,NA
22007,2,2,NA
22008,1,2,NA
22008,2,2,NA
22009,1,2,NA
22009,2,2,NA
22010,1,2,NA
22010,2,2,NA
22011,1,2,NA
22011,2,2,NA
22012,1,2,NA
22012,2,2,NA
22013,1,2,NA
22013,2,2,NA
22014,1,1,5
22014,2,1,6
22015,1,2,NA
22015,2,2,NA
22016,1,2,NA
22016,2,2,NA
22017,1,2,NA
22017,2,2,NA
22018,1,2,NA
22018,2,2,NA
23001,1,2,NA
23001,2,2,NA
23002,1,2,NA
23002,2,2,NA
23003,1,2,NA
23003,2,2,NA
23004,1,2,NA
23004,2,2,NA
23005,1,2,NA
23005,2,2,NA
23006,1,2,NA
23006,2,2,NA
23007,1,2,NA
23007,2,2,NA
23008,1,2,NA
23008,2,2,NA
23009,1,2,NA
23009,2,2,NA
23010,1,2,NA
23010,2,2,NA
23011,1,2,NA
23011,2,2,NA
24001,1,2,NA
24001,2,2,NA
24002,1,2,NA
24002,2,2,NA
24003,1,2,NA
24003,2,2,NA
24004,1,2,NA
24004,2,2,NA
24005,1,2,NA
24005,2,2,NA
24006,1,2,NA
24006,2,2,NA
24007,1,2,NA
24007,2,2,NA
24008,1,2,NA
24008,2,2,NA
24009,1,2,NA
24009,2,2,NA
24010,1,1,1
24010,2,1,1
24011,1,1,2
24011,2,1,2
24012,1,2,NA
24012,2,2,NA
24013,1,1,1
24013,2,1,1
24014,1,2,NA
24014,2,2,NA
24015,1,2,NA
24015,2,2,NA
24016,1,2,NA
24016,2,2,NA
24017,1,2,NA
24017,2,1,1
24018,1,2,NA
24018,2,2,NA
24019,1,2,NA
24019,2,2,NA
24020,1,2,NA
24020,2,2,NA
24021,1,1,1
24021,2,2,NA
24022,1,2,NA
24022,2,2,NA
24023,1,2,NA
24023,2,2,NA
24024,1,1,1
24024,2,1,1
24025,1,2,NA
24025,2,2,NA
24026,1,2,NA
24026,2,2,NA
24027,1,2,NA
24027,2,2,NA
24028,1,2,NA
24028,2,1,1
24029,1,2,NA
24029,2,2,NA
24030,1,0,NA
24030,2,0,NA
24031,1,2,NA
24031,2,2,NA
24032,1,9,NSS
24032,2,2,NA
24033,1,2,NA
24033,2,2,NA
24034,1,2,NA
24034,2,2,NA
24035,1,2,NA
24035,2,2,NA
24036,1,2,NA
24036,2,2,NA
24037,1,2,NA
24037,2,2,NA
24038,1,2,NA
24038,2,2,NA
24039,1,2,NA
24039,2,2,NA
24040,1,1,1
24040,2,2,NA
24041,1,2,NA
24041,2,2,NA
24042,1,2,NA
24042,2,2,NA
24043,1,2,NA
24043,2,2,NA
24044,1,2,NA
24044,2,2,NA
24045,1,2,NA
24045,2,2,NA
24046,1,2,NA
24046,2,2,NA
24047,1,9,NSS
24047,2,2,NA
24048,1,2,NA
24048,2,2,NA
24049,1,2,NA
24049,2,9,NSS
24050,1,2,NA
24050,2,2,NA
24051,1,2,NA
24051,2,2,NA
24052,1,2,NA
24052,2,2,NA
24053,1,2,NA
24053,2,2,NA
24054,1,2,NA
24054,2,2,NA
24055,1,2,NA
24055,2,2,NA
24056,1,2,NA
24056,2,2,NA
24057,1,2,NA
24057,2,2,NA
24058,1,1,1
24058,2,2,NA
25001,1,2,NA
25001,2,2,NA
25002,1,2,NA
25002,2,2,NA
25003,1,2,NA
25003,2,2,NA
25004,1,2,NA
25004,2,2,NA
25005,1,2,NA
25005,2,2,NA
25006,1,2,NA
25006,2,2,NA
25007,1,2,NA
25007,2,2,NA
25008,1,1,1
25008,2,2,NA
25009,1,2,NA
25009,2,2,NA
25010,1,2,NA
25010,2,2,NA
25011,1,2,NA
25011,2,2,NA
25012,1,2,NA
25012,2,2,NA
25013,1,2,NA
25013,2,2,NA
25014,1,2,NA
25014,2,2,NA
25015,1,2,NA
25015,2,2,NA
25016,1,2,NA
25016,2,2,NA
25017,1,2,NA
25017,2,2,NA
25018,1,2,NA
25018,2,2,NA
26001,1,2,NA
26001,2,2,NA
26002,1,2,NA
26002,2,2,NA
26003,1,2,NA
26003,2,2,NA
26004,1,2,NA
26004,2,2,NA
26005,1,2,NA
26005,2,2,NA
26006,1,2,NA
26006,2,2,NA
26007,1,2,NA
26007,2,2,NA
26008,1,2,NA
26008,2,2,NA
26009,1,2,NA
26009,2,2,NA
26010,1,2,NA
26010,2,2,NA
26011,1,2,NA
26011,2,2,NA
26012,1,2,NA
26012,2,2,NA
26013,1,2,NA
26013,2,2,NA
26014,1,9,NSS
26014,2,2,NA
26015,1,2,NA
26015,2,2,NA
26016,1,2,NA
26016,2,2,NA
26017,1,1,4
26017,2,1,2
26018,1,9,NSS
26018,2,9,NSS
26019,1,2,NA
26019,2,2,NA
26020,1,2,NA
26020,2,2,NA
26021,1,2,NA
26021,2,2,NA
26022,1,2,NA
26022,2,2,NA
26023,1,2,NA
26023,2,2,NA
26024,1,2,NA
26024,2,2,NA
26025,1,2,NA
26025,2,2,NA
26026,1,2,NA
26026,2,2,NA
26027,1,2,NA
26027,2,2,NA
26028,1,2,NA
26028,2,2,NA
26029,1,2,NA
26029,2,2,NA
26030,1,1,3
26030,2,1,1
26031,1,2,NA
26031,2,2,NA
26032,1,2,NA
26032,2,2,NA
26033,1,2,NA
26033,2,1,1
26034,1,2,NA
26034,2,2,NA
26035,1,1,1
26035,2,2,NA
26036,1,2,NA
26036,2,2,NA
26037,1,2,NA
26037,2,2,NA
26038,1,2,NA
26038,2,2,NA
26039,1,2,NA
26039,2,2,NA
26040,1,2,NA
26040,2,2,NA
26041,1,2,NA
26041,2,2,NA
26042,1,2,NA
26042,2,2,NA
26043,1,2,NA
26043,2,2,NA
26044,1,2,NA
26044,2,2,NA
26045,1,9,NSS
26045,2,2,NA
26046,1,2,NA
26046,2,2,NA
26047,1,2,NA
26047,2,2,NA
26048,1,9,NSS
26048,2,9,NSS
26049,1,2,NA
26049,2,2,NA
26050,1,2,NA
26050,2,2,NA
26051,1,2,NA
26051,2,1,1
26052,1,2,NA
26052,2,2,NA
26053,1,2,NA
26053,2,2,NA
26054,1,2,NA
26054,2,2,NA
26055,1,9,NSS
26055,2,1,1
26056,1,2,NA
26056,2,2,NA
26057,1,2,NA
26057,2,2,NA
26058,1,2,NA
26058,2,2,NA
26059,1,2,NA
26059,2,2,NA
26060,1,2,NA
26060,2,2,NA
26061,1,9,NSS
26061,2,2,NA
26062,1,2,NA
26062,2,2,NA
26063,1,2,NA
26063,2,2,NA
26064,1,2,NA
26064,2,2,NA
26065,1,2,NA
26065,2,2,NA
26066,1,2,NA
26066,2,2,NA
26067,1,2,NA
26067,2,2,NA
26068,1,9,NSS
26068,2,9,NSS
26069,1,2,NA
26069,2,2,NA
26070,1,2,NA
26070,2,2,NA
26071,1,2,NA
26071,2,2,NA
26072,1,2,NA
26072,2,2,NA
27001,1,2,NA
27001,2,1,1
27002,1,2,NA
27002,2,1,1
27003,1,2,NA
27003,2,2,NA
27004,1,0,NA
27004,2,0,NA
27005,1,1,1
27005,2,2,NA
27006,1,2,NA
27006,2,2,NA
27007,1,2,NA
27007,2,2,NA
27008,1,2,NA
27008,2,1,2
27009,1,2,NA
27009,2,2,NA
27010,1,2,NA
27010,2,2,NA
27011,1,2,NA
27011,2,2,NA
27012,1,2,NA
27012,2,2,NA
27013,1,2,NA
27013,2,2,NA
27014,1,2,NA
27014,2,2,NA
27015,1,2,NA
27015,2,2,NA
27016,1,2,NA
27016,2,2,NA
27017,1,2,NA
27017,2,2,NA
28001,1,0,NA
28001,2,0,NA
28002,1,0,NA
28002,2,0,NA
28003,1,0,NA
28003,2,0,NA
28004,1,0,NA
28004,2,0,NA
28005,1,0,NA
28005,2,0,NA
28006,1,0,NA
28006,2,0,NA
28007,1,0,NA
28007,2,0,NA
28008,1,0,NA
28008,2,0,NA
28009,1,0,NA
28009,2,0,NA
28010,1,0,NA
28010,2,0,NA
28011,1,0,NA
28011,2,0,NA
28012,1,0,NA
28012,2,0,NA
28013,1,0,NA
28013,2,0,NA
28014,1,0,NA
28014,2,0,NA
28015,1,0,NA
28015,2,0,NA
28016,1,0,NA
28016,2,0,NA
28017,1,0,NA
28017,2,0,NA
28018,1,0,NA
28018,2,0,NA
28019,1,0,NA
28019,2,0,NA
28020,1,0,NA
28020,2,0,NA
28021,1,0,NA
28021,2,0,NA
28022,1,0,NA
28022,2,0,NA
28023,1,0,NA
28023,2,0,NA
28024,1,0,NA
28024,2,0,NA
28025,1,0,NA
28025,2,0,NA
28026,1,0,NA
28026,2,0,NA
28027,1,0,NA
28027,2,0,NA
28028,1,0,NA
28028,2,0,NA
28029,1,0,NA
28029,2,0,NA
28030,1,0,NA
28030,2,0,NA
28031,1,0,NA
28031,2,0,NA
28032,1,0,NA
28032,2,0,NA
28033,1,0,NA
28033,2,0,NA
28034,1,0,NA
28034,2,0,NA
28035,1,0,NA
28035,2,0,NA
28036,1,0,NA
28036,2,0,NA
28037,1,0,NA
28037,2,0,NA
28038,1,0,NA
28038,2,0,NA
28039,1,0,NA
28039,2,0,NA
28040,1,0,NA
28040,2,0,NA
28041,1,0,NA
28041,2,0,NA
28042,1,0,NA
28042,2,0,NA
28043,1,0,NA
28043,2,0,NA
29001,1,9,NSS
29001,2,2,NA
29002,1,9,NSS
29002,2,2,NA
29003,1,2,NA
29003,2,2,NA
29004,1,2,NA
29004,2,2,NA
29005,1,2,NA
29005,2,2,NA
29006,1,2,NA
29006,2,2,NA
29007,1,2,NA
29007,2,2,NA
29008,1,2,NA
29008,2,2,NA
29009,1,2,NA
29009,2,2,NA
29010,1,2,NA
29010,2,2,NA
29011,1,2,NA
29011,2,2,NA
29012,1,2,NA
29012,2,2,NA
29013,1,2,NA
29013,2,2,NA
29014,1,2,NA
29014,2,2,NA
29015,1,9,NSS
29015,2,2,NA
29016,1,2,NA
29016,2,2,NA
29017,1,2,NA
29017,2,2,NA
29018,1,2,NA
29018,2,2,NA
29019,1,2,NA
29019,2,2,NA
29020,1,2,NA
29020,2,2,NA
29021,1,2,NA
29021,2,2,NA
29022,1,2,NA
29022,2,2,NA
29023,1,2,NA
29023,2,2,NA
29024,1,2,NA
29024,2,2,NA
29025,1,2,NA
29025,2,2,NA
29026,1,2,NA
29026,2,2,NA
29027,1,2,NA
29027,2,2,NA
29028,1,2,NA
29028,2,2,NA
29029,1,2,NA
29029,2,2,NA
29030,1,2,NA
29030,2,2,NA
29031,1,2,NA
29031,2,2,NA
29032,1,2,NA
